entry_term_cd,entry_year_trailing_summer_7,admit_level,start_major,deg_major,section,headcount
18F,2018-19,Freshman,HUMAN BIOLOGY AND SOCIETY - BA                              ,BIOLOGY                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,HUMAN BIOLOGY AND SOCIETY - BS                              ,AFRICAN AMERICAN STUDIES                                                                                                ,Fall 1 to Degree,<10
18F,2018-19,Freshman,HUMAN BIOLOGY AND SOCIETY - BS                              ,Did not graduate by Summer 23,Fall 1 to Degree,10
18F,2018-19,Freshman,HUMAN BIOLOGY AND SOCIETY - BS                              ,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",Fall 1 to Degree,<10
18F,2018-19,Freshman,LINGUISTICS AND COMPUTER SCIENCE                                                                                        ,COGNITIVE SCIENCE                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,LINGUISTICS AND COMPUTER SCIENCE                                                                                        ,PSYCHOLOGY                                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,LINGUISTICS AND PSYCHOLOGY                                                                                              ,ASIAN LANGUAGES AND LINGUISTICS                                                                                         ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS/APPLIED SCIENCE                                 ,MATHEMATICS OF COMPUTATION                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS/APPLIED SCIENCE                                 ,PHYSICS                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS/APPLIED SCIENCE                                 ,PHYSIOLOGICAL SCIENCE                                                                                                   ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS/ECONOMICS                                       ,BIOLOGY                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MECHANICAL ENGINEERING                                                                                                  ,LINGUISTICS AND PSYCHOLOGY                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",HUMAN BIOLOGY AND SOCIETY - BS                                                                                          ,Fall 1 to Degree,<10
18F,2018-19,Freshman,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",POLITICAL SCIENCE                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MUSIC                                                                                                                   ,Did not graduate by Summer 23,Fall 1 to Degree,<10
18F,2018-19,Freshman,NEUROSCIENCE                                                                                                            ,PSYCHOLOGY                                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,NEUROSCIENCE                                                                                                            ,SOCIOLOGY                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PHYSICS                                                                                                                 ,APPLIED MATHEMATICS                                                                                                     ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PHYSIOLOGICAL SCIENCE                                                                                                   ,PUBLIC AFFAIRS                                                                                                          ,Fall 1 to Degree,<10
18F,2018-19,Freshman,POLITICAL SCIENCE                                           ,POLITICAL SCIENCE                                                                                                       ,Fall 1 to Degree,149
18F,2018-19,Freshman,PSYCHOBIOLOGY                                               ,BIOLOGY                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PSYCHOBIOLOGY                                               ,BUSINESS ECONOMICS                                                                                                      ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PSYCHOLOGY                                                  ,STATISTICS AND DATA SCIENCE                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,SOCIOLOGY                                                   ,SOCIOLOGY                                                                                                               ,Fall 1 to Degree,43
18F,2018-19,Freshman,UNDECLARED-ENGINEERING AND APPLIED SCIENCE                                                                              ,COMPUTER SCIENCE AND ENGINEERING                                                                                        ,Fall 1 to Degree,<10
18F,2018-19,Freshman,UNDECLARED-HUMANITIES                                                                                                   ,ENGLISH                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,POLITICAL SCIENCE                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,UNDECLARED-SOCIAL SCIENCE                                                                                               ,ART HISTORY                                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,UNDECLARED-SOCIAL SCIENCE                                                                                               ,ASTROPHYSICS                                                                                                            ,Fall 1 to Degree,<10
18F,2018-19,Freshman,UNDECLARED-SOCIAL SCIENCE                                                                                               ,BUSINESS ECONOMICS                                                                                                      ,Fall 1 to Degree,<10
18F,2018-19,Freshman,UNDECLARED-SOCIAL SCIENCE                                                                                               ,ECONOMICS                                                                                                               ,Fall 1 to Degree,11
18F,2018-19,Freshman,WORLD ARTS AND CULTURES                                                                                                 ,ECONOMICS                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Transfer,ANTHROPOLOGY                                                                                                            ,LINGUISTICS AND ASIAN LANGUAGES AND CULTURES                                                                            ,Fall 1 to Degree,<10
18F,2018-19,Transfer,ASIAN STUDIES                                               ,FINANCIAL ACTUARIAL MATHEMATICS                                                                                         ,Fall 1 to Degree,<10
18F,2018-19,Transfer,BUSINESS ECONOMICS                                          ,ASIAN HUMANITIES                                                                                                        ,Fall 1 to Degree,<10
18F,2018-19,Transfer,CHEMISTRY                                                                                                               ,CHEMISTRY/MATERIALS SCIENCE                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Transfer,CHEMISTRY/MATERIALS SCIENCE                                                                                             ,CHEMISTRY                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Transfer,EARTH AND ENVIRONMENTAL SCIENCE                                                                                         ,STATISTICS AND DATA SCIENCE                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Transfer,EUROPEAN LANGUAGES AND TRANSCULTURAL STUDIES WITH FRENCH AND FRANCOPHONE                                                ,EUROPEAN LANGUAGES AND TRANSCULTURAL STUDIES WITH FRENCH AND FRANCOPHONE                                                ,Fall 1 to Degree,<10
18F,2018-19,Transfer,EUROPEAN STUDIES                                            ,EUROPEAN STUDIES                                                                                                        ,Fall 1 to Degree,<10
18F,2018-19,Transfer,FRENCH AND LINGUISTICS                                                                                                  ,SOCIOLOGY                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Transfer,GENDER STUDIES                                                                                                          ,ASIAN HUMANITIES                                                                                                        ,Fall 1 to Degree,<10
18F,2018-19,Transfer,GEOGRAPHY                                                                                                               ,GEOGRAPHY/ENVIRONMENTAL STUDIES                                                                                         ,Fall 1 to Degree,<10
18F,2018-19,Transfer,GEOGRAPHY                                                                                                               ,SOCIOLOGY                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Transfer,GEOGRAPHY/ENVIRONMENTAL STUDIES                                                                                         ,GEOGRAPHY                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Transfer,GLOBAL STUDIES                                              ,GEOGRAPHY                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Transfer,HISTORY                                                     ,APPLIED MATHEMATICS                                                                                                     ,Fall 1 to Degree,<10
18F,2018-19,Transfer,INTERNATIONAL DEVELOPMENT STUDIES                           ,INTERNATIONAL DEVELOPMENT STUDIES                                                                                       ,Fall 1 to Degree,15
18F,2018-19,Transfer,JAPANESE                                                                                                                ,SOCIOLOGY                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Transfer,LINGUISTICS                                                                                                             ,ASIAN HUMANITIES                                                                                                        ,Fall 1 to Degree,<10
18F,2018-19,Transfer,LINGUISTICS AND ASIAN LANGUAGES AND CULTURES                                                                            ,ANTHROPOLOGY                                                                                                            ,Fall 1 to Degree,<10
18F,2018-19,Transfer,MATHEMATICS                                                 ,MATHEMATICS/ECONOMICS                                                                                                   ,Fall 1 to Degree,<10
18F,2018-19,Transfer,MATHEMATICS FOR TEACHING                                    ,APPLIED MATHEMATICS                                                                                                     ,Fall 1 to Degree,<10
18F,2018-19,Transfer,MATHEMATICS FOR TEACHING                                    ,MATHEMATICS                                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Transfer,MATHEMATICS/APPLIED SCIENCE                                 ,MATHEMATICS OF COMPUTATION                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,HUMAN BIOLOGY AND SOCIETY - BA                              ,Did not graduate by Summer 23,Fall 1 to Degree,<10
18F,2018-19,Freshman,HUMAN BIOLOGY AND SOCIETY - BS                              ,PHYSIOLOGICAL SCIENCE                                                                                                   ,Fall 1 to Degree,<10
18F,2018-19,Freshman,INTERNATIONAL DEVELOPMENT STUDIES                           ,Did not graduate by Summer 23,Fall 1 to Degree,<10
18F,2018-19,Freshman,LINGUISTICS                                                                                                             ,APPLIED LINGUISTICS                                                                                                     ,Fall 1 to Degree,<10
18F,2018-19,Freshman,LINGUISTICS AND ANTHROPOLOGY                                                                                            ,LINGUISTICS AND ANTHROPOLOGY                                                                                            ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS                                                 ,STATISTICS AND DATA SCIENCE                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS OF COMPUTATION                                  ,ART                                                                                                                     ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS/APPLIED SCIENCE                                 ,LINGUISTICS AND COMPUTER SCIENCE                                                                                        ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS/ECONOMICS                                       ,Did not graduate by Summer 23,Fall 1 to Degree,<10
18F,2018-19,Freshman,MECHANICAL ENGINEERING                                                                                                  ,MATHEMATICS                                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS            ",POLITICAL SCIENCE                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",ECONOMICS                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,NEUROSCIENCE                                                                                                            ,ECONOMICS                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,NEUROSCIENCE                                                                                                            ,GENDER STUDIES                                                                                                          ,Fall 1 to Degree,<10
18F,2018-19,Freshman,NEUROSCIENCE                                                                                                            ,INTERNATIONAL DEVELOPMENT STUDIES                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PHYSIOLOGICAL SCIENCE                                                                                                   ,HUMAN BIOLOGY AND SOCIETY - BS                                                                                          ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PHYSIOLOGICAL SCIENCE                                                                                                   ,PSYCHOLOGY                                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,POLITICAL SCIENCE                                           ,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS                                                                        ",Fall 1 to Degree,<10
18F,2018-19,Freshman,PSYCHOBIOLOGY                                               ,ANTHROPOLOGY-BS                                                                                                         ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PSYCHOBIOLOGY                                               ,PSYCHOBIOLOGY                                                                                                           ,Fall 1 to Degree,125
18F,2018-19,Freshman,PSYCHOLOGY                                                  ,MATHEMATICS OF COMPUTATION                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PUBLIC AFFAIRS                                              ,Did not graduate by Summer 23,Fall 1 to Degree,<10
18F,2018-19,Freshman,PUBLIC AFFAIRS                                              ,PUBLIC AFFAIRS                                                                                                          ,Fall 1 to Degree,19
18F,2018-19,Freshman,SOCIOLOGY                                                   ,BUSINESS ECONOMICS                                                                                                      ,Fall 1 to Degree,<10
18F,2018-19,Freshman,STATISTICS AND DATA SCIENCE                                 ,ECONOMICS                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,STATISTICS AND DATA SCIENCE                                 ,FINANCIAL ACTUARIAL MATHEMATICS                                                                                         ,Fall 1 to Degree,<10
18F,2018-19,Freshman,STATISTICS AND DATA SCIENCE                                 ,MATHEMATICS                                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,UNDECLARED-ENGINEERING AND APPLIED SCIENCE                                                                              ,ECONOMICS                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,UNDECLARED-HUMANITIES                                                                                                   ,ART HISTORY                                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,UNDECLARED-HUMANITIES                                                                                                   ,"ECOLOGY, BEHAVIOR, AND EVOLUTION                                                                                        ",Fall 1 to Degree,<10
18F,2018-19,Freshman,UNDECLARED-HUMANITIES                                                                                                   ,HISTORY                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,UNDECLARED-HUMANITIES                                                                                                   ,LINGUISTICS                                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,GEOLOGY                                                                                                                 ,GEOLOGY                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,GLOBAL STUDIES                                              ,NEUROSCIENCE                                                                                                            ,Fall 1 to Degree,<10
18F,2018-19,Freshman,HUMAN BIOLOGY AND SOCIETY - BA                              ,HUMAN BIOLOGY AND SOCIETY - BA                                                                                          ,Fall 1 to Degree,<10
18F,2018-19,Freshman,HUMAN BIOLOGY AND SOCIETY - BA                              ,PUBLIC AFFAIRS                                                                                                          ,Fall 1 to Degree,<10
18F,2018-19,Freshman,LINGUISTICS                                                                                                             ,Did not graduate by Summer 23,Fall 1 to Degree,<10
18F,2018-19,Freshman,LINGUISTICS AND PSYCHOLOGY                                                                                              ,PSYCHOLOGY                                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,LINGUISTICS AND SPANISH                                                                                                 ,APPLIED LINGUISTICS                                                                                                     ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MARINE BIOLOGY                                                                                                          ,PSYCHOLOGY                                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS                                                 ,COGNITIVE SCIENCE                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS                                                 ,ENGLISH                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS OF COMPUTATION                                  ,DATA THEORY                                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS/APPLIED SCIENCE                                 ,APPLIED LINGUISTICS                                                                                                     ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MECHANICAL ENGINEERING                                                                                                  ,CIVIL ENGINEERING                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS            ",GENDER STUDIES                                                                                                          ,Fall 1 to Degree,<10
18F,2018-19,Freshman,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",COMPUTATIONAL AND SYSTEMS BIOLOGY                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",PSYCHOBIOLOGY                                                                                                           ,Fall 1 to Degree,15
18F,2018-19,Freshman,NEUROSCIENCE                                                                                                            ,COGNITIVE SCIENCE                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,NEUROSCIENCE                                                                                                            ,ENGLISH                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,NEUROSCIENCE                                                                                                            ,NEUROSCIENCE                                                                                                            ,Fall 1 to Degree,106
18F,2018-19,Freshman,PHILOSOPHY                                                                                                              ,PSYCHOLOGY                                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PHYSICS                                                                                                                 ,AEROSPACE ENGINEERING                                                                                                   ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PHYSICS                                                                                                                 ,COMPUTER SCIENCE AND ENGINEERING                                                                                        ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PHYSIOLOGICAL SCIENCE                                                                                                   ,ASTROPHYSICS                                                                                                            ,Fall 1 to Degree,<10
18F,2018-19,Freshman,POLITICAL SCIENCE                                           ,ENGLISH                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PSYCHOBIOLOGY                                               ,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",Fall 1 to Degree,<10
18F,2018-19,Freshman,PSYCHOBIOLOGY                                               ,SPANISH                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PSYCHOLOGY                                                  ,COMPARATIVE LITERATURE                                                                                                  ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PSYCHOLOGY                                                  ,PHILOSOPHY                                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PUBLIC AFFAIRS                                              ,COMMUNICATION                                                                                                           ,Fall 1 to Degree,<10
18F,2018-19,Freshman,STATISTICS AND DATA SCIENCE                                 ,COGNITIVE SCIENCE                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ELECTRICAL ENGINEERING                                                                                                  ,BUSINESS ECONOMICS                                                                                                      ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ELECTRICAL ENGINEERING                                                                                                  ,COMPUTER SCIENCE AND ENGINEERING                                                                                        ,Fall 1 to Degree,<10
18F,2018-19,Freshman,EUROPEAN LANGUAGES AND TRANSCULTURAL STUDIES WITH ITALIAN                                                               ,LINGUISTICS                                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,FINANCIAL ACTUARIAL MATHEMATICS                             ,APPLIED MATHEMATICS                                                                                                     ,Fall 1 to Degree,<10
18F,2018-19,Freshman,GEOGRAPHY                                                                                                               ,INTERNATIONAL DEVELOPMENT STUDIES                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,GEOPHYSICS                                                                                                              ,GEOPHYSICS                                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,GLOBAL STUDIES                                              ,ECONOMICS                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,GLOBAL STUDIES                                              ,GEOGRAPHY/ENVIRONMENTAL STUDIES                                                                                         ,Fall 1 to Degree,<10
18F,2018-19,Freshman,GLOBAL STUDIES                                              ,POLITICAL SCIENCE                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,GLOBAL STUDIES                                              ,PSYCHOLOGY                                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,HISTORY                                                     ,Did not graduate by Summer 23,Fall 1 to Degree,<10
18F,2018-19,Freshman,HISTORY                                                     ,PHYSIOLOGICAL SCIENCE                                                                                                   ,Fall 1 to Degree,<10
18F,2018-19,Freshman,HUMAN BIOLOGY AND SOCIETY - BA                              ,PSYCHOBIOLOGY                                                                                                           ,Fall 1 to Degree,<10
18F,2018-19,Freshman,HUMAN BIOLOGY AND SOCIETY - BS                              ,GLOBAL STUDIES                                                                                                          ,Fall 1 to Degree,<10
18F,2018-19,Freshman,INTERNATIONAL DEVELOPMENT STUDIES                           ,GEOGRAPHY                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,LINGUISTICS                                                                                                             ,LINGUISTICS                                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,LINGUISTICS AND PSYCHOLOGY                                                                                              ,BIOLOGY                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATERIALS ENGINEERING                                                                                                   ,CHEMISTRY/MATERIALS SCIENCE                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATERIALS ENGINEERING                                                                                                   ,COGNITIVE SCIENCE                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS                                                 ,APPLIED MATHEMATICS                                                                                                     ,Fall 1 to Degree,15
18F,2018-19,Freshman,MATHEMATICS FOR TEACHING                                    ,GEOLOGY                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS OF COMPUTATION                                  ,PSYCHOBIOLOGY                                                                                                           ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS/APPLIED SCIENCE                                 ,BIOCHEMISTRY                                                                                                            ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS/APPLIED SCIENCE                                 ,PSYCHOBIOLOGY                                                                                                           ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS/ECONOMICS                                       ,DATA THEORY                                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS            ","MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS                                                                        ",Fall 1 to Degree,60
18F,2018-19,Freshman,MUSIC                                                                                                                   ,MARINE BIOLOGY                                                                                                          ,Fall 1 to Degree,<10
18F,2018-19,Freshman,NEUROSCIENCE                                                                                                            ,APPLIED MATHEMATICS                                                                                                     ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PHILOSOPHY                                                                                                              ,HISTORY                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PHYSICS                                                                                                                 ,Did not graduate by Summer 23,Fall 1 to Degree,<10
18F,2018-19,Freshman,PHYSIOLOGICAL SCIENCE                                                                                                   ,"ECOLOGY, BEHAVIOR, AND EVOLUTION                                                                                        ",Fall 1 to Degree,<10
18F,2018-19,Freshman,ENVIRONMENTAL SCIENCE                                                                                                   ,CHICANA AND CHICANO STUDIES                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ENVIRONMENTAL SCIENCE                                                                                                   ,"ECOLOGY, BEHAVIOR, AND EVOLUTION                                                                                        ",Fall 1 to Degree,<10
18F,2018-19,Freshman,ENVIRONMENTAL SCIENCE                                                                                                   ,HISTORY                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,EUROPEAN LANGUAGES AND TRANSCULTURAL STUDIES WITH GERMAN                                                                ,Did not graduate by Summer 23,Fall 1 to Degree,<10
18F,2018-19,Freshman,HISTORY                                                     ,HISTORY                                                                                                                 ,Fall 1 to Degree,20
18F,2018-19,Freshman,HUMAN BIOLOGY AND SOCIETY - BS                              ,HUMAN BIOLOGY AND SOCIETY - BS                                                                                          ,Fall 1 to Degree,50
18F,2018-19,Freshman,LINGUISTICS AND ENGLISH                                                                                                 ,Did not graduate by Summer 23,Fall 1 to Degree,<10
18F,2018-19,Freshman,LINGUISTICS AND PSYCHOLOGY                                                                                              ,Did not graduate by Summer 23,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATERIALS ENGINEERING                                                                                                   ,COMPUTER SCIENCE                                                                                                        ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS                                                 ,BUSINESS ECONOMICS                                                                                                      ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS                                                 ,ECONOMICS                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS                                                 ,GEOPHYSICS                                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS FOR TEACHING                                    ,HISTORY                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS FOR TEACHING                                    ,MATHEMATICS FOR TEACHING                                                                                                ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS OF COMPUTATION                                  ,MATHEMATICS OF COMPUTATION                                                                                              ,Fall 1 to Degree,24
18F,2018-19,Freshman,MATHEMATICS/ECONOMICS                                       ,COGNITIVE SCIENCE                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MATHEMATICS/ECONOMICS                                       ,PHYSICS                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MECHANICAL ENGINEERING                                                                                                  ,COMPUTER ENGINEERING                                                                                                    ,Fall 1 to Degree,<10
18F,2018-19,Freshman,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS            ",COMPUTATIONAL AND SYSTEMS BIOLOGY                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS            ",MATHEMATICS                                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,MUSICOLOGY                                                                                                              ,BUSINESS ECONOMICS                                                                                                      ,Fall 1 to Degree,<10
18F,2018-19,Freshman,NEUROSCIENCE                                                                                                            ,POLITICAL SCIENCE                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,NEUROSCIENCE                                                                                                            ,STATISTICS AND DATA SCIENCE                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,NURSING-PRELICENSURE                                                                                                    ,NURSING-PRELICENSURE                                                                                                    ,Fall 1 to Degree,43
18F,2018-19,Freshman,PHYSICS                                                                                                                 ,BIOCHEMISTRY                                                                                                            ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PHYSICS                                                                                                                 ,ENVIRONMENTAL SCIENCE                                                                                                   ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PHYSICS                                                                                                                 ,HISTORY                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PHYSICS                                                                                                                 ,MATHEMATICS/ECONOMICS                                                                                                   ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PHYSIOLOGICAL SCIENCE                                                                                                   ,ANTHROPOLOGY                                                                                                            ,Fall 1 to Degree,<10
18F,2018-19,Freshman,POLITICAL SCIENCE                                           ,NEUROSCIENCE                                                                                                            ,Fall 1 to Degree,<10
18F,2018-19,Freshman,SOCIOLOGY                                                   ,SPANISH AND LINGUISTICS                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PSYCHOBIOLOGY                                               ,ENVIRONMENTAL SCIENCE                                                                                                   ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PSYCHOBIOLOGY                                               ,SOCIOLOGY                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,PSYCHOLOGY                                                  ,BIOLOGY                                                                                                                 ,Fall 1 to Degree,<10
