word,female,male,difference,difference_abs,POLARITY VALUE,POLARITY INTENSITY,POS
scheduled,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.855,ADJ
soul,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,negative,-0.925,NOUN
clarity,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.925,NOUN
discouraged,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,negative,-0.444,VERB
instruction,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.182,NOUN
clarification,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.994,NOUN
education,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.798,NOUN
confusion,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,negative,-0.329,NOUN
presentation,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.627,NOUN
disorganized,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,negative,-0.815,VERB
brain,0.02090628756598547,0.0,-0.02090628756598547,0.02090628756598547,positive,0.813,NOUN
wish,0.057492290806460046,0.03694429621115718,-0.02054799459530287,0.02054799459530287,positive,0.883,NOUN
needed,0.057492290806460046,0.03694429621115718,-0.02054799459530287,0.02054799459530287,positive,0.837,VERB
heavy,0.057492290806460046,0.03694429621115718,-0.02054799459530287,0.02054799459530287,positive,0.309,ADJ
guide,0.057492290806460046,0.03694429621115718,-0.02054799459530287,0.02054799459530287,positive,0.814,ADJ
meaning,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.88,VERB
alone,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,negative,-0.922,ADV
angel,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.225,ADJ
create,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.879,NOUN
highest,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.786,ADJ
molecular,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,negative,-0.255,ADJ
leniently,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.871,ADV
proposal,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.544,NOUN
fulfill,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.911,ADJ
highlight,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.863,VERB
irrelevant,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,negative,-0.831,ADJ
ok,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.597,ADJ
king,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.872,NOUN
silly,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.889,ADV
imagine,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.92,ADJ
listed,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,negative,-0.77,VERB
force,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.846,NOUN
minimum,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.852,ADJ
ace,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.779,NOUN
accommodate,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.497,NOUN
challenged,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,negative,-0.656,VERB
mindset,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.12,NOUN
policy,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,negative,-0.828,NOUN
forgot,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,negative,-0.81,VERB
present,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.857,ADJ
brings,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.855,NOUN
deal,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.116,NOUN
respect,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.659,NOUN
circumstances,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.88,NOUN
hosted,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.815,VERB
master,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.82,NOUN
synthesis,0.0,0.02052460900619843,0.02052460900619843,0.02052460900619843,positive,0.88,NOUN
show,0.057492290806460046,0.07799351422355405,0.020501223417094004,0.020501223417094004,positive,0.996,NOUN
within,0.03658600324047458,0.016419687204958747,-0.02016631603551583,0.02016631603551583,positive,0.916,ADP
pointless,0.03658600324047458,0.016419687204958747,-0.02016631603551583,0.02016631603551583,negative,-0.932,ADJ
luckily,0.03658600324047458,0.016419687204958747,-0.02016631603551583,0.02016631603551583,positive,0.853,ADV
suggest,0.03658600324047458,0.016419687204958747,-0.02016631603551583,0.02016631603551583,positive,0.302,VERB
add,0.03658600324047458,0.016419687204958747,-0.02016631603551583,0.02016631603551583,positive,0.752,ADJ
skim,0.02090628756598547,0.04104921801239686,0.02014293044641139,0.02014293044641139,positive,0.896,NOUN
stay,0.04181257513197094,0.0615738270185953,0.019761251886624358,0.019761251886624358,negative,-0.586,VERB
board,0.05226571891496368,0.03283937440991749,-0.019426344505046184,0.019426344505046184,positive,0.826,NOUN
correct,0.05226571891496368,0.03283937440991749,-0.019426344505046184,0.019426344505046184,positive,0.834,NOUN
struggle,0.0313594313489782,0.012314765403719058,-0.019044665945259144,0.019044665945259144,negative,-0.889,VERB
positive,0.0313594313489782,0.012314765403719058,-0.019044665945259144,0.019044665945259144,positive,0.535,ADJ
manual,0.0313594313489782,0.012314765403719058,-0.019044665945259144,0.019044665945259144,positive,0.862,ADJ
reader,0.02613285945748184,0.04515413981363655,0.01902128035615471,0.01902128035615471,positive,0.754,NOUN
issues,0.02613285945748184,0.04515413981363655,0.01902128035615471,0.01902128035615471,negative,-0.789,NOUN
understanding,0.19860973187686196,0.21756085546570336,0.018951123588841406,0.018951123588841406,positive,0.768,VERB
science,0.06794543458945278,0.04925906161487623,-0.018686372974576544,0.018686372974576544,positive,0.806,NOUN
helps,0.04703914702346731,0.06567874881983499,0.01863960179636768,0.01863960179636768,positive,0.992,VERB
see,0.10453143782992735,0.1231476540371906,0.01861621620726324,0.01861621620726324,positive,0.996,VERB
god,0.0313594313489782,0.04925906161487623,0.017899630265898032,0.017899630265898032,positive,0.842,ADJ
fair,0.23519573511733655,0.21756085546570336,-0.017634879651633184,0.017634879651633184,positive,0.925,ADJ
favorite,0.05226571891496368,0.06978367062107467,0.017517951706110993,0.017517951706110993,positive,0.792,ADJ
addition,0.04181257513197094,0.024629530807438117,-0.017183044324532822,0.017183044324532822,positive,0.759,NOUN
poorly,0.04181257513197094,0.024629530807438117,-0.017183044324532822,0.017183044324532822,negative,-0.878,ADV
trick,0.0156797156744891,0.03283937440991749,0.017159658735428393,0.017159658735428393,negative,-0.488,ADJ
critical,0.0156797156744891,0.03283937440991749,0.017159658735428393,0.017159658735428393,negative,-0.174,ADJ
unnecessary,0.0156797156744891,0.03283937440991749,0.017159658735428393,0.017159658735428393,negative,-0.874,ADJ
challenge,0.0156797156744891,0.03283937440991749,0.017159658735428393,0.017159658735428393,positive,0.8,NOUN
waste,0.0783985783724455,0.0615738270185953,-0.016824751353850205,0.016824751353850205,negative,-0.451,NOUN
insane,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.836,NOUN
consider,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.247,VERB
connect,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.463,ADJ
ego,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,negative,-0.807,NOUN
forced,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,negative,-0.961,VERB
legend,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.811,ADJ
pop,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.846,NOUN
gem,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.994,NOUN
philosophy,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,negative,-0.862,NOUN
difficulties,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,negative,-0.832,NOUN
anatomy,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.873,VERB
scared,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,negative,-0.51,ADJ
disc,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.851,NOUN
earn,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.17,VERB
encouraging,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.989,VERB
decide,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.168,NOUN
creates,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.809,NOUN
aware,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.155,VERB
obvious,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,negative,-0.792,ADJ
game,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.268,NOUN
unit,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.141,NOUN
nuclear,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,negative,-0.326,ADJ
mini,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.812,NOUN
relatable,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.391,ADJ
retake,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,negative,-0.809,NOUN
overview,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.829,NOUN
hesitate,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,negative,-0.839,NOUN
caught,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,negative,-0.041,VERB
knowledgable,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.914,ADJ
weird,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,negative,-0.76,ADJ
alright,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.65,ADJ
function,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,negative,-0.827,NOUN
trouble,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,negative,-0.829,NOUN
asleep,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,negative,-0.823,ADJ
crucial,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.825,ADJ
promise,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.292,NOUN
upper,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.123,ADJ
literature,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.825,NOUN
nature,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.973,NOUN
justice,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.95,NOUN
skip,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,negative,-0.857,NOUN
scored,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.892,VERB
bringing,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.824,VERB
fault,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,negative,-0.629,ADJ
standard,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.153,ADJ
circuit,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,negative,-0.768,NOUN
significant,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.286,ADJ
sell,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.907,NOUN
encourage,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.845,VERB
reputation,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.815,NOUN
vocab,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.449,NOUN
limited,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,negative,-0.63,VERB
flexible,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.89,ADJ
cheap,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,negative,-0.88,ADJ
compassionate,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,positive,0.66,NOUN
downside,0.0,0.016419687204958747,0.016419687204958747,0.016419687204958747,negative,-0.78,NOUN
knowledge,0.09407829404693462,0.07799351422355405,-0.016084779823380566,0.016084779823380566,positive,0.801,NOUN
ideas,0.03658600324047458,0.02052460900619843,-0.016061394234276147,0.016061394234276147,positive,0.991,NOUN
receive,0.03658600324047458,0.02052460900619843,-0.016061394234276147,0.016061394234276147,positive,0.845,VERB
trust,0.03658600324047458,0.02052460900619843,-0.016061394234276147,0.016061394234276147,positive,0.659,NOUN
missed,0.02090628756598547,0.03694429621115718,0.016038008645171707,0.016038008645171707,negative,-0.865,VERB
hope,0.02090628756598547,0.03694429621115718,0.016038008645171707,0.016038008645171707,positive,0.66,NOUN
yell,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.66,NOUN
stresses,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.208,VERB
draw,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.262,ADJ
wrap,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.836,NOUN
varied,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.852,VERB
adequately,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.861,ADV
bottom,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.937,ADJ
figuring,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.823,VERB
senate,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.811,ADJ
maximum,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.821,ADJ
satisfy,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.89,NOUN
tool,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.814,NOUN
continue,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.136,VERB
conclusion,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.874,NOUN
visualize,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.887,NOUN
mastery,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.849,NOUN
convenient,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.831,NOUN
engineer,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.84,NOUN
electric,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.872,ADJ
notation,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.957,NOUN
raise,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.586,NOUN
freaked,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.771,VERB
prefer,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.447,VERB
questioning,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.189,VERB
nervous,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.868,ADJ
thrown,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.798,ADJ
criticism,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.849,NOUN
build,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.853,VERB
hurt,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.999,VERB
flaws,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.281,ADJ
ease,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.329,NOUN
convoluted,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.469,VERB
power,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.889,NOUN
unhelpful,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.925,ADJ
ethical,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.835,ADJ
eventually,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.825,ADV
released,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.865,VERB
remote,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.794,ADJ
submission,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.28,NOUN
guard,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.55,NOUN
repeat,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.823,NOUN
die,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.959,NOUN
screwed,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.773,VERB
distracting,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.847,VERB
dedication,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.659,NOUN
intelligent,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.798,NOUN
shut,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.324,ADJ
comment,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.608,NOUN
heart,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.835,NOUN
surface,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.292,NOUN
disability,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.843,NOUN
leading,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.871,VERB
perspective,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.872,ADJ
collaboration,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.607,NOUN
gripe,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.944,NOUN
highschool,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.133,NOUN
rude,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.831,VERB
statistical,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,positive,0.841,ADJ
amid,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.816,ADP
trauma,0.0156797156744891,0.0,-0.0156797156744891,0.0156797156744891,negative,-0.836,ADJ
taught,0.10975800972142372,0.09441320142851278,-0.015344808292910933,0.015344808292910933,positive,0.852,NOUN
bother,0.0313594313489782,0.016419687204958747,-0.014939744144019454,0.014939744144019454,negative,-0.318,ADV
cumulative,0.0313594313489782,0.016419687204958747,-0.014939744144019454,0.014939744144019454,positive,0.837,ADJ
understands,0.0313594313489782,0.016419687204958747,-0.014939744144019454,0.014939744144019454,positive,0.884,NOUN
agree,0.0313594313489782,0.016419687204958747,-0.014939744144019454,0.014939744144019454,positive,0.022,VERB
incredible,0.02613285945748184,0.04104921801239686,0.014916358554915021,0.014916358554915021,positive,0.827,ADJ
glad,0.02613285945748184,0.04104921801239686,0.014916358554915021,0.014916358554915021,positive,0.625,ADJ
lenient,0.02613285945748184,0.04104921801239686,0.014916358554915021,0.014916358554915021,positive,0.993,NOUN
early,0.04703914702346731,0.03283937440991749,-0.014199772613549815,0.014199772613549815,positive,0.246,ADV
stressful,0.02613285945748184,0.012314765403719058,-0.01381809405376278,0.01381809405376278,negative,-0.3,ADJ
catch,0.02613285945748184,0.012314765403719058,-0.01381809405376278,0.01381809405376278,positive,0.178,NOUN
dense,0.02613285945748184,0.012314765403719058,-0.01381809405376278,0.01381809405376278,positive,0.159,NOUN
lucky,0.02613285945748184,0.012314765403719058,-0.01381809405376278,0.01381809405376278,positive,0.79,ADJ
forget,0.02613285945748184,0.012314765403719058,-0.01381809405376278,0.01381809405376278,negative,-0.841,NOUN
testing,0.0313594313489782,0.04515413981363655,0.01379470846465835,0.01379470846465835,negative,-0.823,VERB
chance,0.05226571891496368,0.06567874881983499,0.01341302990487131,0.01341302990487131,positive,0.889,NOUN
wrong,0.05226571891496368,0.06567874881983499,0.01341302990487131,0.01341302990487131,negative,-0.46,ADJ
hard,0.5592431923901113,0.5459545995648782,-0.013288592825233092,0.013288592825233092,negative,-0.188,ADJ
end,0.156797156744891,0.14367226304338904,-0.013124893701501966,0.013124893701501966,negative,-0.485,NOUN
crazy,0.04181257513197094,0.028734452608677807,-0.013078122523293132,0.013078122523293132,positive,0.848,NOUN
chat,0.0156797156744891,0.028734452608677807,0.013054736934188706,0.013054736934188706,positive,0.874,PRON
ridiculous,0.0156797156744891,0.028734452608677807,0.013054736934188706,0.013054736934188706,negative,-0.949,ADJ
missing,0.0156797156744891,0.028734452608677807,0.013054736934188706,0.013054736934188706,negative,-0.81,VERB
enthusiastic,0.0156797156744891,0.028734452608677807,0.013054736934188706,0.013054736934188706,positive,0.842,ADJ
pain,0.0156797156744891,0.028734452608677807,0.013054736934188706,0.013054736934188706,negative,-0.822,NOUN
tedious,0.0156797156744891,0.028734452608677807,0.013054736934188706,0.013054736934188706,negative,-0.848,ADJ
joke,0.0156797156744891,0.028734452608677807,0.013054736934188706,0.013054736934188706,negative,-0.786,NOUN
intense,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.778,ADJ
advance,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.861,NOUN
sad,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.549,ADJ
communicate,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.208,NOUN
mastered,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.854,VERB
tremendously,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.844,ADV
individually,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.844,ADV
haha,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.924,ADJ
presence,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.883,NOUN
perfectly,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.863,ADV
ride,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.796,ADV
unpredictable,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.755,ADJ
brought,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.792,VERB
beast,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.853,NOUN
horribly,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.619,ADV
timed,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.76,VERB
challenges,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.792,NOUN
briefly,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.768,VERB
objects,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.84,NOUN
wow,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.786,VERB
necessarily,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.895,ADV
utmost,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.891,ADJ
plug,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.789,NOUN
fuck,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.832,NOUN
gained,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.981,VERB
unique,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.796,ADJ
familiar,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.66,ADJ
hypothetical,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.834,ADJ
rare,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.836,ADJ
concrete,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.986,NOUN
stellar,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.862,ADJ
improve,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.895,VERB
theoretical,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.884,ADJ
properly,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.905,ADV
exaggerate,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.43,ADJ
fashion,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.826,NOUN
charge,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.84,NOUN
social,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.879,ADJ
hilarious,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.684,ADJ
perform,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.883,NOUN
underestimate,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.509,ADJ
calculation,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.935,NOUN
capable,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.822,ADJ
rewarding,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.964,VERB
unfair,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.837,ADJ
balance,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.841,NOUN
hell,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.931,NOUN
python,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.219,NOUN
refer,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.776,VERB
incorporate,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.79,NOUN
cancelled,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.877,VERB
crunch,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.849,ADJ
models,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.829,NOUN
limit,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.858,VERB
blank,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.767,ADJ
draft,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.807,NOUN
chug,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.81,NOUN
beneficial,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.544,ADJ
importance,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.378,NOUN
hold,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.858,NOUN
lazy,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.775,ADJ
leeway,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.813,ADV
purely,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.817,ADV
emphasize,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,negative,-0.897,ADJ
advise,0.0,0.012314765403719058,0.012314765403719058,0.012314765403719058,positive,0.797,NOUN
