"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"ECON 41 - PONOMAREV, K.",0.116,0.14,0.099,0.182,0.107,0.124,0.041,0.041,0.083,0.066,NA,NA,NA
"ECON 41 - XU, Z.",0.2,0.305,0.095,0.124,0.067,0.067,0.01,NA,0.133,NA,NA,NA,NA
"ECON 5 - OSEI TWUMASI, O.I.",0.308,0.115,0.327,0.077,0.019,0.058,NA,NA,0.019,NA,NA,NA,0.038
"EDUC 120 - CORTES, A.E.",0.316,0.263,0.237,0.079,NA,0.053,NA,NA,NA,NA,NA,NA,0.026
"EDUC 127 - MITCHELL, K.",0.773,0.091,0.091,NA,NA,0.045,NA,NA,NA,NA,NA,NA,NA
"EDUC 129 - PURDY, W.C.",0.778,NA,NA,NA,NA,0.167,NA,NA,NA,NA,NA,NA,0.056
"EDUC 133 - BLACKSTOCK-BERNSTE",0.286,0.143,0.238,NA,0.048,0.143,0.048,NA,NA,NA,NA,NA,NA
"EDUC 187 - HUH, C.R.",0.591,0.273,NA,NA,NA,0.091,NA,NA,0.045,NA,NA,NA,NA
"EDUC 187 - OMWAMI, E.S.",0.684,NA,0.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 191A - HARRISON, O.C.",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 191C - HARRISON, O.C.",NA,0.1,NA,0.1,NA,0.4,NA,0.1,NA,NA,0.1,NA,NA
"EDUC 405A - KIM, J.W.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 406 - LOPEZ, E.F.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 409 - MITCHELL, K.",0.733,NA,0.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 412 - SAX, L.J.",0.867,NA,0.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 413A - NAVARRO, B.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 413B - CHEN, M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 413C - ISKEN, J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 414A - HARRIS, J.C.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 414E - SEPLOW, S.L.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 425 - RAFI, F.H.",0.933,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 443 - COOPER, R.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 448A - FRANKE, M.L.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 448A - ROGERS, J.S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 470A - LONON, E.",0.933,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 596 - HIPOLITO, E.D.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 92F - AMAH, I.A.",0.954,0.021,NA,NA,NA,0.015,0.01,NA,NA,NA,NA,NA,NA
"EDUC 98 - TUNSTALL, J.D.",0.229,0.257,0.2,0.114,NA,0.171,NA,NA,0.029,NA,NA,NA,NA
"EDUC M102 - DEL REAL VIRAMONTE",0.75,0.071,0.107,0.036,NA,NA,NA,NA,NA,NA,NA,NA,0.036
"EDUC M103 - HUH, C.R.",0.556,0.278,NA,NA,NA,0.167,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 109 - KANE, T.L.",0.588,0.079,0.053,0.07,0.026,0.061,NA,NA,0.044,NA,NA,NA,NA
"EE BIOL 109L - KANE, T.L.",0.684,0.053,0.105,0.053,0.053,0.053,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 109L - KANE, T.L. LEC 2",0.75,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 109L - KANE, T.L. LEC 3",0.737,NA,0.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 109L - KANE, T.L. LEC 4",0.923,NA,NA,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 111 - GORLITSKY, L.E.",0.146,0.195,0.024,0.195,0.098,0.195,0.073,NA,NA,NA,0.024,NA,NA
"EE BIOL 115 - DINES, J.P.",0.55,0.075,0.2,0.075,NA,0.025,0.05,NA,0.025,NA,NA,NA,NA
"EE BIOL 116 - GORLITSKY, L.E.",0.368,0.412,0.029,0.015,NA,0.147,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 120 - GORLITSKY, L.E.",0.225,0.5,0.05,NA,0.025,0.15,0.025,NA,0.025,NA,NA,NA,NA
"EE BIOL 144 - MARCOT, J.D.",0.818,0.068,NA,0.068,NA,0.023,NA,NA,NA,0.023,NA,NA,NA
"EE BIOL 156 - ALFARO, M.E.",0.211,0.132,0.342,0.026,NA,0.132,0.053,NA,0.026,0.026,NA,NA,NA
"EE BIOL 162 - SACK, L.",0.167,0.033,0.7,0.033,NA,NA,0.017,NA,NA,NA,NA,NA,NA
"EE BIOL 162L - SACK, L.",0.105,0.053,0.789,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 162L - SACK, L. LEC 2",0.3,0.05,0.4,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 1 - DICKEY, D.",0.067,0.267,NA,0.133,NA,0.533,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - AVILES, G.G.",0.421,0.053,0.474,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - BALL, J.G.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - BOYD, H.R.",0.55,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - LIVESCU, S.L.",0.45,0.15,NA,0.1,NA,0.3,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - LOPEZ, E.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - RODRIGUEZ DRISSI,",0.474,0.158,0.316,NA,NA,NA,NA,NA,NA,0.053,NA,NA,NA
"ENGCOMP 100W - SANCHEZ LOPEZ, L.E",0.944,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - SHAW, C.D.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - TERRANCE, L.",0.476,0.143,0.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - VINCENT, D.O.",0.6,0.15,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 131B - HITCHNER, T.A.",0.611,0.222,NA,NA,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 131B - JULIANO, L.M.",0.25,0.062,0.438,0.125,NA,0.062,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 180 - NEWBY, A.",0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 2 - MARTINEZ, A.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 2 - POSTON, L.D.",0.231,0.154,NA,0.308,0.154,0.154,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 2 - SAMUELSON, M.G.",0.4,0.1,NA,0.1,NA,0.2,NA,NA,NA,NA,NA,NA,0.1
"ENGCOMP 2 - SAMUELSON, M.G. LEC 2",0.182,0.273,NA,NA,0.091,0.364,NA,NA,0.091,NA,NA,NA,NA
"ENGCOMP 3 - DICKEY, D.",0.133,0.467,NA,0.067,NA,0.267,NA,NA,NA,NA,0.067,NA,NA
"ENGCOMP 3 - ENCINAS, A.",0.105,0.158,NA,0.263,NA,0.474,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - HYLAND, L.",0.111,0.111,0.5,0.111,NA,0.111,NA,NA,0.056,NA,NA,NA,NA
"ENGCOMP 3 - JOHNSON, D.",0.2,0.333,NA,0.067,0.2,0.2,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - LEHMAN, P.J.",0.333,0.267,NA,0.067,0.067,0.267,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - MENDOZA, R.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - MOE, M.L.",0.35,0.3,NA,NA,0.1,0.2,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - POPHAM, S.A.",0.25,0.083,NA,NA,0.25,0.083,0.083,NA,0.083,NA,NA,0.083,NA
"ENGCOMP 3 - SCICLUNA, M.A.",0.118,0.294,NA,0.176,NA,0.412,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - STEINBERG, S.K.",0.947,NA,NA,NA,NA,NA,NA,0.053,NA,NA,NA,NA,NA
"ENGCOMP 3 - SUSSMAN, D.B.",0.684,0.211,0.053,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - VINCENT, D.O.",0.786,0.071,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - WAGNER, P.J.",0.385,0.154,NA,0.154,0.077,0.231,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 50 - SHERWOOD, L.A.",0.85,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 50 - VINCENT, D.O.",0.9,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,0.05
"ENGCOMP 5W - CREESE, R.A.",0.667,0.167,NA,0.056,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 5W - CREESE, R.A. LEC 3",0.462,0.308,NA,NA,NA,0.077,NA,NA,NA,NA,NA,NA,0.077
"ENGL 115A - ZIRULNIK, M.A.",0.564,0.205,NA,NA,NA,0.026,NA,NA,NA,NA,NA,NA,0.051
"ENGL 118E - HORNBY, L.E.",0.958,NA,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 119 - HUEHLS, M.A.",0.353,0.353,0.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 119 - STEFANS, B.K.",0.171,0.057,0.486,0.029,0.029,0.086,NA,NA,NA,NA,NA,NA,NA
"ENGL 129 - SNELSON, D.S.",0.742,NA,0.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.065
"ENGL 149 - MOTT, C.M.",0.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045
"ENGL 150C - LITTLE, A.L.",0.229,0.188,0.083,0.146,0.042,0.146,0.021,NA,NA,NA,NA,NA,NA
"ENGL 163C - STEPHAN, M.",0.109,0.239,NA,0.217,0.022,0.239,NA,NA,0.065,NA,NA,NA,0.022
"ENGL 170A - SALWAY, M.C.",0.05,0.1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 20W - GOYAL, Y.",0.55,0.35,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA
"ENGL 20W - GOYAL, Y. LEC 2",0.857,NA,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 20W - GOYAL, Y. LEC 3",0.526,NA,0.316,0.105,NA,NA,NA,NA,0.053,NA,NA,NA,NA
"ENGL 4W - GOYAL, Y.",0.737,0.105,0.053,NA,NA,NA,NA,0.053,NA,NA,NA,NA,0.053
"ENGL 4W - GOYAL, Y. LEC 2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 4W - GOYAL, Y. LEC 3",0.579,0.105,NA,0.105,0.105,0.053,0.053,NA,NA,NA,NA,NA,NA
"ENGL 4W - GOYAL, Y. LEC 4",0.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056
"ENGL 90 - LITTLE, A.L.",0.391,0.13,0.261,0.087,NA,NA,NA,NA,NA,NA,NA,0.043,0.043
"ENGL M103 - DELCHAMPS, V.P.",0.375,0.188,0.312,0.062,NA,NA,NA,0.062,NA,NA,NA,NA,NA
"ENGL M105A - LOPEZ, M.K.",0.208,0.25,0.042,0.042,0.042,0.125,NA,NA,NA,NA,NA,NA,0.083
"ENGL M107B - MARCHANT, E.A.",0.091,NA,0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL M138 - EKIMYAN, H.",0.35,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL M138 - GROBEL, L.M.",0.667,0.056,0.167,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 110 - BULU-TACIROGLU, M.",0.691,0.191,NA,NA,0.015,0.074,NA,NA,NA,NA,0.015,NA,NA
"ENGR 111 - BULU-TACIROGLU, M.",0.552,0.207,0.017,0.017,NA,0.086,NA,NA,NA,NA,NA,NA,NA
"ENGR 116 - DOLECEK, L.",0.188,0.438,0.062,NA,NA,0.312,NA,NA,NA,NA,NA,NA,NA
"ENGR 163 - ROSTAMIAN, F.D.",0.4,0.2,0.2,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"ENGR 183EW - BROWNE, D.G.",0.44,0.154,0.165,0.082,0.011,0.06,0.011,NA,0.005,NA,NA,NA,0.005
"ENGR 195 - WESEL, R.D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 195 - WESEL, R.D. LEC 2",0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 20 - DOUGLAS, C.E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 203 - SILVERMAN, S.J.",0.7,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 206 - KUNG, K.C.",0.875,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 21 - DOUGLAS, C.E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 211 - BULU-TACIROGLU, M.",0.556,0.056,0.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 22 - DOUGLAS, C.E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 96C - KAISER, W.J.",0.143,0.143,0.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 96C - KAISER, W.J. LEC 2",0.316,0.211,0.368,0.053,NA,0.053,NA,NA,NA,NA,NA,NA,NA
"ENV HLT 100 - COLE, B.L.",0.786,NA,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVIRON 163 - GIOTTONINI BADILLA",0.444,0.111,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVIRON 25 - BASSETT, J.C.",0.892,0.036,NA,NA,NA,0.036,NA,NA,NA,NA,NA,NA,0.012
"ENVIRON M132 - BENDER, C.T.",0.8,0.05,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA
"ENVIRON M153 - WELLS, W.R.",0.967,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVIRON M164 - GARRISON, N.J.",0.3,0.267,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA
"ENVIRON M167 - KUKLOWSKY, C.H.",0.692,0.077,0.154,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EPIDEM 100 - HECK, J.E.",0.259,0.306,0.012,0.082,0.071,0.141,0.012,NA,0.035,NA,NA,NA,NA
"EPS SCI 1 - ESPOSITO, R.",0.591,0.091,0.182,NA,NA,NA,0.045,0.045,NA,NA,NA,NA,NA
"EPS SCI 121F - YIN, A.",0.273,0.182,0.182,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EPS SCI 15 - DRAKE, J.",0.447,0.158,0.132,0.026,NA,0.158,0.026,NA,NA,NA,NA,NA,0.026
"EPS SCI 16 - PARISI, A.F.",NA,0.037,0.222,0.111,0.037,NA,0.111,NA,NA,NA,NA,NA,NA
"EPS SCI 9 - RUBIN, A.E.",0.316,NA,0.158,0.105,NA,0.211,NA,0.053,NA,NA,NA,NA,0.053
"ESL 25 - KELLEY, J.C.",0.167,NA,0.583,NA,NA,NA,0.083,NA,NA,NA,NA,NA,0.083
"ETHNMUS 168A - LI, C.",0.9,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 168F - KAUSHAL, A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 30 - RORKE, C.M.",0.375,0.125,0.125,0.125,NA,0.125,NA,NA,NA,NA,NA,NA,0.062
"ETHNMUS M108A - FRANCISCO CRISTOBA",0.182,NA,0.727,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS M119 - AVIDAN, L.J.",0.5,0.182,0.182,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS M25 - STUPARITZ, O.G.",0.364,0.182,NA,NA,NA,0.091,NA,0.091,NA,NA,NA,NA,0.091
"ETHNMUS M50A - RIVERA, A.",NA,0.091,0.727,NA,NA,0.182,NA,NA,NA,NA,NA,NA,NA
"FILM TV 101A - HAIGH, B.P.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 101A - MALONE, M.E.",0.267,0.267,0.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 101A - VANGELLOW, L.V.",0.56,0.04,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 101A - VANGELLOW, L.V. LEC 3",0.4,0.1,0.3,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA
"FILM TV 114 - WUEST, B.G.",0.346,0.09,0.423,0.026,NA,0.051,NA,NA,NA,NA,NA,NA,NA
"FILM TV 122D - GLIENKE, K.J.",0.327,0.077,0.462,0.019,NA,0.038,0.038,0.019,NA,NA,NA,NA,0.019
"FILM TV 122D - LENART, L.E.",0.667,0.167,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 122D - SMALLEY, K.L.",0.5,NA,0.3,NA,NA,NA,NA,NA,0.1,NA,0.1,NA,NA
"FILM TV 122D - WILSON, B.D.",0.5,0.071,0.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 122E - BURTNETT, S.S.",0.459,0.108,0.243,0.027,NA,NA,0.027,NA,NA,NA,NA,NA,0.027
"FILM TV 122E - BURTNETT, S.S. LEC 2",0.36,0.12,0.28,0.08,NA,0.08,0.04,NA,NA,NA,NA,NA,NA
"FILM TV 122E - CANNON, P.J.",NA,NA,0.8,NA,NA,NA,0.1,0.1,NA,NA,NA,NA,NA
"FILM TV 122E - CANNON, P.J. LEC 5",NA,NA,0.917,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"FILM TV 122J - BECK, J.A.",0.165,0.051,0.734,0.013,NA,0.038,NA,NA,NA,NA,NA,NA,NA
"FILM TV 122J - BECK, J.A. LEC 2",0.448,0.448,0.034,NA,NA,0.034,NA,NA,NA,NA,NA,NA,NA
"FILM TV 122M - KELLY, R.M.",0.565,NA,0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043
"FILM TV 122M - KELLY, R.M. LEC 4",0.3,0.05,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05
"FILM TV 122M - KELLY, R.M. LEC 5",0.682,0.045,0.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 122M - KELLY, R.M. LEC 6",0.222,NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 122M - MCMUNN, J.R.",0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083
"FILM TV 146 - BOYLE, B.",0.435,0.043,0.043,0.043,NA,0.261,NA,NA,NA,0.043,NA,NA,0.043
"FILM TV 146 - BOYLE, B. LEC 2",0.2,0.1,0.35,0.15,NA,0.1,0.05,NA,NA,NA,0.05,NA,NA
"FILM TV 178 - FINELL, M.A.",0.8,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,0.1
"FILM TV 178 - FINELL, M.A. LEC 3",0.917,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 178 - ISENBERG, C.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 180A - WARD, D.A.",0.333,0.067,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 180B - BARNES, J.C.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 183A - CRESWICK, A.",0.167,0.167,0.5,0.111,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"FILM TV 183A - FRANKLIN, A.S.",0.92,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 183A - LIEBING, H.",0.071,NA,0.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 183B - LIEBING, H.",0.1,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 183C - LIEBING, H.",NA,NA,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 188A - GOLDSMITH, J.L.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 188A - SIARA, J.E.",0.583,NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083
"FILM TV 195 - FRANKLIN, A.S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 221 - SAMPSON, B.N.",0.579,0.053,0.211,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA
"FILM TV 33 - GRIFFIN, N.E.",0.241,0.138,0.448,NA,0.034,0.069,NA,NA,NA,NA,NA,NA,NA
"FILM TV 33 - HUANG, G.J.",0.213,0.043,0.681,NA,NA,0.021,NA,NA,NA,NA,NA,NA,NA
"FILM TV 33 - HUANG, G.J. LEC 3",0.269,0.077,0.192,0.077,0.038,0.077,0.038,NA,NA,NA,NA,NA,0.038
"FILM TV 4 - GREENE, S.M.",0.5,0.077,0.038,0.038,0.038,0.077,NA,NA,0.038,NA,NA,0.038,0.115
"FILM TV 4 - TRICE, J.N.",0.276,0.079,0.512,0.031,0.016,0.016,NA,NA,0.008,NA,NA,NA,0.024
"FILM TV 4 - TRICE, J.N. LEC 4",0.4,0.097,0.286,0.027,0.032,0.054,0.011,0.005,0.005,NA,NA,NA,0.016
"FILM TV 72 - SCHWARTZ, C.N.",0.634,0.317,NA,0.024,NA,0.024,NA,NA,NA,NA,NA,NA,NA
"FILM TV 72 - SCHWARTZ, C.N. LEC 2",0.48,0.32,NA,0.06,NA,0.14,NA,NA,NA,NA,NA,NA,NA
"FILM TV 72 - SCHWARTZ, C.N. LEC 3",0.509,0.245,NA,0.057,0.038,0.094,NA,NA,0.057,NA,NA,NA,NA
"FILM TV 75 - CANNON, P.J.",NA,NA,0.824,NA,0.059,0.118,NA,NA,NA,NA,NA,NA,NA
"FILM TV 84A - MANN, D.R.",0.368,0.105,0.421,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA
"FILM TV 84A - MANN, D.R. LEC 2",0.278,0.167,0.278,0.056,0.056,NA,NA,NA,0.111,NA,NA,NA,NA
"FILM TV 84A - MANN, D.R. LEC 3",0.368,0.158,0.053,NA,0.053,0.053,NA,0.053,0.053,NA,0.105,NA,NA
"FILM TV 84A - WUEST, B.G.",0.32,0.24,0.16,0.04,NA,0.16,0.08,NA,NA,NA,NA,NA,NA
"FILM TV M111 - HANSEN, C.",0.267,0.033,0.633,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"FOOD ST 133W - RENTON, K.E.",0.389,0.167,NA,0.056,0.056,0.056,NA,NA,NA,NA,NA,NA,NA
"FOOD ST 159 - KIM, M.K.",0.267,0.133,NA,0.133,NA,0.067,NA,NA,NA,NA,NA,NA,0.067
"FOOD ST 27 - KIM, M.K.",0.25,0.083,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRNCH 1 - JANSMA, K.",0.222,0.111,0.167,NA,0.111,0.167,NA,NA,NA,NA,NA,NA,NA
"FRNCH 3 - JANSMA, K.",0.368,0.263,NA,0.105,0.053,NA,NA,NA,NA,NA,NA,NA,NA
"FRNCH 41 - JANSMA, K.",0.464,0.143,0.071,0.036,0.036,0.036,NA,NA,0.036,NA,NA,NA,NA
"FRNCH 8 - JANSMA, K.",0.448,0.172,NA,0.069,NA,0.103,0.034,NA,NA,NA,NA,0.034,NA
"GENDER 10 - MAURICIO, D.W.",0.25,0.042,0.562,0.021,NA,0.104,NA,NA,NA,NA,NA,NA,NA
"GENDER 101W - GOEMAN, M.R.",0.294,0.118,0.294,NA,NA,0.294,NA,NA,NA,NA,NA,NA,NA
"GENDER 102 - JADALI, S.",0.296,0.111,0.074,0.074,0.037,0.111,0.037,0.037,0.074,NA,0.037,NA,NA
"GENDER M107B - GUZMAN, J.J.",NA,NA,0.833,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GENDER M111 - HANSEN, C.",0.154,NA,0.731,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"GENDER M133C - DAYTON, E.C.",0.837,NA,NA,0.041,NA,0.041,NA,NA,NA,NA,NA,NA,0.02
"GENDER M162 - COLLETT, J.L.",0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GENDER M174 - COLLETT, J.L.",0.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071
"GEOG 1 - ROBINSON, C.M.",0.394,0.152,0.061,0.091,0.061,0.03,0.03,NA,0.03,NA,NA,NA,NA
"GEOG 125 - LE, T.B.",0.557,0.045,0.352,0.011,NA,0.011,0.011,NA,0.011,NA,NA,NA,NA
"GEOG 156 - ILLES, L.I.",0.233,0.367,NA,0.167,0.033,0.1,0.033,NA,0.033,NA,NA,NA,0.033
"GEOG 167 - OCON, J.P.",0.436,0.255,0.055,0.091,0.055,0.091,0.018,NA,NA,NA,NA,NA,NA
"GEOG 168 - DIMSON, M.J.",0.375,0.25,NA,0.083,NA,0.167,0.021,0.042,0.042,NA,NA,NA,NA
"GEOG 170 - ZHAN, S.",0.647,0.176,NA,0.118,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"GEOG 4 - HAMDAN, A.N.",0.227,0.273,0.045,0.091,0.182,0.091,0.045,NA,NA,NA,NA,NA,NA
"GEOG 5 - GEORGE, J.R.",0.28,0.08,0.373,0.053,0.04,0.053,0.027,NA,0.013,NA,0.013,NA,NA
"GEOG 5 - MILLER, R.",0.22,0.122,0.049,0.146,0.098,0.22,NA,NA,NA,0.024,NA,NA,0.024
"GEOG 6 - BEER, C.M.",0.182,0.273,0.227,0.045,0.091,0.091,NA,NA,0.045,NA,0.045,NA,NA
"GEOG 7 - DIMSON, M.J.",0.391,0.217,0.043,0.065,0.065,0.152,0.011,0.011,NA,NA,NA,NA,NA
"GEOG 7 - SPIVEY, H.D.",0.349,0.209,NA,0.047,0.058,0.174,NA,0.023,0.023,NA,0.012,NA,NA
"GEOG M115 - BENDER, C.T.",0.682,0.136,NA,NA,NA,0.091,NA,NA,0.045,NA,NA,NA,NA
"GEOG M149 - OSMAN, T.",0.16,0.32,0.08,0.16,0.08,0.2,NA,NA,NA,NA,NA,NA,NA
