"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"BIOSTAT 201B - SUGAR, C.A.",0.256,0.179,0.051,0.179,NA,0.282,NA,0.026,NA,NA,NA,NA,0.026
"BIOSTAT 202B - SENTURK, D.",0.364,0.227,0.136,0.136,NA,0.136,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 203B - ZHOU, H.",0.391,0.087,0.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT 250B - WONG, W.",0.7,0.2,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOSTAT M234 - WEISS, R.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMD RES 193H - CLARK, I.E.",0.441,NA,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMD RES 194H - CLARK, I.E.",0.812,NA,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMD RES 5HA - CLARK, I.E.",0.857,0.095,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMD RES 5HB - CLARK, I.E.",0.562,NA,0.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE 102 - BHAGAVATHI KANDY,",0.117,0.065,0.338,0.091,0.091,0.195,0.026,0.013,0.052,0.013,NA,NA,NA
"C&EE 108 - BAUCHY, M.",0.154,0.275,0.374,0.088,0.011,0.077,NA,NA,0.011,NA,0.011,NA,NA
"C&EE 108L - AHLBERG, E.",0.95,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE 121 - HUDSON, M.B.",0.276,0.034,0.034,0.138,0.103,0.276,0.069,NA,0.034,NA,NA,0.034,NA
"C&EE 128L - ESLAMI, M.",0.5,0.167,0.25,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE 135B - GLASSMAN, J.D.",0.436,0.205,0.231,0.051,NA,0.051,NA,NA,0.026,NA,NA,NA,NA
"C&EE 142 - EKWUEME, C.G.",0.122,0.146,NA,0.268,0.098,0.244,0.049,0.073,NA,NA,NA,NA,NA
"C&EE 147 - SABOL, T.A.",0.316,0.316,NA,0.158,0.053,0.053,NA,NA,0.105,NA,NA,NA,NA
"C&EE 151 - GALLIEN, T.",0.3,0.267,0.033,0.2,0.033,0.1,NA,0.067,NA,NA,NA,NA,NA
"C&EE 154 - JAY, J.A.",0.413,0.065,0.37,0.022,0.022,0.109,NA,NA,NA,NA,NA,NA,NA
"C&EE 156B - LAU, S.",0.235,0.412,0.235,0.059,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"C&EE 164 - MOHANTY, S.K.",0.405,0.189,0.324,0.027,NA,0.054,NA,NA,NA,NA,NA,NA,NA
"C&EE 170 - COTUGNO, P.E.",0.358,0.226,0.075,0.075,0.019,0.245,NA,NA,NA,NA,NA,NA,NA
"C&EE 221 - BRANDENBERG, S.J.",0.333,0.167,NA,0.167,0.083,0.25,NA,NA,NA,NA,NA,NA,NA
"C&EE 244 - BURTON, H.J.",0.66,0.213,0.043,NA,NA,0.085,NA,NA,NA,NA,NA,NA,NA
"C&EE 245 - BOZORGNIA, Y.",0.44,0.38,NA,0.02,NA,0.16,NA,NA,NA,NA,NA,NA,NA
"C&EE 246 - WALLACE, J.W.",0.326,0.302,NA,0.023,NA,0.349,NA,NA,NA,NA,NA,NA,NA
"C&EE 250B - YEH, W.W.",0.267,0.333,NA,0.133,NA,0.267,NA,NA,NA,NA,NA,NA,NA
"C&EE 250C - MARGULIS, S.A.",0.385,0.231,0.154,0.077,NA,0.154,NA,NA,NA,NA,NA,NA,NA
"C&EE 255A - JASSBY, D.",0.929,NA,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE 255B - STENSTROM, M.K.",0.643,0.143,0.143,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE 298 - ZHENG, X.",0.583,0.083,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE C104 - FALZONE, G.D.",0.179,0.286,0.321,0.036,NA,0.179,NA,NA,NA,NA,NA,NA,NA
"C&EE M166 - THULSIRAJ, V.",0.514,0.2,NA,0.086,0.114,0.086,NA,NA,NA,NA,NA,NA,NA
"C&S BIO M185 - WOLLMAN, R.",0.431,0.255,0.157,0.02,NA,0.098,NA,NA,0.039,NA,NA,NA,NA
"C&S BIO M186 - DISTEFANO, J.",0.462,0.154,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CESC 151 - OOSTRIK, S.",0.778,0.056,0.111,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CESC 195CE - BARRERA, D.S.",0.545,0.182,0.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CESC 50SL - STAUB, S.D.",0.931,0.01,NA,NA,0.01,0.01,NA,0.01,NA,NA,NA,NA,0.03
"CH ENGR 101B - CHANG, J.P.",0.141,0.118,0.024,0.271,0.176,0.129,0.047,0.035,0.059,NA,NA,NA,NA
"CH ENGR 102A - MANOUSIOUTHAKIS, V",0.275,0.231,0.264,0.066,0.011,0.132,NA,NA,0.022,NA,NA,NA,NA
"CH ENGR 104A - EISLER, C.N.",0.672,0.138,0.052,0.017,0.017,0.086,NA,NA,0.017,NA,NA,NA,NA
"CH ENGR 104C - CHANG, J.P.",0.4,0.3,0.1,0.1,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"CH ENGR 104CL - CHANG, J.P.",0.7,0.1,0.1,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"CH ENGR 107 - CHRISTOFIDES, P.D.",0.229,0.186,NA,0.214,0.057,0.271,0.014,NA,0.029,NA,NA,NA,NA
"CH ENGR 108A - MORALES GUIO, C.G.",0.232,0.232,0.232,0.087,0.043,0.101,NA,0.014,0.058,NA,NA,NA,NA
"CH ENGR 194 - MANOUSIOUTHAKIS, V",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH ENGR 210 - SIMONETTI, D.A.",0.25,0.321,0.107,NA,NA,0.321,NA,NA,NA,NA,NA,NA,NA
"CH ENGR 220 - SRIVASTAVA, S.",0.167,0.267,0.067,0.133,NA,0.367,NA,NA,NA,NA,NA,NA,NA
"CH ENGR 45 - TANG, Y.",0.207,0.146,0.024,0.329,0.049,0.049,0.085,0.061,0.049,NA,NA,NA,NA
"CHEM 110A - FELKER, P.M.",0.192,0.202,0.02,0.121,0.182,0.131,0.04,0.02,0.081,0.01,NA,NA,NA
"CHEM 113A - BRUINSMA, R.F.",0.176,0.137,0.039,0.255,0.118,0.098,0.078,NA,0.098,NA,NA,NA,NA
"CHEM 114 - BAUGH, D.A.",NA,0.35,0.1,0.2,0.05,0.2,0.05,NA,NA,NA,NA,NA,0.05
"CHEM 14A - SCERRI, E.R.",0.293,0.186,0.045,0.109,0.109,0.122,0.072,0.006,0.046,0.004,NA,NA,0.007
"CHEM 14B - COUREY, A.J.",0.677,0.066,0.1,0.057,0.017,0.048,0.013,0.013,0.004,0.004,NA,NA,NA
"CHEM 14B - LAVELLE, L.",0.28,0.217,0.149,0.069,0.063,0.115,0.041,0.032,0.031,0.002,NA,NA,0.002
"CHEM 14BL - CASEY, J.R.",0.876,0.053,NA,0.034,0.007,0.016,0.011,0.002,NA,NA,NA,NA,NA
"CHEM 14C - CASTILLO RODRIGUEZ",0.377,0.197,0.162,0.061,0.046,0.112,0.011,0.004,0.026,NA,NA,NA,0.002
"CHEM 14CL - HENARY, M.M.",0.706,0.109,NA,0.081,0.019,0.066,0.003,NA,0.016,NA,NA,NA,NA
"CHEM 14D - PHAM, H.V.",0.145,0.187,0.21,0.075,0.037,0.107,0.07,0.047,0.056,0.014,0.009,0.028,0.014
"CHEM 14D - REILLY, A.J.",0.173,0.228,0.023,0.13,0.098,0.205,0.036,0.033,0.072,NA,NA,0.003,NA
"CHEM 153A - AWAD, A.M.",0.317,0.215,0.098,0.076,0.052,0.165,0.006,0.02,0.032,0.018,NA,NA,NA
"CHEM 153B - TIENSON-TSENG, H.L",0.535,0.116,NA,0.047,0.023,0.14,NA,0.023,0.093,0.023,NA,NA,NA
"CHEM 153C - GOBER, J.W.",0.34,0.092,NA,0.135,0.078,0.17,0.028,0.035,0.085,NA,NA,0.014,0.021
"CHEM 153L - HONG-HERMESDORF, A",0.445,0.185,NA,0.11,0.034,0.144,0.014,0.014,0.021,0.021,NA,NA,0.014
"CHEM 154 - NAKAMOTO, S.S.",0.171,0.099,NA,0.405,NA,0.009,0.135,0.036,0.135,NA,0.009,NA,NA
"CHEM 166 - CHANFREAU, G.",0.818,0.045,0.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 17 - GOBER, J.W.",0.156,0.299,NA,0.251,0.054,0.21,0.012,NA,0.018,NA,NA,NA,NA
"CHEM 184 - LOO, J.A.",0.417,0.042,NA,0.208,0.042,0.167,0.083,NA,NA,NA,NA,NA,0.042
"CHEM 192E - SHAKED, S.",0.978,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 192F - SHAKED, S.",0.991,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 20A - SCERRI, E.R.",0.243,0.135,0.124,0.065,0.059,0.162,0.07,0.054,0.038,0.027,NA,NA,0.022
"CHEM 20B - BAUGH, D.A.",0.123,0.099,0.049,0.333,0.074,0.074,0.111,0.012,0.099,NA,NA,NA,0.025
"CHEM 20B - BEREN, C.E.",0.22,0.127,0.073,0.152,0.078,0.152,0.077,0.06,0.06,NA,NA,NA,NA
"CHEM 20BH - WEISS, P.S.",0.8,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 20L - PANG, J.W.",0.751,0.033,NA,0.138,0.007,0.048,0.015,0.002,0.007,NA,NA,NA,NA
"CHEM 228 - WEISS, P.S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 244B - HARRAN, P.G.",0.308,0.231,0.077,0.154,NA,0.231,NA,NA,NA,NA,NA,NA,NA
"CHEM 247 - JUNG, M.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 248 - RUBIN, Y.F.",0.2,0.4,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA
"CHEM 257 - REISLER, E.",0.583,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 268 - CLUBB, R.T.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 278 - DUAN, X.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 285 - TOLBERT, S.H.",0.083,0.5,0.083,0.167,NA,0.167,NA,NA,NA,NA,NA,NA,NA
"CHEM 30AL - RUSSELL, A.A.",0.917,0.014,NA,0.056,NA,NA,0.014,NA,NA,NA,NA,NA,NA
"CHEM 30B - PHAM, H.V.",0.191,0.196,0.072,0.057,0.163,0.048,0.067,0.062,0.086,0.01,0.01,0.033,0.005
"CHEM 30BL - REILLY, A.J.",0.518,0.301,NA,0.036,NA,0.145,NA,NA,NA,NA,NA,NA,NA
"CHEM 30C - MERLIC, C.A.",0.26,0.171,0.033,0.089,0.106,0.154,0.098,0.041,0.049,NA,NA,NA,NA
"CHEM 30CL - NELSON, H.M.",0.778,NA,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 596 - HARRAN, P.G.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 599 - TOLBERT, S.H.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 89 - MERLIC, C.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM C113B - BENSIMON, D.B.",0.238,NA,0.19,0.238,NA,0.143,0.19,NA,NA,NA,NA,NA,NA
"CHEM C174 - SPOKOYNY, A.M.",0.76,0.08,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM C215B - NEUHAUSER, D.",0.364,0.182,0.091,0.273,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"CHEM C243A - HOUK, K.N.",0.2,0.24,0.2,0.16,0.08,0.12,NA,NA,NA,NA,NA,NA,NA
"CHEM M230B - CLUBB, R.T.",0.526,0.105,NA,0.105,NA,0.263,NA,NA,NA,NA,NA,NA,NA
"CHEM M230D - CLUBB, R.T.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHICANO 109 - HARRIS, A.A.",0.69,0.19,0.048,0.048,NA,0.024,NA,NA,NA,NA,NA,NA,NA
"CHICANO 10A - CARPIO, G.G.",0.342,0.123,0.474,0.017,0.006,0.036,NA,NA,0.002,NA,NA,NA,NA
"CHICANO 123 - ANDALON, R.",0.667,0.111,0.167,NA,0.028,0.028,NA,NA,NA,NA,NA,NA,NA
"CHICANO 142 - ELLIS, H.",0.116,0.163,0.488,0.07,NA,0.14,NA,NA,0.023,NA,NA,NA,NA
"CHICANO 150 - ROMERO, R.C.",0.482,0.061,0.274,0.03,0.03,0.085,0.018,NA,NA,NA,NA,NA,0.018
"CHICANO 153C - ALMA, K.",0.628,0.116,0.186,0.023,0.023,NA,NA,NA,0.023,NA,NA,NA,NA
"CHICANO 161 - MACIAS, R.F.",0.667,0.167,NA,NA,0.111,0.056,NA,NA,NA,NA,NA,NA,NA
"CHICANO 188 - JOHNSON, G.",0.333,0.143,0.19,0.19,NA,0.095,0.048,NA,NA,NA,NA,NA,NA
"CHICANO 188 - MARES-TAMAYO, M.J.",0.657,0.104,NA,0.03,0.015,0.104,NA,0.045,0.015,NA,NA,NA,0.03
"CHICANO 188 - MARTINEZ, C.M.",0.395,0.326,0.047,0.023,0.023,0.163,NA,0.023,NA,NA,NA,NA,NA
"CHICANO 188 - MARTINEZ, K.M.",0.683,0.122,0.098,0.049,NA,0.024,NA,NA,0.024,NA,NA,NA,NA
"CHICANO 202 - ZEPEDA, J.C.",0.083,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHICANO 254 - ESPINO, V.R.",0.2,0.5,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHICANO 89 - CARPIO, G.G.",0.217,0.043,0.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHICANO C141 - PONS, M.C.",0.167,0.533,0.067,0.067,NA,0.133,NA,NA,NA,NA,0.033,NA,NA
"CHICANO CM106 - HAYES-BAUTISTA, D.",0.307,0.079,0.482,0.035,NA,0.096,NA,NA,NA,NA,NA,NA,NA
"CHICANO CM110 - GONZALEZ, O.O.",0.718,0.103,0.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHICANO CM177 - GARCIA, S.",0.382,0.176,0.088,0.088,0.029,0.235,NA,NA,NA,NA,NA,NA,NA
"CHICANO M105C - PEREZ-TORRES, R.",0.636,0.091,0.182,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHICANO M118 - AVILA, E.R.",0.333,0.467,NA,0.067,NA,0.133,NA,NA,NA,NA,NA,NA,NA
"CHICANO M119 - HINOJOSA-OJEDA, R.",0.579,0.105,0.184,0.053,0.026,0.053,NA,NA,NA,NA,NA,NA,NA
"CHICANO M175 - LOPEZ GASPAR DE AL",0.525,0.246,NA,0.066,NA,0.115,NA,NA,NA,NA,NA,0.016,0.033
"CHICANO M18 - AVILA, E.R.",0.75,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHIN 100B - SMITH, M.M.",0.591,0.136,0.045,0.091,NA,0.091,NA,NA,0.045,NA,NA,NA,NA
"CHIN 102B - SHEN, Y.",0.706,0.176,NA,NA,NA,0.118,NA,NA,NA,NA,NA,NA,NA
"CHIN 110B - DUTHIE, N.N.",0.414,0.207,0.207,0.069,NA,0.103,NA,NA,NA,NA,NA,NA,NA
"CHIN 124 - TSAI, L.",0.435,0.391,0.13,NA,NA,0.043,NA,NA,NA,NA,NA,NA,NA
"CHIN 155 - QIN, L.",0.371,0.486,0.057,0.029,NA,0.057,NA,NA,NA,NA,NA,NA,NA
"CHIN 159 - QIN, L.",0.333,0.5,0.111,NA,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"CHIN 2 - CHIEF, L.",0.173,0.093,0.587,0.027,0.04,0.027,0.04,NA,0.013,NA,NA,NA,NA
"CHIN 2 - YAO, Y.",0.508,0.295,NA,0.049,0.033,0.066,0.016,0.016,0.016,NA,NA,NA,NA
"CHIN 2A - SUN, X.",0.619,0.19,0.071,NA,0.024,0.071,NA,NA,0.024,NA,NA,NA,NA
"CHIN 5 - SHEN, Y.",0.714,0.143,NA,0.036,NA,0.107,NA,NA,NA,NA,NA,NA,NA
"CHIN 50 - LI, M.",0.467,0.114,0.347,0.018,0.006,0.048,NA,NA,NA,NA,NA,NA,NA
"CHIN 5A - SUN, X.",0.625,0.25,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA
"CHIN M183 - LI, M.",0.933,NA,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA
"CLASSIC 130 - SPIELBERG, L.M.",0.286,0.143,0.393,0.036,NA,NA,0.036,NA,0.036,NA,NA,NA,0.071
"CLASSIC 137 - GURVAL, R.A.",0.314,0.137,0.02,0.157,0.02,0.314,NA,NA,NA,NA,NA,NA,0.039
"CLASSIC 185 - VINE, B.H.",0.277,0.191,0.021,0.128,0.021,0.149,0.085,0.021,0.021,NA,0.021,NA,0.064
"CLASSIC 20 - VAZQUEZ, A.M.",0.267,0.292,0.05,0.125,0.05,0.158,0.017,NA,0.008,NA,NA,0.008,0.025
"CLASSIC 51A - PAPADOPOULOS, J.K.",0.375,0.196,0.155,0.101,0.042,0.083,0.012,NA,0.03,NA,NA,NA,0.006
"CLASSIC 88GE - SPIELBERG, L.M.",0.647,NA,0.176,0.118,0.059,NA,NA,NA,NA,NA,NA,NA,NA
"CLASSIC M153K - PAPADOPOULOS, J.K.",0.333,0.185,0.185,0.074,NA,0.222,NA,NA,NA,NA,NA,NA,NA
"CLUSTER 20B - BROWN, S.D.",0.497,0.174,0.188,0.04,0.013,0.074,NA,0.007,0.007,NA,NA,NA,NA
"CLUSTER 21B - ALEXANDER, A.",0.453,0.302,0.198,0.012,NA,0.023,0.012,NA,NA,NA,NA,NA,NA
"CLUSTER 30B - BURDORFF, S.F.",0.291,0.305,0.086,0.113,0.007,0.132,0.007,0.013,0.033,NA,NA,0.013,NA
"CLUSTER 48B - LUFT, A.R.",0.544,0.181,0.094,0.04,0.034,0.074,0.013,0.007,0.013,NA,NA,NA,NA
"CLUSTER 60B - DECKER, J.L.",0.478,0.325,NA,0.053,0.005,0.139,NA,NA,NA,NA,NA,NA,NA
"CLUSTER 70B - FRISCIA, A.R.",0.341,0.227,0.027,0.189,0.059,0.07,0.011,0.005,0.07,NA,NA,NA,NA
"CLUSTER 73B - BARNARD, H.",0.783,0.019,0.009,0.104,0.019,0.028,0.028,NA,NA,NA,NA,NA,0.009
"CLUSTER 80B - HSU, P.T.",0.714,0.143,0.042,0.025,0.008,0.059,NA,0.008,NA,NA,NA,NA,NA
"CLUSTER M1B - BUCK, H.J.",0.067,0.022,0.881,NA,NA,0.015,0.007,NA,NA,NA,NA,NA,0.007
"CLUSTER M71B - LEE, R.C.",0.307,0.138,0.491,0.028,0.014,0.009,0.005,NA,0.005,NA,NA,0.005,NA
"CLUSTER M72B - HASELTON, M.G.",0.487,0.16,0.118,0.076,0.025,0.092,0.025,NA,0.008,0.008,NA,NA,NA
"COM HLT 179 - SCORZA, D.J.",0.828,0.069,NA,0.034,NA,0.017,0.017,NA,0.034,NA,NA,NA,NA
"COM HLT 187A - DORIAN, A.",0.129,0.065,0.774,NA,NA,0.032,NA,NA,NA,NA,NA,NA,NA
"COM HLT 211A - DORIAN, A.",0.421,0.368,NA,0.105,NA,0.105,NA,NA,NA,NA,NA,NA,NA
"COM HLT 211A - PRELIP, M.L.",0.208,0.283,NA,0.189,0.038,0.283,NA,NA,NA,NA,NA,NA,NA
"COM HLT 227 - GEE, G.C.",0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT 240 - VON EHRENSTEIN, O.",0.6,0.3,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"COM HLT 276 - UPCHURCH, D.M.",0.857,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT 281B - ROTHMAN, E.F.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT 292 - GLIK, D.C.",0.6,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT 296 - FORD, C.L.",0.867,0.067,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT 296 - MACINKO, J.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT 400 - BLENNER, S.",0.917,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT 400 - SHAFIR, S.C.",0.889,NA,NA,NA,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"COM HLT 431 - GIPSON, J.D.",0.316,NA,0.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT M216 - GEORGE, S.M.",0.714,0.071,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT M217 - SLUSSER, W.M.",0.467,0.067,0.333,NA,NA,0.133,NA,NA,NA,NA,NA,NA,NA
"COM HLT M272 - BELTRAN-SANCHEZ, H",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM LIT 100 - BOSCH, S.F.",0.357,0.214,NA,0.071,NA,0.286,NA,NA,0.071,NA,NA,NA,NA
"COM LIT 191 - ALON AMIT, N.",0.389,0.278,0.056,0.167,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"COM LIT 191 - MUFTI, A.R.",0.375,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM LIT 290 - REINHARD, K.",0.688,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM LIT 290 - ROTHBERG, M.P.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM LIT 2DW - GANA, N.",0.371,0.33,NA,0.041,0.021,0.206,0.01,NA,0.021,NA,NA,NA,NA
"COM LIT 4CW - KING, K.C.",0.3,0.35,NA,0.15,0.05,0.1,0.05,NA,NA,NA,NA,NA,NA
"COM LIT M101 - SMOAK, J.D.",0.8,0.1,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA
"COM SCI 111 - XU, H.",0.167,0.317,0.087,0.132,0.105,0.108,0.01,0.003,0.045,0.007,NA,NA,0.017
"COM SCI 118 - ZHANG, L.",0.42,0.252,0.056,0.084,0.028,0.112,0.028,NA,NA,0.007,NA,NA,0.014
"COM SCI 130 - ELAASAR, M.",0.094,0.219,NA,0.24,0.167,0.125,0.073,0.01,0.073,NA,NA,NA,NA
"COM SCI 131 - EGGERT, P.R.",0.273,0.139,NA,0.139,0.097,0.127,0.042,0.036,0.109,0.006,0.006,0.006,0.018
"COM SCI 133 - CONG, J.J.",0.27,0.095,0.176,0.149,0.108,0.095,0.054,NA,0.014,0.027,NA,NA,0.014
"COM SCI 143 - ZANIOLO, C.",0.198,0.242,0.154,0.044,0.077,0.253,0.022,NA,NA,NA,NA,NA,0.011
"COM SCI 152B - SARRAFZADEH, M.",0.133,0.067,0.133,0.067,0.133,0.467,NA,NA,NA,NA,NA,NA,NA
"COM SCI 161 - GU, Q.",0.295,0.18,0.072,0.108,0.129,0.144,0.007,NA,0.05,NA,NA,NA,0.014
"COM SCI 174A - TERZOPOULOS, D.",0.209,0.233,0.233,0.047,0.07,0.163,0.012,NA,NA,NA,NA,0.012,0.023
"COM SCI 180 - GAFNI, E.M.",0.362,0.138,0.034,0.276,0.017,0.052,0.069,NA,0.034,0.017,NA,NA,NA
"COM SCI 181 - SHERSTOV, A.",0.173,0.126,0.157,0.071,0.102,0.055,0.087,0.047,0.079,0.024,0.047,0.024,0.008
"COM SCI 188 - REIHER, P.L.",0.486,0.3,0.086,0.014,NA,0.086,0.014,NA,NA,NA,NA,NA,0.014
"COM SCI 188 - SARRAFZADEH, M.",0.698,0.111,NA,0.143,0.016,0.008,0.016,NA,0.008,NA,NA,NA,NA
"COM SCI 192 - SHAKED, S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI 192A - SHAKED, S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI 219 - VARGHESE, G.",0.316,0.263,0.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI 231 - MILLSTEIN, T.D.",0.323,0.161,0.194,0.065,0.129,0.129,NA,NA,NA,NA,NA,NA,NA
"COM SCI 232 - PALSBERG, J.",0.222,NA,0.167,0.278,NA,0.167,0.167,NA,NA,NA,NA,NA,NA
"COM SCI 239 - NETRAVALI, R.A.",0.679,0.179,NA,NA,NA,0.143,NA,NA,NA,NA,NA,NA,NA
"COM SCI 249 - CHO, J.",0.364,0.394,0.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI 249 - SUN, Y.",0.739,0.043,0.174,NA,NA,0.043,NA,NA,NA,NA,NA,NA,NA
"COM SCI 249 - WANG, W.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI 251A - NOWATZKI, A.J.",0.5,0.222,0.167,NA,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"COM SCI 251B - TAMIR, Y.",0.4,0.25,0.05,0.2,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"COM SCI 260 - HSIEH, C.",0.824,0.118,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI 269 - CHANG, K.",0.6,NA,0.375,NA,NA,0.025,NA,NA,NA,NA,NA,NA,NA
"COM SCI 269 - VAN DEN BROECK, G.",0.8,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI 31 - STAHL, H.A.",0.341,0.183,0.15,0.087,0.046,0.104,0.031,0.013,0.015,0.005,0.005,0.005,0.015
"COM SCI 32 - NACHENBERG, C.S.",0.575,0.034,0.056,0.082,0.069,0.06,0.03,0.004,0.06,0.004,0.004,0.017,0.004
"COM SCI 32 - SMALLBERG, D.A.",0.498,0.038,0.043,0.118,0.081,0.043,0.047,0.028,0.033,0.028,0.024,0.005,0.014
"COM SCI 33 - EGGERT, P.R.",0.455,0.091,NA,0.061,0.091,0.061,0.03,0.03,0.03,NA,0.091,NA,0.061
"COM SCI 35L - EGGERT, P.R.",0.194,0.073,NA,0.236,0.141,0.194,0.021,0.016,0.068,0.01,NA,NA,0.047
"COM SCI CM124 - HALPERIN, E.",0.116,0.058,0.652,0.029,0.029,0.072,0.043,NA,NA,NA,NA,NA,NA
"COM SCI CM186 - DISTEFANO, J.",0.542,0.042,0.375,NA,NA,0.042,NA,NA,NA,NA,NA,NA,NA
"COM SCI CM224 - HALPERIN, E.",0.136,0.136,0.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI M146 - SANKARARAMAN, S.",0.551,0.152,0.028,0.067,0.022,0.084,0.034,0.006,0.028,0.017,0.006,NA,0.006
"COM SCI M151B - REINMAN, G.D.",0.198,0.125,0.424,0.06,0.03,0.06,0.022,0.022,0.016,0.014,0.014,0.011,0.005
"COM SCI M152A - POTKONJAK, M.",0.184,0.304,0.044,0.133,0.146,0.184,NA,NA,0.006,NA,NA,NA,NA
