"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"C&EE 156A - LAU, S.",0.5,0.25,0.167,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"C&EE 181 - OKITSU, W.J.",0.346,0.231,NA,0.154,NA,0.231,0.038,NA,NA,NA,NA,NA,NA
"C&EE 194 - BAUCHY, M.",0.182,NA,0.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE 220 - STEWART, J.P.",0.3,0.1,0.1,0.2,NA,0.2,NA,NA,0.1,NA,NA,NA,NA
"C&EE 232 - ZHANG, J.",0.214,0.286,0.071,NA,0.071,0.357,NA,NA,NA,NA,NA,NA,NA
"C&EE 235A - BURTON, H.J.",0.404,0.234,0.021,0.043,0.021,0.277,NA,NA,NA,NA,NA,NA,NA
"C&EE 243A - WALLACE, J.W.",0.158,0.263,NA,0.395,NA,0.184,NA,NA,NA,NA,NA,NA,NA
"C&EE 250A - GEBREMICHAEL, M.",0.591,0.273,NA,0.091,NA,0.045,NA,NA,NA,NA,NA,NA,NA
"C&EE 253 - GAO, H.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE 254A - JAY, J.A.",0.385,0.231,0.192,0.077,NA,0.038,NA,NA,0.077,NA,NA,NA,NA
"C&EE 266 - MAHENDRA, S.",0.5,0.3,0.1,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"C&EE 91 - SANT, G.",0.072,0.084,0.084,0.108,0.205,0.241,0.024,0.036,0.06,NA,0.024,0.012,0.048
"C&EE C239 - MAZZONI, S.",0.319,NA,0.106,0.34,NA,0.191,NA,NA,0.021,NA,NA,NA,0.021
"C&EE ST 130 - LEJKO-LACAN, V.",0.55,0.15,0.1,0.05,NA,0.15,NA,NA,NA,NA,NA,NA,NA
"C&EE ST 91 - GALATEANU, G.",0.357,0.143,0.143,0.024,0.095,0.048,0.048,NA,0.119,NA,NA,NA,0.024
"CAEM 211 - FISCHER, C.J.",0.3,0.5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CESC 100SL - BARRERA, D.S.",0.571,0.214,NA,0.143,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"CESC 195CE - BARRERA, D.S.",0.852,NA,0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CESC 50SL - RITTER, Z.S.",0.761,0.12,NA,0.034,0.017,0.009,NA,0.009,0.009,NA,NA,NA,0.043
"CH ENGR 10 - TANG, Y.",0.853,0.11,NA,0.018,0.018,NA,NA,NA,NA,NA,NA,NA,NA
"CH ENGR 100 - COHEN, Y.",0.132,0.11,0.088,0.143,0.11,0.11,0.11,0.022,0.132,0.022,NA,0.011,0.011
"CH ENGR 101A - EISLER, C.N.",0.218,0.115,0.046,0.299,0.046,0.103,0.069,0.011,0.08,NA,NA,0.011,NA
"CH ENGR 104B - SIMONETTI, D.A.",0.316,0.421,0.053,0.105,NA,0.105,NA,NA,NA,NA,NA,NA,NA
"CH ENGR 106 - LU, Y.",0.157,0.216,0.118,0.137,0.078,0.216,NA,NA,0.02,0.059,NA,NA,NA
"CH ENGR 109 - CHRISTOFIDES, P.D.",0.281,0.18,NA,0.27,0.079,0.124,0.011,NA,0.056,NA,NA,NA,NA
"CH ENGR 194 - MANOUSIOUTHAKIS, V",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH ENGR 200 - PARK, J.",0.406,0.281,0.125,0.062,NA,0.125,NA,NA,NA,NA,NA,NA,NA
"CH ENGR 259 - MANOUSIOUTHAKIS, V",0.167,NA,0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH ENGR C115 - ANNABI, N.",0.308,0.115,NA,0.115,0.231,0.192,0.038,NA,NA,NA,NA,NA,NA
"CH ENGR CM145 - PARK, J.",0.348,0.174,0.087,0.13,NA,0.261,NA,NA,NA,NA,NA,NA,NA
"CHEM 110A - GELBART, W.M.",0.057,0.124,0.086,0.257,0.105,0.162,0.057,0.038,0.029,0.038,NA,NA,0.048
"CHEM 114 - BAUGH, D.A.",0.091,0.091,0.273,0.091,0.273,NA,NA,0.182,NA,NA,NA,NA,NA
"CHEM 125 - KOPELEVICH, M.",0.323,0.29,0.129,0.032,0.097,0.097,NA,NA,NA,NA,NA,NA,0.032
"CHEM 144 - NELSON, H.M.",0.333,NA,0.182,0.364,NA,NA,0.091,NA,NA,NA,NA,NA,0.03
"CHEM 14A - CARAM, J.R.",0.368,0.105,0.184,0.039,0.026,0.138,0.02,0.02,0.053,0.007,0.007,NA,0.033
"CHEM 14A - LAVELLE, L.",0.192,0.164,0.036,0.11,0.073,0.169,0.056,0.111,0.068,0.005,0.007,NA,0.01
"CHEM 14B - QUINLAN, M.E.",0.372,0.047,0.062,0.194,0.026,0.073,0.094,0.012,0.032,0.047,NA,0.006,0.035
"CHEM 14BL - CASEY, J.R.",0.279,0.06,0.008,0.279,0.038,0.068,0.158,0.053,0.042,0.004,NA,NA,0.011
"CHEM 14BL - RUSSELL, A.A.",0.341,0.008,NA,0.435,0.012,0.012,0.098,0.024,0.041,0.004,NA,NA,0.024
"CHEM 14C - FULTON, B.",0.47,0.164,0.063,0.093,0.027,0.103,0.003,NA,0.076,NA,NA,NA,NA
"CHEM 14CL - PANG, J.W.",0.542,0.104,NA,0.188,0.008,0.075,0.075,0.004,NA,0.004,NA,NA,NA
"CHEM 14D - NAG, A.",0.077,0.125,0.376,0.063,0.107,0.07,0.074,0.041,0.063,NA,NA,NA,0.004
"CHEM 14D - PHAM, H.V.",0.136,0.113,0.154,0.063,0.068,0.077,0.095,0.081,0.081,0.059,0.023,0.036,0.014
"CHEM 153A - AWAD, A.M.",0.326,0.193,0.014,0.182,0.072,0.07,0.059,0.012,0.043,0.029,NA,NA,NA
"CHEM 153A - WEISS, R.L.",0.229,0.038,0.019,0.229,0.038,0.067,0.152,0.019,0.067,0.105,NA,NA,0.038
"CHEM 153B - SILKWORTH, W.T.",0.188,0.13,0.014,0.145,0.087,0.203,0.072,0.043,0.058,0.029,NA,NA,0.029
"CHEM 153C - SILKWORTH, W.T.",0.189,0.135,0.054,0.108,0.081,0.108,0.108,0.081,0.081,0.054,NA,NA,NA
"CHEM 153L - HONG-HERMESDORF,",0.209,0.163,NA,0.147,0.132,0.101,0.054,0.039,0.023,0.07,NA,NA,0.062
"CHEM 154 - NAKAMOTO, S.S.",0.115,0.212,NA,0.115,0.038,0.25,0.038,0.096,0.038,0.019,NA,NA,0.077
"CHEM 156 - RODRIGUEZ, J.A.",0.292,0.167,0.042,0.125,0.062,0.25,NA,0.021,NA,NA,0.021,NA,0.021
"CHEM 17 - PAPAZYAN, A.",0.043,0.096,0.217,0.061,0.113,0.043,0.026,0.2,0.035,0.078,NA,NA,0.087
"CHEM 171 - KANER, R.B.",0.329,0.096,0.018,0.317,0.03,0.102,0.048,0.024,0.024,0.012,NA,NA,NA
"CHEM 185 - DUAN, X.",0.3,0.1,0.2,NA,NA,0.2,0.1,NA,0.1,NA,NA,NA,NA
"CHEM 189 - KANER, R.B.",0.74,0.22,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA
"CHEM 192E - SHAKED, S.",0.951,NA,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 192F - SHAKED, S.",0.962,NA,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 20A - BAUGH, D.A.",0.347,0.156,0.08,0.089,0.071,0.142,0.044,0.013,0.022,NA,NA,NA,0.036
"CHEM 20A - BEREN, C.E.",0.117,0.098,0.051,0.242,0.112,0.252,0.051,0.03,0.042,NA,NA,NA,0.005
"CHEM 20AH - SCHWARTZ, B.J.",0.226,0.097,0.032,0.032,0.097,0.29,0.032,0.032,0.129,0.032,NA,NA,NA
"CHEM 228 - CARAM, J.R.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 236 - RUBIN, Y.F.",0.286,0.179,0.143,0.214,0.071,0.107,NA,NA,NA,NA,NA,NA,NA
"CHEM 244A - KWON, O.",0.2,0.1,0.15,0.15,0.1,0.3,NA,NA,NA,NA,NA,NA,NA
"CHEM 247 - GARG, N.K.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 248 - RUBIN, Y.F.",0.5,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 258 - LOO, J.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 268 - QUINLAN, M.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 269A - GOBER, J.W.",0.318,0.318,NA,0.273,0.091,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 269B - CLARKE, S.G.",0.545,0.091,0.091,NA,0.091,0.182,NA,NA,NA,NA,NA,NA,NA
"CHEM 269C - FEIGON, J.F.",0.19,0.333,0.095,0.095,NA,0.286,NA,NA,NA,NA,NA,NA,NA
"CHEM 269D - KOEHLER, C.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 269E - LOO, J.A.",0.346,0.385,NA,0.077,NA,0.192,NA,NA,NA,NA,NA,NA,NA
"CHEM 278 - DIACONESCU, P.L.",0.933,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 3 - SPOKOYNY, A.M.",0.357,0.357,0.024,0.095,0.024,0.119,NA,NA,0.024,NA,NA,NA,NA
"CHEM 30A - PHAM, H.V.",0.106,0.155,0.07,0.056,0.127,0.056,0.077,0.07,0.099,0.049,0.021,0.106,0.007
"CHEM 30AL - HENARY, M.M.",0.54,0.025,NA,0.22,0.02,0.155,0.025,0.005,0.01,NA,NA,NA,NA
"CHEM 30B - MERLIC, C.A.",0.162,0.103,0.038,0.141,0.068,0.09,0.201,0.073,0.073,0.03,NA,NA,0.021
"CHEM 30BL - REILLY, A.J.",0.093,0.093,0.019,0.352,0.111,0.167,0.037,0.019,0.074,0.019,0.019,NA,NA
"CHEM 30CL - REILLY, A.J.",0.143,0.286,NA,0.179,0.107,0.214,0.036,NA,0.036,NA,NA,NA,NA
"CHEM 596 - WEISS, P.S.",0.667,NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM C150 - TORRES, J.",0.5,0.455,NA,NA,NA,0.045,NA,NA,NA,NA,NA,NA,NA
"CHEM C223A - LEVINE, A.J.",0.154,0.231,0.077,0.231,0.154,0.077,0.077,NA,NA,NA,NA,NA,NA
"CHEM C250 - TORRES, J.",0.692,0.154,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM C273 - LIU, C.",0.333,0.267,0.067,0.067,0.067,0.2,NA,NA,NA,NA,NA,NA,NA
"CHEM CM160A - LEE, C.J.",0.4,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHICANO 100SL - LACAYO, C.O.",0.1,0.26,0.02,0.18,0.08,0.32,NA,NA,0.02,NA,NA,NA,0.02
"CHICANO 104 - FRIAS, C.M.",0.5,0.05,0.375,0.025,NA,0.05,NA,NA,NA,NA,NA,NA,NA
"CHICANO 105F - HARRIS, A.A.",0.907,0.047,NA,NA,0.023,0.023,NA,NA,NA,NA,NA,NA,NA
"CHICANO 10B - HINOJOSA-OJEDA, R.",0.422,0.16,0.325,0.024,0.01,0.034,0.005,NA,0.01,0.005,NA,NA,0.005
"CHICANO 10B - JOHNSON, G.",0.354,0.085,0.473,0.016,0.01,0.036,0.008,NA,0.008,0.008,NA,NA,0.003
"CHICANO 113 - RAMIREZ-OROPEZA, M",0.317,0.008,0.659,NA,0.008,NA,NA,NA,0.008,NA,NA,NA,NA
"CHICANO 138A - CARPIO, G.G.",0.259,0.241,0.296,0.074,NA,0.111,NA,NA,NA,NA,NA,NA,0.019
"CHICANO 153A - ABREGO, L.J.",0.323,0.177,0.048,0.113,0.081,0.21,0.016,NA,0.016,NA,NA,NA,0.016
"CHICANO 153B - ALMA, K.",0.617,0.128,0.106,0.043,0.021,0.085,NA,NA,NA,NA,NA,NA,NA
"CHICANO 165 - SANTA ANA, O.",0.365,NA,0.308,0.25,NA,0.038,0.019,NA,NA,0.019,NA,NA,NA
"CHICANO 169 - ELLIS, H.",0.227,0.25,0.273,0.091,0.023,0.091,NA,NA,0.045,NA,NA,NA,NA
"CHICANO 171 - SANTA ANA, O.",0.361,0.028,0.194,0.222,NA,NA,0.111,NA,NA,0.083,NA,NA,NA
"CHICANO 188 - ESPINO, V.R.",0.349,0.256,0.186,0.047,NA,0.14,0.023,NA,NA,NA,NA,NA,NA
"CHICANO 188 - GONZALEZ, O.O.",0.458,0.333,0.125,NA,0.042,NA,NA,NA,NA,NA,NA,NA,0.042
"CHICANO 188 - LACAYO, C.O.",0.08,0.318,NA,0.239,0.08,0.261,0.011,0.011,NA,NA,NA,NA,NA
"CHICANO 200 - ROMERO, R.C.",0.9,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHICANO 291 - ABREGO, L.J.",0.7,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHICANO 291 - ALMA, K.",0.778,NA,NA,NA,NA,0.222,NA,NA,NA,NA,NA,NA,NA
"CHICANO 89 - JOHNSON, G.",0.875,NA,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042
"CHICANO C179 - MACIAS, R.F.",0.348,NA,NA,0.391,0.043,0.13,NA,NA,NA,NA,NA,0.087,NA
"CHICANO M145B - GONZALEZ, O.O.",0.412,0.412,0.059,0.029,0.029,0.029,NA,NA,NA,NA,NA,NA,0.029
"CHICANO M155B - BARRETO, M.A.",0.15,0.15,0.05,0.117,0.133,0.25,0.033,0.017,0.067,NA,NA,NA,0.033
"CHICANO M156A - RODRIGUEZ, M.I.",0.727,0.182,NA,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"CHIN 1 - CHIEF, L.",0.299,0.117,0.351,0.052,0.013,0.091,0.039,NA,0.013,NA,NA,NA,0.026
"CHIN 1 - YAO, Y.",0.463,0.28,NA,0.024,0.049,0.134,NA,0.024,0.012,NA,NA,NA,0.012
"CHIN 100A - SMITH, M.M.",0.5,0.269,0.038,NA,0.077,0.115,NA,NA,NA,NA,NA,NA,NA
"CHIN 102A - SMITH, M.M.",0.579,0.053,0.053,NA,0.105,0.211,NA,NA,NA,NA,NA,NA,NA
"CHIN 105A - SHEN, Y.",0.647,0.294,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA,NA
"CHIN 110A - WU, Y.",0.341,0.136,0.227,0.045,0.068,0.159,NA,NA,NA,NA,NA,0.023,NA
"CHIN 130B - QIN, L.",0.143,0.381,0.286,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA
"CHIN 151 - QIN, L.",0.237,0.5,0.079,0.053,NA,0.132,NA,NA,NA,NA,NA,NA,NA
"CHIN 159 - TSAI, L.",0.433,0.167,0.267,NA,0.033,0.033,0.033,NA,0.033,NA,NA,NA,NA
"CHIN 191A - WU, Y.",0.25,0.417,0.083,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"CHIN 191B - TSAI, L.",0.3,0.1,0.25,NA,0.15,0.1,0.05,NA,NA,NA,NA,0.05,NA
"CHIN 1A - SUN, X.",0.421,0.263,0.053,0.105,NA,0.132,NA,NA,NA,NA,NA,0.026,NA
"CHIN 4 - SHEN, Y.",0.677,0.194,NA,0.032,NA,0.097,NA,NA,NA,NA,NA,NA,NA
"CHIN 4A - YAO, Y.",0.273,0.364,NA,0.182,NA,0.091,0.091,NA,NA,NA,NA,NA,NA
"CHIN 50 - DUTHIE, N.N.",0.413,0.16,0.093,0.1,0.04,0.087,0.033,0.013,0.02,0.013,0.007,0.013,0.007
"CLASSIC 10 - KIRKLAND, N.B.",0.419,0.173,0.077,0.085,0.065,0.077,0.032,0.004,0.028,0.02,NA,0.004,0.016
"CLASSIC 148 - BLANK, D.L.",0.543,0.336,0.036,0.007,NA,0.064,0.007,NA,NA,0.007,NA,NA,NA
"CLASSIC 152B - BECKMANN, S.E.",0.538,0.115,0.038,0.231,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"CLASSIC 164 - JOHANSON, C.",0.484,0.161,0.194,NA,0.032,0.129,NA,NA,NA,NA,NA,NA,NA
"CLASSIC 166A - MORGAN, K.A.",0.1,0.25,0.1,0.2,0.2,0.1,NA,NA,NA,NA,NA,NA,0.05
"CLASSIC 288 - SISSA, G.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLASSIC 42 - BOULMETIS, T.A.",0.887,0.057,NA,0.021,NA,0.028,NA,NA,NA,NA,NA,NA,0.007
"CLASSIC 88GE - BECKMANN, S.E.",0.684,0.158,NA,0.053,NA,0.105,NA,NA,NA,NA,NA,NA,NA
"CLASSIC 88GE - ZENIOS, S.",0.583,0.25,0.083,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"CLUSTER 20A - BROWN, S.D.",0.388,0.279,0.061,0.085,0.006,0.17,NA,NA,0.012,NA,NA,NA,NA
"CLUSTER 21A - ALEXANDER, A.",0.47,0.29,0.05,0.07,0.03,0.06,NA,NA,0.02,NA,NA,NA,0.01
"CLUSTER 30A - BURDORFF, S.F.",0.301,0.28,0.038,0.097,0.032,0.183,0.011,0.022,0.027,NA,NA,NA,0.011
"CLUSTER 48A - LUFT, A.R.",0.465,0.232,0.084,0.077,0.026,0.084,0.013,NA,0.019,NA,NA,NA,NA
"CLUSTER 60A - DECKER, J.L.",0.332,0.389,0.004,0.083,NA,0.179,0.004,NA,0.009,NA,NA,NA,NA
"CLUSTER 70A - FRISCIA, A.R.",0.257,0.164,0.033,0.187,0.037,0.136,0.061,0.019,0.056,0.014,0.019,0.005,0.014
"CLUSTER 73A - BARNARD, H.",0.533,0.05,0.033,0.233,NA,0.075,0.058,0.017,NA,NA,NA,NA,NA
"CLUSTER 80A - HSU, P.T.",0.317,0.302,NA,0.048,0.087,0.183,0.016,0.016,0.032,NA,NA,NA,NA
"CLUSTER M1A - BUCK, H.J.",0.144,0.041,0.712,0.021,0.021,0.055,NA,NA,0.007,NA,NA,NA,NA
"CLUSTER M71A - PANOFSKY, A.L.",0.338,0.181,0.325,0.025,0.025,0.084,0.004,NA,0.013,NA,NA,0.004,NA
"CLUSTER M72A - HASELTON, M.G.",0.32,0.288,0.112,0.112,0.032,0.104,NA,0.008,0.016,NA,0.008,NA,NA
"COM HLT 132 - TAUB, B.",0.545,0.333,NA,0.03,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"COM HLT 179 - SCORZA, D.J.",0.429,0.125,0.268,0.036,0.018,0.089,NA,NA,NA,0.018,NA,0.018,NA
"COM HLT 200 - VON EHRENSTEIN, O.",0.4,0.4,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"COM HLT 210 - GEE, G.C.",0.482,0.125,0.018,0.107,0.054,0.179,0.018,NA,0.018,NA,NA,NA,NA
"COM HLT 210 - UPCHURCH, D.M.",0.368,0.211,0.368,NA,NA,NA,NA,NA,0.053,NA,NA,NA,NA
"COM HLT 212 - KUHN, R.S.",0.75,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT 213 - BEYMER, M.R.",0.4,0.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT 220 - FORD, C.L.",0.35,0.45,NA,0.05,NA,0.15,NA,NA,NA,NA,NA,NA,NA
"COM HLT 226 - UPCHURCH, D.M.",0.944,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT 238 - D'AMICO, E.",0.6,0.267,0.067,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"COM HLT 247 - GIPSON, J.D.",0.318,0.273,0.136,0.045,NA,0.227,NA,NA,NA,NA,NA,NA,NA
"COM HLT 281B - SHAFIR, S.C.",0.448,0.241,0.034,0.034,NA,0.207,0.034,NA,NA,NA,NA,NA,NA
"COM HLT 282 - KIRBY, S.D.",0.7,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT 288 - GLIK, D.C.",0.467,0.267,0.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT 400 - BLENNER, S.",0.783,0.13,NA,NA,NA,0.043,NA,NA,NA,NA,NA,NA,0.043
"COM HLT 440 - STRATTON, S.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT 48 - PANG, M.",0.4,0.2,0.2,0.133,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"COM HLT M234 - MCCARTHY, W.J.",0.3,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT M263 - PEBLEY, A.R.",0.5,0.15,0.15,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"COM LIT 100 - REINHARD, K.",0.444,0.278,NA,0.056,NA,0.111,NA,0.111,NA,NA,NA,NA,NA
"COM LIT 191 - LEVITZ, T.J.",0.421,0.105,0.368,NA,NA,0.105,NA,NA,NA,NA,NA,NA,NA
"COM LIT 2CW - KOMAR, K.L.",0.324,0.324,0.009,0.093,0.009,0.157,0.009,NA,0.046,NA,NA,NA,0.028
"COM LIT 4CW - KING, K.C.",0.4,0.45,0.05,0.05,NA,0.05,NA,NA,NA,NA,NA,NA,NA
"COM LIT 4DW - KING, K.C.",0.947,NA,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM LIT C153 - KOMAR, K.L.",0.7,NA,0.1,NA,NA,0.1,NA,NA,0.1,NA,NA,NA,NA
"COM LIT M191P - MACFADYEN, D.W.",0.588,0.235,0.118,NA,NA,NA,0.059,NA,NA,NA,NA,NA,NA
"COM SCI 1 - SAHAI, A.",0.699,0.102,0.102,0.034,NA,0.042,NA,NA,0.013,NA,NA,0.004,0.004
"COM SCI 111 - EGGERT, P.R.",0.19,0.157,NA,0.066,0.099,0.19,0.083,0.058,0.05,0.033,0.017,0.017,0.041
"COM SCI 118 - VARGHESE, G.",0.148,0.308,0.059,0.124,0.089,0.154,0.047,0.006,0.047,0.018,NA,NA,NA
"COM SCI 130 - KIM, M.",0.157,0.157,0.05,0.14,0.066,0.322,0.008,NA,0.083,0.017,NA,NA,NA
"COM SCI 131 - EGGERT, P.R.",0.192,0.144,NA,0.2,0.088,0.08,0.072,0.032,0.104,0.04,NA,NA,0.048
"COM SCI 132 - PALSBERG, J.",0.42,0.037,0.235,0.099,0.012,0.074,0.025,NA,0.012,0.074,NA,NA,0.012
"COM SCI 136 - REIHER, P.L.",0.127,0.127,0.014,0.282,0.099,0.183,0.028,0.014,0.056,NA,0.056,NA,0.014
"COM SCI 143 - CHO, J.",0.143,0.286,0.071,0.214,0.071,0.214,NA,NA,NA,NA,NA,NA,NA
"COM SCI 145 - WANG, W.",0.239,0.352,NA,0.113,0.056,0.183,NA,NA,0.056,NA,NA,NA,NA
"COM SCI 152B - SARRAFZADEH, M.",0.444,0.278,0.111,0.056,NA,NA,0.056,NA,NA,0.056,NA,NA,NA
"COM SCI 161 - VAN DEN BROECK, G.",0.154,0.248,0.02,0.128,0.128,0.128,0.054,0.034,0.101,NA,NA,NA,0.007
"COM SCI 174A - LAW, A.",0.264,0.264,NA,0.115,0.069,0.207,0.023,NA,0.046,NA,NA,NA,0.011
"COM SCI 180 - SARRAFZADEH, M.",0.291,0.117,NA,0.206,NA,0.045,0.235,0.008,0.045,0.032,NA,NA,0.02
"COM SCI 181 - SHERSTOV, A.",0.141,0.164,0.102,0.133,0.133,0.094,0.062,0.055,0.039,0.023,0.023,0.023,0.008
"COM SCI 188 - MUTZ, A.",0.634,0.228,0.079,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI 188 - SCALZO, F.",0.289,0.169,0.217,0.102,0.06,0.133,0.012,NA,0.018,NA,NA,NA,NA
"COM SCI 192 - SHAKED, S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI 192A - SHAKED, S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI 217A - ZHANG, L.",0.632,0.105,0.184,NA,NA,0.079,NA,NA,NA,NA,NA,NA,NA
"COM SCI 219 - NETRAVALI, R.A.",0.406,0.156,0.156,NA,0.031,0.25,NA,NA,NA,NA,NA,NA,NA
"COM SCI 239 - REINMAN, G.D.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI 239 - XU, H.",0.948,0.017,NA,NA,NA,0.034,NA,NA,NA,NA,NA,NA,NA
"COM SCI 240A - ZANIOLO, C.",0.271,0.208,0.042,0.104,0.062,0.292,NA,NA,0.021,NA,NA,NA,NA
"COM SCI 246 - CHO, J.",0.554,0.214,0.143,0.036,NA,0.054,NA,NA,NA,NA,NA,NA,NA
"COM SCI 251A - TAMIR, Y.",0.36,0.28,0.04,0.08,0.08,0.16,NA,NA,NA,NA,NA,NA,NA
"COM SCI 259 - CONG, J.J.",0.308,0.308,0.077,0.077,NA,0.231,NA,NA,NA,NA,NA,NA,NA
"COM SCI 269 - TERZOPOULOS, D.",0.385,0.333,0.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI 30 - MILLSTEIN, T.D.",0.492,0.138,0.154,0.062,NA,0.046,0.015,0.031,NA,NA,NA,0.015,0.046
"COM SCI 31 - SMALLBERG, D.A.",0.362,0.062,NA,0.163,0.089,0.108,0.131,0.015,0.02,0.005,0.007,0.005,0.034
"COM SCI 33 - NOWATZKI, A.J.",0.222,0.155,0.138,0.1,0.067,0.134,0.025,0.038,0.063,0.017,0.013,0.008,0.021
"COM SCI 35L - EGGERT, P.R.",0.176,0.067,NA,0.196,0.09,0.216,0.016,0.075,0.047,0.024,0.008,0.02,0.067
"COM SCI CM121 - LEE, C.J.",0.27,0.381,0.063,0.111,0.016,0.079,0.016,0.016,0.032,0.016,NA,NA,NA
"COM SCI CM221 - LEE, C.J.",0.176,0.471,0.059,0.059,NA,0.235,NA,NA,NA,NA,NA,NA,NA
"COM SCI M146 - CHANG, K.",0.176,0.176,0.059,0.117,0.122,0.186,0.074,0.021,0.069,NA,NA,NA,NA
"COM SCI M152A - POTKONJAK, M.",0.217,0.255,0.038,0.189,0.104,0.142,NA,0.028,0.028,NA,NA,NA,NA
"COM SCI M182 - DISTEFANO, J.",0.159,0.205,0.227,0.159,0.023,0.136,0.023,0.023,0.045,NA,NA,NA,NA
"COM SCI M226 - SANKARARAMAN, S.",0.308,0.385,NA,0.077,NA,0.231,NA,NA,NA,NA,NA,NA,NA
"COM SCI M282A - OSTROVSKY, R.",0.231,0.077,0.231,0.115,0.077,0.269,NA,NA,NA,NA,NA,NA,NA
"COM SCI M51A - ERCEGOVAC, M.D.",0.236,0.211,0.037,0.217,0.05,0.193,0.019,0.012,0.012,0.012,NA,NA,NA
"COM SCI M51A - KORF, R.E.",0.109,0.116,0.02,0.15,0.17,0.163,0.068,0.054,0.061,0.014,0.014,0.007,0.054
"COMM 1 - BRIDGEWATER, D.A.",0.873,0.109,NA,NA,NA,0.018,NA,NA,NA,NA,NA,NA,NA
"COMM 1 - FERAMISCO, C.",0.365,0.231,0.135,0.096,NA,0.154,0.019,NA,NA,NA,NA,NA,NA
"COMM 1 - KOCHIAN, J.",0.884,0.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMM 1 - MACK, K.S.",0.86,0.07,NA,NA,0.018,0.053,NA,NA,NA,NA,NA,NA,NA
"COMM 1 - MILLER, T.E.",0.417,0.167,NA,0.125,0.208,0.083,NA,NA,NA,NA,NA,NA,NA
