"CLASS","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F"
"EC ENGR 133A - YANG, L.",0.267,0.533,0.033,0.067,0.067,NA,0.033,NA,NA,NA,NA,NA,NA
"EC ENGR 141 - SHOARINEJAD, K.",0.222,0.185,0.204,0.111,0.13,0.019,0.019,0.037,0.019,NA,NA,NA,0.056
"EC ENGR 163C - WANG, Y.",0.1,0.4,NA,NA,0.1,0.3,NA,0.1,NA,NA,NA,NA,NA
"EC ENGR 163DA - ITOH, T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 170A - WONG, C.",0.043,0.391,0.152,0.196,0.109,0.065,NA,0.022,NA,NA,0.022,NA,NA
"EC ENGR 170B - JALALI, B.",0.143,0.071,0.286,NA,0.143,0.214,NA,0.143,NA,NA,NA,NA,NA
"EC ENGR 173DB - STAFSUDD, O.M.",0.385,0.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 180DB - POTTIE, G.J.",0.241,0.448,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 180DB - SHOARINEJAD, K.",0.235,0.529,0.176,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 183DA - MEHTA, A.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 189 - CANDLER, R.N.",NA,0.7,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"EC ENGR 194 - OZCAN, A.",0.333,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 201C - HE, L.",0.105,0.474,0.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 209AS - HE, L.",0.057,0.371,0.4,0.114,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 209AS - HE, L. LEC 80",0.2,0.7,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 209AS - SRIVASTAVA, M.B.",0.154,0.577,0.269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 211A - KADAMBI, A.",0.13,0.587,0.261,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 215B - YANG, C.K.",NA,0.364,0.273,0.091,0.182,0.091,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 215C - RAZAVI, B.",0.227,0.182,0.227,0.136,0.136,0.091,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 215C - RAZAVI, B. LEC 80",0.062,0.25,0.25,0.125,0.25,0.062,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 219 - ROYCHOWDHURY, V.P.",0.052,0.607,0.281,0.044,0.007,NA,NA,NA,NA,NA,NA,NA,0.007
"EC ENGR 221A - SOKOLICH, M.",0.091,0.318,0.318,0.182,0.091,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 230A - CABRIC, D.",0.071,0.286,0.143,0.286,0.214,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 232B - RUBIN, I.",NA,0.812,0.125,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 236B - VANDENBERGHE, L.",0.027,0.533,0.307,0.04,0.08,0.013,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 246 - DIGGAVI, S.N.",0.227,0.455,0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 271 - JOSHI, C.J.",0.1,0.4,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"EC ENGR 279AS - BABAKHANI, A.",0.263,0.632,0.053,NA,0.053,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 296 - SRIVASTAVA, M.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 2H - WILLIAMS, B.S.",NA,0.476,0.381,0.048,0.048,NA,NA,NA,NA,NA,NA,NA,0.048
"EC ENGR C147 - KAO, J.C.",0.12,0.7,0.08,0.08,NA,0.02,NA,NA,NA,NA,NA,NA,NA
"EC ENGR C247 - KAO, J.C.",0.133,0.796,0.05,0.017,0.006,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR C247 - KAO, J.C. LEC 80",0.048,0.714,0.19,NA,0.048,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR M16 - CHEN, X.",0.122,0.19,0.286,0.15,0.143,0.027,0.02,0.027,0.007,NA,NA,NA,0.027
"EC ENGR M214A - ALWAN, A.A.",0.043,0.217,0.217,0.217,0.261,0.043,NA,NA,NA,NA,NA,NA,NA
"EC ENGR M214A - ALWAN, A.A. LEC 80",0.077,0.231,0.154,0.385,0.077,0.077,NA,NA,NA,NA,NA,NA,NA
"EC ENGR M217 - RIVENSON, Y.",0.167,0.417,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR M242A - TABUADA, P.",0.286,0.214,0.071,0.286,0.071,0.071,NA,NA,NA,NA,NA,NA,NA
"ECON 1 - SAEIDINEZHAD, E.",0.125,0.369,0.372,0.068,0.023,0.014,0.003,0.009,NA,NA,0.006,0.003,0.006
"ECON 101 - SANTOS DA SILVEIRA",0.233,0.364,0.171,0.161,0.045,0.017,0.01,NA,NA,NA,NA,NA,NA
"ECON 102 - BAQAEE, D.R.",0.028,0.202,0.167,0.163,0.23,0.099,0.057,0.021,0.004,0.011,NA,0.007,0.004
"ECON 103 - CONVERY, P.D.",0.08,0.313,0.083,0.213,0.05,0.083,0.053,0.067,0.057,NA,NA,NA,NA
"ECON 103L - CONVERY, P.D.",0.08,0.313,0.083,0.213,0.05,0.083,0.053,0.067,0.057,NA,NA,NA,NA
"ECON 106I - MEYER-TER-VEHN, M.",0.119,0.388,0.284,0.075,0.075,0.03,0.015,NA,0.015,NA,NA,NA,NA
"ECON 106I - MEYER-TER-VEHN, M. LEC 2",0.048,0.476,0.119,0.214,0.048,0.048,NA,0.024,NA,NA,NA,NA,0.024
"ECON 106IL - MEYER-TER-VEHN, M.",0.143,0.476,0.119,0.143,0.048,0.024,0.024,NA,0.024,NA,NA,NA,NA
"ECON 106IL - MEYER-TER-VEHN, M. LEC 2",0.06,0.388,0.284,0.119,0.075,0.045,NA,0.015,NA,NA,NA,NA,0.015
"ECON 106M - WILLIAMS, T.J.",NA,0.289,0.044,0.178,0.156,0.222,0.022,0.089,NA,NA,NA,NA,NA
"ECON 106ML - WILLIAMS, T.J.",NA,0.289,0.044,0.178,0.156,0.222,0.022,0.089,NA,NA,NA,NA,NA
"ECON 106V - WEILL, P.",0.087,0.348,0.174,0.116,0.159,0.087,NA,NA,NA,NA,NA,NA,NA
"ECON 106V - WEILL, P. LEC 2",0.108,0.541,0.149,0.068,0.122,0.014,NA,NA,NA,NA,NA,NA,NA
"ECON 106VL - WEILL, P.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 106VL - WEILL, P. LEC 2",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 107 - OZLER, S.",0.05,0.262,0.188,0.2,0.175,0.088,0.025,NA,NA,NA,NA,NA,NA
"ECON 11 - ZAME, W.R.",0.041,0.259,0.053,0.147,0.271,0.035,0.029,0.041,NA,NA,0.024,NA,0.094
"ECON 112 - OSEI TWUMASI, O.I.",0.198,0.341,0.242,0.11,0.044,0.033,0.011,0.011,NA,NA,NA,NA,NA
"ECON 113 - OZLER, S.",0.159,0.205,0.295,0.148,0.102,0.034,0.045,NA,NA,NA,NA,NA,NA
"ECON 122 - ITSKHOKI, O.",0.013,0.104,0.221,0.273,0.169,0.13,0.039,0.026,NA,NA,NA,NA,NA
"ECON 134 - TAKATSUKA, Y.",0.022,0.359,0.217,0.065,0.141,0.043,0.054,0.098,NA,NA,NA,NA,NA
"ECON 137 - MCDEVITT, E.P.",0.13,0.203,0.139,0.143,0.247,0.039,0.052,0.017,NA,NA,NA,NA,0.004
"ECON 144 - ROJAS, R.R.",0.25,0.306,0.194,0.111,NA,NA,0.028,0.056,NA,NA,NA,0.028,NA
"ECON 147 - LIAO, Z.",0.062,0.281,0.156,0.156,0.156,0.156,NA,0.031,NA,NA,NA,NA,NA
"ECON 147L - LIAO, Z.",NA,0.906,0.062,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 160 - SAEIDINEZHAD, E.",0.241,0.276,0.207,0.172,0.103,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 165 - GEEROLF, F.",0.158,0.568,0.216,0.029,NA,0.022,0.007,NA,NA,NA,NA,NA,NA
"ECON 169 - SIMON, W.E.",NA,0.632,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 170 - ASKER, J.W.",0.03,0.525,0.01,0.303,0.121,0.01,NA,NA,NA,NA,NA,NA,NA
"ECON 173A - ATKESON, A.G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 185 - ROSS, S.G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 187 - ROJAS, R.R.",0.786,0.143,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 189 - SANTOS DA SILVEIRA",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 19 - BOARD, S.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 19 - LLERAS-MUNEY, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 2 - TAKATSUKA, Y.",0.044,0.304,0.126,0.126,0.237,0.022,0.052,0.015,0.044,NA,0.022,NA,0.007
"ECON 201B - ZAME, W.R.",0.069,0.276,0.207,0.207,0.138,0.103,NA,NA,NA,NA,NA,NA,NA
"ECON 202B - ATKESON, A.G.",0.105,0.263,0.263,0.211,0.158,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 203B - SANTOS, A.",0.053,0.211,0.263,0.368,0.105,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 218B - LU, J.Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 219B - LU, J.Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 228B - BAQAEE, D.R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 229B - BAQAEE, D.R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 238B - SHENG, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 239B - CHETVERIKOV, D.N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 242 - GIORCELLI, M.",0.4,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 248B - GIORCELLI, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 261B - GONCALVES, F.M.",0.154,0.462,0.231,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 268B - GONCALVES, F.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 269B - GONCALVES, F.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 271B - ASKER, J.W.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 278B - HACKMANN, M.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 375 - FAJGELBAUM, P.D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 375 - LIAO, Z.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 375 - MEYER-TER-VEHN, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 375 - SHENG, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 41 - HAHN, J.",0.041,0.182,0.174,0.182,0.116,0.132,0.066,0.066,0.041,NA,NA,NA,NA
"ECON 41 - ROJAS, R.R.",0.113,0.139,0.113,0.132,0.113,0.086,0.079,0.086,0.013,0.046,0.026,NA,0.053
"ECON 410 - TORNELL, A.",0.609,0.333,0.043,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 421 - BOARD, S.A.",0.033,0.2,0.233,0.267,0.167,0.033,NA,NA,NA,NA,NA,NA,NA
"ECON 424 - VOGEL, J.E.",0.196,0.549,0.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 425 - LIU, X.",0.075,0.313,0.493,0.09,0.015,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 429B - ROTHMAN, V.",0.095,0.857,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 432 - LIAO, Z.",0.426,0.344,0.115,0.066,0.016,0.016,NA,NA,NA,NA,NA,NA,NA
"ECON 433 - WEILL, P.",0.179,0.522,0.149,0.015,0.134,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 495 - MCGARRY, K.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 89 - ZAME, W.R.",NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON M123 - TORNELL, A.",0.043,0.362,0.234,0.128,0.064,0.064,NA,0.085,0.021,NA,NA,NA,NA
"EDUC 11 - NOGUERA, P.A.",NA,0.538,0.012,0.312,0.088,NA,0.025,0.012,NA,NA,NA,NA,NA
"EDUC 127 - DARBY, J.T.",0.278,0.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 132 - KASARI, C.L.",0.273,0.409,0.227,0.045,0.023,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 143 - MCDONOUGH, P.M.",0.158,0.645,0.158,0.026,0.013,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 164 - ALLEN, W.R.",0.053,0.237,0.184,0.263,0.211,0.053,NA,NA,NA,NA,NA,NA,NA
"EDUC 166 - BAILEY, A.",0.286,0.571,0.119,NA,0.024,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 184 - HIPOLITO, E.D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 185 - PATTERSON, J.",0.273,0.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 187 - AMLANI, A.M.",0.368,0.526,0.053,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA
"EDUC 187 - DORIO, J.",0.852,0.037,0.037,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 187 - GRAMMER, J.K.",0.345,0.202,0.095,0.048,0.119,0.048,0.048,0.036,0.012,0.012,0.012,NA,NA
"EDUC 187 - SHARE, J.",0.346,0.423,0.154,NA,0.038,0.038,NA,NA,NA,NA,NA,NA,NA
"EDUC 187 - SHARE, J. LEC 5",0.16,0.56,0.08,NA,0.12,NA,NA,0.04,NA,NA,NA,NA,NA
"EDUC 191C - HARRISON, O.C.",0.143,0.071,0.321,0.286,0.071,0.071,0.036,NA,NA,NA,NA,NA,NA
"EDUC 196C - NIMMO-RAMIREZ, L.A",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 196D - BANG, S.H.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 204D - SOLORZANO, D.G.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 204E - OMWAMI, E.S.",0.2,0.6,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 211C - CAI, L.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 222B - MANCEVICE, N.A.",0.154,0.538,0.231,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 222B - MCCARTY, T.L.",0.136,0.773,0.045,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 222D - MARIN, A.M.",NA,0.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 229 - ORELLANA, M.E.",NA,0.8,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 230A - HANSEN, M.P.",NA,0.966,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 230B - HANSEN, M.P.",NA,0.944,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 230B - WEBB, N.M.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 230BL - HANSEN, M.P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 230BL - WEBB, N.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 233 - ROSE, M.A.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 243 - SELTZER, M.H.",NA,0.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 250B - JAQUETTE, O.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 255C - JEON, M.",0.188,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 272 - KRATZER, C.C.",0.125,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 281 - MCDONOUGH, P.M.",0.357,0.643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - ALLEN, W.R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - CHANG, M.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - DESJARDINS, R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - GOMEZ, K.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - GRAHAM, S.H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - JEON, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - KASARI, C.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - OMWAMI, E.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - SOLORZANO, D.G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - TORRES, C.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 296K - KRATZER, C.C.",0.207,0.724,0.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 299B - DORIO, J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 299B - EAGAN, K.",NA,0.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 315B - ARIAS, M.S.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 315B - KERSEY, S.E.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 318A - GREEN, R.E.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 318B - HIPOLITO, E.D.",0.053,0.895,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 320B - NAVA-LANDEROS, I.",0.353,0.412,0.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 320B - PARK, J.J.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 321A - LEE, D.O.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 321B - LEE, D.O.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 330B - ALBER, R.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 330B - ARIAS, M.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 330B - LEE, D.O.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 330B - PARK, J.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 330B - RAFI, F.H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 35 - MARTINEZ-FERNANDEZ",0.097,0.389,0.292,0.111,0.069,0.042,NA,NA,NA,NA,NA,NA,NA
"EDUC 360B - ALBER, R.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 360B - ARIAS, M.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 360B - LEE, D.O.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 360B - PARK, J.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 360B - RAFI, F.H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 390B - GRAMMER, J.K.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 405B - ALBER, R.L.",0.5,0.333,0.083,NA,0.083,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 405B - ARIAS, M.S.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 405B - LEE, D.O.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 405B - PARK, J.J.",NA,0.862,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 405B - RAFI, F.H.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 409 - DARBY, J.T.",0.174,0.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 409 - GUILLEN, L.I.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 409 - LOPEZ, E.F.",NA,0.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 409 - ORELLANA, M.E.",0.278,0.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 411 - CHRISTIE, C.A.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 413B - BELLOSO, J.M.",0.476,0.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 413B - NAVARRO, B.A.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 419 - VOGELGESANG, L.",0.714,0.214,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 420A - ALARCON, R.",0.333,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 420A - GREEN, R.E.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 420A - KERSEY, S.E.",NA,0.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 420A - LOPEZ, E.F.",NA,0.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 420A - NAVA-LANDEROS, I.",0.367,0.433,0.067,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 425 - RAFI, F.H.",0.037,0.741,0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 425 - SMITH, K.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 441A - ISKEN, J.",0.333,0.5,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 452B - EAGAN, K.",0.375,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 458B - DURKIN, D.",NA,0.962,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 471 - FRANCOIS, A.",NA,0.364,0.455,NA,0.091,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 495 - TOBIASON, G.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498B - GREEN, R.E.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498B - KERSEY, S.E.",NA,0.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498B - LOPEZ, E.F.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498B - NAPLES, R.J.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498B - NAVA-LANDEROS, I.",0.533,0.267,0.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 499B - APIGO, M.J.",NA,0.724,0.069,0.103,0.034,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 599 - SOLORZANO, D.G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 98 - BEASLEY, M.E.",0.118,0.353,0.412,0.059,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"EDUC 98 - HOWARD, T.C.",NA,0.8,NA,NA,0.15,NA,NA,0.05,NA,NA,NA,NA,NA
"EDUC 98 - HOWARD, T.C. LEC 3",0.25,0.333,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC M103 - TERANISHI, R.T.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC M217C - WOOD, J.J.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC M253A - TORRES, C.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100 - GORLITSKY, L.E.",0.156,0.322,0.172,0.137,0.099,0.061,0.022,0.016,0.01,0.003,NA,NA,0.003
"EE BIOL 100L - GORLITSKY, L.E.",0.167,0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100L - GORLITSKY, L.E. LEC 2",NA,0.556,0.222,NA,0.111,0.056,0.056,NA,NA,NA,NA,NA,NA
"EE BIOL 100L - GORLITSKY, L.E. LEC 3",NA,0.812,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100L - GORLITSKY, L.E. LEC 4",NA,0.824,0.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100L - GORLITSKY, L.E. LEC 5",0.176,0.647,0.118,NA,NA,NA,NA,NA,0.059,NA,NA,NA,NA
"EE BIOL 100L - GORLITSKY, L.E. LEC 6",0.188,0.438,0.25,0.062,NA,0.062,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100L - GORLITSKY, L.E. LEC 7",0.167,0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100L - GORLITSKY, L.E. LEC 8",0.167,0.611,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 101 - KANE, T.L.",0.146,0.634,0.073,0.122,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 103 - ZAPATA, F.",0.207,0.293,0.224,0.138,0.069,0.052,0.017,NA,NA,NA,NA,NA,NA
"EE BIOL 110 - DINES, J.P.",0.192,0.308,0.038,0.077,0.115,0.115,0.038,0.077,0.038,NA,NA,NA,NA
