"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"ENGCOMP 3 - HYLAND, L.",0.111,0.111,0.5,0.111,0,0.111,0,0,0.056,0,0,0,0
"ENGCOMP 3 - JOHNSON, D.",0.2,0.333,0,0.067,0.2,0.2,0,0,0,0,0,0,0
"ENGCOMP 3 - LEHMAN, P.J.",0.333,0.267,0,0.067,0.067,0.267,0,0,0,0,0,0,0
"ENGCOMP 3 - MENDOZA, R.E.",1,0,0,0,0,0,0,0,0,0,0,0,0
"ENGCOMP 3 - MOE, M.L.",0.368,0.316,0,0,0.105,0.211,0,0,0,0,0,0,0
"ENGCOMP 3 - POPHAM, S.A.",0.273,0.091,0,0,0.273,0.091,0.091,0,0.091,0,0,0.091,0
"ENGCOMP 3 - SCICLU0, M.A.",0.118,0.294,0,0.176,0,0.412,0,0,0,0,0,0,0
"ENGCOMP 3 - STEINBERG, S.K.",0.947,0,0,0,0,0,0,0.053,0,0,0,0,0
"ENGCOMP 3 - SUSSMAN, D.B.",0.684,0.211,0.053,0,0,0.053,0,0,0,0,0,0,0
"ENGCOMP 3 - VINCENT, D.O.",0.846,0.077,0,0,0,0.077,0,0,0,0,0,0,0
"ENGCOMP 3 - WAGNER, P.J.",0.385,0.154,0,0.154,0.077,0.231,0,0,0,0,0,0,0
"ENGCOMP 50 - SHERWOOD, L.A.",0.85,0.15,0,0,0,0,0,0,0,0,0,0,0
"ENGCOMP 50 - VINCENT, D.O.",0.9,0,0,0,0.05,0,0,0,0,0,0,0,0.05
"ENGCOMP 5W - CREESE, R.A.",0.6,0.233,0,0.033,0,0.1,0,0,0,0,0,0,0.033
"ENGL 115A - ZIRULNIK, M.A.",0.667,0.242,0,0,0,0.03,0,0,0,0,0,0,0.061
"ENGL 118E - HORNBY, L.E.",0.958,0,0.042,0,0,0,0,0,0,0,0,0,0
"ENGL 119 - HUEHLS, M.A.",0.353,0.353,0.294,0,0,0,0,0,0,0,0,0,0
"ENGL 119 - STEFANS, B.K.",0.2,0.067,0.567,0.033,0.033,0.1,0,0,0,0,0,0,0
"ENGL 129 - SNELSON, D.S.",0.742,0,0.194,0,0,0,0,0,0,0,0,0,0.065
"ENGL 149 - MOTT, C.M.",0.955,0,0,0,0,0,0,0,0,0,0,0,0.045
"ENGL 150C - LITTLE, A.L.",0.268,0.22,0.098,0.171,0.049,0.171,0.024,0,0,0,0,0,0
"ENGL 163C - STEPHAN, M.",0.119,0.262,0,0.238,0.024,0.262,0,0,0.071,0,0,0,0.024
"ENGL 170A - SALWAY, M.C.",0.059,0.118,0.824,0,0,0,0,0,0,0,0,0,0
"ENGL 20W - GOYAL, Y.",0.661,0.119,0.153,0.034,0,0.017,0,0,0.017,0,0,0,0
"ENGL 4W - GOYAL, Y.",0.816,0.053,0.013,0.026,0.026,0.013,0.013,0.013,0,0,0,0,0.026
"ENGL 90 - LITTLE, A.L.",0.409,0.136,0.273,0.091,0,0,0,0,0,0,0,0.045,0.045
"ENGL M103 - DELCHAMPS, V.P.",0.375,0.188,0.312,0.062,0,0,0,0.062,0,0,0,0,0
"ENGL M105A - LOPEZ, M.K.",0.263,0.316,0.053,0.053,0.053,0.158,0,0,0,0,0,0,0.105
"ENGL M107B - MARCHANT, E.A.",0.091,0,0.909,0,0,0,0,0,0,0,0,0,0
"ENGL M138 - EKIMYAN, H.",0.35,0,0.65,0,0,0,0,0,0,0,0,0,0
"ENGL M138 - GROBEL, L.M.",0.706,0.059,0.176,0.059,0,0,0,0,0,0,0,0,0
"ENGR 110 - BULU-TACIROGLU, M.",0.701,0.194,0,0,0.015,0.075,0,0,0,0,0.015,0,0
"ENGR 111 - BULU-TACIROGLU, M.",0.627,0.235,0.02,0.02,0,0.098,0,0,0,0,0,0,0
"ENGR 116 - DOLECEK, L.",0.188,0.438,0.062,0,0,0.312,0,0,0,0,0,0,0
"ENGR 163 - ROSTAMIAN, F.D.",0.4,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0
"ENGR 183EW - BROWNE, D.G.",0.471,0.165,0.176,0.088,0.012,0.065,0.012,0,0.006,0,0,0,0.006
"ENGR 195 - WESEL, R.D.",1,0,0,0,0,0,0,0,0,0,0,0,0
"ENGR 203 - SILVERMAN, S.J.",0.7,0,0.3,0,0,0,0,0,0,0,0,0,0
"ENGR 206 - KUNG, K.C.",0.875,0,0.125,0,0,0,0,0,0,0,0,0,0
"ENGR 211 - BULU-TACIROGLU, M.",0.556,0.056,0.389,0,0,0,0,0,0,0,0,0,0
"ENGR 96C - KAISER, W.J.",0.225,0.175,0.55,0.025,0,0.025,0,0,0,0,0,0,0
"ENV HLT 100 - COLE, B.L.",0.786,0,0.214,0,0,0,0,0,0,0,0,0,0
"ENVIRON 163 - GIOTTONINI BADILLA",0.444,0.111,0.444,0,0,0,0,0,0,0,0,0,0
"ENVIRON 25 - BASSETT, J.C.",0.914,0.037,0,0,0,0.037,0,0,0,0,0,0,0.012
"ENVIRON M132 - BENDER, C.T.",0.8,0.05,0,0,0,0.15,0,0,0,0,0,0,0
"ENVIRON M153 - WELLS, W.R.",0.967,0.033,0,0,0,0,0,0,0,0,0,0,0
"ENVIRON M164 - GARRISON, N.J.",0.31,0.276,0,0,0,0.414,0,0,0,0,0,0,0
"ENVIRON M167 - KUKLOWSKY, C.H.",0.692,0.077,0.154,0.077,0,0,0,0,0,0,0,0,0
"EPIDEM 100 - HECK, J.E.",0.282,0.333,0.013,0.09,0.077,0.154,0.013,0,0.038,0,0,0,0
"EPS SCI 1 - ESPOSITO, R.",0.619,0.095,0.19,0,0,0,0.048,0.048,0,0,0,0,0
"EPS SCI 121F - YIN, A.",0.273,0.182,0.182,0.364,0,0,0,0,0,0,0,0,0
"EPS SCI 15 - DRAKE, J.",0.459,0.162,0.135,0.027,0,0.162,0.027,0,0,0,0,0,0.027
"EPS SCI 16 - PARISI, A.F.",0,0.071,0.429,0.214,0.071,0,0.214,0,0,0,0,0,0
"EPS SCI 9 - RUBIN, A.E.",0.353,0,0.176,0.118,0,0.235,0,0.059,0,0,0,0,0.059
"ESL 25 - KELLEY, J.C.",0.182,0,0.636,0,0,0,0.091,0,0,0,0,0,0.091
"ETHNMUS 168A - LI, C.",0.9,0,0.1,0,0,0,0,0,0,0,0,0,0
"ETHNMUS 168F - KAUSHAL, A.",1,0,0,0,0,0,0,0,0,0,0,0,0
"ETHNMUS 30 - RORKE, C.M.",0.4,0.133,0.133,0.133,0,0.133,0,0,0,0,0,0,0.067
"ETHNMUS M108A - FRANCISCO CRISTOBA",0.182,0,0.727,0.091,0,0,0,0,0,0,0,0,0
"ETHNMUS M119 - AVIDAN, L.J.",0.524,0.19,0.19,0,0,0.095,0,0,0,0,0,0,0
"ETHNMUS M25 - STUPARITZ, O.G.",0.444,0.222,0,0,0,0.111,0,0.111,0,0,0,0,0.111
"ETHNMUS M50A - RIVERA, A.",0,0.091,0.727,0,0,0.182,0,0,0,0,0,0,0
"FILM TV 101A - HAIGH, B.P.",0,0,1,0,0,0,0,0,0,0,0,0,0
"FILM TV 101A - MALONE, M.E.",0.267,0.267,0.467,0,0,0,0,0,0,0,0,0,0
"FILM TV 101A - VANGELLOW, L.V.",0.514,0.057,0.371,0,0,0,0,0,0.057,0,0,0,0
"FILM TV 114 - WUEST, B.G.",0.37,0.096,0.452,0.027,0,0.055,0,0,0,0,0,0,0
"FILM TV 122D - GLIENKE, K.J.",0.327,0.077,0.462,0.019,0,0.038,0.038,0.019,0,0,0,0,0.019
"FILM TV 122D - LE0RT, L.E.",0.667,0.167,0.167,0,0,0,0,0,0,0,0,0,0
"FILM TV 122D - SMALLEY, K.L.",0.5,0,0.3,0,0,0,0,0,0.1,0,0.1,0,0
"FILM TV 122D - WILSON, B.D.",0.538,0.077,0.385,0,0,0,0,0,0,0,0,0,0
"FILM TV 122E - BURTNETT, S.S.",0.456,0.123,0.281,0.053,0,0.035,0.035,0,0,0,0,0,0.018
"FILM TV 122E - CANNON, P.J.",0,0,0.864,0,0,0.045,0.045,0.045,0,0,0,0,0
"FILM TV 122J - BECK, J.A.",0.243,0.159,0.551,0.009,0,0.037,0,0,0,0,0,0,0
"FILM TV 122M - KELLY, R.M.",0.46,0.023,0.494,0,0,0,0,0,0,0,0,0,0.023
"FILM TV 122M - MCMUNN, J.R.",0.909,0,0,0,0,0,0,0,0,0,0,0,0.091
"FILM TV 146 - BOYLE, B.",0.341,0.073,0.195,0.098,0,0.195,0.024,0,0,0.024,0.024,0,0.024
"FILM TV 178 - FINELL, M.A.",0.864,0,0,0.045,0,0.045,0,0,0,0,0,0,0.045
"FILM TV 178 - ISENBERG, C.A.",1,0,0,0,0,0,0,0,0,0,0,0,0
"FILM TV 180A - WARD, D.A.",0.333,0.067,0.6,0,0,0,0,0,0,0,0,0,0
"FILM TV 180B - BARNES, J.C.",0,0,1,0,0,0,0,0,0,0,0,0,0
"FILM TV 183A - CRESWICK, A.",0.167,0.167,0.5,0.111,0,0.056,0,0,0,0,0,0,0
"FILM TV 183A - FRANKLIN, A.S.",0.92,0,0.08,0,0,0,0,0,0,0,0,0,0
"FILM TV 183A - LIEBING, H.",0.071,0,0.929,0,0,0,0,0,0,0,0,0,0
"FILM TV 183B - LIEBING, H.",0.111,0,0.889,0,0,0,0,0,0,0,0,0,0
"FILM TV 183C - LIEBING, H.",0,0,1,0,0,0,0,0,0,0,0,0,0
"FILM TV 188A - GOLDSMITH, J.L.",1,0,0,0,0,0,0,0,0,0,0,0,0
"FILM TV 188A - SIARA, J.E.",0.583,0,0.333,0,0,0,0,0,0,0,0,0,0.083
"FILM TV 195 - FRANKLIN, A.S.",1,0,0,0,0,0,0,0,0,0,0,0,0
"FILM TV 221 - SAMPSON, B.N.",0.647,0.059,0.235,0,0,0.059,0,0,0,0,0,0,0
"FILM TV 33 - GRIFFIN, N.E.",0.259,0.148,0.481,0,0.037,0.074,0,0,0,0,0,0,0
"FILM TV 33 - HUANG, G.J.",0.258,0.061,0.561,0.03,0.015,0.045,0.015,0,0,0,0,0,0.015
"FILM TV 4 - GREENE, S.M.",0.52,0.08,0.04,0.04,0.04,0.08,0,0,0.04,0,0,0.04,0.12
"FILM TV 4 - TRICE, J.N.",0.369,0.095,0.4,0.031,0.027,0.041,0.007,0.003,0.007,0,0,0,0.02
"FILM TV 72 - SCHWARTZ, C.N.",0.535,0.292,0,0.049,0.014,0.09,0,0,0.021,0,0,0,0
"FILM TV 75 - CANNON, P.J.",0,0,0.824,0,0.059,0.118,0,0,0,0,0,0,0
"FILM TV 84A - MANN, D.R.",0.365,0.154,0.269,0.019,0.038,0.038,0,0.019,0.058,0,0.038,0,0
"FILM TV 84A - WUEST, B.G.",0.32,0.24,0.16,0.04,0,0.16,0.08,0,0,0,0,0,0
"FILM TV M111 - HANSEN, C.",0.267,0.033,0.633,0,0,0.067,0,0,0,0,0,0,0
"FOOD ST 133W - RENTON, K.E.",0.538,0.231,0,0.077,0.077,0.077,0,0,0,0,0,0,0
"FOOD ST 159 - KIM, M.K.",0.4,0.2,0,0.2,0,0.1,0,0,0,0,0,0,0.1
"FOOD ST 27 - KIM, M.K.",0.429,0.143,0,0.429,0,0,0,0,0,0,0,0,0
"FRNCH 1 - JANSMA, K.",0.286,0.143,0.214,0,0.143,0.214,0,0,0,0,0,0,0
"FRNCH 3 - JANSMA, K.",0.467,0.333,0,0.133,0.067,0,0,0,0,0,0,0,0
"FRNCH 41 - JANSMA, K.",0.565,0.174,0.087,0.043,0.043,0.043,0,0,0.043,0,0,0,0
"FRNCH 8 - JANSMA, K.",0.52,0.2,0,0.08,0,0.12,0.04,0,0,0,0,0.04,0
"GENDER 10 - MAURICIO, D.W.",0.255,0.043,0.574,0.021,0,0.106,0,0,0,0,0,0,0
"GENDER 101W - GOEMAN, M.R.",0.294,0.118,0.294,0,0,0.294,0,0,0,0,0,0,0
"GENDER 102 - JADALI, S.",0.333,0.125,0.083,0.083,0.042,0.125,0.042,0.042,0.083,0,0.042,0,0
"GENDER M107B - GUZMAN, J.J.",0,0,0.909,0.091,0,0,0,0,0,0,0,0,0
"GENDER M111 - HANSEN, C.",0.16,0,0.76,0,0,0.08,0,0,0,0,0,0,0
"GENDER M133C - DAYTON, E.C.",0.891,0,0,0.043,0,0.043,0,0,0,0,0,0,0.022
"GENDER M162 - COLLETT, J.L.",1,0,0,0,0,0,0,0,0,0,0,0,0
"GENDER M174 - COLLETT, J.L.",0.929,0,0,0,0,0,0,0,0,0,0,0,0.071
"GEOG 1 - ROBINSON, C.M.",0.464,0.179,0.071,0.107,0.071,0.036,0.036,0,0.036,0,0,0,0
"GEOG 125 - LE, T.B.",0.557,0.045,0.352,0.011,0,0.011,0.011,0,0.011,0,0,0,0
"GEOG 156 - ILLES, L.I.",0.233,0.367,0,0.167,0.033,0.1,0.033,0,0.033,0,0,0,0.033
"GEOG 167 - OCON, J.P.",0.436,0.255,0.055,0.091,0.055,0.091,0.018,0,0,0,0,0,0
"GEOG 168 - DIMSON, M.J.",0.383,0.255,0,0.085,0,0.17,0.021,0.043,0.043,0,0,0,0
"GEOG 170 - ZHAN, S.",0.647,0.176,0,0.118,0,0.059,0,0,0,0,0,0,0
"GEOG 4 - HAMDAN, A.N.",0.238,0.286,0.048,0.095,0.19,0.095,0.048,0,0,0,0,0,0
"GEOG 5 - GEORGE, J.R.",0.3,0.086,0.4,0.057,0.043,0.057,0.029,0,0.014,0,0.014,0,0
"GEOG 5 - MILLER, R.",0.243,0.135,0.054,0.162,0.108,0.243,0,0,0,0.027,0,0,0.027
"GEOG 6 - BEER, C.M.",0.182,0.273,0.227,0.045,0.091,0.091,0,0,0.045,0,0.045,0,0
"GEOG 7 - DIMSON, M.J.",0.409,0.227,0.045,0.068,0.068,0.159,0.011,0.011,0,0,0,0,0
"GEOG 7 - SPIVEY, H.D.",0.39,0.234,0,0.052,0.065,0.195,0,0.026,0.026,0,0.013,0,0
"GEOG M115 - BENDER, C.T.",0.714,0.143,0,0,0,0.095,0,0,0.048,0,0,0,0
"GEOG M149 - OSMAN, T.",0.16,0.32,0.08,0.16,0.08,0.2,0,0,0,0,0,0,0
"GERMAN 59 - FUCHS, R.T.",0.222,0.278,0.389,0.056,0,0.056,0,0,0,0,0,0,0
"GLB HLT 100 - BRANDT, C.E.",0.302,0,0.679,0,0,0.019,0,0,0,0,0,0,0
"GLBL ST 1 - THIES, M.F.",0.29,0.371,0,0.145,0.032,0.129,0,0,0,0.016,0,0.016,0
"GLBL ST 120 - PARK, P.S.",0.364,0.182,0.136,0,0,0.273,0,0.045,0,0,0,0,0
"GLBL ST 140 - FRANKLIN, A.S.",0.93,0,0.07,0,0,0,0,0,0,0,0,0,0
"HIST 13C - KELLEY, R.D.",0.344,0.213,0.098,0.082,0.016,0.18,0.016,0,0,0,0,0,0.049
"HIST 140A - COREY, M.F.",0.571,0.171,0.086,0.029,0,0.143,0,0,0,0,0,0,0
"HIST 141B - HILL, M.",0.652,0.174,0,0.087,0,0.043,0,0,0,0.043,0,0,0
"HIST 142D - AVILA, E.R.",0.107,0.5,0.036,0.107,0.036,0.071,0,0,0.071,0.071,0,0,0
"HIST 154 - CHAM, A.",0.261,0.413,0,0.174,0,0.152,0,0,0,0,0,0,0
"HIST 179B - ZELENY, C.L.",0.839,0,0.161,0,0,0,0,0,0,0,0,0,0
"HIST 180A - LAWRENCE, A.",0.296,0.148,0.296,0,0.037,0.222,0,0,0,0,0,0,0
"HIST 191A - LANGDON, J.S.",0.35,0.4,0.05,0,0,0.2,0,0,0,0,0,0,0
"HIST 191F - MOMDJIAN, M.",0.531,0.25,0.125,0,0,0.094,0,0,0,0,0,0,0
"HIST 1B - RUIZ, T.F.",0.489,0.111,0.267,0.044,0.022,0.044,0.022,0,0,0,0,0,0
"HIST 1C - HUNT, L.A.",0.426,0.074,0.382,0,0.015,0.059,0,0,0,0,0,0,0.044
"HIST 5 - STEIN, S.A.",0.771,0.115,0,0.031,0.021,0.021,0.01,0,0.01,0,0,0,0.021
"HIST 97M - WOODS, D.L.",1,0,0,0,0,0,0,0,0,0,0,0,0
"HIST M103A - COONEY, K.M.",0.2,0.233,0.3,0.033,0.033,0.067,0.067,0,0,0,0,0,0.067
"HIST M103B - PRICE, J.R.",0.421,0.158,0.158,0,0,0.263,0,0,0,0,0,0,0
"HIST M133C - DAYTON, E.C.",0.831,0.051,0,0.051,0,0.034,0,0,0.017,0,0,0,0.017
"HIST M142C - JOSEPH, S.J.",0.526,0,0.421,0,0,0.053,0,0,0,0,0,0,0
"HIST M150B - STEVENSON, B.",0.95,0,0,0.05,0,0,0,0,0,0,0,0,0
"HIST M150D - BROWN, S.D.",0.091,0.182,0.636,0.045,0,0.045,0,0,0,0,0,0,0
"HIST M155 - GANTNER, D.C.",0.238,0.286,0,0.19,0,0.262,0,0,0,0,0,0,0.024
"HLT POL 100 - MAY, J.W.",0.606,0.091,0.182,0,0,0.091,0,0,0,0,0,0.03,0
"HNRS 26 - FISHER, C.",0.2,0.4,0,0.114,0.029,0.257,0,0,0,0,0,0,0
"HNRS M145 - ROMERO, R.C.",0.733,0.1,0.133,0,0,0,0,0,0,0,0,0,0.033
"I A STD 1 - THIES, M.F.",0.333,0.167,0,0.1,0.033,0.133,0,0.033,0.167,0,0,0,0.033
"I A STD 195CE - THIES, M.F.",0.938,0,0,0.062,0,0,0,0,0,0,0,0,0
"I A STD 31 - WOODS, D.L.",0.952,0.048,0,0,0,0,0,0,0,0,0,0,0
"I A STD 33 - JUNG-KIM, J.J.",0.333,0.444,0.222,0,0,0,0,0,0,0,0,0,0
"INTL DV 1 - ANJUM, E.",0.569,0.154,0.215,0.031,0,0.031,0,0,0,0,0,0,0
"INTL DV 110 - LOFCHIE, M.F.",0.714,0.143,0,0,0,0.114,0,0,0,0,0,0,0.029
"INTL DV 130 - LOFCHIE, M.F.",0.717,0.196,0.022,0.043,0,0.022,0,0,0,0,0,0,0
"INTL DV 191 - VU, L.H.",0.107,0.179,0.107,0.321,0.071,0.071,0,0.036,0.107,0,0,0,0
"INTL DV M120 - LOFCHIE, M.F.",0.455,0,0.091,0.091,0.091,0.091,0.091,0,0,0,0,0,0.091
"ISLM ST M20 - ALI, M.M.",0.571,0.143,0,0.143,0,0.071,0.071,0,0,0,0,0,0
"ITALIAN 1 - TOGNOZZI, E.A.",0.6,0,0.333,0.067,0,0,0,0,0,0,0,0,0
"ITALIAN 3 - TOGNOZZI, E.A.",0.391,0.174,0.261,0.043,0.043,0.087,0,0,0,0,0,0,0
"JAPAN 1 - TAYLOR, Y.",0.857,0.029,0.029,0.029,0.029,0.029,0,0,0,0,0,0,0
"JAPAN 10 - 0GAI, A.",0.25,0.208,0,0.167,0.083,0.125,0.125,0,0.042,0,0,0,0
"JAPAN 100S - NISHIJIMA, R.",0.353,0.353,0.059,0,0.176,0.059,0,0,0,0,0,0,0
"JAPAN 155 - SHIMA, K.M.",0.176,0.147,0.588,0,0,0.029,0,0,0,0,0,0,0.059
"JAPAN 2 - TAYLOR, Y.",0.818,0.091,0.045,0,0,0.045,0,0,0,0,0,0,0
"JAPAN 3 - TAYLOR, Y.",0.833,0.056,0.056,0,0,0,0,0,0.056,0,0,0,0
"JAPAN 75 - KANESAKA, K.K.",0.5,0.097,0.25,0,0,0.097,0,0,0.028,0,0,0,0.028
"JAPAN 75 - TRUSCOTT, D.M.",0.31,0.024,0.571,0.012,0.012,0.048,0.012,0,0,0.012,0,0,0
"JAPAN C159 - SHIMA, K.M.",0.273,0.091,0.591,0,0,0.045,0,0,0,0,0,0,0
"KOREA 1 - PARK, J.",0.485,0.121,0.242,0.03,0,0.091,0,0,0,0,0,0,0.03
"KOREA 10 - BAE, E.Y.",0.111,0,0.778,0,0,0.111,0,0,0,0,0,0,0
"KOREA 155 - REIZMAN, L.H.",0.533,0.133,0,0.067,0,0.2,0,0,0,0,0,0,0.067
"KOREA 2 - PARK, J.",0.24,0.16,0.48,0,0,0.08,0,0,0.04,0,0,0,0
"KOREA 3 - PARK, J.",0.375,0.042,0.583,0,0,0,0,0,0,0,0,0,0
"KOREA 40 - CHOI, J.A.",0.25,0.25,0.333,0.083,0,0,0.083,0,0,0,0,0,0
"KOREA 50 - HILLMER, J.D.",0.562,0.125,0.25,0,0,0,0,0,0.062,0,0,0,0
"LATIN 16 - BECKELHYMER, S.D.",0.4,0.133,0.267,0.067,0.067,0,0,0,0,0.067,0,0,0
"LBR STD 177 - 0RRO, V.H.",0,0,1,0,0,0,0,0,0,0,0,0,0
"LBR STD 194A - WAHEED, S.",0.654,0.269,0,0,0,0.077,0,0,0,0,0,0,0
"LBR STD 194C - WAHEED, S.",0.926,0,0,0,0,0.037,0,0,0.037,0,0,0,0
"LGBTQS M114 - WOOLSEY, M.F.",0.158,0.105,0.474,0,0.158,0.053,0,0,0.053,0,0,0,0
"LGBTQS M137 - ACE, J.",0.308,0.231,0.462,0,0,0,0,0,0,0,0,0,0
"LGBTQS M137 - FITZPATRICK, E.A.",0.067,0.067,0.733,0.067,0.067,0,0,0,0,0,0,0,0
"LIFESCI 107 - MALOY, J.P.",0.57,0.064,0.192,0.041,0.029,0.058,0.012,0,0.035,0,0,0,0
"LIFESCI 15 - PHELAN, J.P.",0.484,0.113,0.081,0.097,0.032,0.129,0.048,0,0.016,0,0,0,0
"LIFESCI 23L - PFLUEGL, G.M.",0.213,0.042,0.711,0.015,0.004,0.004,0,0.004,0.004,0.004,0,0,0
"LIFESCI 30A - LAN0N, R.",0.381,0.214,0,0.119,0.024,0.071,0.048,0,0.048,0.024,0.024,0,0.048
"LIFESCI 30A - SHEVTSOV, J.",0.375,0.156,0.188,0.125,0,0.125,0,0,0.031,0,0,0,0
"LIFESCI 30A - VENUGOPAL, S.",0.449,0.038,0.423,0.013,0,0.064,0,0,0,0.013,0,0,0
"LIFESCI 30B - VENUGOPAL, S.",0.373,0.059,0.373,0.059,0,0.059,0.039,0,0.02,0,0,0,0.02
"LIFESCI 7A - DAS, S.",0.425,0.082,0,0.178,0.027,0.082,0.123,0,0.027,0.027,0,0,0.027
"LIFESCI 7A - GUTIERREZ, M.A.",0.524,0.095,0.31,0,0.024,0.012,0.012,0,0,0.024,0,0,0
"LIFESCI 7A - KHANKAN, R.R.",0.387,0.161,0.032,0.129,0.129,0.065,0.065,0,0.032,0,0,0,0
"LIFESCI 7A - MULJI, A.K.",0.624,0.12,0,0.103,0.043,0.077,0,0,0.017,0.009,0,0,0.009
"LIFESCI 7B - KANE, T.L.",0.698,0.095,0.008,0.056,0.032,0.087,0,0,0.024,0,0,0,0
"LIFESCI 7B - PIRES, D.B.",0.571,0.19,0,0.095,0.048,0.095,0,0,0,0,0,0,0
"LIFESCI 7B - ROBERTSON, S.Y.",0.392,0.304,0,0.114,0.063,0.089,0,0,0.025,0,0,0,0.013
"LIFESCI 7C - DAS, S.",0.371,0.248,0,0.095,0.048,0.152,0.048,0,0.038,0,0,0,0
"LIFESCI 7C - GUTIERREZ, M.A.",0.519,0.145,0.176,0.061,0.023,0.046,0.015,0,0.015,0,0,0,0
"LIFESCI 7C - KHANKAN, R.R.",0.609,0.13,0,0.087,0,0.13,0,0,0,0,0,0,0.043
"LING 1 - MAJOR, T.J.",0.403,0.118,0.347,0.069,0.021,0.042,0,0,0,0,0,0,0
"LING 1 - TORRENCE, W.H.",0.316,0.129,0.431,0.048,0.014,0.033,0.01,0,0,0,0,0,0.019
"LING 103 - PRECHTEL, C.E.",0.278,0.278,0.111,0.111,0.056,0,0.056,0,0.056,0,0,0,0.056
"LING 111 - RETT, J.L.",0,0.25,0.083,0.167,0.083,0.167,0,0,0,0.083,0,0,0.167
"LING 120A - KATSUDA, H.",0.269,0.192,0.154,0.115,0.115,0.038,0.038,0,0,0.077,0,0,0
"LING 120B - RETT, J.L.",0.314,0.086,0.229,0.057,0.029,0.086,0.114,0.057,0.029,0,0,0,0
"LING 120C - O'LEARY, M.C.",0.273,0.091,0.455,0,0.091,0,0,0,0.045,0.045,0,0,0
"LING 130 - LIU, M.",0.273,0.182,0.091,0,0,0.364,0.091,0,0,0,0,0,0
"LING 185A - MAYER, C.J.",0.25,0,0.333,0,0.083,0.083,0,0.083,0,0.083,0,0.083,0
"LING 20 - ABENI0-ADAR, M.",0.167,0.278,0,0.111,0.167,0.222,0,0,0,0,0,0,0.056
"LING 20 - RETT, J.L.",0.05,0.1,0.65,0.05,0.05,0.05,0,0,0.05,0,0,0,0
"MAT SCI 104 - GOORSKY, M.S.",0.323,0.129,0.032,0.194,0.032,0.145,0.016,0.016,0.048,0.032,0.032,0,0
"MAT SCI 250B - YANG, J.",0.25,0.25,0,0.1,0,0.4,0,0,0,0,0,0,0
"MATH 1 - GREENE, M.P.",0.483,0.017,0.397,0.052,0,0,0.017,0,0,0,0,0,0.034
"MATH 1 - OWAKA, E.A.",0.409,0.045,0,0.273,0.091,0.091,0.045,0,0.045,0,0,0,0
"MATH 110A - OUELLETTE, K.R.",0.261,0.043,0.043,0.217,0.13,0.261,0,0,0,0,0,0,0.043
"MATH 115A - HEMPEL, N.",0.246,0.232,0.058,0.174,0.087,0.116,0.014,0,0.029,0.029,0,0,0.014
"MATH 115A - NURBEKYAN, L.",0.41,0.179,0,0,0.103,0.179,0.026,0.026,0,0,0,0,0.077
"MATH 131A - ARANT, T.J.",0.516,0.141,0.016,0.109,0.078,0.062,0.016,0.016,0.031,0,0,0,0.016
"MATH 131A - MADRID PADILLA, J.",0.25,0.103,0.044,0.088,0.147,0.147,0.088,0.029,0.088,0,0,0,0.015
"MATH 132 - ARANT, T.J.",0.561,0.024,0,0.146,0.049,0.146,0.073,0,0,0,0,0,0
"MATH 134 - SALAZAR, R.",0.633,0.133,0,0.033,0.067,0.067,0.033,0.033,0,0,0,0,0
"MATH 135 - OUELLETTE, K.R.",0.478,0.087,0.087,0.13,0.087,0,0,0.087,0,0,0,0,0.043
"MATH 142 - SPROUSE, C.S.",0.581,0.097,0.032,0.065,0,0.065,0.129,0,0,0.032,0,0,0
"MATH 151A - VESE, L.A.",0.286,0.048,0.655,0,0,0.012,0,0,0,0,0,0,0
"MATH 151B - DEUTSCH, S.",0.717,0.087,0.065,0.043,0.022,0.043,0,0.022,0,0,0,0,0
"MATH 156 - HADDOCK, J.",0.769,0,0.038,0.038,0,0.077,0,0,0.038,0,0,0,0.038
"MATH 164 - MENZ, G.",0.297,0.216,0.135,0.081,0.054,0.216,0,0,0,0,0,0,0
"MATH 167 - MENZ, G.",0.294,0.176,0.206,0.088,0.088,0.118,0,0,0,0,0,0,0.029
"MATH 170E - OZEL, E.",0.469,0.086,0.012,0.111,0.099,0.136,0.025,0,0.062,0,0,0,0
"MATH 170S - LYU, H.",0.316,0.316,0.026,0.184,0.026,0.079,0,0.026,0.026,0,0,0,0
"MATH 174E - LYU, H.",0.369,0.138,0.015,0.138,0.077,0.185,0,0.031,0.015,0,0,0,0.031
"MATH 177 - OZEL, E.",0.597,0.13,0,0.078,0.013,0.052,0.026,0.039,0.039,0,0.013,0.013,0
"MATH 182 - GEHRET, A.R.",0.568,0.189,0.108,0.027,0.027,0.054,0,0,0.027,0,0,0,0
"MATH 31A - GREENE, M.P.",0.698,0.057,0.189,0,0.019,0.019,0,0,0,0,0,0,0.019
"MATH 31A - SPROUSE, C.S.",0.594,0.078,0.031,0.062,0,0.172,0.047,0,0,0,0,0,0.016
"MATH 31B - MORENO, A.J.",0.369,0.108,0,0.2,0.062,0.077,0.046,0.031,0.031,0,0,0.031,0.046
"MATH 32A - WANG, S.X.",0.276,0.31,0,0.103,0.069,0.086,0.034,0.017,0.034,0.017,0.017,0.034,0
"MATH 32A - WILLIS, M.S.",0.5,0.088,0,0.221,0.015,0.103,0.074,0,0,0,0,0,0
