"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"EC ENGR 110L - MESGHALI, F.",0.263,0.263,NA,0.105,NA,0.263,NA,NA,0.053,NA,NA,NA,0.053
"EC ENGR 110L - MESGHALI, F. LEC 2",0.294,NA,NA,0.235,NA,0.471,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 111L - DARABI, H.",0.535,0.109,0.248,0.059,0.02,0.02,NA,NA,NA,NA,NA,NA,0.01
"EC ENGR 113 - LORENZELLI, F.",0.343,0.219,0.212,0.051,0.015,0.146,NA,0.015,NA,NA,NA,NA,NA
"EC ENGR 113DB - BRIGGS, D.M.",0.364,0.152,0.424,NA,NA,0.061,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 115A - MOLOUDI, S.",0.174,0.13,0.13,0.043,0.087,0.174,NA,NA,NA,0.087,0.043,0.043,0.087
"EC ENGR 115C - MARKOVIC, D.",0.125,0.208,0.083,0.042,0.167,0.125,0.042,0.042,0.042,NA,NA,0.125,NA
"EC ENGR 132A - AHMED, M.",0.538,0.077,0.192,0.154,NA,NA,0.038,NA,NA,NA,NA,NA,NA
"EC ENGR 132A - DIGGAVI, S.N.",0.444,0.333,0.111,NA,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 133B - VANDENBERGHE, L.",0.778,0.056,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 141 - TABUADA, P.",0.376,0.089,0.327,0.02,0.059,0.079,0.02,0.01,0.01,0.01,NA,NA,NA
"EC ENGR 162A - WANG, Y.",0.273,0.364,NA,0.091,0.091,0.182,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 163DB - BABAKHANI, A.",0.19,0.19,0.381,0.143,NA,0.095,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 170C - WILLIAMS, B.S.",0.444,NA,NA,0.333,NA,0.222,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 176 - OZCAN, A.",0.769,NA,0.154,NA,0.077,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 183DB - MEHTA, A.M.",0.417,0.083,0.333,NA,0.083,0.083,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 189 - FRAGOULI, C.P.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 194 - OZCAN, A.",0.727,NA,0.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 2 - WONG, C. 1",0.275,0.216,0.078,0.157,0.039,0.196,0.02,NA,0.02,NA,NA,NA,NA
"EC ENGR 201A - GUPTA, P.",NA,0.5,0.125,0.125,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 201A - GUPTA, P. LEC 80",0.143,0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 214B - ALWAN, A.A.",0.611,0.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 215E - PAMARTI, S.",0.25,0.5,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 215E - PAMARTI, S. LEC 80",0.1,0.4,NA,0.2,NA,0.2,0.1,NA,NA,NA,NA,NA,NA
"EC ENGR 219 - ROYCHOWDHURY, V.",0.708,0.125,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 221B - SOKOLICH, M.",0.625,0.188,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 222 - IYER, S.S.",0.455,0.182,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 231A - WESEL, R.D.",0.765,0.059,0.147,NA,NA,0.029,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 232E - ROYCHOWDHURY, V.",0.608,0.189,0.108,NA,NA,0.095,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 233 - CABRIC, D.",0.45,NA,0.5,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 233 - CABRIC, D. LEC 80",NA,NA,0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 236C - VANDENBERGHE, L.",0.724,0.138,0.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 238 - IBRAHIM, A.",0.647,0.294,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 239AS - YANG, L.",0.493,0.174,0.29,0.007,0.007,0.029,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 279AS - EMAMINEJAD, S.",0.636,0.091,0.182,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 279AS - JOSHI, C.J.",0.6,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 3 - BRIGGS, D.M. 1",0.414,0.224,0.181,0.078,NA,0.103,NA,NA,NA,NA,NA,NA,NA
"EC ENGR 89 - SRIVASTAVA, M.B.",0.278,0.222,0.278,0.056,0.056,0.056,0.056,NA,NA,NA,NA,NA,NA
"EC ENGR C143A - KAO, J.C.",0.628,0.163,0.093,0.023,0.023,0.07,NA,NA,NA,NA,NA,NA,NA
"EC ENGR C243A - KAO, J.C.",0.68,0.16,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR M119 - CHEN, X.",0.737,0.105,0.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC ENGR M146 - DOLECEK, L.",0.411,0.082,0.37,0.082,0.014,0.041,NA,NA,NA,NA,NA,NA,NA
"EC ENGR M16 - SRIVASTAVA, M.B. 1",0.549,0.078,0.235,0.039,NA,0.078,0.02,NA,NA,NA,NA,NA,NA
"EC ENGR M252 - CANDLER, R.N.",0.795,0.026,0.103,0.026,0.026,0.026,NA,NA,NA,NA,NA,NA,NA
"ECON 1 - MCDEVITT, E.P.",0.308,0.153,0.314,0.098,0.012,0.081,0.003,0.003,0.017,0.003,NA,0.006,0.003
"ECON 101 - MCDEVITT, E.P.",0.378,0.1,0.201,0.104,0.037,0.134,0.013,NA,0.033,NA,NA,NA,NA
"ECON 102 - MCDEVITT, E.P.",0.421,0.165,0.087,0.075,0.055,0.173,0.008,0.004,0.008,0.004,NA,NA,NA
"ECON 103 - MCDEVITT, E.P.",0.23,0.075,0.23,0.062,0.102,0.133,0.075,0.018,0.04,0.009,0.004,0.013,0.009
"ECON 103L - MCDEVITT, E.P.",0.23,0.075,0.23,0.062,0.102,0.133,0.075,0.018,0.04,0.009,0.004,0.013,0.009
"ECON 106F - CONVERY, P.D.",0.487,0.106,0.327,0.027,NA,0.053,NA,NA,NA,NA,NA,NA,NA
"ECON 106FB - CONVERY, P.D.",0.487,0.106,0.327,0.027,NA,0.053,NA,NA,NA,NA,NA,NA,NA
"ECON 106G - MCDEVITT, E.P.",0.163,0.279,0.233,0.163,0.07,0.07,NA,NA,NA,0.023,NA,NA,NA
"ECON 106G - MCDEVITT, E.P. LEC 2",0.229,0.25,0.167,0.188,0.062,0.104,NA,NA,NA,NA,NA,NA,NA
"ECON 106GL - MCDEVITT, E.P.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 106GL - MCDEVITT, E.P. LEC 2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 106M - MCDEVITT, E.P.",0.375,0.188,NA,0.125,NA,0.25,0.062,NA,NA,NA,NA,NA,NA
"ECON 106ML - MCDEVITT, E.P.",0.375,0.188,NA,0.125,NA,0.25,0.062,NA,NA,NA,NA,NA,NA
"ECON 106T - BOARD, S.A.",0.492,0.153,0.136,0.085,NA,0.119,NA,NA,0.017,NA,NA,NA,NA
"ECON 106T - BOARD, S.A. LEC 2",0.459,0.246,0.148,0.066,NA,0.049,NA,NA,0.033,NA,NA,NA,NA
"ECON 106TL - BOARD, S.A.",0.838,0.059,NA,0.015,0.044,0.044,NA,NA,NA,NA,NA,NA,NA
"ECON 106TL - BOARD, S.A. LEC 2",0.865,0.058,NA,0.019,NA,0.058,NA,NA,NA,NA,NA,NA,NA
"ECON 107 - MCDEVITT, E.P.",0.463,0.368,0.021,0.032,0.011,0.084,NA,0.021,NA,NA,NA,NA,NA
"ECON 11 - GONCALVES, F.M.",0.623,0.152,0.042,0.068,0.016,0.099,NA,NA,NA,NA,NA,NA,NA
"ECON 113 - MCDEVITT, E.P.",0.381,0.21,0.295,0.01,0.019,0.076,NA,NA,0.01,NA,NA,NA,NA
"ECON 122 - BURSTEIN, A.T.",0.27,0.254,0.143,0.127,0.063,0.127,0.016,NA,NA,NA,NA,NA,NA
"ECON 122 - BURSTEIN, A.T. LEC 2",0.311,0.284,0.162,0.095,0.014,0.122,NA,NA,0.014,NA,NA,NA,NA
"ECON 134 - MCDEVITT, E.P.",0.496,0.115,0.151,0.122,0.007,0.079,0.014,NA,0.014,NA,NA,NA,NA
"ECON 143 - MATZKIN, R.L.",0.375,0.208,0.312,0.021,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"ECON 144 - MCDEVITT, E.P.",0.475,0.125,0.225,0.1,NA,0.025,NA,NA,0.025,NA,NA,NA,0.025
"ECON 160 - MCDEVITT, E.P.",0.25,0.159,0.523,NA,NA,0.045,NA,0.023,NA,NA,NA,NA,NA
"ECON 165 - MCDEVITT, E.P.",0.5,0.381,0.11,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 170 - HOPENHAYN, H.A.",0.5,0.125,0.062,NA,0.062,0.125,0.062,0.062,NA,NA,NA,NA,NA
"ECON 173B - ATKESON, A.G.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 187 - MCDEVITT, E.P.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 2 - MCDEVITT, E.P.",0.377,0.175,0.226,0.097,0.016,0.047,0.031,NA,0.023,0.004,0.004,NA,NA
"ECON 201C - BOARD, S.A.",0.185,0.407,0.074,0.148,NA,0.185,NA,NA,NA,NA,NA,NA,NA
"ECON 202C - BURSTEIN, A.T.",0.368,0.211,0.158,0.053,0.105,0.053,0.053,NA,NA,NA,NA,NA,NA
"ECON 203C - MATZKIN, R.L.",0.333,0.222,0.167,0.056,NA,0.222,NA,NA,NA,NA,NA,NA,NA
"ECON 262A - MCDEVITT, E.P.",0.556,0.056,0.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 271C - HACKMANN, M.B.",0.3,0.2,0.4,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 406 - ATKESON, A.G.",0.842,0.105,NA,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 409 - MCDEVITT, E.P.",0.263,0.474,0.105,0.053,NA,0.105,NA,NA,NA,NA,NA,NA,NA
"ECON 41 - CHETVERIKOV, D.N.",0.219,0.099,0.284,0.089,0.075,0.106,0.038,0.01,0.072,0.007,NA,NA,NA
"ECON 410 - COSTA, D.L.",0.985,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 412 - CONVERY, P.D.",0.591,0.273,0.068,NA,NA,0.068,NA,NA,NA,NA,NA,NA,NA
"ECON 414 - MCDEVITT, E.P.",0.735,0.184,NA,0.041,NA,0.041,NA,NA,NA,NA,NA,NA,NA
"ECON 422 - FAJGELBAUM, P.D.",0.28,0.36,NA,0.04,NA,0.28,NA,NA,NA,NA,NA,NA,0.04
"ECON 429B - MCDEVITT, E.P.",0.75,0.042,0.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 434 - CHETVERIKOV, D.N.",0.474,0.105,0.053,0.158,NA,0.211,NA,NA,NA,NA,NA,NA,NA
"ECON 435 - MCDEVITT, E.P.",0.75,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 5 - MCDEVITT, E.P.",0.414,0.093,0.486,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 89 - GONCALVES, F.M.",0.824,NA,0.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 10 - MANCEVICE, N.A.",0.296,0.07,0.606,0.014,NA,0.014,NA,NA,NA,NA,NA,NA,NA
"EDUC 130 - HOWARD, T.C.",0.707,0.01,0.272,0.005,NA,0.005,NA,NA,NA,NA,NA,NA,NA
"EDUC 134 - WOOD, J.J.",0.846,0.026,0.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 137 - SHARE, J. 1",0.765,NA,0.206,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 139 - ALKIN, M.C. 1",0.828,0.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 139 - ALKIN, M.C. 1 LEC 2",0.821,0.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 150 - TOBIASON, G.A. 1",0.182,NA,0.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 152C - DORIO, J. 1",NA,0.031,0.906,0.031,NA,0.031,NA,NA,NA,NA,NA,NA,NA
"EDUC 162 - BISHOP, J.P. 1",0.625,0.181,0.056,0.083,0.014,0.028,NA,NA,NA,NA,NA,NA,0.014
"EDUC 180 - DORIO, J. 1",NA,NA,0.938,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA
"EDUC 191A - TRAN, M.C. 1",0.15,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 191A - TRAN, M.C. 1 LEC 2",0.1,0.1,0.65,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 191A - TRAN, M.C. 1 LEC 3",0.105,0.053,0.789,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 191D - BUKSTEIN, S.J. 1",0.8,NA,0.15,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA
"EDUC 206A - ROSENFELD, K.N.",0.091,NA,0.818,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 208A - NOGUERA, P.A.",0.909,NA,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 211A - HANSEN, M.P.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 221 - EAGAN, K.",0.9,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 222C - GOMEZ, K.",0.941,NA,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 222C - MANCEVICE, N.A.",0.769,0.077,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 223 - DILLMAN, L.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 229 - GUILLEN, L.I.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 230C - MARTINEZ-FERNAND",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 231D - SELTZER, M.H.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 235 - DESJARDINS, R.",0.909,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 250C - LIU, A.Y.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 256B - GRAHAM, S.H.",0.438,NA,0.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 263 - JAQUETTE, O.",0.938,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 263 - RIOS AGUILAR, C.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 270 - ROSENFELD, K.N.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 275 - HOWARD, T.C.",0.882,NA,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 296G - BARNES, K.R.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 296G - BARNES, K.R. LEC 2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 296H - BARNES, K.R.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 296H - BARNES, K.R. LEC 2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 299A - SUAREZ-OROZCO, C.E",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 299C - DORIO, J.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 299C - EAGAN, K.",0.882,NA,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 299C - WOOD, J.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 318A - GREEN, R.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 318B - HIPOLITO, E.D.",0.722,NA,0.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 318C - HIPOLITO, E.D.",0.027,NA,0.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 320B - ALBER, R.L.",0.167,NA,0.667,NA,NA,0.167,NA,NA,NA,NA,NA,NA,NA
"EDUC 320B - PEREZ, E.",0.8,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 330C - PARK, J.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 35 - TOBIASON, G.A.",0.198,0.062,0.679,0.049,NA,0.012,NA,NA,NA,NA,NA,NA,NA
"EDUC 405C - ALBER, R.L.",0.154,0.077,0.615,NA,NA,0.154,NA,NA,NA,NA,NA,NA,NA
"EDUC 405C - ARIAS, M.S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 405C - LEE, D.O.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 405C - PARK, J.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 405C - RAFI, F.H.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 413C - SANTIBANEZ, L.",0.842,0.026,0.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 414C - CHERIAN, A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 440C - LAZO, G.A.",0.933,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 440C - LAZO, G.A. LEC 2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 442B - BARNES, K.R.",0.958,NA,NA,NA,NA,0.042,NA,NA,NA,NA,NA,NA,NA
"EDUC 454A - ROHANNA, K.L.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 456 - STRAUS, I.W.",0.828,NA,0.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 458C - DURKIN, D.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 466 - MAMIKONYAN, T.",0.552,0.069,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 466 - SHARE, J.",0.963,NA,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 472 - AMLANI, A.M.",0.6,NA,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 481 - HIPOLITO, E.D.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 482D - HIPOLITO, E.D.",0.054,0.135,0.784,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 491 - GREEN, R.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 491 - KERSEY, S.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 491 - LOPEZ, E.F.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 491 - NAVA-LANDEROS, I.",0.25,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498C - GREEN, R.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498C - KERSEY, S.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498C - LOPEZ, E.F.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498C - NAVA-LANDEROS, I.",0.679,0.036,0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498C - SAX, L.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 499C - APIGO, M.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 98 - BEASLEY, M.E.",0.105,0.474,0.158,0.053,NA,0.105,0.053,NA,0.053,NA,NA,NA,NA
"EDUC 98T - MISTRY, R.S.",0.091,NA,0.636,0.091,NA,0.091,NA,NA,0.091,NA,NA,NA,NA
"EDUC M102 - SOLORZANO, D.G.",0.974,NA,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC M108 - BRAND, J.E.",0.831,NA,0.136,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC M136 - SHADDUCK-HERNAND1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100 - GORLITSKY, L.E.",0.387,0.128,0.186,0.099,0.026,0.117,0.033,NA,0.015,0.007,NA,NA,0.004
"EE BIOL 100L - GORLITSKY, L.E.",0.444,0.056,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100L - GORLITSKY, L.E. LEC 2",0.412,0.176,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100L - GORLITSKY, L.E. LEC 3",0.611,NA,0.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100L - GORLITSKY, L.E. LEC 4",0.533,NA,0.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100L - GORLITSKY, L.E. LEC 5",0.556,NA,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100L - GORLITSKY, L.E. LEC 6",0.824,NA,0.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 101 - FONG, P.M.",0.632,0.158,0.158,0.026,NA,0.026,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 105 - KANE, T.L.",0.892,0.027,0.054,NA,NA,0.027,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 108 - GARCIA, A.E.",0.641,0.047,0.266,0.016,NA,0.016,NA,NA,NA,NA,NA,NA,0.016
"EE BIOL 109L - FONG, C.R.",0.737,0.105,NA,0.053,NA,0.053,0.053,NA,NA,NA,NA,NA,NA
"EE BIOL 109L - FONG, C.R. LEC 2",0.778,0.167,NA,NA,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 109L - FONG, C.R. LEC 3",0.417,0.167,NA,0.167,0.167,0.083,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 115 - DINES, J.P.",0.624,0.248,0.038,0.045,0.008,0.038,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 116 - BROWN, C.A.",0.409,0.122,0.113,0.157,0.026,0.113,0.035,NA,0.017,NA,NA,NA,0.009
"EE BIOL 136 - GORLITSKY, L.E.",0.4,0.2,0.311,0.022,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 142 - KANE, T.L.",0.937,0.016,0.031,NA,0.008,0.008,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 154 - GORLITSKY, L.E.",0.7,0.1,0.1,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 162 - SACK, L.",0.047,0.01,0.936,0.002,NA,0.002,NA,NA,NA,NA,NA,NA,0.002
"EE BIOL 162L - SACK, L.",0.45,0.1,0.35,NA,NA,0.05,NA,NA,NA,NA,NA,NA,0.05
"EE BIOL 162L - SACK, L. LEC 2",0.211,0.105,0.632,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 162L - SACK, L. LEC 3",0.118,NA,0.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 162L - SACK, L. LEC 4",0.053,NA,0.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 162L - SACK, L. LEC 5",0.611,0.167,0.056,0.056,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 185 - MC CRANEY, W.T.",0.057,0.029,0.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029
"EE BIOL 186 - NATTERSON, B.J.",0.532,0.099,0.24,0.021,0.013,0.073,0.013,0.004,0.004,NA,NA,NA,NA
"EE BIOL 97 - BARBER, P.H.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL C135 - LOHMUELLER, K.E.",0.377,0.098,0.41,0.066,0.033,0.016,NA,NA,NA,NA,NA,NA,NA
"EE BIOL C235 - LOHMUELLER, K.E.",0.273,0.091,0.545,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - CHRISTENSEN, T.S.",0.455,0.455,NA,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - CHRISTENSEN, T.S. LEC 3",0.857,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - FALLOWS, R.J.",0.923,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - FALLOWS, R.J. LEC 7",0.75,0.125,NA,NA,NA,0.062,NA,NA,NA,NA,NA,NA,0.062
"ENGCOMP 100W - JAURRETCHE, C.M.",0.765,0.176,NA,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100WD - DE, E.N.",0.571,0.333,0.048,NA,NA,NA,0.048,NA,NA,NA,NA,NA,NA
"ENGCOMP 100WD - DE, E.N. LEC 2",0.778,0.111,0.056,NA,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 130A - JULIANO, L.M.",0.2,0.067,0.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 130B - JOHNSON, D.",0.417,NA,0.5,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 130C - RUBINSON, G.J.",0.765,0.118,NA,NA,NA,0.118,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 131A - SUSSMAN, D.B.",0.833,NA,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 131A - SUSSMAN, D.B. LEC 2",0.8,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 131B - HITCHNER, T.A.",0.882,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 131B - HITCHNER, T.A. LEC 3",0.889,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 131C - DEUEL, N.A.",0.45,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 131C - DEUEL, N.A. LEC 2",0.35,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 133 - MANOJLOVIC, M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
