"CLASS","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F"
"ECON 121 - FAJGELBAUM, P.D.",0.036,0.096,0.241,0.253,0.205,0.133,0.012,0.012,NA,NA,NA,NA,0.012
"ECON 121L - FAJGELBAUM, P.D.",0.157,0.663,0.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 130 - LLERAS-MUNEY, A.",0.301,0.344,0.151,0.108,0.043,0.032,0.011,0.011,NA,NA,NA,NA,NA
"ECON 130L - LLERAS-MUNEY, A.",0.301,0.344,0.14,0.118,0.043,0.032,0.011,0.011,NA,NA,NA,NA,NA
"ECON 134 - TAKATSUKA, Y.",0.014,0.151,0.144,0.108,0.302,0.072,0.065,0.079,0.036,NA,0.022,NA,NA
"ECON 143 - MATZKIN, R.L.",0.254,0.159,0.159,0.143,0.143,0.032,0.016,0.016,0.032,NA,NA,NA,NA
"ECON 150 - MCDEVITT, E.P.",0.109,0.185,0.084,0.134,0.202,0.059,0.092,0.076,0.034,NA,0.017,NA,NA
"ECON 160 - SAEIDINEZHAD, E.",0.041,0.074,0.132,0.174,0.19,0.116,0.124,0.058,0.025,0.008,0.025,NA,NA
"ECON 167 - ATKESON, A.G.",NA,0.718,0.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 168 - SIMON, W.E.",NA,0.513,0.487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 185 - ROSS, S.G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 19 - GEEROLF, F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 19 - SANTOS, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 2 - SAEIDINEZHAD, E.",0.029,0.058,0.109,0.285,0.219,0.117,0.073,0.058,0.022,0.022,NA,NA,NA
"ECON 200 - OBARA, I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 201A - OBARA, I.",0.091,0.273,0.242,0.212,0.152,0.03,NA,NA,NA,NA,NA,NA,NA
"ECON 202A - HANSEN, G.D.",0.091,0.182,0.091,0.273,0.273,0.091,NA,NA,NA,NA,NA,NA,NA
"ECON 203A - HAHN, J.",NA,0.421,0.158,0.263,0.105,0.053,NA,NA,NA,NA,NA,NA,NA
"ECON 211B - MEYER-TER-VEHN, M.",0.2,0.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 218A - OBARA, I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 219A - BOARD, S.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 221A - GEEROLF, F.",0.333,0.333,0.167,0.083,0.083,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 228A - BAQAEE, D.R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 229A - BAQAEE, D.R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 238A - CHETVERIKOV, D.N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 239A - CHETVERIKOV, D.N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 241 - GIORCELLI, M.",0.438,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 248A - COSTA, D.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 261A - MAZZOCCO, M.",0.077,0.308,0.154,0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 262P - LLERAS-MUNEY, A.",0.267,0.4,0.133,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 268A - LLERAS-MUNEY, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 269A - LLERAS-MUNEY, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 278A - HACKMANN, M.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 279A - HACKMANN, M.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 288A - FAJGELBAUM, P.D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 375 - GIORCELLI, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 375 - OBARA, I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 375 - SADZIK, T.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 375 - SHENG, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 401A - BOARD, S.A.",0.095,0.333,0.286,0.143,0.143,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 402A - OHANIAN, L.",0.113,0.283,0.321,0.189,0.075,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 41 - HAHN, J.",0.079,0.079,0.105,0.158,0.105,0.105,0.105,0.079,0.079,0.053,NA,NA,0.053
"ECON 41 - ROJAS, R.R.",0.132,0.039,0.125,0.145,0.105,0.086,0.099,0.059,0.039,0.066,0.02,0.013,0.066
"ECON 410 - TORNELL, A.",0.843,0.114,0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 429A - ROTHMAN, V.",0.075,0.525,0.275,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 429A - SHATZER, N.J.",0.067,0.3,0.367,0.267,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 430 - ROJAS, R.R.",0.138,0.103,0.276,0.241,0.069,0.103,0.069,NA,NA,NA,NA,NA,NA
"ECON 430 - ROJAS, R.R. LEC 2",0.122,0.122,0.341,0.195,0.195,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 431 - CONVERY, P.D.",0.071,0.214,0.2,0.3,0.186,0.014,NA,NA,NA,NA,NA,NA,NA
"ECON 495 - MCGARRY, K.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON 89 - MAZZOCCO, M.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECON M188 - ATKESON, A.G.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 10 - MANCEVICE, N.A.",0.346,0.423,0.205,NA,NA,0.013,NA,NA,NA,NA,NA,NA,NA
"EDUC 129 - PURDY, W.C.",NA,0.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033
"EDUC 152A - DESJARDINS, R.",0.083,0.222,0.25,0.25,0.139,NA,NA,NA,0.056,NA,NA,NA,NA
"EDUC 187 - DENG, M.C.",0.357,0.286,0.214,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"EDUC 187 - KARRAS, J.E.",0.324,0.265,0.235,0.059,0.059,NA,0.029,0.029,NA,NA,NA,NA,NA
"EDUC 187 - MARKOWITZ, A.J.",0.053,0.368,0.211,0.132,0.158,0.079,NA,NA,NA,NA,NA,NA,NA
"EDUC 187 - MECHIKOFF, R.A.",NA,0.375,0.188,0.125,NA,0.312,NA,NA,NA,NA,NA,NA,NA
"EDUC 187 - SUAREZ-OROZCO, C.E",0.071,0.619,0.19,0.071,0.024,0.024,NA,NA,NA,NA,NA,NA,NA
"EDUC 19 - HARRIS, J.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 191B - HARRISON, O.C.",NA,0.158,0.263,0.368,0.211,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 196C - NIMMO-RAMIREZ, L.A",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 196D - BANG, S.H.",NA,0.893,0.036,NA,0.036,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 200B - MARTINEZ-FERNANDE",0.278,0.5,0.056,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 200D - GARCIA, D.G.",NA,0.769,0.077,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 204A - DORIO, J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 204B - OMWAMI, E.S.",0.308,0.538,0.077,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 217D - BAILEY, A.",0.211,0.684,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 222A - GOMEZ, K.",NA,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 222A - MCCARTY, T.L.",0.042,0.917,NA,NA,0.042,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 229 - COOPER, R.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 229 - NOGUERA, P.A.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 230A - SELTZER, M.H.",NA,0.967,NA,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 230A - WEBB, N.M.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 230AL - SELTZER, M.H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 230AL - WEBB, N.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 234 - DESJARDINS, R.",0.083,0.417,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 250A - HURTADO, S.",0.143,0.643,0.143,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 250A - MCDONOUGH, P.M.",0.154,0.385,0.385,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 255C - JEON, M.",0.615,0.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 261F - HARRIS, J.C.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 263 - JAQUETTE, O.",NA,0.789,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - ALLEN, W.R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - CHANG, M.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - DESJARDINS, R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - GOMEZ, K.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - GRAHAM, S.H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - JEON, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - KASARI, C.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - OMWAMI, E.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - SOLORZANO, D.G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 288 - TORRES, C.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 296A - ROHANNA, K.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 296D - GOMEZ, K.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 296I - MCADOO, D.S.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 296J - MARTINEZ-FERNANDE",NA,0.414,0.345,0.241,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 299A - JEON, M.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 299A - RIOS AGUILAR, C.",0.312,0.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 299B - BAILEY, A.",0.267,0.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 315 - KERSEY, S.E.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 319 - ARIAS, M.S.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 319 - LEE, J.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 320A - ALBER, R.L.",0.615,0.231,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 320A - NAVA-LANDEROS, I.",0.421,0.421,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 320A - PARK, J.J.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 320A - PEREZ, E.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 330A - ALBER, R.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 330A - ARIAS, M.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 330A - LEE, D.O.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 330A - PARK, J.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 330A - RAFI, F.H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 35 - TOBIASON, G.A.",0.197,0.338,0.169,0.07,0.07,0.07,0.028,0.014,0.028,NA,NA,NA,0.014
"EDUC 360A - ALBER, R.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 360A - ARIAS, M.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 360A - LEE, D.O.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 360A - PARK, J.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 360A - RAFI, F.H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 390A - GRAMMER, J.K.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 405A - ALBER, R.L.",0.462,0.385,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 405A - ARIAS, M.S.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 405A - LEE, D.O.",NA,0.938,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 405A - PARK, J.J.",0.032,0.903,NA,NA,NA,NA,NA,NA,0.032,NA,NA,NA,NA
"EDUC 405A - RAFI, F.H.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 406 - LOPEZ, E.F.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 406 - NOGUERA, P.A.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 406 - SANTIBANEZ, L.",0.182,0.606,0.091,0.061,NA,0.03,NA,NA,NA,NA,NA,NA,NA
"EDUC 406B - GUILLEN, L.I.",NA,0.875,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 407 - DARBY, J.T.",0.138,0.862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 407 - DARBY, J.T. LEC 4",0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 407 - ORELLANA, M.E.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 407 - SANDOVAL, W.A.",0.077,0.5,0.308,NA,0.038,0.038,NA,NA,NA,NA,NA,NA,0.038
"EDUC 411 - CHRISTIE, C.A.",0.133,0.767,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 413A - NAVARRO, B.A.",NA,0.85,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 425 - RAFI, F.H.",0.184,0.816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 448B - GOMEZ, L.M.",0.367,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 451 - COOPER, R.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 452A - MCDONOUGH, P.M.",0.4,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 455 - DURKIN, D.",0.25,0.708,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 458A - DURKIN, D.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 490A - GREEN, R.E.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 490A - KERSEY, S.E.",NA,0.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 490A - LOPEZ, E.F.",NA,0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 490A - NAVA-LANDEROS, I.",0.097,0.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498A - GREEN, R.E.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498A - KERSEY, S.E.",NA,0.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498A - LOPEZ, E.F.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498A - NAPLES, R.J.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 498A - NAVA-LANDEROS, I.",0.419,0.452,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 499A - DURKIN, D.",NA,0.862,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC 599 - SOLORZANO, D.G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC C209A - ALLEN, W.R.",0.103,0.828,0.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC CM178 - HAMMER, R.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDUC M102 - GARCIA, D.G.",NA,0.29,0.29,0.226,0.032,0.161,NA,NA,NA,NA,NA,NA,NA
"EDUC M102 - GARCIA, D.G. LEC 2",NA,0.212,0.273,0.03,0.091,0.182,0.061,0.061,0.03,0.03,NA,NA,0.03
"EDUC M194B - ORELLANA, M.E.",NA,0.6,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100 - GORLITSKY, L.E.",0.041,0.194,0.194,0.201,0.15,0.102,0.051,0.029,0.022,0.01,0.003,NA,0.003
"EE BIOL 100L - GORLITSKY, L.E.",0.056,0.722,0.167,NA,0.056,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100L - GORLITSKY, L.E. LEC 10",0.389,0.444,0.111,NA,0.056,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100L - GORLITSKY, L.E. LEC 2",NA,0.938,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100L - GORLITSKY, L.E. LEC 3",0.5,0.438,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100L - GORLITSKY, L.E. LEC 4",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100L - GORLITSKY, L.E. LEC 5",0.389,0.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100L - GORLITSKY, L.E. LEC 6",0.294,0.647,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100L - GORLITSKY, L.E. LEC 7",0.133,0.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100L - GORLITSKY, L.E. LEC 8",0.056,0.833,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 100L - GORLITSKY, L.E. LEC 9",0.235,0.706,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 109 - FONG, C.R.",0.041,0.211,0.237,0.124,0.15,0.102,0.056,0.038,NA,0.011,0.015,NA,0.015
"EE BIOL 109L - DEBOER, T.",0.6,0.25,0.1,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA
"EE BIOL 109L - DEBOER, T. LEC 2",0.5,0.4,0.05,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA
"EE BIOL 109L - DEBOER, T. LEC 3",0.7,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 109L - DEBOER, T. LEC 4",0.632,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 112 - BUTH, D.G.",0.182,0.545,NA,0.091,NA,NA,0.091,NA,0.091,NA,NA,NA,NA
"EE BIOL 115 - BROWN, C.A.",0.072,0.304,0.072,0.112,0.144,0.08,0.008,0.144,0.024,NA,0.024,NA,0.016
"EE BIOL 116 - LIPMAN, A.J.",0.191,0.315,0.191,0.112,0.116,0.048,0.016,0.004,0.004,NA,NA,NA,NA
"EE BIOL 120 - BUCCIARELLI, G.",0.181,0.319,0.247,0.108,0.066,0.018,0.03,0.018,NA,NA,NA,NA,NA
"EE BIOL 122 - BUCCIARELLI, G.",0.125,0.333,0.229,0.135,0.125,NA,0.042,NA,NA,NA,NA,NA,NA
"EE BIOL 123B - KANE, T.L.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 129 - PINTER-WOLLMAN, N.",0.014,0.145,0.203,0.13,0.261,0.116,0.043,0.029,0.029,NA,NA,NA,NA
"EE BIOL 132 - LARISON, B.J.",NA,0.2,0.533,0.267,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 151A - GORLITSKY, L.E.",0.09,0.284,0.119,0.194,0.134,0.119,0.03,0.015,0.015,NA,NA,NA,NA
"EE BIOL 156 - ALFARO, M.E.",0.244,0.439,0.122,0.073,0.098,0.024,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 158 - BARBER, P.H.",0.345,0.414,0.172,0.034,NA,NA,NA,0.034,NA,NA,NA,NA,NA
"EE BIOL 161 - KRAFT, N.J.",0.129,0.284,0.207,0.129,0.06,0.086,0.06,NA,0.017,0.009,0.009,NA,0.009
"EE BIOL 184 - SEARS, K.E.",0.062,0.338,0.207,0.179,0.11,0.034,0.048,0.014,0.007,NA,NA,NA,NA
"EE BIOL 19 - BUTH, D.G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 19 - NONACS, P.N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 19 - ZIMMER, C.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 19 - ZIMMER, R.K.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 201 - LLOYD-SMITH, J.O.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 232 - AMARASEKARE, P.A.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 297 - AMARASEKARE, P.A.",NA,0.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 297 - BLUMSTEIN, D.T.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 297 - MARCOT, J.D.",NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 87 - PALACIOS MEJIA, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 97XA - BARBER, P.H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 97XB - BARBER, P.H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL M131 - ROBINSON, C.M.",NA,0.529,0.176,0.118,0.118,NA,NA,NA,NA,NA,NA,NA,NA
"EE BIOL M200A - KRAFT, N.J.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 1 - DICKEY, D.",NA,0.364,0.182,0.182,0.091,0.182,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 1 - WEST, A.I.",NA,NA,0.077,0.308,0.385,0.077,0.077,0.077,NA,NA,NA,NA,NA
"ENGCOMP 130A - SAMUELSON, M.G.",NA,0.85,0.1,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 130C - RUBINSON, G.J.",NA,0.375,0.375,0.125,0.062,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 130C - RUBINSON, G.J. LEC 2",0.154,0.462,0.154,0.077,NA,NA,0.077,NA,NA,NA,NA,NA,NA
"ENGCOMP 131B - DAVIS, M.E.",NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 131B - DAVIS, M.E. LEC 2",NA,0.571,0.381,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 131C - PRESCOTT, T.L.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 2 - CROSBY, S.",0.045,0.727,NA,NA,0.136,NA,NA,0.045,NA,NA,NA,NA,0.045
"ENGCOMP 2 - CROSBY, S. LEC 14",0.091,0.818,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 2 - HARTENBERGER, L.A.",0.048,0.476,0.381,NA,NA,NA,NA,NA,0.048,NA,NA,NA,0.048
"ENGCOMP 2 - HARTENBERGER, L.A. LEC 9",NA,0.591,0.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 2 - HITCHNER, T.A.",NA,0.045,0.455,0.273,0.136,0.045,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 2 - HITCHNER, T.A. LEC 3",NA,0.143,0.238,0.333,0.095,0.095,0.048,NA,0.048,NA,NA,NA,NA
"ENGCOMP 2 - LISOVSKY, K.F.",NA,0.19,0.238,0.238,0.143,0.143,NA,NA,NA,0.048,NA,NA,NA
"ENGCOMP 2 - LISOVSKY, K.F. LEC 13",NA,0.136,0.318,0.273,0.182,0.045,0.045,NA,NA,NA,NA,NA,NA
"ENGCOMP 2 - MARTINEZ, A.M.",NA,0.708,0.125,0.083,0.083,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 2 - NEWBY, A.",0.043,0.348,0.391,0.087,NA,0.087,NA,0.043,NA,NA,NA,NA,NA
"ENGCOMP 2 - NEWBY, A. LEC 8",0.048,0.619,0.095,0.095,0.095,0.048,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 2 - SAMUELSON, M.G.",NA,0.091,0.273,NA,0.273,0.273,0.045,NA,NA,NA,NA,NA,0.045
"ENGCOMP 2 - SAMUELSON, M.G. LEC 16",NA,0.273,0.182,0.182,0.227,0.045,0.045,NA,NA,NA,NA,NA,0.045
"ENGCOMP 2I - SHERWOOD, L.A.",NA,0.3,0.5,NA,NA,0.1,NA,0.1,NA,NA,NA,NA,NA
