"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"EE BIOL 109 - KANE, T.L.",0.638,0.086,0.057,0.076,0.029,0.067,NA,NA,0.048,NA,NA,NA,NA
"EE BIOL 109L - KANE, T.L.",0.797,0.047,0.094,0.016,0.016,0.031,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 111 - GORLITSKY, L.E.",0.154,0.205,0.026,0.205,0.103,0.205,0.077,NA,NA,NA,0.026,NA,NA
"EE BIOL 115 - DINES, J.P.",0.55,0.075,0.2,0.075,NA,0.025,0.05,NA,0.025,NA,NA,NA,NA
"EE BIOL 116 - GORLITSKY, L.E.",0.379,0.424,0.03,0.015,NA,0.152,NA,NA,NA,NA,NA,NA,NA
"EE BIOL 120 - GORLITSKY, L.E.",0.225,0.5,0.05,NA,0.025,0.15,0.025,NA,0.025,NA,NA,NA,NA
"EE BIOL 144 - MARCOT, J.D.",0.818,0.068,NA,0.068,NA,0.023,NA,NA,NA,0.023,NA,NA,NA
"EE BIOL 156 - ALFARO, M.E.",0.222,0.139,0.361,0.028,NA,0.139,0.056,NA,0.028,0.028,NA,NA,NA
"EE BIOL 162 - SACK, L.",0.175,0.035,0.737,0.035,NA,NA,0.018,NA,NA,NA,NA,NA,NA
"EE BIOL 162L - SACK, L.",0.216,0.054,0.622,0.027,NA,0.081,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 1 - DICKEY, D.",0.067,0.267,NA,0.133,NA,0.533,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - AVILES, G.G.",0.421,0.053,0.474,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - BALL, J.G.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - BOYD, H.R.",0.611,0.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - LIVESCU, S.L.",0.45,0.15,NA,0.1,NA,0.3,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - LOPEZ, E.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - RODRIGUEZ DRISSI,",0.474,0.158,0.316,NA,NA,NA,NA,NA,NA,0.053,NA,NA,NA
"ENGCOMP 100W - SANCHEZ LOPEZ, L.E",0.944,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - SHAW, C.D.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - TERRANCE, L.",0.476,0.143,0.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 100W - VINCENT, D.O.",0.632,0.158,0.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 131B - HITCHNER, T.A.",0.688,0.25,NA,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 131B - JULIANO, L.M.",0.267,0.067,0.467,0.133,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 180 - NEWBY, A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 2 - MARTINEZ, A.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 2 - POSTON, L.D.",0.231,0.154,NA,0.308,0.154,0.154,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 2 - SAMUELSON, M.G.",0.3,0.2,NA,0.05,0.05,0.3,NA,NA,0.05,NA,NA,NA,0.05
"ENGCOMP 3 - DICKEY, D.",0.133,0.467,NA,0.067,NA,0.267,NA,NA,NA,NA,0.067,NA,NA
"ENGCOMP 3 - ENCINAS, A.",0.105,0.158,NA,0.263,NA,0.474,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - HYLAND, L.",0.111,0.111,0.5,0.111,NA,0.111,NA,NA,0.056,NA,NA,NA,NA
"ENGCOMP 3 - JOHNSON, D.",0.2,0.333,NA,0.067,0.2,0.2,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - LEHMAN, P.J.",0.333,0.267,NA,0.067,0.067,0.267,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - MENDOZA, R.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - MOE, M.L.",0.368,0.316,NA,NA,0.105,0.211,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - POPHAM, S.A.",0.273,0.091,NA,NA,0.273,0.091,0.091,NA,0.091,NA,NA,0.091,NA
"ENGCOMP 3 - SCICLUNA, M.A.",0.118,0.294,NA,0.176,NA,0.412,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - STEINBERG, S.K.",0.947,NA,NA,NA,NA,NA,NA,0.053,NA,NA,NA,NA,NA
"ENGCOMP 3 - SUSSMAN, D.B.",0.684,0.211,0.053,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - VINCENT, D.O.",0.846,0.077,NA,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 3 - WAGNER, P.J.",0.385,0.154,NA,0.154,0.077,0.231,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 50 - SHERWOOD, L.A.",0.85,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGCOMP 50 - VINCENT, D.O.",0.9,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,0.05
"ENGCOMP 5W - CREESE, R.A.",0.6,0.233,NA,0.033,NA,0.1,NA,NA,NA,NA,NA,NA,0.033
"ENGL 115A - ZIRULNIK, M.A.",0.667,0.242,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,0.061
"ENGL 118E - HORNBY, L.E.",0.958,NA,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 119 - HUEHLS, M.A.",0.353,0.353,0.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 119 - STEFANS, B.K.",0.2,0.067,0.567,0.033,0.033,0.1,NA,NA,NA,NA,NA,NA,NA
"ENGL 129 - SNELSON, D.S.",0.742,NA,0.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.065
"ENGL 149 - MOTT, C.M.",0.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045
"ENGL 150C - LITTLE, A.L.",0.268,0.22,0.098,0.171,0.049,0.171,0.024,NA,NA,NA,NA,NA,NA
"ENGL 163C - STEPHAN, M.",0.119,0.262,NA,0.238,0.024,0.262,NA,NA,0.071,NA,NA,NA,0.024
"ENGL 170A - SALWAY, M.C.",0.059,0.118,0.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL 20W - GOYAL, Y.",0.661,0.119,0.153,0.034,NA,0.017,NA,NA,0.017,NA,NA,NA,NA
"ENGL 4W - GOYAL, Y.",0.816,0.053,0.013,0.026,0.026,0.013,0.013,0.013,NA,NA,NA,NA,0.026
"ENGL 90 - LITTLE, A.L.",0.409,0.136,0.273,0.091,NA,NA,NA,NA,NA,NA,NA,0.045,0.045
"ENGL M103 - DELCHAMPS, V.P.",0.375,0.188,0.312,0.062,NA,NA,NA,0.062,NA,NA,NA,NA,NA
"ENGL M105A - LOPEZ, M.K.",0.263,0.316,0.053,0.053,0.053,0.158,NA,NA,NA,NA,NA,NA,0.105
"ENGL M107B - MARCHANT, E.A.",0.091,NA,0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL M138 - EKIMYAN, H.",0.35,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGL M138 - GROBEL, L.M.",0.706,0.059,0.176,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 110 - BULU-TACIROGLU, M.",0.701,0.194,NA,NA,0.015,0.075,NA,NA,NA,NA,0.015,NA,NA
"ENGR 111 - BULU-TACIROGLU, M.",0.627,0.235,0.02,0.02,NA,0.098,NA,NA,NA,NA,NA,NA,NA
"ENGR 116 - DOLECEK, L.",0.188,0.438,0.062,NA,NA,0.312,NA,NA,NA,NA,NA,NA,NA
"ENGR 163 - ROSTAMIAN, F.D.",0.4,0.2,0.2,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"ENGR 183EW - BROWNE, D.G.",0.471,0.165,0.176,0.088,0.012,0.065,0.012,NA,0.006,NA,NA,NA,0.006
"ENGR 195 - WESEL, R.D.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 203 - SILVERMAN, S.J.",0.7,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 206 - KUNG, K.C.",0.875,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 211 - BULU-TACIROGLU, M.",0.556,0.056,0.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENGR 96C - KAISER, W.J.",0.225,0.175,0.55,0.025,NA,0.025,NA,NA,NA,NA,NA,NA,NA
"ENV HLT 100 - COLE, B.L.",0.786,NA,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVIRON 163 - GIOTTONINI BADILLA",0.444,0.111,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVIRON 25 - BASSETT, J.C.",0.914,0.037,NA,NA,NA,0.037,NA,NA,NA,NA,NA,NA,0.012
"ENVIRON M132 - BENDER, C.T.",0.8,0.05,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA
"ENVIRON M153 - WELLS, W.R.",0.967,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVIRON M164 - GARRISON, N.J.",0.31,0.276,NA,NA,NA,0.414,NA,NA,NA,NA,NA,NA,NA
"ENVIRON M167 - KUKLOWSKY, C.H.",0.692,0.077,0.154,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EPIDEM 100 - HECK, J.E.",0.282,0.333,0.013,0.09,0.077,0.154,0.013,NA,0.038,NA,NA,NA,NA
"EPS SCI 1 - ESPOSITO, R.",0.619,0.095,0.19,NA,NA,NA,0.048,0.048,NA,NA,NA,NA,NA
"EPS SCI 121F - YIN, A.",0.273,0.182,0.182,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EPS SCI 15 - DRAKE, J.",0.459,0.162,0.135,0.027,NA,0.162,0.027,NA,NA,NA,NA,NA,0.027
"EPS SCI 16 - PARISI, A.F.",NA,0.071,0.429,0.214,0.071,NA,0.214,NA,NA,NA,NA,NA,NA
"EPS SCI 9 - RUBIN, A.E.",0.353,NA,0.176,0.118,NA,0.235,NA,0.059,NA,NA,NA,NA,0.059
"ESL 25 - KELLEY, J.C.",0.182,NA,0.636,NA,NA,NA,0.091,NA,NA,NA,NA,NA,0.091
"ETHNMUS 168A - LI, C.",0.9,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 168F - KAUSHAL, A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS 30 - RORKE, C.M.",0.4,0.133,0.133,0.133,NA,0.133,NA,NA,NA,NA,NA,NA,0.067
"ETHNMUS M108A - FRANCISCO CRISTOBA",0.182,NA,0.727,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS M119 - AVIDAN, L.J.",0.524,0.19,0.19,NA,NA,0.095,NA,NA,NA,NA,NA,NA,NA
"ETHNMUS M25 - STUPARITZ, O.G.",0.444,0.222,NA,NA,NA,0.111,NA,0.111,NA,NA,NA,NA,0.111
"ETHNMUS M50A - RIVERA, A.",NA,0.091,0.727,NA,NA,0.182,NA,NA,NA,NA,NA,NA,NA
"FILM TV 101A - HAIGH, B.P.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 101A - MALONE, M.E.",0.267,0.267,0.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 101A - VANGELLOW, L.V.",0.514,0.057,0.371,NA,NA,NA,NA,NA,0.057,NA,NA,NA,NA
"FILM TV 114 - WUEST, B.G.",0.37,0.096,0.452,0.027,NA,0.055,NA,NA,NA,NA,NA,NA,NA
"FILM TV 122D - GLIENKE, K.J.",0.327,0.077,0.462,0.019,NA,0.038,0.038,0.019,NA,NA,NA,NA,0.019
"FILM TV 122D - LENART, L.E.",0.667,0.167,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 122D - SMALLEY, K.L.",0.5,NA,0.3,NA,NA,NA,NA,NA,0.1,NA,0.1,NA,NA
"FILM TV 122D - WILSON, B.D.",0.538,0.077,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 122E - BURTNETT, S.S.",0.456,0.123,0.281,0.053,NA,0.035,0.035,NA,NA,NA,NA,NA,0.018
"FILM TV 122E - CANNON, P.J.",NA,NA,0.864,NA,NA,0.045,0.045,0.045,NA,NA,NA,NA,NA
"FILM TV 122J - BECK, J.A.",0.243,0.159,0.551,0.009,NA,0.037,NA,NA,NA,NA,NA,NA,NA
"FILM TV 122M - KELLY, R.M.",0.46,0.023,0.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023
"FILM TV 122M - MCMUNN, J.R.",0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091
"FILM TV 146 - BOYLE, B.",0.341,0.073,0.195,0.098,NA,0.195,0.024,NA,NA,0.024,0.024,NA,0.024
"FILM TV 178 - FINELL, M.A.",0.864,NA,NA,0.045,NA,0.045,NA,NA,NA,NA,NA,NA,0.045
"FILM TV 178 - ISENBERG, C.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 180A - WARD, D.A.",0.333,0.067,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 180B - BARNES, J.C.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 183A - CRESWICK, A.",0.167,0.167,0.5,0.111,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"FILM TV 183A - FRANKLIN, A.S.",0.92,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 183A - LIEBING, H.",0.071,NA,0.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 183B - LIEBING, H.",0.111,NA,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 183C - LIEBING, H.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 188A - GOLDSMITH, J.L.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 188A - SIARA, J.E.",0.583,NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083
"FILM TV 195 - FRANKLIN, A.S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FILM TV 221 - SAMPSON, B.N.",0.647,0.059,0.235,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"FILM TV 33 - GRIFFIN, N.E.",0.259,0.148,0.481,NA,0.037,0.074,NA,NA,NA,NA,NA,NA,NA
"FILM TV 33 - HUANG, G.J.",0.258,0.061,0.561,0.03,0.015,0.045,0.015,NA,NA,NA,NA,NA,0.015
"FILM TV 4 - GREENE, S.M.",0.52,0.08,0.04,0.04,0.04,0.08,NA,NA,0.04,NA,NA,0.04,0.12
"FILM TV 4 - TRICE, J.N.",0.369,0.095,0.4,0.031,0.027,0.041,0.007,0.003,0.007,NA,NA,NA,0.02
"FILM TV 72 - SCHWARTZ, C.N.",0.535,0.292,NA,0.049,0.014,0.09,NA,NA,0.021,NA,NA,NA,NA
"FILM TV 75 - CANNON, P.J.",NA,NA,0.824,NA,0.059,0.118,NA,NA,NA,NA,NA,NA,NA
"FILM TV 84A - MANN, D.R.",0.365,0.154,0.269,0.019,0.038,0.038,NA,0.019,0.058,NA,0.038,NA,NA
"FILM TV 84A - WUEST, B.G.",0.32,0.24,0.16,0.04,NA,0.16,0.08,NA,NA,NA,NA,NA,NA
"FILM TV M111 - HANSEN, C.",0.267,0.033,0.633,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"FOOD ST 133W - RENTON, K.E.",0.538,0.231,NA,0.077,0.077,0.077,NA,NA,NA,NA,NA,NA,NA
"FOOD ST 159 - KIM, M.K.",0.4,0.2,NA,0.2,NA,0.1,NA,NA,NA,NA,NA,NA,0.1
"FOOD ST 27 - KIM, M.K.",0.429,0.143,NA,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRNCH 1 - JANSMA, K.",0.286,0.143,0.214,NA,0.143,0.214,NA,NA,NA,NA,NA,NA,NA
"FRNCH 3 - JANSMA, K.",0.467,0.333,NA,0.133,0.067,NA,NA,NA,NA,NA,NA,NA,NA
"FRNCH 41 - JANSMA, K.",0.565,0.174,0.087,0.043,0.043,0.043,NA,NA,0.043,NA,NA,NA,NA
"FRNCH 8 - JANSMA, K.",0.52,0.2,NA,0.08,NA,0.12,0.04,NA,NA,NA,NA,0.04,NA
"GENDER 10 - MAURICIO, D.W.",0.255,0.043,0.574,0.021,NA,0.106,NA,NA,NA,NA,NA,NA,NA
"GENDER 101W - GOEMAN, M.R.",0.294,0.118,0.294,NA,NA,0.294,NA,NA,NA,NA,NA,NA,NA
"GENDER 102 - JADALI, S.",0.333,0.125,0.083,0.083,0.042,0.125,0.042,0.042,0.083,NA,0.042,NA,NA
"GENDER M107B - GUZMAN, J.J.",NA,NA,0.909,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GENDER M111 - HANSEN, C.",0.16,NA,0.76,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA
"GENDER M133C - DAYTON, E.C.",0.891,NA,NA,0.043,NA,0.043,NA,NA,NA,NA,NA,NA,0.022
"GENDER M162 - COLLETT, J.L.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GENDER M174 - COLLETT, J.L.",0.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071
"GEOG 1 - ROBINSON, C.M.",0.464,0.179,0.071,0.107,0.071,0.036,0.036,NA,0.036,NA,NA,NA,NA
"GEOG 125 - LE, T.B.",0.557,0.045,0.352,0.011,NA,0.011,0.011,NA,0.011,NA,NA,NA,NA
"GEOG 156 - ILLES, L.I.",0.233,0.367,NA,0.167,0.033,0.1,0.033,NA,0.033,NA,NA,NA,0.033
"GEOG 167 - OCON, J.P.",0.436,0.255,0.055,0.091,0.055,0.091,0.018,NA,NA,NA,NA,NA,NA
"GEOG 168 - DIMSON, M.J.",0.383,0.255,NA,0.085,NA,0.17,0.021,0.043,0.043,NA,NA,NA,NA
"GEOG 170 - ZHAN, S.",0.647,0.176,NA,0.118,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"GEOG 4 - HAMDAN, A.N.",0.238,0.286,0.048,0.095,0.19,0.095,0.048,NA,NA,NA,NA,NA,NA
"GEOG 5 - GEORGE, J.R.",0.3,0.086,0.4,0.057,0.043,0.057,0.029,NA,0.014,NA,0.014,NA,NA
"GEOG 5 - MILLER, R.",0.243,0.135,0.054,0.162,0.108,0.243,NA,NA,NA,0.027,NA,NA,0.027
"GEOG 6 - BEER, C.M.",0.182,0.273,0.227,0.045,0.091,0.091,NA,NA,0.045,NA,0.045,NA,NA
"GEOG 7 - DIMSON, M.J.",0.409,0.227,0.045,0.068,0.068,0.159,0.011,0.011,NA,NA,NA,NA,NA
"GEOG 7 - SPIVEY, H.D.",0.39,0.234,NA,0.052,0.065,0.195,NA,0.026,0.026,NA,0.013,NA,NA
"GEOG M115 - BENDER, C.T.",0.714,0.143,NA,NA,NA,0.095,NA,NA,0.048,NA,NA,NA,NA
"GEOG M149 - OSMAN, T.",0.16,0.32,0.08,0.16,0.08,0.2,NA,NA,NA,NA,NA,NA,NA
"GERMAN 59 - FUCHS, R.T.",0.222,0.278,0.389,0.056,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"GLB HLT 100 - BRANDT, C.E.",0.302,NA,0.679,NA,NA,0.019,NA,NA,NA,NA,NA,NA,NA
"GLBL ST 1 - THIES, M.F.",0.29,0.371,NA,0.145,0.032,0.129,NA,NA,NA,0.016,NA,0.016,NA
"GLBL ST 120 - PARK, P.S.",0.364,0.182,0.136,NA,NA,0.273,NA,0.045,NA,NA,NA,NA,NA
"GLBL ST 140 - FRANKLIN, A.S.",0.93,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST 13C - KELLEY, R.D.",0.344,0.213,0.098,0.082,0.016,0.18,0.016,NA,NA,NA,NA,NA,0.049
"HIST 140A - COREY, M.F.",0.571,0.171,0.086,0.029,NA,0.143,NA,NA,NA,NA,NA,NA,NA
"HIST 141B - HILL, M.",0.652,0.174,NA,0.087,NA,0.043,NA,NA,NA,0.043,NA,NA,NA
"HIST 142D - AVILA, E.R.",0.107,0.5,0.036,0.107,0.036,0.071,NA,NA,0.071,0.071,NA,NA,NA
"HIST 154 - CHAM, A.",0.261,0.413,NA,0.174,NA,0.152,NA,NA,NA,NA,NA,NA,NA
"HIST 179B - ZELENY, C.L.",0.839,NA,0.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST 180A - LAWRENCE, A.",0.296,0.148,0.296,NA,0.037,0.222,NA,NA,NA,NA,NA,NA,NA
"HIST 191A - LANGDON, J.S.",0.35,0.4,0.05,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"HIST 191F - MOMDJIAN, M.",0.531,0.25,0.125,NA,NA,0.094,NA,NA,NA,NA,NA,NA,NA
"HIST 1B - RUIZ, T.F.",0.489,0.111,0.267,0.044,0.022,0.044,0.022,NA,NA,NA,NA,NA,NA
"HIST 1C - HUNT, L.A.",0.426,0.074,0.382,NA,0.015,0.059,NA,NA,NA,NA,NA,NA,0.044
"HIST 5 - STEIN, S.A.",0.771,0.115,NA,0.031,0.021,0.021,0.01,NA,0.01,NA,NA,NA,0.021
"HIST 97M - WOODS, D.L.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST M103A - COONEY, K.M.",0.2,0.233,0.3,0.033,0.033,0.067,0.067,NA,NA,NA,NA,NA,0.067
"HIST M103B - PRICE, J.R.",0.421,0.158,0.158,NA,NA,0.263,NA,NA,NA,NA,NA,NA,NA
"HIST M133C - DAYTON, E.C.",0.831,0.051,NA,0.051,NA,0.034,NA,NA,0.017,NA,NA,NA,0.017
"HIST M142C - JOSEPH, S.J.",0.526,NA,0.421,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA
"HIST M150B - STEVENSON, B.",0.95,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST M150D - BROWN, S.D.",0.091,0.182,0.636,0.045,NA,0.045,NA,NA,NA,NA,NA,NA,NA
"HIST M155 - GANTNER, D.C.",0.238,0.286,NA,0.19,NA,0.262,NA,NA,NA,NA,NA,NA,0.024
"HLT POL 100 - MAY, J.W.",0.606,0.091,0.182,NA,NA,0.091,NA,NA,NA,NA,NA,0.03,NA
"HNRS 26 - FISHER, C.",0.2,0.4,NA,0.114,0.029,0.257,NA,NA,NA,NA,NA,NA,NA
"HNRS M145 - ROMERO, R.C.",0.733,0.1,0.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033
"I A STD 1 - THIES, M.F.",0.333,0.167,NA,0.1,0.033,0.133,NA,0.033,0.167,NA,NA,NA,0.033
"I A STD 195CE - THIES, M.F.",0.938,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I A STD 31 - WOODS, D.L.",0.952,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I A STD 33 - JUNG-KIM, J.J.",0.333,0.444,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INTL DV 1 - ANJUM, E.",0.569,0.154,0.215,0.031,NA,0.031,NA,NA,NA,NA,NA,NA,NA
"INTL DV 110 - LOFCHIE, M.F.",0.714,0.143,NA,NA,NA,0.114,NA,NA,NA,NA,NA,NA,0.029
"INTL DV 130 - LOFCHIE, M.F.",0.717,0.196,0.022,0.043,NA,0.022,NA,NA,NA,NA,NA,NA,NA
"INTL DV 191 - VU, L.H.",0.107,0.179,0.107,0.321,0.071,0.071,NA,0.036,0.107,NA,NA,NA,NA
"INTL DV M120 - LOFCHIE, M.F.",0.455,NA,0.091,0.091,0.091,0.091,0.091,NA,NA,NA,NA,NA,0.091
"ISLM ST M20 - ALI, M.M.",0.571,0.143,NA,0.143,NA,0.071,0.071,NA,NA,NA,NA,NA,NA
"ITALIAN 1 - TOGNOZZI, E.A.",0.6,NA,0.333,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITALIAN 3 - TOGNOZZI, E.A.",0.391,0.174,0.261,0.043,0.043,0.087,NA,NA,NA,NA,NA,NA,NA
"JAPAN 1 - TAYLOR, Y.",0.857,0.029,0.029,0.029,0.029,0.029,NA,NA,NA,NA,NA,NA,NA
"JAPAN 10 - NAGAI, A.",0.25,0.208,NA,0.167,0.083,0.125,0.125,NA,0.042,NA,NA,NA,NA
"JAPAN 100S - NISHIJIMA, R.",0.353,0.353,0.059,NA,0.176,0.059,NA,NA,NA,NA,NA,NA,NA
"JAPAN 155 - SHIMA, K.M.",0.176,0.147,0.588,NA,NA,0.029,NA,NA,NA,NA,NA,NA,0.059
"JAPAN 2 - TAYLOR, Y.",0.818,0.091,0.045,NA,NA,0.045,NA,NA,NA,NA,NA,NA,NA
"JAPAN 3 - TAYLOR, Y.",0.833,0.056,0.056,NA,NA,NA,NA,NA,0.056,NA,NA,NA,NA
"JAPAN 75 - KANESAKA, K.K.",0.5,0.097,0.25,NA,NA,0.097,NA,NA,0.028,NA,NA,NA,0.028
"JAPAN 75 - TRUSCOTT, D.M.",0.31,0.024,0.571,0.012,0.012,0.048,0.012,NA,NA,0.012,NA,NA,NA
"JAPAN C159 - SHIMA, K.M.",0.273,0.091,0.591,NA,NA,0.045,NA,NA,NA,NA,NA,NA,NA
"KOREA 1 - PARK, J.",0.485,0.121,0.242,0.03,NA,0.091,NA,NA,NA,NA,NA,NA,0.03
"KOREA 10 - BAE, E.Y.",0.111,NA,0.778,NA,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"KOREA 155 - REIZMAN, L.H.",0.533,0.133,NA,0.067,NA,0.2,NA,NA,NA,NA,NA,NA,0.067
"KOREA 2 - PARK, J.",0.24,0.16,0.48,NA,NA,0.08,NA,NA,0.04,NA,NA,NA,NA
"KOREA 3 - PARK, J.",0.375,0.042,0.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOREA 40 - CHOI, J.A.",0.25,0.25,0.333,0.083,NA,NA,0.083,NA,NA,NA,NA,NA,NA
"KOREA 50 - HILLMER, J.D.",0.562,0.125,0.25,NA,NA,NA,NA,NA,0.062,NA,NA,NA,NA
"LATIN 16 - BECKELHYMER, S.D.",0.4,0.133,0.267,0.067,0.067,NA,NA,NA,NA,0.067,NA,NA,NA
"LBR STD 177 - NARRO, V.H.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LBR STD 194A - WAHEED, S.",0.654,0.269,NA,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"LBR STD 194C - WAHEED, S.",0.926,NA,NA,NA,NA,0.037,NA,NA,0.037,NA,NA,NA,NA
"LGBTQS M114 - WOOLSEY, M.F.",0.158,0.105,0.474,NA,0.158,0.053,NA,NA,0.053,NA,NA,NA,NA
