"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"C&EE 266 - MAHENDRA, S.",0.652,0.261,0.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE 298 - BAUCHY, M.",0.233,NA,0.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE 298 - ZHENG, X.",0.636,NA,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE 91 - SANT, G.",0.183,0.098,0.085,0.171,0.073,0.085,0.085,0.037,0.049,0.049,NA,0.012,0.073
"C&EE C239 - MAZZONI, S.",0.407,0.296,0.074,0.074,NA,0.148,NA,NA,NA,NA,NA,NA,NA
"C&EE ST 130 - LEJKO-LACAN, V.",0.792,0.083,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C&EE ST 91 - GALATEANU, G.",0.324,0.118,0.441,0.029,0.029,0.059,NA,NA,NA,NA,NA,NA,NA
"CESC 195CE - BARRERA, D.S.",0.846,NA,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CESC 50XP - STAUB, S.D.",0.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009
"CH ENGR 10 - TANG, Y.",0.928,0.01,0.01,0.021,NA,0.021,0.01,NA,NA,NA,NA,NA,NA
"CH ENGR 100 - LI, Y.",0.493,0.133,NA,0.12,0.013,0.173,0.04,NA,NA,0.013,NA,NA,0.013
"CH ENGR 101A - EISLER, C.N.",0.62,0.089,0.114,0.114,0.025,0.025,NA,NA,0.013,NA,NA,NA,NA
"CH ENGR 104B - SIMONETTI, D.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH ENGR 106 - LU, Y.",0.312,0.219,0.031,0.125,NA,0.312,NA,NA,NA,NA,NA,NA,NA
"CH ENGR 109 - CHRISTOFIDES, P.D.",0.493,0.247,NA,0.027,0.041,0.164,NA,NA,0.014,NA,NA,NA,0.014
"CH ENGR 200 - SAUTET, P.",0.524,0.143,0.143,NA,NA,0.143,NA,NA,0.048,NA,NA,NA,NA
"CH ENGR C115 - ANNABI, N.",0.281,0.406,NA,0.031,0.062,0.188,NA,NA,0.031,NA,NA,NA,NA
"CH ENGR C118 - COHEN, Y.",0.176,0.206,0.029,0.176,0.059,0.353,NA,NA,NA,NA,NA,NA,NA
"CH ENGR CM145 - PARK, J.",0.333,0.083,0.083,0.333,NA,0.042,NA,0.042,0.042,NA,NA,NA,0.042
"CH ENGR CM245 - PARK, J.",0.4,0.1,NA,0.3,0.1,0.1,NA,NA,NA,NA,NA,NA,NA
"CHEM 110A - HUYNH, M.T.",0.415,0.223,0.043,0.149,0.032,0.085,0.011,NA,0.032,NA,NA,0.011,NA
"CHEM 113A - LEVINE, A.J.",0.238,0.143,0.048,0.143,0.095,0.143,0.095,NA,0.048,0.048,NA,NA,NA
"CHEM 125 - KOPELEVICH, M.",0.625,0.125,0.208,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 144 - NELSON, H.M.",0.342,NA,0.263,0.237,NA,0.079,0.026,NA,NA,0.053,NA,NA,NA
"CHEM 14A - LAVELLE, L.",0.164,0.182,0.187,0.075,0.082,0.118,0.066,0.06,0.056,0.007,NA,NA,0.003
"CHEM 14AE - CASEY, J.R.",0.548,0.126,0.004,0.161,0.03,0.048,0.052,NA,0.022,0.009,NA,NA,NA
"CHEM 14B - SCERRI, E.R.",0.183,0.186,0.06,0.144,0.114,0.198,0.027,0.012,0.057,0.012,NA,NA,0.009
"CHEM 14BL - RUSSELL, A.A.",0.718,0.039,NA,0.13,0.008,0.033,0.043,0.006,0.01,0.004,NA,NA,0.01
"CHEM 14C - CASTILLO RODRIGUEZ",0.529,0.143,0.116,0.058,0.029,0.07,0.024,0.009,0.022,0.002,NA,NA,NA
"CHEM 14CL - HENARY, M.M.",0.876,0.03,NA,0.055,0.009,0.018,0.006,NA,0.006,NA,NA,NA,NA
"CHEM 14D - PHAM, H.V.",0.496,0.164,0.1,0.06,0.029,0.089,0.031,0.007,0.02,NA,NA,0.002,NA
"CHEM 153A - GOBER, J.W.",0.515,0.149,0.054,0.06,0.05,0.113,0.022,0.006,0.019,0.003,0.001,0.001,0.007
"CHEM 153B - TIENSON-TSENG, H.L",0.162,0.061,0.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 153C - TIENSON-TSENG, H.L",0.238,0.143,0.492,0.032,0.016,0.032,NA,0.016,0.016,NA,NA,NA,0.016
"CHEM 153L - HONG-HERMESDORF, A",0.461,0.186,NA,0.069,0.059,0.127,0.039,0.01,0.02,0.01,NA,NA,0.02
"CHEM 154 - NAKAMOTO, S.S.",0.103,0.241,NA,0.138,0.034,0.103,0.207,0.069,0.069,0.034,NA,NA,NA
"CHEM 156 - CANNON, K.A.",0.757,0.159,NA,NA,0.028,0.056,NA,NA,NA,NA,NA,NA,NA
"CHEM 17 - SCERRI, E.R.",0.331,0.186,0.119,0.068,0.025,0.102,0.042,0.008,0.059,0.034,NA,NA,0.025
"CHEM 171 - KANER, R.B.",0.415,0.069,0.019,0.346,0.013,0.082,0.006,0.006,0.038,NA,NA,0.006,NA
"CHEM 185 - CARAM, J.R.",0.1,0.8,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"CHEM 189 - KANER, R.B.",0.897,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 192F - SHAKED, S.",0.973,0.009,NA,0.009,0.009,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 20A - FELKER, P.M.",0.118,0.179,0.021,0.155,0.135,0.212,0.058,0.038,0.061,0.008,NA,NA,0.015
"CHEM 20AH - GELBART, W.M.",0.119,0.31,0.167,0.238,0.06,0.107,NA,NA,NA,NA,NA,NA,NA
"CHEM 228 - CARAM, J.R.",0.947,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 236 - RUBIN, Y.F.",0.421,0.263,0.211,NA,NA,0.105,NA,NA,NA,NA,NA,NA,NA
"CHEM 244A - KWON, O.",0.417,0.167,0.083,0.167,0.083,0.083,NA,NA,NA,NA,NA,NA,NA
"CHEM 247 - GARG, N.K.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 248 - RUBIN, Y.F.",0.25,0.5,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 258 - CLARKE, C.F.",0.867,NA,0.067,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"CHEM 268 - GOBER, J.W.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 269A - BOWIE, J.U.",0.522,0.13,NA,0.13,NA,0.217,NA,NA,NA,NA,NA,NA,NA
"CHEM 269B - CLARKE, S.G.",0.6,0.2,0.05,0.05,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"CHEM 269C - WOLLMAN, R.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 269D - KOEHLER, C.M.",0.947,NA,NA,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA
"CHEM 269E - BACKUS, K.M.",0.391,0.304,NA,0.087,NA,0.174,NA,NA,0.043,NA,NA,NA,NA
"CHEM 278 - DIACONESCU, P.L.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 3 - RAMACHANDRAN, R.",0.829,0.098,0.024,0.024,NA,0.024,NA,NA,NA,NA,NA,NA,NA
"CHEM 30A - REILLY, A.J.",0.133,0.114,0.01,0.133,0.162,0.152,0.076,0.114,0.048,0.019,NA,0.029,0.01
"CHEM 30AL - PANG, J.W.",0.931,0.009,NA,0.028,NA,0.014,0.018,NA,NA,NA,NA,NA,NA
"CHEM 30B - MERLIC, C.A.",0.148,0.101,0.011,0.185,0.101,0.153,0.153,0.074,0.058,0.011,NA,NA,0.005
"CHEM 30BL - NASRALLAH, D.J.",0.341,0.329,0.195,0.037,NA,0.073,0.012,NA,NA,NA,NA,NA,0.012
"CHEM 30CL - REILLY, A.J.",0.25,0.042,NA,0.25,0.083,0.333,0.042,NA,NA,NA,NA,NA,NA
"CHEM 599 - DUAN, X.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 599 - GARG, N.K.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 599 - HARRAN, P.G.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 599 - SLETTEN, E.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM 599 - TOLBERT, S.H.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM C150 - TORRES, J.",0.667,0.286,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM C173 - LIU, C.",0.786,NA,0.143,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"CHEM C215A - SCHWARTZ, B.J.",0.4,0.2,NA,0.067,0.133,0.133,NA,NA,NA,NA,NA,NA,0.067
"CHEM C223A - MASON, T.G.",0.182,0.091,0.455,0.091,NA,0.091,NA,NA,NA,NA,NA,NA,0.091
"CHEM C250 - TORRES, J.",0.958,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHEM C273 - LIU, C.",0.765,0.118,0.059,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"CHICANO 100SL - GONZALEZ, O.O.",0.905,0.016,0.048,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHICANO 104 - FRIAS, C.M.",0.737,0.053,0.132,0.026,0.026,NA,NA,NA,NA,0.026,NA,NA,NA
"CHICANO 105F - HARRIS, A.A.",0.738,0.071,NA,0.024,0.048,0.024,0.048,0.048,NA,NA,NA,NA,NA
"CHICANO 10A - ALMA, K.",0.273,0.034,0.645,0.008,0.004,0.013,0.002,NA,0.002,0.002,0.002,NA,0.017
"CHICANO 113 - RAMIREZ-OROPEZA, M",0.38,0.038,0.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHICANO 123 - ANDALON, R.",0.256,0.026,0.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHICANO 169 - ELLIS, H.",0.3,0.1,0.2,0.025,0.025,0.175,NA,0.075,0.075,NA,NA,NA,0.025
"CHICANO 171 - SANTA ANA, O.",0.189,0.057,0.585,0.019,0.019,NA,0.075,NA,NA,0.057,NA,NA,NA
"CHICANO 174AX - RIDLEY THOMAS, A.F",0.278,0.222,0.278,0.111,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"CHICANO 178 - ROMERO, R.C.",0.346,0.108,0.454,0.031,0.008,0.031,0.008,NA,NA,NA,NA,0.008,0.008
"CHICANO 188 - GASPAR DE ALBA, A.",0.839,0.032,0.097,NA,NA,0.032,NA,NA,NA,NA,NA,NA,NA
"CHICANO 188 - MARTINEZ, C.M.",0.5,0.19,0.095,0.024,NA,0.095,0.024,NA,0.024,NA,NA,NA,0.048
"CHICANO 188 - MARTINEZ, K.M.",0.239,0.015,0.687,0.03,NA,NA,0.015,NA,NA,NA,NA,NA,0.015
"CHICANO 191 - BOJ LOPEZ, F.E.",0.302,0.186,0.302,0.023,0.023,0.093,0.047,NA,NA,NA,NA,NA,0.023
"CHICANO 239 - LOPEZ GASPAR DE AL",0.909,NA,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHICANO 89 - ALMA, K.",0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05
"CHICANO CM135 - GASPAR DE ALBA, A.",0.455,0.273,NA,NA,NA,0.182,NA,NA,NA,NA,NA,NA,0.091
"CHICANO M103D - ARAIZA, J.E.",0.425,0.075,0.325,0.025,0.025,0.075,0.025,NA,0.025,NA,NA,NA,NA
"CHICANO M105A - LOPEZ, M.K.",0.571,0.095,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHICANO M144 - BLACKWELL, M.S.",0.658,0.105,0.079,0.105,NA,0.026,NA,NA,NA,NA,NA,NA,0.026
"CHIN 1 - CHIEF, L.",0.349,0.016,0.587,NA,NA,0.032,NA,NA,NA,NA,NA,NA,0.016
"CHIN 1 - YAO, Y.",0.597,0.139,0.111,0.056,0.056,0.028,NA,NA,NA,NA,NA,NA,0.014
"CHIN 100A - SMITH, M.M.",0.655,0.241,NA,NA,NA,0.069,NA,NA,0.034,NA,NA,NA,NA
"CHIN 101A - CHIEF, L.",0.417,0.167,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHIN 102A - SMITH, M.M.",0.688,0.188,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA
"CHIN 105A - SHEN, Y.",0.75,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHIN 110A - DUTHIE, N.N.",0.71,0.129,0.129,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHIN 124 - TSAI, L.",0.559,0.147,0.147,0.059,NA,0.088,NA,NA,NA,NA,NA,NA,NA
"CHIN 191A - SCHABERG, D.C.",0.385,0.231,NA,NA,NA,0.385,NA,NA,NA,NA,NA,NA,NA
"CHIN 1A - SUN, X.",0.816,0.053,NA,0.026,0.026,0.026,NA,NA,0.026,NA,NA,NA,0.026
"CHIN 4 - SHEN, Y.",0.795,0.154,NA,NA,NA,0.026,NA,NA,NA,NA,NA,NA,0.026
"CHIN 4A - YAO, Y.",0.375,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHIN 50 - LI, M.",0.467,0.164,0.103,0.061,0.012,0.127,0.03,0.012,0.018,NA,NA,NA,0.006
"CLASSIC 144 - BECKMANN, S.E.",0.677,0.161,NA,0.032,0.032,0.032,0.032,NA,NA,NA,NA,NA,0.032
"CLASSIC 162 - SPIELBERG, L.M.",0.562,0.125,0.167,NA,NA,0.104,NA,NA,NA,NA,NA,NA,0.042
"CLASSIC 20 - VAZQUEZ, A.M.",0.673,0.211,0.049,0.022,0.004,0.027,0.004,0.004,NA,NA,NA,0.004,NA
"CLASSIC 250 - BECKMANN, S.E.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLASSIC 47 - BECKELHYMER, S.D.",0.652,NA,0.319,NA,NA,0.029,NA,NA,NA,NA,NA,NA,NA
"CLASSIC 48 - BLANK, D.L.",0.385,0.137,0.359,0.034,0.017,0.034,0.017,0.009,NA,NA,0.009,NA,NA
"CLASSIC 88GE - KIRKLAND, B.",0.545,0.182,0.182,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLASSIC M145A - ELLIS, R.M.",0.529,0.353,NA,0.029,NA,0.029,0.029,NA,NA,NA,NA,NA,0.029
"CLUSTER 20A - BROWN, S.D.",0.549,0.186,0.169,0.03,0.017,0.042,0.004,0.004,NA,NA,NA,NA,NA
"CLUSTER 27A - CHISM, C.N.",0.28,0.085,0.451,0.049,0.012,0.098,NA,NA,NA,0.012,NA,NA,0.012
"CLUSTER 48A - MCBRIDE, J.",0.426,0.117,0.431,0.005,0.005,0.015,NA,NA,NA,NA,NA,NA,NA
"CLUSTER 60A - DECKER, J.L.",0.424,0.246,0.013,0.081,0.03,0.195,0.004,0.004,0.004,NA,NA,NA,NA
"CLUSTER 70A - BROWN, C.A.",0.511,0.188,0.039,0.105,0.017,0.1,0.017,NA,0.004,NA,NA,0.017,NA
"CLUSTER 73A - CHANDLER, S.H.",0.647,0.033,0.013,0.196,0.007,0.033,0.039,NA,0.007,0.026,NA,NA,NA
"CLUSTER 80A - MERKIN, S.S.",0.569,0.161,0.029,0.044,0.015,0.088,0.044,0.015,0.036,NA,NA,NA,NA
"CLUSTER M1A - JAY, J.A.",0.375,0.075,0.5,0.025,0.013,0.006,NA,NA,0.006,NA,NA,NA,NA
"CLUSTER M71A - LEE, R.C.",0.188,0.05,0.707,0.021,0.004,0.013,0.004,NA,0.008,NA,NA,NA,0.004
"COM HLT 100 - TAVROW, P.A.",0.479,0.16,0.202,0.053,0.011,0.064,0.011,0.011,0.011,NA,NA,NA,NA
"COM HLT 132 - TAUB, B.",0.579,0.316,NA,NA,NA,0.105,NA,NA,NA,NA,NA,NA,NA
"COM HLT 179 - SCORZA, D.J.",0.159,NA,0.73,0.048,NA,0.032,NA,NA,0.016,NA,NA,NA,0.016
"COM HLT 200 - VON EHRENSTEIN, O.",0.455,0.273,0.091,NA,NA,0.182,NA,NA,NA,NA,NA,NA,NA
"COM HLT 210 - MACINKO, J.A.",0.968,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT 210 - UPCHURCH, D.M.",0.81,0.095,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT 212 - KUHN, R.S.",0.727,0.091,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT 213 - BEYMER, M.R.",0.611,0.056,0.167,0.056,0.056,0.056,NA,NA,NA,NA,NA,NA,NA
"COM HLT 220 - FORD, C.L.",0.583,0.333,NA,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT 224 - WANG, M.",0.526,0.211,0.158,0.053,NA,0.053,NA,NA,NA,NA,NA,NA,NA
"COM HLT 235 - GEE, G.C.",0.692,0.154,NA,NA,NA,0.154,NA,NA,NA,NA,NA,NA,NA
"COM HLT 238 - D'AMICO, E.",0.571,0.238,0.048,NA,0.048,0.095,NA,NA,NA,NA,NA,NA,NA
"COM HLT 281B - PRELIP, M.L.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT 281B - SHAFIR, S.C.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT 288 - GLIK, D.C.",0.333,0.286,0.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT 400 - BLENNER, S.",0.3,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT 440 - STRATTON, S.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM HLT M287 - BONTA, D.M.",0.6,0.1,0.25,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA
"COM HLT M420 - KUO, A.A.",0.929,NA,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM LIT 104 - SUTHERLAND KRISTAL",0.733,0.133,NA,NA,NA,0.133,NA,NA,NA,NA,NA,NA,NA
"COM LIT 191 - ARNOLD, W.L.",0.267,0.6,NA,NA,NA,0.133,NA,NA,NA,NA,NA,NA,NA
"COM LIT 2CW - KOMAR, K.L.",0.247,0.225,0.067,0.112,0.101,0.18,0.011,NA,0.011,0.011,NA,NA,0.034
"COM LIT 2DW - BOSCH, S.F.",0.368,0.284,0.032,0.084,0.011,0.189,0.021,NA,NA,NA,NA,NA,0.011
"COM LIT 4AW - KRISTAL, E.",0.5,0.25,NA,0.062,NA,0.062,NA,NA,NA,NA,NA,NA,0.125
"COM LIT 4DW - KRISTAL, E.",0.889,NA,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM LIT C152 - SHIDELER, R.P.",0.182,0.364,0.091,NA,NA,0.364,NA,NA,NA,NA,NA,NA,NA
"COM SCI 1 - GAFNI, E.M.",0.984,NA,NA,0.008,NA,NA,0.008,NA,NA,NA,NA,NA,NA
"COM SCI 111 - REIHER, P.L.",0.161,0.118,NA,0.172,0.118,0.183,0.043,0.032,0.011,0.011,0.043,0.022,0.086
"COM SCI 118 - VARGHESE, G.",0.375,0.146,0.201,0.076,0.069,0.076,0.021,0.007,0.007,0.014,NA,NA,0.007
"COM SCI 130 - KIM, M.",0.2,0.224,0.072,0.08,0.072,0.288,NA,NA,0.048,0.016,NA,NA,NA
"COM SCI 131 - EGGERT, P.R.",0.23,0.044,NA,0.2,0.17,0.104,0.067,0.037,0.067,0.03,NA,0.007,0.044
"COM SCI 132 - PALSBERG, J.",0.49,0.04,0.33,0.04,NA,0.02,0.04,0.01,0.01,0.01,NA,NA,0.01
"COM SCI 145 - SUN, Y.",0.459,0.066,0.098,0.049,0.008,0.254,0.008,0.008,0.025,0.008,NA,NA,0.016
"COM SCI 152B - SARRAFZADEH, M.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI 161 - VAN DEN BROECK, G.",0.272,0.225,0.053,0.099,0.066,0.185,0.033,0.007,0.046,NA,NA,0.013,NA
"COM SCI 174A - LAW, A.",0.368,0.189,0.2,0.084,0.042,0.095,0.011,NA,NA,NA,NA,NA,0.011
"COM SCI 180 - SARRAFZADEH, M.",0.284,0.071,0.009,0.355,0.038,0.047,0.109,0.043,0.028,0.009,NA,NA,0.005
"COM SCI 181 - MEKA, R.",0.326,NA,0.11,0.285,0.023,0.192,0.052,NA,NA,NA,NA,NA,0.012
"COM SCI 188 - ROTHFELS, J.N.",0.62,0.185,0.185,NA,NA,0.011,NA,NA,NA,NA,NA,NA,NA
"COM SCI 192 - SHAKED, S.",0.958,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI 211 - LU, S.",0.353,0.353,NA,0.059,0.059,0.176,NA,NA,NA,NA,NA,NA,NA
"COM SCI 217A - ZHANG, L.",0.366,0.39,0.098,0.024,NA,0.122,NA,NA,NA,NA,NA,NA,NA
"COM SCI 239 - NETRAVALI, R.A.",0.722,0.167,NA,NA,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"COM SCI 239 - REINMAN, G.D.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI 239 - XU, H.",0.846,0.038,0.077,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI 245 - WANG, W.",0.692,0.231,NA,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"COM SCI 246 - CHO, J.",0.538,0.212,0.077,0.077,0.096,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI 249 - SHIRANI-MEHR, H.",0.619,0.19,0.095,NA,NA,0.048,NA,0.048,NA,NA,NA,NA,NA
"COM SCI 251A - TAMIR, Y.",0.5,0.083,0.083,0.167,0.083,NA,0.083,NA,NA,NA,NA,NA,NA
"COM SCI 259 - CONG, J.J.",0.462,0.231,0.154,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI 264A - DARWICHE, A.Y.",0.346,0.212,0.058,0.077,0.038,0.269,NA,NA,NA,NA,NA,NA,NA
"COM SCI 269 - HSIEH, C.",0.611,0.111,0.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI 269 - MIRZASOLEIMAN, B.",0.5,NA,0.4,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"COM SCI 269 - PENG, N.",0.28,0.28,0.36,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA
"COM SCI 269 - TERZOPOULOS, D.",0.529,0.235,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI 281A - SHERSTOV, A.",0.833,NA,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI 30 - MILLSTEIN, T.D.",0.5,0.067,0.233,0.033,0.033,0.1,NA,NA,0.017,NA,NA,NA,0.017
"COM SCI 31 - SMALLBERG, D.A.",0.71,0.097,NA,0.053,0.018,0.055,0.015,0.009,0.013,0.007,0.002,0.013,0.007
"COM SCI 33 - NOWATZKI, A.J.",0.328,0.143,0.164,0.048,0.09,0.106,0.021,0.011,0.016,0.011,0.011,0.026,0.026
"COM SCI 35L - EGGERT, P.R.",0.355,0.118,NA,0.118,0.043,0.129,0.054,0.032,0.065,0.011,NA,0.032,0.043
"COM SCI 97 - EGGERT, P.R.",0.438,0.157,NA,0.034,0.056,0.157,0.067,0.022,0.056,NA,NA,NA,0.011
"COM SCI CM121 - SUL, J.H.",0.568,0.136,0.17,0.011,0.034,0.068,NA,0.011,NA,NA,NA,NA,NA
"COM SCI CM221 - SUL, J.H.",0.562,0.062,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM SCI M146 - CHANG, K.",0.313,0.111,0.267,0.041,0.051,0.111,0.028,0.009,0.018,0.014,0.018,0.009,0.009
"COM SCI M152A - SARRAFZADEH, M.",0.308,0.225,0.183,0.075,0.058,0.05,NA,NA,0.017,NA,NA,NA,0.083
"COM SCI M182 - DISTEFANO, J.",0.577,0.038,NA,0.135,0.038,0.115,0.058,NA,0.019,0.019,NA,NA,NA
"COM SCI M226 - SANKARARAMAN, S.",0.758,0.061,NA,0.061,0.03,0.091,NA,NA,NA,NA,NA,NA,NA
"COM SCI M51A - KORF, R.E.",0.423,0.319,0.049,0.043,0.061,0.049,0.037,NA,NA,NA,NA,NA,0.018
"COM SCI M51A - RAMEZANI, R.",0.45,0.017,0.483,0.025,0.017,NA,0.008,NA,NA,NA,NA,NA,NA
"COMM 1 - BRIDGEWATER, D.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMM 1 - FERAMISCO, C.",0.5,0.185,0.13,0.056,0.019,0.074,0.019,NA,0.019,NA,NA,NA,NA
"COMM 1 - KOCHIAN, J.",0.908,0.066,NA,0.013,NA,NA,NA,NA,NA,NA,NA,NA,0.013
"COMM 1 - MACK, K.S.",0.925,0.057,NA,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMM 10 - SUMAN, M.W.",0.061,0.122,NA,0.156,0.102,0.204,0.088,0.068,0.102,0.014,NA,0.054,0.027
"COMM 101 - KASSABIAN, R.",0.231,0.256,NA,0.026,0.103,0.256,0.026,NA,0.051,NA,NA,NA,0.051
"COMM 103A - MILLER, T.E.",0.375,0.25,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMM 104 - MILLER, T.E.",0.538,0.154,0.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.077
"COMM 106 - ARBABZADAH, N.",0.442,0.208,0.156,0.039,NA,0.13,0.013,NA,0.013,NA,NA,NA,NA
"COMM 108 - KICENSKI, K.K.",0.308,0.279,0.01,0.096,0.048,0.154,0.019,0.01,0.048,0.01,NA,NA,0.019
"COMM 119 - WARLAUMONT, A.S.",0.338,0.077,0.538,NA,NA,0.046,NA,NA,NA,NA,NA,NA,NA
"COMM 121 - WARLAUMONT, A.S.",0.194,0.061,0.724,NA,NA,NA,0.01,NA,0.01,NA,NA,NA,NA
"COMM 122 - GAO, T.",0.729,0.034,0.169,0.034,NA,0.034,NA,NA,NA,NA,NA,NA,NA
"COMM 150 - PETERSON, S.M.",0.268,0.31,0.042,0.085,0.014,0.239,0.014,NA,0.014,NA,NA,NA,0.014
"COMM 151 - GROELING, T.J.",0.591,0.065,0.29,NA,0.011,0.011,0.011,0.011,0.011,NA,NA,NA,NA
"COMM 152 - SUMAN, M.W.",0.074,0.185,0.019,0.185,0.13,0.333,0.037,NA,0.019,NA,NA,NA,0.019
"COMM 160 - GROELING, T.J.",0.68,0.04,0.22,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA
"COMM 171 - HUPPIN, M.A.",0.454,0.124,0.062,0.124,NA,0.206,NA,NA,0.021,NA,NA,NA,0.01
"COMM 187 - NEWTON, J.S.",0.667,0.09,0.189,0.009,0.018,0.027,NA,NA,NA,NA,NA,NA,NA
"COMM 188A - BIAGIOLI, M.",0.133,0.2,0.267,0.133,NA,0.2,NA,0.067,NA,NA,NA,NA,NA
"COMM 188A - JUSKO, J.A.",0.29,0.217,0.014,0.116,0.014,0.319,0.014,NA,NA,0.014,NA,NA,NA
"COMM 188D - BIAGIOLI, M.",0.483,0.276,0.103,0.034,NA,0.103,NA,NA,NA,NA,NA,NA,NA
