,CLASS,A+_x,A_x,A-_x,B+_x,B_x,B-_x,C+_x,C_x,C-_x,D+_x,D_x,D-_x,F_x,A+_y,A_y,A-_y,B+_y,B_y,B-_y,C+_y,C_y,C-_y,D+_y,D_y,D-_y,F_y
301,"CHEM 3 - SPOKOYNY, A.M.",0.024,0.357,0.357,0.119,0.095,0.024,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,"CHEM 30A - PHAM, H.V.",0.07,0.106,0.155,0.056,0.056,0.127,0.099,0.077,0.07,0.106,0.049,0.021,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0
2540,"CHEM 30A - REILLY, A.J.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.133,0.114,0.152,0.133,0.162,0.048,0.076,0.114,0.029,0.019,0,0.01
303,"CHEM 30AL - HENARY, M.M.",0,0.54,0.025,0.155,0.22,0.02,0.01,0.025,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2541,"CHEM 30AL - PANG, J.W.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.931,0.009,0.014,0.028,0,0,0.018,0,0,0,0,0
304,"CHEM 30B - MERLIC, C.A.",0.038,0.162,0.103,0.09,0.141,0.068,0.073,0.201,0.073,0,0.03,0,0.021,0.011,0.148,0.101,0.153,0.185,0.101,0.058,0.153,0.074,0,0.011,0,0.005
2542,"CHEM 30BL - NASRALLAH, D.J.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0.341,0.329,0.073,0.037,0,0,0.012,0,0,0,0,0.012
305,"CHEM 30BL - REILLY, A.J.",0.019,0.093,0.093,0.167,0.352,0.111,0.074,0.037,0.019,0,0.019,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,"CHEM 30CL - REILLY, A.J.",0,0.143,0.286,0.214,0.179,0.107,0.036,0.036,0,0,0,0,0,0,0.25,0.042,0.333,0.25,0.083,0,0.042,0,0,0,0,0
307,"CHEM 596 - WEISS, P.S.",0.333,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2543,"CHEM 599 - DUAN, X.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2544,"CHEM 599 - GARG, N.K.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2545,"CHEM 599 - HARRAN, P.G.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2546,"CHEM 599 - SLETTEN, E.M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2547,"CHEM 599 - TOLBERT, S.H.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
308,"CHEM C150 - TORRES, J.",0,0.5,0.455,0.045,0,0,0,0,0,0,0,0,0,0.048,0.667,0.286,0,0,0,0,0,0,0,0,0,0
2548,"CHEM C173 - LIU, C.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.786,0,0.071,0,0,0,0,0,0,0,0,0
2549,"CHEM C215A - SCHWARTZ, B.J.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0.133,0.067,0.133,0,0,0,0,0,0,0.067
309,"CHEM C223A - LEVINE, A.J.",0.077,0.154,0.231,0.077,0.231,0.154,0,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2550,"CHEM C223A - MASON, T.G.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.455,0.182,0.091,0.091,0.091,0,0,0,0,0,0,0,0.091
310,"CHEM C250 - TORRES, J.",0.154,0.692,0.154,0,0,0,0,0,0,0,0,0,0,0,0.958,0.042,0,0,0,0,0,0,0,0,0,0
311,"CHEM C273 - LIU, C.",0.067,0.333,0.267,0.2,0.067,0.067,0,0,0,0,0,0,0,0.059,0.765,0.118,0.059,0,0,0,0,0,0,0,0,0
312,"CHEM CM160A - LEE, C.J.",0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2551,"CHICANO 100SL - GONZALEZ, O.O.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.905,0.016,0,0.032,0,0,0,0,0,0,0,0
313,"CHICANO 100SL - LACAYO, C.O.",0.02,0.1,0.26,0.32,0.18,0.08,0.02,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
314,"CHICANO 104 - FRIAS, C.M.",0.375,0.5,0.05,0.05,0.025,0,0,0,0,0,0,0,0,0.132,0.737,0.053,0,0.026,0.026,0,0,0,0,0.026,0,0
315,"CHICANO 105F - HARRIS, A.A.",0,0.907,0.047,0.023,0,0.023,0,0,0,0,0,0,0,0,0.738,0.071,0.024,0.024,0.048,0,0.048,0.048,0,0,0,0
2552,"CHICANO 10A - ALMA, K.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.645,0.273,0.034,0.013,0.008,0.004,0.002,0.002,0,0,0.002,0.002,0.017
316,"CHICANO 10B - HINOJOSA-OJEDA, R.",0.325,0.422,0.16,0.034,0.024,0.01,0.01,0.005,0,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
317,"CHICANO 10B - JOHNSON, G.",0.473,0.354,0.085,0.036,0.016,0.01,0.008,0.008,0,0,0.008,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0
318,"CHICANO 113 - RAMIREZ-OROPEZA, M",0.659,0.317,0.008,0,0,0.008,0.008,0,0,0,0,0,0,0.582,0.38,0.038,0,0,0,0,0,0,0,0,0,0
2553,"CHICANO 123 - ANDALON, R.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.718,0.256,0.026,0,0,0,0,0,0,0,0,0,0
319,"CHICANO 138A - CARPIO, G.G.",0.296,0.259,0.241,0.111,0.074,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0
320,"CHICANO 153A - ABREGO, L.J.",0.048,0.323,0.177,0.21,0.113,0.081,0.016,0.016,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0
321,"CHICANO 153B - ALMA, K.",0.106,0.617,0.128,0.085,0.043,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,"CHICANO 165 - SANTA ANA, O.",0.308,0.365,0,0.038,0.25,0,0,0.019,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,"CHICANO 169 - ELLIS, H.",0.273,0.227,0.25,0.091,0.091,0.023,0.045,0,0,0,0,0,0,0.2,0.3,0.1,0.175,0.025,0.025,0.075,0,0.075,0,0,0,0.025
324,"CHICANO 171 - SANTA ANA, O.",0.194,0.361,0.028,0,0.222,0,0,0.111,0,0,0.083,0,0,0.585,0.189,0.057,0,0.019,0.019,0,0.075,0,0,0.057,0,0
2554,"CHICANO 174AX - RIDLEY THOMAS, A.F",0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0.278,0.222,0.111,0.111,0,0,0,0,0,0,0,0
2555,"CHICANO 178 - ROMERO, R.C.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.454,0.346,0.108,0.031,0.031,0.008,0,0.008,0,0.008,0,0,0.008
325,"CHICANO 188 - ESPINO, V.R.",0.186,0.349,0.256,0.14,0.047,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2556,"CHICANO 188 - GASPAR DE ALBA, A.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.097,0.839,0.032,0.032,0,0,0,0,0,0,0,0,0
326,"CHICANO 188 - GONZALEZ, O.O.",0.125,0.458,0.333,0,0,0.042,0,0,0,0,0,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0
327,"CHICANO 188 - LACAYO, C.O.",0,0.08,0.318,0.261,0.239,0.08,0,0.011,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2557,"CHICANO 188 - MARTINEZ, C.M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0.5,0.19,0.095,0.024,0,0.024,0.024,0,0,0,0,0.048
2558,"CHICANO 188 - MARTINEZ, K.M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.818,0.136,0,0,0.023,0,0,0,0,0,0,0,0.023
2559,"CHICANO 188 - MARTINEZ, K.M. LEC 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0.435,0.435,0.043,0,0.043,0,0,0.043,0,0,0,0,0
2560,"CHICANO 191 - BOJ LOPEZ, F.E.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,0.302,0.186,0.093,0.023,0.023,0,0.047,0,0,0,0,0.023
328,"CHICANO 200 - ROMERO, R.C.",0,0.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2561,CHICANO 239 - LOPEZ GASPAR DE AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.909,0,0,0,0,0,0,0,0,0,0,0
329,"CHICANO 291 - ABREGO, L.J.",0.2,0.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,"CHICANO 291 - ALMA, K.",0,0.778,0,0.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2562,"CHICANO 89 - ALMA, K.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0.05
331,"CHICANO 89 - JOHNSON, G.",0.083,0.875,0,0,0,0,0,0,0,0,0,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0
332,"CHICANO C179 - MACIAS, R.F.",0,0.348,0,0.13,0.391,0.043,0,0,0,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2563,"CHICANO CM135 - GASPAR DE ALBA, A.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455,0.273,0.182,0,0,0,0,0,0,0,0,0.091
2564,"CHICANO M103D - ARAIZA, J.E.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.325,0.425,0.075,0.075,0.025,0.025,0.025,0.025,0,0,0,0,0
2565,"CHICANO M105A - LOPEZ, M.K.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.571,0.095,0,0,0,0,0,0,0,0,0,0
2566,"CHICANO M144 - BLACKWELL, M.S.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0.658,0.105,0.026,0.105,0,0,0,0,0,0,0,0.026
333,"CHICANO M145B - GONZALEZ, O.O.",0.059,0.412,0.412,0.029,0.029,0.029,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0
334,"CHICANO M155B - BARRETO, M.A.",0.05,0.15,0.15,0.25,0.117,0.133,0.067,0.033,0.017,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0
335,"CHICANO M156A - RODRIGUEZ, M.I.",0,0.727,0.182,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,"CHIN 1 - CHIEF, L.",0.351,0.299,0.117,0.091,0.052,0.013,0.013,0.039,0,0,0,0,0.026,0.587,0.349,0.016,0.032,0,0,0,0,0,0,0,0,0.016
337,"CHIN 1 - YAO, Y.",0,0.463,0.28,0.134,0.024,0.049,0.012,0,0.024,0,0,0,0.012,0.111,0.597,0.139,0.028,0.056,0.056,0,0,0,0,0,0,0.014
338,"CHIN 100A - SMITH, M.M.",0.038,0.5,0.269,0.115,0,0.077,0,0,0,0,0,0,0,0,0.655,0.241,0.069,0,0,0.034,0,0,0,0,0,0
2567,"CHIN 101A - CHIEF, L.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.417,0.417,0.167,0,0,0,0,0,0,0,0,0,0
339,"CHIN 102A - SMITH, M.M.",0.053,0.579,0.053,0.211,0,0.105,0,0,0,0,0,0,0,0,0.688,0.188,0.125,0,0,0,0,0,0,0,0,0
340,"CHIN 105A - SHEN, Y.",0,0.647,0.294,0,0,0.059,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0,0,0,0,0
2568,"CHIN 110A - DUTHIE, N.N.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.129,0.71,0.129,0,0.032,0,0,0,0,0,0,0,0
341,"CHIN 110A - WU, Y.",0.227,0.341,0.136,0.159,0.045,0.068,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2569,"CHIN 124 - TSAI, L.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0.559,0.147,0.088,0.059,0,0,0,0,0,0,0,0
342,"CHIN 130B - QIN, L.",0.286,0.143,0.381,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,"CHIN 151 - QIN, L.",0.079,0.237,0.5,0.132,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,"CHIN 159 - TSAI, L.",0.267,0.433,0.167,0.033,0,0.033,0.033,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2570,"CHIN 191A - SCHABERG, D.C.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385,0.231,0.385,0,0,0,0,0,0,0,0,0
345,"CHIN 191A - WU, Y.",0.083,0.25,0.417,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,"CHIN 191B - TSAI, L.",0.25,0.3,0.1,0.1,0,0.15,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,"CHIN 1A - SUN, X.",0.053,0.421,0.263,0.132,0.105,0,0,0,0,0.026,0,0,0,0,0.816,0.053,0.026,0.026,0.026,0.026,0,0,0,0,0,0.026
348,"CHIN 4 - SHEN, Y.",0,0.677,0.194,0.097,0.032,0,0,0,0,0,0,0,0,0,0.795,0.154,0.026,0,0,0,0,0,0,0,0,0.026
349,"CHIN 4A - YAO, Y.",0,0.273,0.364,0.091,0.182,0,0,0.091,0,0,0,0,0,0,0.375,0.625,0,0,0,0,0,0,0,0,0,0
350,"CHIN 50 - DUTHIE, N.N.",0.093,0.413,0.16,0.087,0.1,0.04,0.02,0.033,0.013,0.013,0.013,0.007,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0
2571,"CHIN 50 - LI, M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.103,0.467,0.164,0.127,0.061,0.012,0.018,0.03,0.012,0,0,0,0.006
351,"CLASSIC 10 - KIRKLAND, N.B.",0.077,0.419,0.173,0.077,0.085,0.065,0.028,0.032,0.004,0.004,0.02,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0
2572,"CLASSIC 144 - BECKMANN, S.E.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677,0.161,0.032,0.032,0.032,0,0.032,0,0,0,0,0.032
352,"CLASSIC 148 - BLANK, D.L.",0.036,0.543,0.336,0.064,0.007,0,0,0.007,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,"CLASSIC 152B - BECKMANN, S.E.",0.038,0.538,0.115,0.077,0.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2573,"CLASSIC 162 - SPIELBERG, L.M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.562,0.125,0.104,0,0,0,0,0,0,0,0,0.042
354,"CLASSIC 164 - JOHANSON, C.",0.194,0.484,0.161,0.129,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,"CLASSIC 166A - MORGAN, K.A.",0.1,0.1,0.25,0.1,0.2,0.2,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
2574,"CLASSIC 20 - VAZQUEZ, A.M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0.673,0.211,0.027,0.022,0.004,0,0.004,0.004,0.004,0,0,0
2575,"CLASSIC 250 - BECKMANN, S.E.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
356,"CLASSIC 288 - SISSA, G.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,"CLASSIC 42 - BOULMETIS, T.A.",0,0.887,0.057,0.028,0.021,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0
2576,"CLASSIC 47 - BECKELHYMER, S.D.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.319,0.652,0,0.029,0,0,0,0,0,0,0,0,0
2577,"CLASSIC 48 - BLANK, D.L.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.359,0.385,0.137,0.034,0.034,0.017,0,0.017,0.009,0,0,0.009,0
358,"CLASSIC 88GE - BECKMANN, S.E.",0,0.684,0.158,0.105,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2578,"CLASSIC 88GE - KIRKLAND, B.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.545,0.182,0,0.091,0,0,0,0,0,0,0,0
359,"CLASSIC 88GE - ZENIOS, S.",0.083,0.583,0.25,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2579,"CLASSIC M145A - ELLIS, R.M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529,0.353,0.029,0.029,0,0,0.029,0,0,0,0,0.029
360,"CLUSTER 20A - BROWN, S.D.",0.061,0.388,0.279,0.17,0.085,0.006,0.012,0,0,0,0,0,0,0.169,0.549,0.186,0.042,0.03,0.017,0,0.004,0.004,0,0,0,0
361,"CLUSTER 21A - ALEXANDER, A.",0.05,0.47,0.29,0.06,0.07,0.03,0.02,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
2580,"CLUSTER 27A - CHISM, C.N.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.451,0.28,0.085,0.098,0.049,0.012,0,0,0,0,0.012,0,0.012
362,"CLUSTER 30A - BURDORFF, S.F.",0.038,0.301,0.28,0.183,0.097,0.032,0.027,0.011,0.022,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0
363,"CLUSTER 48A - LUFT, A.R.",0.084,0.465,0.232,0.084,0.077,0.026,0.019,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2581,"CLUSTER 48A - MCBRIDE, J.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.431,0.426,0.117,0.015,0.005,0.005,0,0,0,0,0,0,0
364,"CLUSTER 60A - DECKER, J.L.",0.004,0.332,0.389,0.179,0.083,0,0.009,0.004,0,0,0,0,0,0.013,0.424,0.246,0.195,0.081,0.03,0.004,0.004,0.004,0,0,0,0
2582,"CLUSTER 70A - BROWN, C.A.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0.511,0.188,0.1,0.105,0.017,0.004,0.017,0,0.017,0,0,0
365,"CLUSTER 70A - FRISCIA, A.R.",0.033,0.257,0.164,0.136,0.187,0.037,0.056,0.061,0.019,0.005,0.014,0.019,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0
366,"CLUSTER 73A - BARNARD, H.",0.033,0.533,0.05,0.075,0.233,0,0,0.058,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2583,"CLUSTER 73A - CHANDLER, S.H.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.647,0.033,0.033,0.196,0.007,0.007,0.039,0,0,0.026,0,0
367,"CLUSTER 80A - HSU, P.T.",0,0.317,0.302,0.183,0.048,0.087,0.032,0.016,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2584,"CLUSTER 80A - MERKIN, S.S.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0.569,0.161,0.088,0.044,0.015,0.036,0.044,0.015,0,0,0,0
368,"CLUSTER M1A - BUCK, H.J.",0.712,0.144,0.041,0.055,0.021,0.021,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2585,"CLUSTER M1A - JAY, J.A.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.375,0.075,0.006,0.025,0.013,0.006,0,0,0,0,0,0
2586,"CLUSTER M71A - LEE, R.C.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.707,0.188,0.05,0.013,0.021,0.004,0.008,0.004,0,0,0,0,0.004
369,"CLUSTER M71A - PANOFSKY, A.L.",0.325,0.338,0.181,0.084,0.025,0.025,0.013,0.004,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,"CLUSTER M72A - HASELTON, M.G.",0.112,0.32,0.288,0.104,0.112,0.032,0.016,0,0.008,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2587,"COM HLT 100 - TAVROW, P.A.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,0.479,0.16,0.064,0.053,0.011,0.011,0.011,0.011,0,0,0,0
371,"COM HLT 132 - TAUB, B.",0,0.545,0.333,0.091,0.03,0,0,0,0,0,0,0,0,0,0.579,0.316,0.105,0,0,0,0,0,0,0,0,0
372,"COM HLT 179 - SCORZA, D.J.",0.268,0.429,0.125,0.089,0.036,0.018,0,0,0,0.018,0.018,0,0,0.73,0.159,0,0.032,0.048,0,0.016,0,0,0,0,0,0.016
373,"COM HLT 200 - VON EHRENSTEIN, O.",0,0.4,0.4,0.2,0,0,0,0,0,0,0,0,0,0.091,0.455,0.273,0.182,0,0,0,0,0,0,0,0,0
374,"COM HLT 210 - GEE, G.C.",0.018,0.482,0.125,0.179,0.107,0.054,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2588,"COM HLT 210 - MACINKO, J.A.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968,0.032,0,0,0,0,0,0,0,0,0,0
375,"COM HLT 210 - UPCHURCH, D.M.",0.368,0.368,0.211,0,0,0,0.053,0,0,0,0,0,0,0.095,0.81,0.095,0,0,0,0,0,0,0,0,0,0
376,"COM HLT 212 - KUHN, R.S.",0,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0.182,0.727,0.091,0,0,0,0,0,0,0,0,0,0
377,"COM HLT 213 - BEYMER, M.R.",0.5,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0.167,0.611,0.056,0.056,0.056,0.056,0,0,0,0,0,0,0
378,"COM HLT 220 - FORD, C.L.",0,0.35,0.45,0.15,0.05,0,0,0,0,0,0,0,0,0,0.583,0.333,0,0.083,0,0,0,0,0,0,0,0
2589,"COM HLT 224 - WANG, M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0.526,0.211,0.053,0.053,0,0,0,0,0,0,0,0
379,"COM HLT 226 - UPCHURCH, D.M.",0,0.944,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2590,"COM HLT 235 - GEE, G.C.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.692,0.154,0.154,0,0,0,0,0,0,0,0,0
380,"COM HLT 238 - D'AMICO, E.",0.067,0.6,0.267,0.067,0,0,0,0,0,0,0,0,0,0.048,0.571,0.238,0.095,0,0.048,0,0,0,0,0,0,0
381,"COM HLT 247 - GIPSON, J.D.",0.136,0.318,0.273,0.227,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2591,"COM HLT 281B - PRELIP, M.L.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
382,"COM HLT 281B - SHAFIR, S.C.",0.034,0.448,0.241,0.207,0.034,0,0,0.034,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
383,"COM HLT 282 - KIRBY, S.D.",0,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,"COM HLT 288 - GLIK, D.C.",0.267,0.467,0.267,0,0,0,0,0,0,0,0,0,0,0.381,0.333,0.286,0,0,0,0,0,0,0,0,0,0
385,"COM HLT 400 - BLENNER, S.",0,0.783,0.13,0.043,0,0,0,0,0,0,0,0,0.043,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0
386,"COM HLT 440 - STRATTON, S.J.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
387,"COM HLT 48 - PANG, M.",0.2,0.4,0.2,0.067,0.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,"COM HLT M234 - MCCARTHY, W.J.",0,0.3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,"COM HLT M263 - PEBLEY, A.R.",0.15,0.5,0.15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2592,"COM HLT M287 - BONTA, D.M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.6,0.1,0.05,0,0,0,0,0,0,0,0,0
2593,"COM HLT M420 - KUO, A.A.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0.929,0,0,0,0,0,0,0,0,0,0,0
390,"COM LIT 100 - REINHARD, K.",0,0.444,0.278,0.111,0.056,0,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2594,COM LIT 104 - SUTHERLAND KRISTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733,0.133,0.133,0,0,0,0,0,0,0,0,0
2595,"COM LIT 191 - ARNOLD, W.L.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.6,0.133,0,0,0,0,0,0,0,0,0
391,"COM LIT 191 - LEVITZ, T.J.",0.368,0.421,0.105,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,"COM LIT 2CW - KOMAR, K.L.",0.009,0.324,0.324,0.157,0.093,0.009,0.046,0.009,0,0,0,0,0.028,0.067,0.247,0.225,0.18,0.112,0.101,0.011,0.011,0,0,0.011,0,0.034
2596,"COM LIT 2DW - BOSCH, S.F.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.368,0.284,0.189,0.084,0.011,0,0.021,0,0,0,0,0.011
2597,"COM LIT 4AW - KRISTAL, E.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.062,0.062,0,0,0,0,0,0,0,0.125
393,"COM LIT 4CW - KING, K.C.",0.05,0.4,0.45,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,"COM LIT 4DW - KING, K.C.",0.053,0.947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2598,"COM LIT 4DW - KRISTAL, E.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.889,0,0,0,0,0,0,0,0,0,0,0
2599,"COM LIT C152 - SHIDELER, R.P.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.182,0.364,0.364,0,0,0,0,0,0,0,0,0
395,"COM LIT C153 - KOMAR, K.L.",0.1,0.7,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,"COM LIT M191P - MACFADYEN, D.W.",0.118,0.588,0.235,0,0,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2600,"COM SCI 1 - GAFNI, E.M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984,0,0,0.008,0,0,0.008,0,0,0,0,0
