class,difference,department,Class_Cap
"HLT POL 243 - KUO, A.A.",0.1625,,"HLT POL 243 - KUO, A.A."
"BIOSTAT 100A - LEE, M.L.",0.161561562,,"BIOSTAT 100A - LEE, M.L."
"THEATER 12 - HACKETT, M.J.",0.161443457,,"THEATER 12 - HACKETT, M.J."
"CLUSTER 20A - BROWN, S.D.",0.161238761,,"CLUSTER 20A - BROWN, S.D."
"MSC IND 101 - 0IMAN, T.H.",0.1611,,"MSC IND 101 - 0IMAN, T.H."
"HIST 191C - FORD, C.C.",0.1608,,"HIST 191C - FORD, C.C."
"ARCH&UD 411 - FREYINGER, C.P.",0.16,,"ARCH&UD 411 - FREYINGER, C.P."
"DANCE 5 - EEN, R.W.",0.158678679,,"DANCE 5 - EEN, R.W."
"THEATER 123 - SHAWHAN, A.",0.1586,,"THEATER 123 - SHAWHAN, A."
"MECH&AE M256A - MAL, A.K.",0.15778971,,"MECH&AE M256A - MAL, A.K."
"AM IND 202 - MITHLO, N.M.",0.157724324,,"AM IND 202 - MITHLO, N.M."
"KOREA 4 - JEON, S.",0.157157157,,"KOREA 4 - JEON, S."
"SCAND 50 - WEN, P.J.",0.156206206,,"SCAND 50 - WEN, P.J."
"CHIN 102A - SMITH, M.M.",0.156043956,,"CHIN 102A - SMITH, M.M."
"PUB PLC 201 - PARK, R.",0.155414815,,"PUB PLC 201 - PARK, R."
"NEUROSC 102 - LEBELLE, J.",0.154945055,,"NEUROSC 102 - LEBELLE, J."
"ENGL 115D - ALLMENDINGER, B.",0.154736464,,"ENGL 115D - ALLMENDINGER, B."
"NURSING 10 - SALEM, B.E.",0.153468032,,"NURSING 10 - SALEM, B.E."
"EPIDEM 246 - HSU, P.T.",0.1527,,"EPIDEM 246 - HSU, P.T."
"COM SCI 33 - NOWATZKI, A.J.",0.151148851,,"COM SCI 33 - NOWATZKI, A.J."
"PHYSCI CM123 - COLWELL, C.S.",0.151,,"PHYSCI CM123 - COLWELL, C.S."
"NEUROSC CM123 - COLWELL, C.S.",0.150593351,,"NEUROSC CM123 - COLWELL, C.S."
"ART 140 - SAMUEL, J.M.",0.15,,"ART 140 - SAMUEL, J.M."
"PSYCH 119I - ZAIDEL, D.",0.149855844,,"PSYCH 119I - ZAIDEL, D."
"ENGL 20W - GOYAL, Y.",0.148648649,,"ENGL 20W - GOYAL, Y."
"MGMT 123 - GARDNER TRELOAR, J",0.14864584,,"MGMT 123 - GARDNER TRELOAR, J"
"RUSSN 1 - KUDYMA, A.",0.148596449,,"RUSSN 1 - KUDYMA, A."
"FRNCH 41 - BROZGAL, L.N.",0.147972973,,"FRNCH 41 - BROZGAL, L.N."
"STATS 100C - CHRISTOU, N.",0.147684079,,"STATS 100C - CHRISTOU, N."
"POL SCI M191DC - DESVEAUX, J.A.",0.1471,,"POL SCI M191DC - DESVEAUX, J.A."
"NURSING 401 - BUSH, N.",0.147052947,,"NURSING 401 - BUSH, N."
"COMM 106 - ARBABZADAH, N.",0.146853147,,"COMM 106 - ARBABZADAH, N."
"MECH&AE 150A - TAIRA, K.",0.146272272,,"MECH&AE 150A - TAIRA, K."
"ENGR 182EW - VILLASENOR, J.D.",0.146135664,,"ENGR 182EW - VILLASENOR, J.D."
"THEATER 124A - WAGAR, P.M.",0.1447,,"THEATER 124A - WAGAR, P.M."
"MECH&AE C297A - LI, X.",0.144356657,,"MECH&AE C297A - LI, X."
"CHIN 1 - YAO, Y.",0.144025614,,"CHIN 1 - YAO, Y."
"EE BIOL 158 - BARBER, P.H.",0.143543544,,"EE BIOL 158 - BARBER, P.H."
"COM SCI 180 - SARRAFZADEH, M.",0.142670827,,"COM SCI 180 - SARRAFZADEH, M."
"ART 11A - ESTRADA, V.R.",0.1416,,"ART 11A - ESTRADA, V.R."
"EC ENGR 163A - BABAKHANI, A.",0.13983984,,"EC ENGR 163A - BABAKHANI, A."
"COMM 121 - WARLAUMONT, A.S.",0.139744645,,"COMM 121 - WARLAUMONT, A.S."
"NURSING 162C - CUENCA, E.L.",0.139270771,,"NURSING 162C - CUENCA, E.L."
"STATS M171 - RIGBY, D.L.",0.138827839,,"STATS M171 - RIGBY, D.L."
"ANTHRO 191HC - MIYAKE, L.R.",0.1386,,"ANTHRO 191HC - MIYAKE, L.R."
"MECH&AE 101 - GUPTA, V.",0.1382,,"MECH&AE 101 - GUPTA, V."
"SPAN 44 - ARROYO CALDERON, P",0.138038038,,"SPAN 44 - ARROYO CALDERON, P"
"MGMTFT 411 - SHADDY, F.P.",0.137627173,,"MGMTFT 411 - SHADDY, F.P."
"CHEM 244A - KWON, O.",0.1369,,"CHEM 244A - KWON, O."
"FRNCH 100 - DENIE HIGNEY, L.M.",0.136704705,,"FRNCH 100 - DENIE HIGNEY, L.M."
"ENGCOMP 3 - JAURRETCHE, C.M.",0.1367,,"ENGCOMP 3 - JAURRETCHE, C.M."
"CHEM 171 - KANER, R.B.",0.1366,,"CHEM 171 - KANER, R.B."
"STATS 200A - MONTUFAR CUARTAS,",0.1363,,"STATS 200A - MONTUFAR CUARTAS,"
"MCD BIO 90 - HOOSHMAND, M.J.",0.13535297,,"MCD BIO 90 - HOOSHMAND, M.J."
"KOREA 184A - JUNG-KIM, J.J.",0.134837463,,"KOREA 184A - JUNG-KIM, J.J."
"COM SCI 130 - KIM, M.",0.1344,,"COM SCI 130 - KIM, M."
"ECON 203A - HAHN, J.",0.1333,,"ECON 203A - HAHN, J."
"KOREA 104A - JEON, S.",0.1331,,"KOREA 104A - JEON, S."
"BIOENGR CM278 - KASKO, A.M.",0.132884016,,"BIOENGR CM278 - KASKO, A.M."
"SOCIOL 191C - BEREND, Z.",0.132362138,,"SOCIOL 191C - BEREND, Z."
"EDUC 129 - PURDY, W.C.",0.132,,"EDUC 129 - PURDY, W.C."
"EDUC 152A - DESJARDINS, R.",0.132,,"EDUC 152A - DESJARDINS, R."
"EDUC 187 - DENG, M.C.",0.131730769,,"EDUC 187 - DENG, M.C."
"GJ STDS M50A - DE CASTRO, P.J.",0.1309,,"GJ STDS M50A - DE CASTRO, P.J."
"ENGCOMP 2 - NEWBY, A.",0.130118418,,"ENGCOMP 2 - NEWBY, A."
"FILM TV 154 - MARIN, E.",0.1287,,"FILM TV 154 - MARIN, E."
"ARCH&UD 401 - ENNEMOSER, B.",0.1275,,"ARCH&UD 401 - ENNEMOSER, B."
"MECH&AE 166C - CARMAN, G.P.",0.127419639,,"MECH&AE 166C - CARMAN, G.P."
"ASL 1 - LEWIS, B.J.",0.126215315,,"ASL 1 - LEWIS, B.J."
"COM HLT 210 - UPCHURCH, D.M.",0.1249,,"COM HLT 210 - UPCHURCH, D.M."
"LAW 130 - BALDWIN CLARK, L.J",0.123768769,,"LAW 130 - BALDWIN CLARK, L.J"
"LAW 358 - POWER, J.J.",0.1231,,"LAW 358 - POWER, J.J."
"MSC IND 102 - JOHNSON, G.L.",0.12180971,,"MSC IND 102 - JOHNSON, G.L."
"ENVIRON 166 - GARRISON, N.J.",0.1212,,"ENVIRON 166 - GARRISON, N.J."
"ECON 202A - HANSEN, G.D.",0.118690909,,"ECON 202A - HANSEN, G.D."
"ANTHRO M166Q - BOUM, A.",0.118378378,,"ANTHRO M166Q - BOUM, A."
"MGMTFT 402 - LONG, E.F.",0.1182,,"MGMTFT 402 - LONG, E.F."
"EC ENGR 270 - WILLIAMS, B.S.",0.117367768,,"EC ENGR 270 - WILLIAMS, B.S."
"ASIAN 30 - IWASAKI, S.",0.117033501,,"ASIAN 30 - IWASAKI, S."
"ETHNMUS 68A - LI, C.",0.116883117,,"ETHNMUS 68A - LI, C."
"BIOSTAT M215 - LI, G.",0.1167,,"BIOSTAT M215 - LI, G."
"HIST 105A - MORONY, M.G.",0.116608991,,"HIST 105A - MORONY, M.G."
"MGMTFT 405 - GIULIANO, P.",0.1155,,"MGMTFT 405 - GIULIANO, P."
"HEBREW 1A - EZER, N.",0.115436315,,"HEBREW 1A - EZER, N."
"ENGL 85 - MOTT, C.M.",0.115138739,,"ENGL 85 - MOTT, C.M."
"HLT POL 445 - ELGINER, J.A.",0.114339869,,"HLT POL 445 - ELGINER, J.A."
"MGMTFE 410 - BRAVO PLAZA, F.",0.1142,,"MGMTFE 410 - BRAVO PLAZA, F."
"LAW 145 - SPILLENGER, C.S.",0.112648749,,"LAW 145 - SPILLENGER, C.S."
"MGMTMFE 431 - PA0GEAS, S.",0.112254545,,"MGMTMFE 431 - PA0GEAS, S."
"BIOENGR 177A - SEIDLITS, S.K.",0.112149051,,"BIOENGR 177A - SEIDLITS, S.K."
"EDUC 406 - SANTIBANEZ, L.",0.1119,,"EDUC 406 - SANTIBANEZ, L."
"STATS 102C - CHEN, M.S.",0.111688312,,"STATS 102C - CHEN, M.S."
"IRANIAN M105A - SAIEDI, N.",0.110721978,,"IRANIAN M105A - SAIEDI, N."
"PHILOS 31 - LEVY, S.R.",0.109988889,,"PHILOS 31 - LEVY, S.R."
"CHEM 30B - MERLIC, C.A.",0.1098,,"CHEM 30B - MERLIC, C.A."
"HUM GEN 236A - CANTOR, R.M.",0.108683117,,"HUM GEN 236A - CANTOR, R.M."
"FILM TV 433 - SELDES AN0CONE, E",0.1082,,"FILM TV 433 - SELDES AN0CONE, E"
"MGMTMFE 410 - PELEG, E.",0.1079,,"MGMTMFE 410 - PELEG, E."
"COM SCI 259 - CONG, J.J.",0.107692308,,"COM SCI 259 - CONG, J.J."
"LAW 302 - NETANEL, N.W.",0.107412407,,"LAW 302 - NETANEL, N.W."
"LAW 120 - DOLOVICH, S.",0.10724026,,"LAW 120 - DOLOVICH, S."
"COM HLT 220 - FORD, C.L.",0.106916917,,"COM HLT 220 - FORD, C.L."
"MSC IND 104A - FRANZEN, D.E.",0.106706707,,"MSC IND 104A - FRANZEN, D.E."
"EPIDEM 242 - ZHANG, Z.",0.105951552,,"EPIDEM 242 - ZHANG, Z."
"RELIGN M105A - SAIEDI, N.",0.105354152,,"RELIGN M105A - SAIEDI, N."
"EC ENGR 239AS - KADAMBI, A.",0.105154745,,"EC ENGR 239AS - KADAMBI, A."
"COMM 188A - JUSKO, J.A.",0.105116714,,"COMM 188A - JUSKO, J.A."
"SOC WLF 260A - WRAY-LAKE, L.",0.1044,,"SOC WLF 260A - WRAY-LAKE, L."
"DESMA 157 - STERN, E.I.",0.104333433,,"DESMA 157 - STERN, E.I."
"CHIN 1A - SUN, X.",0.104157658,,"CHIN 1A - SUN, X."
"MC&IP 252 - WANG, Y.",0.103126174,,"MC&IP 252 - WANG, Y."
"FRNCH 2 - JANSMA, K.",0.1026,,"FRNCH 2 - JANSMA, K."
"FRNCH 4 - DENIE HIGNEY, L.M.",0.100739261,,"FRNCH 4 - DENIE HIGNEY, L.M."
"GREEK 1 - ELLIS, R.M.",0.100476623,,"GREEK 1 - ELLIS, R.M."
"MUSC 50 - RODRIGUE, J.",0.1002997,,"MUSC 50 - RODRIGUE, J."
"COM HLT 179 - SCORZA, D.J.",0.1000999,,"COM HLT 179 - SCORZA, D.J."
"C&EE 156A - LAU, S.",0.0998,,"C&EE 156A - LAU, S."
"FILM TV 282A - LEVY, R.J.",0.0988,,"FILM TV 282A - LEVY, R.J."
"POL SCI 141E - DESVEAUX, J.A.",0.098571429,,"POL SCI 141E - DESVEAUX, J.A."
"LAW 100 - STONE, R.",0.09638961,,"LAW 100 - STONE, R."
"GLBL ST 1 - POTTS, S.S.",0.096345638,,"GLBL ST 1 - POTTS, S.S."
"LAW 671 - FALSAFI, S.",0.096143343,,"LAW 671 - FALSAFI, S."
"EC ENGR 102 - KAO, J.C.",0.093660861,,"EC ENGR 102 - KAO, J.C."
"CHEM 269B - CLARKE, S.G.",0.093,,"CHEM 269B - CLARKE, S.G."
"THEATER C137 - BURKE, J.A.",0.093,,"THEATER C137 - BURKE, J.A."
"LAW 312 - DERIAN, S.K.",0.0929,,"LAW 312 - DERIAN, S.K."
"VIETMSE 40 - NGUYEN-VO, T.",0.0929,,"VIETMSE 40 - NGUYEN-VO, T."
"EDUC 250A - HURTADO, S.",0.0926,,"EDUC 250A - HURTADO, S."
"MECH&AE 171A - IWASAKI, T.",0.092592593,,"MECH&AE 171A - IWASAKI, T."
"LAW 130 - ZASLOFF, J.",0.0921,,"LAW 130 - ZASLOFF, J."
"LAW 234 - POWER, J.J.",0.091622222,,"LAW 234 - POWER, J.J."
"CHIN 105A - SHEN, Y.",0.0899,,"CHIN 105A - SHEN, Y."
"INF STD 211 - DRUCKER, J.R.",0.0897,,"INF STD 211 - DRUCKER, J.R."
"MUSC M6A - SZABO, S.D.",0.0891,,"MUSC M6A - SZABO, S.D."
"LAW 228 - BAINBRIDGE, S.M.",0.088281782,,"LAW 228 - BAINBRIDGE, S.M."
"ENGCOMP 3 - CREESE, R.A.",0.088260721,,"ENGCOMP 3 - CREESE, R.A."
"MGMTEX 402 - SARIN, R.K.",0.08821009,,"MGMTEX 402 - SARIN, R.K."
"LAW 636 - WANG, A.",0.0882,,"LAW 636 - WANG, A."
"MGMTMFE 431 - SUBRAHMANYAM, A.",0.088,,"MGMTMFE 431 - SUBRAHMANYAM, A."
"ENGR 183EW - BROWNE, D.G.",0.087875576,,"ENGR 183EW - BROWNE, D.G."
"SPAN 191B - COHEN, G.D.",0.0878,,"SPAN 191B - COHEN, G.D."
"ECON 262P - LLERAS-MUNEY, A.",0.087592308,,"ECON 262P - LLERAS-MUNEY, A."
"PHYSCI 5 - ESDIN, J.",0.086747487,,"PHYSCI 5 - ESDIN, J."
"SOC SC 400A - PA0GIA, D.",0.0858,,"SOC SC 400A - PA0GIA, D."
"ENGCOMP 3 - KIPEN, D.M.",0.0856,,"ENGCOMP 3 - KIPEN, D.M."
"STATS 112 - ESFANDIARI, M.M.",0.0855,,"STATS 112 - ESFANDIARI, M.M."
"SCAND 40 - BALL, K.A.",0.085473985,,"SCAND 40 - BALL, K.A."
"KOREA 1 - CHOI, J.B.",0.085322923,,"KOREA 1 - CHOI, J.B."
"EC ENGR 112 - CASTANEDA, J.J.",0.0851,,"EC ENGR 112 - CASTANEDA, J.J."
"SOC WLF 214A - IGLEHART, A.P.",0.0849,,"SOC WLF 214A - IGLEHART, A.P."
"MECH&AE 183A - LI, X.",0.0844,,"MECH&AE 183A - LI, X."
"ENGCOMP 3 - MOE, M.L.",0.083346883,,"ENGCOMP 3 - MOE, M.L."
"CHIN 100A - SMITH, M.M.",0.082982983,,"CHIN 100A - SMITH, M.M."
"LAW 140 - WANG, A.",0.082879479,,"LAW 140 - WANG, A."
"MSC IND M103 - TRAMO, M.J.",0.082582583,,"MSC IND M103 - TRAMO, M.J."
"LAW 130 - BRYANT, T.L.",0.082441882,,"LAW 130 - BRYANT, T.L."
"CHEM C150 - TORRES, J.",0.082285714,,"CHEM C150 - TORRES, J."
"POL SCI 195CE - TAUSANOVITCH, C.N.",0.0819,,"POL SCI 195CE - TAUSANOVITCH, C.N."
"C&EE 266 - MAHENDRA, S.",0.0817,,"C&EE 266 - MAHENDRA, S."
"LAW 205 - GOODMAN, P.D.",0.081326426,,"LAW 205 - GOODMAN, P.D."
"LAW 306 - LICHTMAN, D.G.",0.081147053,,"LAW 306 - LICHTMAN, D.G."
"ASIA AM 140SL - CHENG, S.",0.080980981,,"ASIA AM 140SL - CHENG, S."
"KOREA 1 - MITSU0GA, J.I.",0.0808,,"KOREA 1 - MITSU0GA, J.I."
"MGMTMFE 400 - CHERNOV, M.",0.080215315,,"MGMTMFE 400 - CHERNOV, M."
"HLT POL 403 - GALPER, M.R.",0.0802,,"HLT POL 403 - GALPER, M.R."
"MGMTFT 405 - WASSERMAN, M.S.",0.0796,,"MGMTFT 405 - WASSERMAN, M.S."
"LAW 230 - LOPUCKI, L.M.",0.079229029,,"LAW 230 - LOPUCKI, L.M."
"FILM TV 459A - KELLY, R.M.",0.0777,,"FILM TV 459A - KELLY, R.M."
"LAW 220 - OH, J.S.",0.0771,,"LAW 220 - OH, J.S."
"LAW 303 - GENCO, S.C.",0.07676953,,"LAW 303 - GENCO, S.C."
"EDUC 405A - PARK, J.J.",0.075975976,,"EDUC 405A - PARK, J.J."
"LAW 130 - RILEY, A.R.",0.075308108,,"LAW 130 - RILEY, A.R."
"ARCH&UD 289 - ENNEMOSER, B.",0.074,,"ARCH&UD 289 - ENNEMOSER, B."
"ECON 201A - OBARA, I.",0.0739,,"ECON 201A - OBARA, I."
"MUSC C185B - BASS, J.",0.073673674,,"MUSC C185B - BASS, J."
"THEATER 135D - HALUS, E.J.",0.072727273,,"THEATER 135D - HALUS, E.J."
"SOC WLF 214A - WANG, L.S.",0.0722,,"SOC WLF 214A - WANG, L.S."
"C&EE 155 - JASSBY, D.",0.071013814,,"C&EE 155 - JASSBY, D."
"ETHNMUS 91Z - BRAGGER, D.M.",0.07,,"ETHNMUS 91Z - BRAGGER, D.M."
"BIOENGR C205 - DEMING, T.J.",0.069143656,,"BIOENGR C205 - DEMING, T.J."
"LAW 584 - STEMPLE, L.",0.067606406,,"LAW 584 - STEMPLE, L."
"ART&ARC 100 - MARKS, V.E.",0.067174226,,"ART&ARC 100 - MARKS, V.E."
"HIST 96W - HUDSON, P.J.",0.067067067,,"HIST 96W - HUDSON, P.J."
"EDUC 406B - GUILLEN, L.I.",0.067,,"EDUC 406B - GUILLEN, L.I."
"CHEM 278 - DIACONESCU, P.L.",0.067,,"CHEM 278 - DIACONESCU, P.L."
"LAW 211 - WONSOWICZ, P.",0.066999866,,"LAW 211 - WONSOWICZ, P."
"DIS STD 195CE - MARKS, V.E.",0.066933067,,"DIS STD 195CE - MARKS, V.E."
"ENGCOMP 3 - SUSSMAN, D.B.",0.066570971,,"ENGCOMP 3 - SUSSMAN, D.B."
"ARCH&UD 289 - CONWAY, M.J.",0.064727273,,"ARCH&UD 289 - CONWAY, M.J."
"ETHNMUS 91K - GUZMAN, J.A.",0.064314014,,"ETHNMUS 91K - GUZMAN, J.A."
"ART HIS 22 - WILSON, B.",0.064181518,,"ART HIS 22 - WILSON, B."
"ESL 300 - KELLEY, J.C.",0.063636364,,"ESL 300 - KELLEY, J.C."
"SOCIOL 89 - ROSSI, G.",0.0635,,"SOCIOL 89 - ROSSI, G."
"CHEM 189 - KANER, R.B.",0.0631,,"CHEM 189 - KANER, R.B."
"LAW 757 - BABBE, D.B.",0.0626,,"LAW 757 - BABBE, D.B."
"HLT POL 439 - MOUCHERAUD, C.",0.062543357,,"HLT POL 439 - MOUCHERAUD, C."
"FILM TV 184B - 0GLE, P.G.",0.0625,,"FILM TV 184B - 0GLE, P.G."
"SOC WLF 210A - PALENCIA, H.",0.0623,,"SOC WLF 210A - PALENCIA, H."
"SCAND 143C - WEN, P.J.",0.062062062,,"SCAND 143C - WEN, P.J."
"MGMT 160 - WILSON, N.M.",0.061477046,,"MGMT 160 - WILSON, N.M."
"MECH&AE 174 - MOSLEH, A.",0.060911089,,"MECH&AE 174 - MOSLEH, A."
"LAW 305 - AKENS, S.E.",0.06,,"LAW 305 - AKENS, S.E."
"LAW 807 - CHRIST, A.C.",0.06,,"LAW 807 - CHRIST, A.C."
"PHILOS C127A - KAPLAN, D.B.",0.059997297,,"PHILOS C127A - KAPLAN, D.B."
"EC ENGR 236A - FRAGOULI, C.P.",0.059075676,,"EC ENGR 236A - FRAGOULI, C.P."
"BIOENGR 100 - KAMEI, D.T.",0.058758759,,"BIOENGR 100 - KAMEI, D.T."
"EDUC 204B - OMWAMI, E.S.",0.058381381,,"EDUC 204B - OMWAMI, E.S."
"ENGCOMP 2 - LISOVSKY, K.F.",0.05779021,,"ENGCOMP 2 - LISOVSKY, K.F."
"GRNTLGY M142SL - LEVY-STORMS, L.F.",0.057607608,,"GRNTLGY M142SL - LEVY-STORMS, L.F."
"LIFESCI 30A - KERANEN, J.P.",0.057577758,,"LIFESCI 30A - KERANEN, J.P."
"LAW 145 - SCALLEN, E.",0.056354545,,"LAW 145 - SCALLEN, E."
"HIST 111B - MOMDJIAN, M.",0.055444755,,"HIST 111B - MOMDJIAN, M."
"FILM TV 410A - ROSMAN, M.E.",0.0543,,"FILM TV 410A - ROSMAN, M.E."
"COMM 1 - FERAMISCO, C.",0.053315569,,"COMM 1 - FERAMISCO, C."
"GLB HLT 160 - FARZANEGAN, M.",0.0529,,"GLB HLT 160 - FARZANEGAN, M."
"PUB PLC 209 - MURTAUGH, K.S.",0.051,,"PUB PLC 209 - MURTAUGH, K.S."
"COM HLT 200 - VON EHRENSTEIN, O.",0.050909091,,"COM HLT 200 - VON EHRENSTEIN, O."
"MGMT 298D - FRONS, B.S.",0.050786486,,"MGMT 298D - FRONS, B.S."
"FILM TV 297A - MOCERI, N.P.",0.0501,,"FILM TV 297A - MOCERI, N.P."
"ENGCOMP 130A - SAMUELSON, M.G.",0.05,,"ENGCOMP 130A - SAMUELSON, M.G."
"NURSING 174 - DEMMAN, B.L.",0.049467632,,"NURSING 174 - DEMMAN, B.L."
"EDUC 196D - BANG, S.H.",0.0481,,"EDUC 196D - BANG, S.H."
"MGMTEX 409 - ULLMEN, J.B.",0.0480999,,"MGMTEX 409 - ULLMEN, J.B."
"COM HLT 212 - KUHN, R.S.",0.0477,,"COM HLT 212 - KUHN, R.S."
"MATH 269A - ANDERSON, C.R.",0.047579948,,"MATH 269A - ANDERSON, C.R."
"ENGL 137 - D'AGUIAR, F.M.",0.0462,,"ENGL 137 - D'AGUIAR, F.M."
"FILM TV 215B - TRICE, J.N.",0.0462,,"FILM TV 215B - TRICE, J.N."
"EDUC 320A - ALBER, R.L.",0.0462,,"EDUC 320A - ALBER, R.L."
"EDUC 405A - ALBER, R.L.",0.046153846,,"EDUC 405A - ALBER, R.L."
"LAW 140 - GRADY, M.",0.0457,,"LAW 140 - GRADY, M."
"LAW 145 - SCHWARTZ, J.C.",0.045660939,,"LAW 145 - SCHWARTZ, J.C."
"COMM 1 - MACK, K.S.",0.045354645,,"COMM 1 - MACK, K.S."
"COMM 1 - BRIDGEWATER, D.A.",0.0453,,"COMM 1 - BRIDGEWATER, D.A."
"LAW 376 - OLSEN, F.E.",0.045,,"LAW 376 - OLSEN, F.E."
"MGMTFE 410 - RAJARAM, K.",0.044255744,,"MGMTFE 410 - RAJARAM, K."
"GJ STDS 127A - HENDELMAN, T.",0.044226873,,"GJ STDS 127A - HENDELMAN, T."
"HNRS 149 - ABRAMSON, P.R.",0.043890691,,"HNRS 149 - ABRAMSON, P.R."
"MGMTFE 402 - MAMER, J.W.",0.0434,,"MGMTFE 402 - MAMER, J.W."
"DGT HUM 150 - CHO, S.",0.04334293,,"DGT HUM 150 - CHO, S."
"MGMT 164 - BORMAN, C.J.",0.0421,,"MGMT 164 - BORMAN, C.J."
"DUTCH 103A - BRIER, M.F.",0.041958042,,"DUTCH 103A - BRIER, M.F."
"EDUC 222A - MCCARTY, T.L.",0.041958042,,"EDUC 222A - MCCARTY, T.L."
"PSYCH 134A - GROSS, E.F.",0.040863063,,"PSYCH 134A - GROSS, E.F."
"PHYSICS 192 - ARISAKA, K.",0.0408,,"PHYSICS 192 - ARISAKA, K."
"LAW 566 - PEAKE, J.S.",0.0401,,"LAW 566 - PEAKE, J.S."
"MECH&AE 231A - AYYASWAMY, P.S.",0.03952953,,"MECH&AE 231A - AYYASWAMY, P.S."
"BIOSTAT 201A - BELIN, T.R.",0.0394,,"BIOSTAT 201A - BELIN, T.R."
"ENGR 205 - HECHT, M.J.",0.039317417,,"ENGR 205 - HECHT, M.J."
"MUSC C185A - BASS, J.",0.039260739,,"MUSC C185A - BASS, J."
"SOCIOL 180A - BROWN, K.L.",0.038953546,,"SOCIOL 180A - BROWN, K.L."
"COM SCI M182 - DISTEFANO, J.",0.038917918,,"COM SCI M182 - DISTEFANO, J."
"A&O SCI 2 - LEW, J.K.",0.038592223,,"A&O SCI 2 - LEW, J.K."
"LAW 541 - 0RRO, V.H.",0.037537538,,"LAW 541 - 0RRO, V.H."
"LAW 541 - SEARS, R.B.",0.037537538,,"LAW 541 - SEARS, R.B."
"GEOG 5 - CAVA0UGH, K.C.",0.03627047,,"GEOG 5 - CAVA0UGH, K.C."
"ENGCOMP 3E - WATSON, D.C.",0.036030769,,"ENGCOMP 3E - WATSON, D.C."
"MECH&AE M20 - KHALID JAWED, M.",0.035861078,,"MECH&AE M20 - KHALID JAWED, M."
"ETHNMUS 168F - KAUSHAL, A.",0.035664336,,"ETHNMUS 168F - KAUSHAL, A."
"MGMT 224 - GUERIN, J.",0.035129471,,"MGMT 224 - GUERIN, J."
"HLT POL 400 - GALPER, M.R.",0.035015015,,"HLT POL 400 - GALPER, M.R."
"SOC WLF 211A - SMALL, L.A.",0.034177822,,"SOC WLF 211A - SMALL, L.A."
"CHEM C250 - TORRES, J.",0.0336,,"CHEM C250 - TORRES, J."
"NURSING 402 - LAZAR, J.",0.0333,,"NURSING 402 - LAZAR, J."
"ECON 167 - ATKESON, A.G.",0.0321,,"ECON 167 - ATKESON, A.G."
"SPAN 170 - COHEN, G.D.",0.031,,"SPAN 170 - COHEN, G.D."
"VIETMSE 1A - NGUYEN, T.B.",0.030504196,,"VIETMSE 1A - NGUYEN, T.B."
"ENGL 90 - LITTLE, A.L.",0.02993523,,"ENGL 90 - LITTLE, A.L."
"COM SCI 269 - TERZOPOULOS, D.",0.029329429,,"COM SCI 269 - TERZOPOULOS, D."
"LAW 769 - COHEN, D.M.",0.0288,,"LAW 769 - COHEN, D.M."
"ENVIRON 180A - GARRISON, N.J.",0.028637329,,"ENVIRON 180A - GARRISON, N.J."
"LAW 120 - THAXTON, S.",0.028387828,,"LAW 120 - THAXTON, S."
"HIST 149A - MADLEY, B.L.",0.028084528,,"HIST 149A - MADLEY, B.L."
"MGMT 298D - WURSTER, T.S.",0.028,,"MGMT 298D - WURSTER, T.S."
"MCD BIO 146 - GOLDSTEIN, A.",0.0279,,"MCD BIO 146 - GOLDSTEIN, A."
"LAW 350 - BOYD, W.C.",0.0276,,"LAW 350 - BOYD, W.C."
"LAW 683 - COHEN, D.M.",0.0268,,"LAW 683 - COHEN, D.M."
"ETHNMUS 161L - ARABIFARD, M.",0.026626627,,"ETHNMUS 161L - ARABIFARD, M."
"THEATER 20 - ARAIZA, J.E.",0.025748204,,"THEATER 20 - ARAIZA, J.E."
"IRANIAN 20A - HAGIGI, L.E.",0.0255,,"IRANIAN 20A - HAGIGI, L.E."
"COM HLT 132 - TAUB, B.",0.025493794,,"COM HLT 132 - TAUB, B."
"ENGL M192 - WILSON, R.",0.0249,,"ENGL M192 - WILSON, R."
"NURSING 464 - JACOB, E.",0.0243997,,"NURSING 464 - JACOB, E."
"MGMTFE 401 - DAI, H.",0.023754545,,"MGMTFE 401 - DAI, H."
"MGMTMSA 403 - SIDDIQ, A.A.",0.023576523,,"MGMTMSA 403 - SIDDIQ, A.A."
"ENGCOMP 401 - WESTRUP, L.A.",0.0231,,"ENGCOMP 401 - WESTRUP, L.A."
"ECON 430 - ROJAS, R.R.",0.021674922,,"ECON 430 - ROJAS, R.R."
"BIOMATH M261 - DETELS, R.",0.0207,,"BIOMATH M261 - DETELS, R."
"FRNCH 121 - MABANCKOU, A.M.",0.020336763,,"FRNCH 121 - MABANCKOU, A.M."
"C&EE 254A - JAY, J.A.",0.020216416,,"C&EE 254A - JAY, J.A."
"ARCH&UD 289 - CUFF, D.",0.0201,,"ARCH&UD 289 - CUFF, D."
"BMD RES 194H - CLARK, I.E.",0.0201,,"BMD RES 194H - CLARK, I.E."
"MGMT 425 - MCCANN, R.M.",0.020086987,,"MGMT 425 - MCCANN, R.M."
"NURSING 470B - BUSH, N.",0.02007992,,"NURSING 470B - BUSH, N."
"SPAN 119 - MARTURANO, J.",0.0192,,"SPAN 119 - MARTURANO, J."
"EDUC 405A - LEE, D.O.",0.0186,,"EDUC 405A - LEE, D.O."
