LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0002689830-0001-3,FARAMARZ MONEMPOUR,,865 COMSTOCK AVENUE APT #4A,LOS ANGELES,90024-2579,865 COMSTOCK 90024-2579,,,,,,5,05/18/2012,12/30/2012,
0002512684-0001-2,DEVIS YADEGAR RARE GEMS INC,,865 COMSTOCK AVENUE UNIT #4B,LOS ANGELES,90024-2579,865 COMSTOCK 90024-2579,865 COMSTOCK AVENUE APT #4B,LOS ANGELES,90024-2579,424990,Other miscellaneous nondurable goods,5,01/01/2007,,"(34.0688, -118.426)"
0003182648-0001-3,EPIC PACKAGING GROUP,,865   COMSTOCK AVENUE   APT #4B,LOS ANGELES,90024-2579,865 COMSTOCK 90024,POST OFFICE BOX #11466,BEVERLY HILLS,90213-4466,,,5,02/11/2019,,"(34.0684, -118.4264)"
0002717553-0001-6,MICHAEL MONEMPOUR,,865 COMSTOCK AVENUE #4A,LOS ANGELES,90024-2579,865 COMSTOCK 90024-2579,,,,531390,Other activities related to real estate,5,03/01/2012,,"(34.0688, -118.426)"
0002766593-0001-5,DANIELLE YADEGAR,,865 COMSTOCK AVENUE UNIT #4B,LOS ANGELES,90024-2579,865 COMSTOCK 90024-2579,POST OFFICE BOX #11466,BEVERLY HILLS,90213-4466,423940,"Jewelry, watch, precious stone, & precious metals",5,01/01/2012,,"(34.0688, -118.426)"
0002872255-0001-8,MAPLEWOOD MANAGEMENT LLC,,865 COMSTOCK AVENUE APT #5E,LOS ANGELES,90024-2580,865 COMSTOCK 90024-2580,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),5,07/18/2013,,"(34.0688, -118.426)"
0002911054-0001-7,"CAMIL GROUP, INC.",,865   COMSTOCK AVENUE   APT #5B,LOS ANGELES,90024-2580,865 COMSTOCK 90024,865   COMSTOCK AVENUE   APT #5B,LOS ANGELES,90024-2580,448120,Women's clothing stores,5,05/04/2016,,"(34.0684, -118.4264)"
0000814530-0001-0,RANDY A RUDNICK,RALLEY CAPITAL & DEVELOPMENT,865 COMSTOCK AVENUE #5B,LOS ANGELES,90024-2580,865 COMSTOCK 90024-2580,,,,233210,Single Family Housing Construction (1997 NAICS),5,02/19/1998,,"(34.0688, -118.426)"
0000105478-0001-5,HOUSE OF TIME INC,,865 COMSTOCK AVENUE #7B,LOS ANGELES,90024-2581,865 COMSTOCK 90024,,,,,,5,07/01/1984,12/31/2006,
0002191178-0001-8,BRAL INVESTMENT GROUP INC,,865 COMSTOCK AVENUE #6C,LOS ANGELES,90024-2581,865 COMSTOCK 90024-2581,,,,,,5,07/01/2004,12/31/2008,
0003117154-0001-0,THE SAADAT GROUP INC,,865   COMSTOCK AVENUE   APT #9D,LOS ANGELES,90024-2583,865 COMSTOCK 90024,865   COMSTOCK AVENUE   SUITE #9D,LOS ANGELES,90024-2583,541990,"All other professional, scientific, & technical services",5,02/13/2019,,"(34.0684, -118.4264)"
0003107444-0001-4,"EHSAN SAADAT, MD INC.",,865   COMSTOCK AVENUE   APT #9D,LOS ANGELES,90024-2583,865 COMSTOCK 90024,865   COMSTOCK AVENUE   SUITE #9D,LOS ANGELES,90024-2583,621111,Offices of physicians (except mental health specialists),5,01/24/2019,,"(34.0684, -118.4264)"
0000669479-0001-4,POLO ROTH,,865 COMSTOCK AVENUE #9B,LOS ANGELES,90024-2583,865 COMSTOCK 90024,,,,,,5,06/15/2004,11/01/2004,
0002990209-0001-1,SUPER SHIRTS,,865   COMSTOCK AVENUE   APT #11C,LOS ANGELES,90024-2585,865 COMSTOCK 90024-2585,865   COMSTOCK AVENUE   SUITE #11C,LOS ANGELES,90024-2585,448140,Family clothing stores,5,05/18/2017,,"(34.0684, -118.4264)"
0002086330-0001-8,FOUR SEASONS GLOBAL TRADING INC,,865 COMSTOCK AVENUE UNIT #12E,LOS ANGELES,90024-2586,865 COMSTOCK 90024-2586,,,,,,5,01/01/2006,12/31/2010,"(34.0688, -118.426)"
0003179059-0001-7,JUSTIN KHAVARI,,865 COMSTOCK AVENUE APT #15B,LOS ANGELES,90024-2587,865 COMSTOCK 90024-2587,,,,711210,Spectator sports (including professional sports clubs & racetrack operations),5,02/08/2020,,
0000046504-0001-7,LENORE BRICK PHD,THE FAMILY JEWELS / LB INTERIORS,865 COMSTOCK AVENUE #14E,LOS ANGELES,90024-2587,865 COMSTOCK 90024-2587,,,,621111,Offices of physicians (except mental health specialists),5,11/01/1992,,"(34.0688, -118.426)"
0002752273-0001-8,PACIFIC ROX ENTERTAINMENT LLC,,865 COMSTOCK AVENUE APT #16A,LOS ANGELES,90024-2588,865 COMSTOCK 90024-2588,11808   SILKWOOD COVE,AUSTIN,78739-5634,541600,"Management, scientific, & technical consulting services",5,04/15/2013,,"(34.0688, -118.426)"
0002579184-0001-1,FRANK SWERTLOW,,865 COMSTOCK AVENUE APT #15E,LOS ANGELES,90024-2588,865 COMSTOCK 90024-2588,,,,,,5,01/01/2009,12/31/2009,
0000394367-0001-0,VID TRADING INC,,865 COMSTOCK AVENUE #16A,LOS ANGELES,90024-2588,865 COMSTOCK 90024-2588,4709   PYRENEES PASS,BEE CAVE,78738-4015,541600,"Management, scientific, & technical consulting services",5,01/17/2002,,"(34.0688, -118.426)"
0003028505-0001-7,JBS CAPITAL PARTNERS INC,,865   COMSTOCK AVENUE   UNIT #16F,LOS ANGELES,90024-2589,865 COMSTOCK 90024-2589,,,,523110,Investment bankers & securities dealers,5,01/01/2017,,"(34.0684, -118.4264)"
0002089296-0001-1,BENNETT YANKOWITZ,,865 COMSTOCK AVENUE #17A,LOS ANGELES,90024-2589,865 COMSTOCK 90024-2589,,,,,,5,10/01/2005,09/30/2010,
0002275289-0001-6,KMDR LLC,,865 COMSTOCK AVENUE APT #18F,LOS ANGELES,90024-2590,865 COMSTOCK 90024-2590,,,,,,5,01/26/1996,03/10/2014,
0002211292-0001-1,GEORGE GISELE POLLAK TRS,,865 COMSTOCK AVENUE UNIT #18-D,LOS ANGELES,90024-2590,865 COMSTOCK 90024-2590,,,,,,5,01/01/2003,,"(34.0688, -118.426)"
0000236168-0001-9,U S CENTRAL DISTRIBUTORS CO INC,,865 COMSTOCK AVENUE #18D,LOS ANGELES,90024-2590,865 COMSTOCK 90024-2590,,,,,,5,08/01/1973,10/01/2010,
0000616613-0001-8,NORDHAUS PROFILES INTERNATIONAL INC,NORDHAUS PROFILES INTERNATIONAL,424 HILGARD AVENUE,LOS ANGELES,90024-2593,424 HILGARD 90024-2593,,,,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",5,04/07/1992,12/31/2009,"(34.0737, -118.4377)"
0002953014-0001-2,FELICITY FINANCIAL CORPORATION,,428   HILGARD AVENUE,LOS ANGELES,90024-2593,428 HILGARD 90024-2593,,,,523900,Other financial investment activities (including investment advice),5,05/19/2016,,"(34.0733, -118.4371)"
0002762323-0001-4,DUBJUCO ECHO LLC,,428 HILGARD AVENUE,LOS ANGELES,90024-2593,428 HILGARD 90024-2593,,,,523900,Other financial investment activities (including investment advice),5,04/03/2014,,"(34.0737, -118.4377)"
0002580015-0001-2,ANISA SHAHIN A PROFESSIONAL LAW CORPORATION,,428 HILGARD AVENUE,LOS ANGELES,90024-2593,428 HILGARD 90024-2593,,,,541100,Legal services,5,08/19/2011,,"(34.0737, -118.4377)"
0002678396-0001-8,LEGACY PARTS CORPORATION,,428 HILGARD AVENUE,LOS ANGELES,90024-2593,428 HILGARD 90024-2593,,,,518210,"Data processing, hosting, & related services",5,03/14/2011,,"(34.0737, -118.4377)"
0002693341-0001-3,DUBJUCO DELTA LLC,,428 HILGARD AVENUE,LOS ANGELES,90024-2593,428 HILGARD 90024-2593,,,,523900,Other financial investment activities (including investment advice),5,04/29/2013,,"(34.0737, -118.4377)"
0002674804-0001-8,DUBJUCO CHARLIE LLC,,428 HILGARD AVENUE,LOS ANGELES,90024-2593,428 HILGARD 90024-2593,,,,,,5,01/03/2013,06/01/2015,
0002394659-0001-9,REAL TIME FINANCIAL,,428 HILGARD AVENUE,LOS ANGELES,90024-2593,428 HILGARD 90024-2593,,,,,,5,03/13/2007,06/30/2010,
0002567860-0001-1,AMIR TAHERNIA MD INC,,424 HILGARD AVENUE,LOS ANGELES,90024-2593,424 HILGARD 90024-2593,,,,,,5,06/01/2011,12/31/2013,
0002674792-0001-3,DUBJUCO BRAVO LLC,,428 HILGARD AVENUE,LOS ANGELES,90024-2593,428 HILGARD 90024-2593,,,,,,5,10/22/2012,06/01/2015,
0002674840-0001-4,DUBJUCO ALPHA LLC,,428 HILGARD AVENUE,LOS ANGELES,90024-2593,428 HILGARD 90024-2593,,,,,,5,10/22/2012,12/15/2014,
0002058555-0001-0,RICHARD SAUL,,448 HILGARD AVENUE,LOS ANGELES,90024-2593,448 HILGARD 90024-2593,,,,,,5,02/01/2001,06/01/2015,
0000717833-0001-4,STEVEN H/EDWARD N KELLER/CYNTHIA A KELLER,,436 HILGARD AVENUE,LOS ANGELES,90024-2593,436 HILGARD 90024-2593,,,,,,5,02/01/1964,12/31/2006,
0002566465-0001-4,TRANQUILITY FINANCIAL CORPORATION,,428 HILGARD AVENUE,LOS ANGELES,90024-2593,428 HILGARD 90024-2593,,,,,,5,09/20/2010,06/28/2013,
0000168776-0001-1,HILGARD FINANCIAL SERVICES COMPANY /C,,428 HILGARD AVENUE,LOS ANGELES,90024-2593,428 HILGARD 90024-2593,,,,,,5,11/27/2002,01/01/2007,
0002740034-0001-1,STRATEGIC FINANCIAL CORPORATION,,428 HILGARD AVENUE,LOS ANGELES,90024-2593,428 HILGARD 90024-2593,,,,,,5,04/23/2013,07/07/2016,
0002822342-0001-7,QUATTUOR INVESTMENTS LLC,,428 HILGARD AVENUE,LOS ANGELES,90024-2593,428 HILGARD 90024-2593,,,,,,5,01/16/2013,12/05/2017,
0002996864-0001-3,"LK REALTY, INC.",,1430 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2598,1430 BEVERLY GLEN 90024-2598,,,,,,5,05/12/2017,09/15/2020,
0002951014-0001-8,TEAM AWESOME ENTERTAINMENT INC.,,1430 S BEVERLY GLEN BLVD   APT #202,LOS ANGELES,90024-2599,1430 BEVERLY GLEN 90024-2599,1430 S BEVERLY GLEN BLVD   UNIT #202,LOS ANGELES,90024-2599,711510,"Independent artists, writers, & performers",5,06/27/2016,,"(34.0618, -118.4252)"
0002929931-0001-4,ELHAN AFGHANI MD INC,,1430 S BEVERLY GLEN BLVD   SUITE #204,LOS ANGELES,90024-2599,1430 BEVERLY GLEN 90024-2599,,,,,,5,07/13/2016,07/15/2019,
0002451685-0001-0,JENNY LU,,1430 S BEVERLY GLEN BLVD SUITE #204,LOS ANGELES,90024-2599,1430 BEVERLY GLEN 90024-2599,,,,,,5,07/10/2009,03/31/2016,
0003014915-0001-8,BURGOS COMMUNICATIONS LLC,ANCON COMMUNICATIONS,253   CONWAY AVENUE,LOS ANGELES,90024-2601,253 CONWAY 90024-2601,,,,541800,Advertising & related services,5,08/30/2005,,"(34.078, -118.4349)"
0000014592-0001-7,JAMES R BIRNBERG/ THOMAS B BIRNBERG,,259 CONWAY AVENUE,LOS ANGELES,90024-2601,259 CONWAY 90024-2601,,,,,,5,07/20/1985,12/31/2008,
0000816409-0001-6,BARBARA GEORGE/ NANCY JACOBSON,,201 CONWAY AVENUE,LOS ANGELES,90024-2601,201 CONWAY 90024-2601,,,,,,5,06/01/1968,12/31/2009,
0000805359-0001-2,BEVERLY HOROWITZ,,221 CONWAY AVENUE,LOS ANGELES,90024-2601,221 CONWAY 90024-2601,,,,,,5,06/01/1968,02/01/2010,
0002685820-0001-1,ALLEN SHAMOOILIAN,,214 CONWAY AVENUE,LOS ANGELES,90024-2602,214 CONWAY 90024-2602,,,,531310,Real estate property managers,5,04/01/2013,12/31/2019,"(34.0787, -118.4347)"
0000664231-0001-1,ROBERT KING,TARRAGON GROUP,242 CONWAY AVENUE,LOS ANGELES,90024-2602,242 CONWAY 90024-2602,1019 S ORANGE GROVE AVENUE,LOS ANGELES,90019-6551,531100,Lessors of real estate (including mini warehouses & self-storage units),5,05/01/1988,,"(34.078, -118.4345)"
0000420354-0001-4,BABETTE SOBEL,BABS SOBEL INTERIORS,272 CONWAY AVENUE,LOS ANGELES,90024-2602,272 CONWAY 90024-2602,501 S BEVERLY DRIVE FLOOR #3RD,BEVERLY HILLS,90212-4520,561300,Employment services,5,01/01/1988,,"(34.0787, -118.4348)"
0000819389-0001-9,INFINESSE CORP,,321   CONWAY AVENUE,LOS ANGELES,90024-2603,321 CONWAY 90024-2603,2615 PLAZA DEL AMO UNIT #613,TORRANCE,90503-8991,561300,Employment services,5,02/05/1991,,"(34.0766, -118.4342)"
0002812424-0001-1,"STEPHANIE BRONSON,MFT",,344 CONWAY AVENUE,LOS ANGELES,90024-2604,344 CONWAY 90024,344 CONWAY AVENUE,LOS ANGELES,90024-2604,621330,Offices of mental health practitioners (except physicians),5,01/05/2015,,"(34.0765, -118.4338)"
0002088348-0001-2,HAROLD BRONSON INC,WRITER,344 CONWAY AVENUE,LOS ANGELES,90024-2604,344 CONWAY 90024-2604,,,,,,5,03/04/2002,,"(34.0765, -118.4338)"
0002297430-0001-1,"ROCKYLAND, INC",,344 CONWAY AVENUE,LOS ANGELES,90024-2604,344 CONWAY 90024-2604,,,,,,5,04/11/1977,11/30/2013,
0000233639-0002-0,MY DINNER WITH JIMI LLC,,344 CONWAY AVENUE,LOS ANGELES,90024-2604,344 CONWAY 90024-2604,,,,,,5,01/16/2010,12/31/2010,
0000885591-0001-8,LA DORIS MCCLANEY ET AL,,128 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2614,128 BEVERLY GLEN 90024-2614,128 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2614,531100,Lessors of real estate (including mini warehouses & self-storage units),5,01/01/1970,,"(34.0804, -118.4348)"
0000808352-0004-7,VALET OF THE DOLLS LLC,,128 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2614,128 BEVERLY GLEN 90024-2614,23823   MALIBU ROAD   #B106,MALIBU,90265-4628,812930,Parking lots & garages,5,12/14/2018,,"(34.0804, -118.4343)"
0002229063-0001-2,GALIT K RUBIN,GKR DESIGN,285 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2615,285 BEVERLY GLEN 90024-2615,10657   OHIO AVENUE,LOS ANGELES,90024-5007,,,5,09/01/2005,,"(34.0784, -118.4334)"
0000183315-0001-8,DONNA DESMOND ASSOCIATES INC,,265 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2615,265 BEVERLY GLEN 90024-2615,,,,424990,Other miscellaneous nondurable goods,5,11/01/1997,,"(34.0797, -118.4343)"
0002898214-0001-5,GITA ZARNEGAR PH D PSY D,,255 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2615,255 BEVERLY GLEN 90024-2615,,,,621340,"Offices of physical, occupational & speech therapists, & audiologists",5,01/15/2015,,"(34.0786, -118.4339)"
0000092602-0001-9,ANN ASCHER,,201 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2615,201 BEVERLY GLEN 90024-2615,,,,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",5,01/01/2015,,"(34.0799, -118.4344)"
0002631513-0001-5,ADRIENNE RUBIN,AVANTI OF CALIFORNIA,285 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2615,285 BEVERLY GLEN 90024-2615,,,,423940,"Jewelry, watch, precious stone, & precious metals",5,08/01/2012,,"(34.0784, -118.4334)"
0000185799-0002-1,651 MIDVALE AVE LLC,,241 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2615,241 BEVERLY GLEN 90024-2615,,,,,,5,01/01/2005,12/31/2009,
0000733265-0001-9,ANN ASCHER INTERIORS INC,,201 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2615,201 BEVERLY GLEN 90024,,,,,,5,04/01/1965,01/31/2014,
0000215475-0001-3,KNIGHTSBRIDGE DESIGN GROUP INC,,201 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2615,201 BEVERLY GLEN 90024-2615,,,,,,5,12/12/1995,01/31/2014,
0000010188-0001-9,GITA ZARNEGAR-SCHLOSSEL,,255 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2615,255 BEVERLY GLEN 90024-2615,,,,,,5,01/01/1999,01/01/2015,
0000342037-0001-8,LLDG CO,,393 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2617,393 BEVERLY GLEN 90024-2617,,,,,,5,08/01/1953,12/31/2017,
0003035097-0001-2,ETHAN STIFFELMAN,,383 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2617,383 BEVERLY GLEN 90024-2617,,,,541510,Computer systems design & related services,5,06/15/2015,,"(34.0752, -118.4322)"
0002772807-0001-2,"ZIP HOSPITALIST SERVICES, INC",,383 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2617,383 BEVERLY GLEN 90024-2617,8357 W 4TH STREET,LOS ANGELES,90048-4202,812990,All other personal services,5,01/22/2014,12/03/2015,"(34.0751, -118.4318)"
0002772270-0001-7,CARMEN STIFFELMAN,,383 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2617,383 BEVERLY GLEN 90024-2617,383 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2617,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",5,01/15/2011,,"(34.0752, -118.4322)"
0002729132-0001-2,EVEN BLUE HEIGHTS LLC,,323 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2617,323 BEVERLY GLEN 90024-2617,,,,237210,Land subdivision,5,05/03/2013,,"(34.0765, -118.4323)"
0000399443-0001-9,BARBARA LEVITT,,393 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2617,393 BEVERLY GLEN 90024-2617,,,,,,5,03/01/1996,12/31/2007,
0002702817-0001-1,ALBERT RUSSELL DIAZ,,393 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2617,393 BEVERLY GLEN 90024-2617,,,,,,5,01/12/2012,01/22/2012,
0002860354-0001-1,VAYASAVA CORP,,433 S BEVERLY GLEN BLVD,LOS ANGELES,90024-2619,433 BEVERLY GLEN 90024-2619,,,,541600,"Management, scientific, & technical consulting services",5,07/09/2015,,"(34.074, -118.4314)"
0002110833-0001-0,JAN MATTHIAS,,660 CLUB VIEW DRIVE,LOS ANGELES,90024-2624,660 CLUB VIEW 90024-2624,,,,,,5,10/01/2000,08/01/2010,
0003033392-0001-0,MOISE DANIELPOUR,,250   COMSTOCK AVENUE,LOS ANGELES,90024-2625,250 COMSTOCK 90024-2625,,,,541600,"Management, scientific, & technical consulting services",5,01/01/2017,,"(34.0768, -118.4381)"
0002172409-0001-6,"NOURAFSHAN, LLC",,242 COMSTOCK AVENUE,LOS ANGELES,90024-2625,242 COMSTOCK 90024-2625,,,,,,5,04/22/2003,,"(34.0764, -118.4382)"
0002353298-0001-3,NUCOR TRADING USA INC,,333 COMSTOCK AVENUE,LOS ANGELES,90024-2626,333 COMSTOCK 90024-2626,,,,,,5,06/01/2006,12/31/2019,
0000316179-0001-0,METALS AMERICA STEEL TRADING & CONSULTING INC,,333 COMSTOCK AVENUE,LOS ANGELES,90024-2626,333 COMSTOCK 90024,,,,,,5,07/01/1995,06/30/2006,
0002376294-0001-0,SABRINA WAZZAN,,357 COMSTOCK AVENUE,LOS ANGELES,90024-2626,357 COMSTOCK 90024-2626,,,,,,5,06/01/2007,01/01/2010,
0003177957-0001-7,JACOB ARI DAVIDSON,,320   COMSTOCK AVENUE,LOS ANGELES,90024-2627,320 COMSTOCK 90024,320   COMSTOCK AVENUE,LOS ANGELES,90024-2627,611000,"Educational services (including schools, colleges, & universities)",5,08/01/2019,,"(34.0765, -118.4371)"
0002493473-0001-1,UCLEANERS LLC,,326 COMSTOCK AVENUE,LOS ANGELES,90024-2627,326 COMSTOCK 90024-2627,,,,812990,All other personal services,5,03/17/2008,,"(34.0762, -118.4373)"
0002705799-0001-3,ZACHARY DAVIDSON,,320 COMSTOCK AVENUE,LOS ANGELES,90024-2627,320 COMSTOCK 90024-2627,,,,711410,"Agents & managers for artists, athletes, entertainers, & other public figures",5,01/14/2012,,"(34.076, -118.4369)"
0002238462-0001-0,"SOAPY JOE'S LA, LLC",SOAPY JOE'S LAUNDRY & DRY CLEANING SERVICE,326 COMSTOCK AVENUE,LOS ANGELES,90024-2627,326 COMSTOCK 90024-2627,,,,,,5,06/01/2006,,"(34.0762, -118.4373)"
0002320940-0001-5,BLOOMFIELD INVESTORS LLC,,374 COMSTOCK AVENUE,LOS ANGELES,90024-2627,374 COMSTOCK 90024-2627,,,,,,5,01/01/2006,06/01/2007,
0003218678-0001-9,GOSHEN PLACE LLC,,445 COMSTOCK AVENUE,LOS ANGELES,90024-2628,445 COMSTOCK 90024-2628,16133 VENTURA BLVD #625,ENCINO,91436-2403,531100,Lessors of real estate (including mini warehouses & self-storage units),5,06/26/2015,,"(34.0747, -118.4336)"
0002787819-0001-8,DEBORAH AAL STOFF,A CONSIDERED OPINION / CHICAGO DESIGN,451 COMSTOCK AVENUE,LOS ANGELES,90024-2628,451 COMSTOCK 90024-2628,,,,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",5,09/23/2014,,"(34.0744, -118.4324)"
0000494149-0001-1,RITA GESUNDHEIT RUDIN,,475 COMSTOCK AVENUE,LOS ANGELES,90024-2628,475 COMSTOCK 90024-2628,,,,,,5,06/01/1996,12/31/2004,
0002481094-0001-9,SUSAN LEE COLBY,,451 COMSTOCK AVENUE,LOS ANGELES,90024-2628,451 COMSTOCK 90024-2628,,,,,,5,10/01/2007,07/04/2014,
0002533451-0001-1,GRACIELA MAZARIEGOS,,467 COMSTOCK AVENUE,LOS ANGELES,90024-2628,467 COMSTOCK 90024-2628,,,,,,5,06/01/2009,01/24/2011,
0002493057-0001-9,"WILD FLOWER EVENTS, LLC",,476 COMSTOCK AVENUE,LOS ANGELES,90024-2629,476 COMSTOCK 90024-2629,,,,,,5,03/31/2008,12/31/2018,
0000620822-0001-6,LONG LEGS INC,,476 COMSTOCK AVENUE,LOS ANGELES,90024-2629,476 COMSTOCK 90024-2629,,,,711300,"Promoters of performing arts, sports, & similar events",5,04/29/1992,,"(34.0738, -118.432)"
0000209203-0001-5,SUSAN CLIFTON MEALS,,432 COMSTOCK AVENUE,LOS ANGELES,90024-2629,432 COMSTOCK 90024-2629,,,,424990,Other miscellaneous nondurable goods,5,01/01/1992,,"(34.0756, -118.4335)"
0000372799-0001-5,RAVEN ENTERTAINMENT INC,,476 COMSTOCK AVENUE,LOS ANGELES,90024-2629,476 COMSTOCK 90024-2629,,,,711300,"Promoters of performing arts, sports, & similar events",5,04/01/2001,,"(34.0738, -118.432)"
0002165371-0001-2,DOROTHY H. CLARK,,567   COMSTOCK AVENUE,LOS ANGELES,90024-2630,567 COMSTOCK 90024-2630,,,,,,5,01/01/1970,12/31/2006,
0002551415-0001-3,SHAWNA ENYART,,601 COMSTOCK AVENUE,LOS ANGELES,90024-2632,601 COMSTOCK 90024-2632,,,,,,5,01/01/2009,12/27/2011,
0003032382-0001-9,JONATHAN ORSZAG,JONATHAN ORSZAG,101   LORING AVENUE,LOS ANGELES,90024-2636,101 LORING 90024-2636,5700   CANOGA AVENUE   SUITE #300,WOODLAND HILLS,91367-6572,115310,Support activities for forestry,5,01/02/2017,,"(34.0789, -118.4377)"
0003032492-0001-1,CELERYSTIX PRODUCTIONS INC,CELERYSTIX PRODUCTIONS INC,101   LORING AVENUE,LOS ANGELES,90024-2636,101 LORING 90024-2636,5700   CANOGA AVENUE   SUITE #300,WOODLAND HILLS,91367-6572,561490,"Other business support services (including repossession services, court reporting, & stenotype services)",5,01/02/2017,,"(34.0789, -118.4377)"
0002449202-0001-6,"RICAPR, INC.",,101 LORING AVENUE,LOS ANGELES,90024-2636,101 LORING 90024-2636,,,,,,5,02/20/2007,12/31/2012,
0000182503-0001-4,LOUIS L'AMOUR ENTERPRISES INC,,100 LORING AVENUE,LOS ANGELES,90024-2637,100 LORING 90024-2637,,,,711510,"Independent artists, writers, & performers",5,01/01/1992,,"(34.0793, -118.4376)"
0000300380-0001-9,KATHERINE LAMOUR,FRENDS/CO,100 LORING AVENUE,LOS ANGELES,90024-2637,100 LORING 90024,,,,442200,Home furnishings stores,5,03/01/1977,,"(34.0793, -118.4376)"
0003089754-0001-2,BEAU L'AMOUR,,100   LORING AVENUE,LOS ANGELES,90024-2637,100 LORING 90024-2637,,,,711510,"Independent artists, writers, & performers",5,01/01/2010,,"(34.0793, -118.4372)"
0000887033-0001-9,MARILYN STAMPLER,,276 LORING AVENUE,LOS ANGELES,90024-2639,276 LORING 90024-2639,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),5,01/01/1970,,"(34.0769, -118.4358)"
0000288581-0001-3,MELISSA A PARTRIDGE,PARTRIDGE DESIGNS,252 LORING AVENUE,LOS ANGELES,90024-2639,252 LORING 90024-2639,,,,441110,New car dealers,5,05/01/1974,,"(34.0776, -118.4366)"
0002451977-0001-0,JOSEPH YOMTOUBIAN,,222 LORING AVENUE,LOS ANGELES,90024-2639,222 LORING 90024-2639,222 LORING AVENUE,LOS ANGELES,90024-2639,812990,All other personal services,5,01/01/2006,,"(34.0777, -118.4368)"
0002325314-0001-0,HELENE WAYNE,,220 LORING AVENUE,LOS ANGELES,90024-2639,220 LORING 90024-2639,,,,,,5,03/01/1974,12/31/2007,
0002730275-0001-0,Y&M CONSULTING LLC,,222 LORING AVENUE,LOS ANGELES,90024-2639,222 LORING 90024-2639,,,,,,5,07/26/2011,12/31/2014,
0000697169-0001-1,JOHN TOWNER WILLIAMS,,333 LORING AVENUE,LOS ANGELES,90024-2640,333 LORING 90024-2640,1880 CENTURY PARKS  E #1600,LOS ANGELES,90067-1661,561300,Employment services,5,01/01/1995,,"(34.0763, -118.435)"
0002196784-0001-9,SAMANTHA WILLIAMS,,333 LORING AVENUE,LOS ANGELES,90024-2640,333 LORING 90024-2640,,,,,,5,01/01/2003,12/31/2017,
0002561639-0001-1,ATTICUS ENTERTAINMENT INC,,328 LORING AVENUE,LOS ANGELES,90024-2641,328 LORING 90024-2641,,,,711510,"Independent artists, writers, & performers",5,03/30/2009,12/31/2013,"(34.0763, -118.435)"
0000899744-0001-5,JOSEPH PAGE,,314 LORING AVENUE,LOS ANGELES,90024-2641,314 LORING 90024,,,,,,5,05/01/2000,05/01/2004,
0002360974-0001-0,JESSICA HELMAN CUBILLA,,336 LORING AVENUE,LOS ANGELES,90024-2641,336 LORING 90024-2641,,,,,,5,01/01/2006,12/31/2007,
0002200405-0001-4,JEFF LAZAR,J L FURNISHINGS,471 LORING AVENUE,LOS ANGELES,90024-2642,471 LORING 90024-2642,471 LORING AVENUE,LOS ANGELES,90024-2642,,,5,10/01/1996,,"(34.0747, -118.4345)"
0000551580-0001-5,JOHN L BYRNES,J L BYRNES & CO,423 LORING AVENUE,LOS ANGELES,90024-2642,423 LORING 90024-2642,,,,516110,Internet publishing & broadcasting,5,01/16/2002,,"(34.0737, -118.434)"
0002306786-0001-1,SANDRA D ROSENBAUM,,465 LORING AVENUE,LOS ANGELES,90024-2642,465 LORING 90024-2642,,,,,,5,06/15/2000,12/31/2009,
0000001338-0001-8,RICHARD ROSKIN,,411 LORING AVENUE,LOS ANGELES,90024-2642,411 LORING 90024-2642,,,,,,5,01/01/2000,12/31/2008,
0002410098-0001-5,420 LORING LLC,,423 LORING AVENUE,LOS ANGELES,90024-2642,423 LORING 90024-2642,,,,,,5,09/05/2008,12/08/2012,
