Year,F,M,AI,A,B,L,TW,U,W,T
Electrical and Computer Engineering,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,6.4,43.3,0,20.3,0,0,0,0,29.3,46.9,
2011,6.4,42.5,0,20.7,0,0,0,0,28.2,48.9,
2012,6.4,42.8,0,20.7,0,0,0,0,28.4,49.2,
2013,6.4,42.5,0.4,19.3,0,0,0,0,29.2,48.9,
2014,7.4,41.6,0.4,18.7,0,0,0,0,29.9,49,
2015,7.4,40.9,0.4,18.8,0,0,0,1,28,48.3,
2016,7.4,42.8,0.4,19.2,0,0,0,1,29.6,50.2,
2017,7.4,43.4,0.4,19.8,0,0,0,1,29.6,50.8,
2018,7.4,44.2,0.4,20.1,0,0,0,1,30.1,51.6,
English,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,23.3,36.2,0,6.5,4,2.5,0,0,46.5,59.5,
2011,23,37.3,0,6.5,5,3.5,0,0,45.3,60.3,
2012,26.3,35.1,0,6.1,5,3.9,0,0,46.4,61.4,
2013,27.5,34.5,0,5.5,5,3.7,0,0,47.8,62,
2014,26.9,34.4,0,6.6,5,4.3,0,1.4,44,61.3,
2015,29.6,34.4,0,7.3,5,3.9,0,0.8,47,64,
2016,31.1,35.8,0,6.8,5.5,5.1,0,2.3,47.2,66.9,
2017,29.5,33.9,0,6.3,5.5,4.5,0,2.5,44.6,63.4,
2018,28.9,34.4,0,6.3,5,4.9,0,2.5,44.5,63.3,
Environmental Health Sciences,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,3,6.1,0,0,1,0,0,0,8.1,9.1,
2011,2,5,0,0,1,0,0,0,6,7,
2012,3,5,0,0,1,0,0,0,7,8,
2013,3,5,0,0,1,0,0,0,7,8,
2014,2,5.4,0,0,1,0,0,0,6.4,7.4,
2015,2,6,0,0,1,0,0,1,6,8,
2016,2,5.4,0,0,1,0,0,1,5.4,7.4,
2017,2,6.4,0,0,1,0,0,1,6.4,8.4,
2018,2,6.8,0,0.5,1,0,0,1,6.3,8.8,
Epidemiology,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,9.4,8.3,0,3.3,1.4,0,0,1,12,17.8,
2011,9,6.4,0,3,1.5,0,0,0.5,10.4,15.3,
2012,7.8,7.8,0,3.6,1.3,0,0,0.5,10.2,15.6,
2013,7.9,5.7,0,3.7,1.4,0,0,0,8.5,13.6,
2014,6.2,4,0,1,1,0,0,0,8.2,10.2,
2015,6.6,4,0,1,1.3,0,0,0,8.3,10.6,
2016,7.8,5.2,0,2,1.5,0,0,0,9.5,13,
2017,9.4,6.2,0,3,1.4,0,0,1,10.2,15.6,
2018,10.4,5.6,0,2.2,1.4,0,0,2,10.4,16,
Ethnomusicology,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,5.5,14.7,1,3.3,5.3,1.8,0,0,8.9,20.2,
2011,6.4,16.5,1,2.3,5.9,2.6,0,0,11.2,22.9,
2012,6.2,16.2,1,2.5,5.9,2.3,0,0,10.7,22.4,
2013,6.6,15.5,1,2.6,6,2.8,0,0,9.8,22.1,
2014,5.3,15.1,1,2,5,2.7,0,0,9.8,20.4,
2015,6.2,15.8,1,2.2,4.9,3.5,0,0.3,10.3,22,
2016,6.8,17.3,1,2.5,5.1,3,0,0.6,12,24.1,
2017,5,16.8,1,2.5,5.4,2.9,0,0.3,9.6,21.8,
2018,7.5,17.6,1,3.6,5.5,3.6,0,1.7,9.7,25.1,
"Film, TV, & Digital Media",Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,9.6,21.2,0,0.4,1,3,0,0,26.3,30.8,
2011,10.5,18.8,0,0.4,0.4,3,0,0,25.5,29.3,
2012,9.7,17.9,0,0.9,0,3,0,0.6,23.2,27.6,
2013,8.8,16.6,0,0.4,0,2,0,0.6,22.4,25.4,
2014,13.5,23.3,0,0.3,0.7,1.5,0,0.6,33.8,36.8,
2015,13.7,24.1,0,1.4,1.1,1.5,0,0,33.8,37.8,
2016,15.5,19.8,0,1.9,1,3,0,0,29.3,35.2,
2017,16.3,21.5,0,2.4,1.4,3.4,0,0,30.6,37.8,
2018,18.7,21.1,0,3.3,3,2.5,0,0,31,39.8,
Fowler Museum,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,0,0.3,0,0,0,0,0,0,0.3,0.3,
2011,,,,,,,,,,,
2012,,,,,,,,,,,
2013,,,,,,,,,,,
2014,,,,,,,,,,,
2015,,,,,,,,,,,
2016,,,,,,,,,,,
2017,,,,,,,,,,,
2018,,,,,,,,,,,
French and Francophone Studies,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,8.8,6.6,0,0,1,0,0,0.6,13.8,15.4,
2011,9.3,6.5,0,0.5,1,0,0,0,14.3,15.8,
2012,9.2,6.4,0,0,1,0,0,0,14.6,15.6,
2013,10.3,6,0,0,1,0,0,0,15.3,16.3,
2014,9.9,7,0,0,2,0,0,0,14.9,16.9,
2015,10.7,5.5,0,0,1,0,0,0,15.2,16.2,
2016,10,5,0,0,1,0,0,1.8,12.2,15,
2017,8.1,5,0,0,1,0,0,0,12.1,13.1,
2018,7.8,4,0,0,1,0,0,0,10.8,11.8,
Gender Studies,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,10,0,1,1.5,0.5,0,0,0.5,6.5,10,
2011,8.5,0,0,2,0.5,0.5,0,0,5.5,8.5,
2012,8.8,0,1,2.3,1.5,0,0,0,4,8.8,
2013,9.3,0,1,2.3,2,0,0,0,4,9.3,
2014,9.8,0.5,1,2.8,2,0,0,0,4.5,10.3,
2015,9.4,0,1,2.3,1.5,0,0,0,4.7,9.4,
2016,8.5,0,1.5,2,1,0,0,0,4,8.5,
2017,12.5,0,1.5,3,1,0.5,0,2,4.5,12.5,
2018,14.8,1,1.3,5.5,1,1,0,1.5,5.5,15.8,
Geography,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,5,17.3,0,4,1,0,0,1,16.3,22.3,
2011,7.5,13,0,6,1,1,0,0.5,12,20.5,
2012,7,13,0,4,1,1,0,1,13,20,
2013,8,15.3,0,4,1,1,0,1,16.3,23.3,
2014,8,13.5,0,4,1,1,0,1,14.5,21.5,
2015,7.5,14,0,4,1,1,0,0.5,15,21.5,
2016,6,14.5,0,3.5,1,1,0,0,15,20.5,
2017,6.7,14.5,0,3,1,1,0,0.5,15.7,21.2,
2018,9,16.5,0,3,1,1,0,2,18.5,25.5,
Germanic Languages,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,2.1,8,0,0,0,0,0,10,9.1,10.1,
2011,2.1,7,0,0,0,0,0,0,9.1,9.1,
2012,2.9,5,0,0,0,0,0,0,7.9,7.9,
2013,3.3,7,0,0.4,0,0,0,0,9.9,10.3,
2014,4,5,0,0.5,0,0.3,0,0,8.3,9,
2015,2.9,5.8,0,1,0,0.3,0,0,7.4,8.6,
2016,3.8,4,0,1,0,0.5,0,0,6.3,7.8,
2017,4.4,3.4,0,1,0,0.5,0,1,5.3,7.8,
2018,4.4,4.4,0,1,0,0.5,0,1,6.3,8.8,
Getty Convservation Program,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,1,0.5,0,0,0,0,0,0,1.5,1.5,
2011,1,0.5,0,0,0,0,0,0,1.5,1.5,
2012,1,1,0,0,0,0,0,0,2,2,
2013,1,1,0,0,0,0,0,0,2,2,
2014,1,1,0,0,0,0,0,0,2,2,
2015,1.4,0.5,0,0,0,0,0,0,1.9,1.9,
2016,1.2,0.8,0,0,0,0,0,0.3,1.7,2,
2017,1.7,0.8,0,0,0,0,0,0,2.6,2.6,
2018,1,0,0,0,0,0,0,0,1,1,
Health Policy & Management,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,6.8,10.7,0,1,1,2.7,0,0,12.9,17.5,
2011,7,10.1,0,1,1,2,0,0,13.1,17.1,
2012,5.5,9.4,0,1.2,1,3,0,0,9.7,14.9,
2013,8.3,6.8,0,1.2,1,2,0,0,11,15.1,
2014,7.3,7.3,0,2,0,2,0,0,10.6,14.6,
2015,8.2,7.8,0,2,0,2,0,0,12,16,
2016,11.2,7.1,0,2.3,0,1,0,0,15,18.3,
2017,11.1,7.3,0,2,0,1,0,0,15.4,18.4,
2018,14.2,7.5,0,2.3,0,1.3,0,1.1,17,21.8,
Health Policy Research Center,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,1,1,0,0,0,0,0,0,2,2,
2011,1,2,0,0,0,1,0,0,2,3,
2012,1,1,0,0,0,0,0,0,2,2,
2013,1,2,0,0,0,1,0,0,2,3,
2014,1,1,0,0,0,0,0,0,2,2,
2015,1,1,0,0,0,0,0,0,2,2,
2016,1,0,0,0,0,0,0,0,1,1,
2017,1,0,0,0,0,0,0,0,1,1,
2018,1,0,0,0,0,0,0,0,1,1,
History,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,21.3,48.8,0,3.3,4.8,2.5,0,1,58.5,70.1,
2011,21.5,49.5,0,3.3,5,2.5,0,1,59.2,71,
2012,20.5,48.5,0,4,5.5,3.5,0,1,55,69,
2013,22,45,0,3.5,5,3.5,0,0.5,54.5,67,
2014,22.3,46.5,0,5.8,5,3.5,0,0.5,54,68.8,
2015,23,48,0,4.5,6,4,0,0.5,56,71,
2016,22,42.5,0,5,4.5,4,0,0,51,64.5,
2017,23.5,41,0,6.5,4,3.5,0,2,48.5,64.5,
2018,22.5,41.5,0,6.5,4,3,0,3,47.5,64,
Honors Programs,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,0,0.5,0,0,0,0,0,0,0.5,0.5,
2011,,,,,,,,,,,
2012,0,0,0,0,0,0,0,0,0,0,
2013,0,0,0,0,0,0,0,0,0,0,
2014,1,0,0,0,0,0,0,0,1,1,
2015,1,0,0,0,0,0,0,0,1,1,
2016,1.8,0,0,0,0,0,0,0,1.8,1.8,
2017,1.2,1,0,0.5,0,0,0,0.2,1.5,2.2,
2018,1.5,0,0,0,0,0,0,0,1.5,1.5,
Indo-European Studies,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,0,0,0,0,0,0,0,0,0,0,
2011,0,0,0,0,0,0,0,0,0,0,
2012,0.5,0.5,0,0,0,0,0,0,1,1,
2013,0.5,0.5,0,0,0,0,0,0,1,1,
2014,0.5,0.8,0,0,0,0,0,0,1.3,1.3,
2015,0.5,0.8,0,0,0,0,0,0,1.3,1.3,
2016,0.5,1.1,0,0,0,0,0,0,1.6,1.6,
2017,0.5,0.8,0,0,0,0,0,0,1.3,1.3,
2018,0.5,1.2,0,0,0,0,0,0,1.7,1.7,
Information Studies,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,8.2,5,0,2,0,0,0,0,11.2,13.2,
2011,6.5,5.3,0,2,0,0.3,0,0,9.5,11.8,
2012,6.2,5.7,0,1,0,0.3,0,0,10.5,11.8,
2013,7.1,6.3,0,2,0,0.3,0,0,11.1,13.5,
2014,7.5,5.3,0,2.3,0,0.3,0,0,10.2,12.8,
2015,8.5,4.3,0,1,1,0.3,0,0.3,10.2,12.9,
2016,7.5,4.8,0,1,1,0.3,0.3,0,9.7,12.3,
2017,9.5,5.3,0,1,1,0.3,0,0,12.5,14.8,
2018,10.5,6,0,1.3,1,0.3,0,0,13.8,16.5,
Institute for Pure & Applied Math,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total,
2010,,,,,,,,,,,
2011,,,,,,,,,,,
2012,0,1,0,0,0,0,0,0,1,1,
2013,0,1,0,0,0,0,0,0,1,1,
2014,0,1,0,0,0,0,0,0,1,1,
2015,0,1,0,0,0,0,0,0,1,1,
2016,0,1,0,0,0,0,0,0,1,1,
2017,0,1,0,0,0,0,0,0,1,1,
2018,0,1,0,0,0,0,0,0,1,1,
Inst for Res on Labor & Employment,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,,,,,,,,,,
2011,,,,,,,,,,
2012,0,0.5,0,0,0,0,0,0,0.5,0.5
2013,,,,,,,,,,
2014,,,,,,,,,,0
2015,0.5,0,0,0,0,0.5,0,0,0,0.5
2016,0.5,0,0,0,0,0.5,0,0,0,0.5
2017,1.5,0,0,0,0,1,0,0,0.5,1.5
2018,2.5,0,0,0,0,1,0,0,1.5,2.5
Inst for Society & Genetics,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,1,1.5,0,0,0,0,0,1,1.5,2.5
2011,1.5,2,0,0,0,0,0,1,2.5,3.5
2012,1,1.5,0,0,0,0,0,0,2.5,2.5
2013,1.5,2.5,0,0.5,0,0,0,0,3.5,4
2014,1.5,2.5,0,0.5,0,0,0,0,3.5,4
2015,3,2,0,1,0,0,0,0,4,5
2016,3.8,2.3,0,0.5,0,0,0,0,5.6,6.1
2017,5.3,2,0,0.5,0,0,0,1,5.8,7.3
2018,6.7,2.5,0,0.5,0,0,0,2,6.7,9.2
Inst for Technology Advancement,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,,,,,,,,,,
2011,,,,,,,,,,
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,,,,,,,,,,
2015,,,,,,,,,,
2016,,,,,,,,,,
2017,,,,,,,,,,
2018,,,,,,,,,,
Inst for Environ & Sustainability,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,2.5,3,0,0,0,0,0,1.5,4,5.5
2011,2.7,4.3,0,1,0,0,0,1.3,4.7,7
2012,2.5,4.5,0,1.3,0,0,0,0.8,5,7
2013,4,4.3,0,1,0,0.3,0,1.3,5.9,8.3
2014,4.1,6.6,0,1.5,1,0.3,0,0.8,7.2,10.7
2015,4.3,6.8,0,1.3,1,0.3,0,0.5,8.1,11.1
2016,6,5.2,0,1.3,1,0,0,1,8,11.2
2017,5,4.7,0,1,1,0,0,1.7,6,9.7
2018,6.2,6.3,0,1.5,1,0.5,0,1.7,7.8,12.5
Inst for Geophysics & Planetary Physics,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,1.8,7.6,0,0.3,0,0,0,0.3,8.8,9.4
2011,1.8,7.5,0,0.6,0,0,0,0,8.7,9.3
2012,0,0.3,0,0,0,0,0,0,0.3,0.3
2013,,,,,,,,,,
2014,0,0.5,0,0,0,0,0,0,0.5,0.5
2015,0,1,0,0,0,0,0,0,1,1
2016,0,1,0,0,0,0,0,0,1,1
2017,,,,,,,,,,
2018,,,,,,,,,,
Institute for Archaeology,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,,,,,,,,,,
2011,,,,,,,,,,
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,,,,,,,,,,
2015,,,,,,,,,,
2016,,,,,,,,,,
2017,,,,,,,,,,
2018,,,,,,,,,,
Int Biology & Physiology,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,4,16.3,0,1,1,0,0,0,18.3,20.3
2011,5,15.5,0,1,1,0,0,0,18.5,20.5
2012,6,14.8,0,2,1,0,0,0,17.8,20.8
2013,6,15.8,0,2,1,0,0,0,18.8,21.8
2014,6,14.7,0,2,1,0,0,0,17.7,20.7
2015,6.5,15.4,0,2,1,0,0,0,18.9,21.9
2016,9,16,0,4,1,1,0,0,19,25
2017,9.5,16,0,3.5,2,1,0,0,19,25.5
2018,9.5,15,0,3.5,2,1,0,0,18,24.5
Interdepartmental Degree Programs (IDPs),Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,1.5,1.2,0,1,0,0,0,0,1.7,2.7
2011,1.5,1.2,0,0.5,0,0,0,0.5,1.7,2.7
2012,1.5,1.2,0,1,0,0,0,0.5,1.2,2.7
2013,1.5,1.5,0,0.5,1,0,0,0.5,1,3
2014,2.5,0.5,0,0.5,0.5,0.5,0,0.5,1,3
2015,1.5,1,0,0.5,0.5,0,0,0.5,1,2.5
2016,1,0.5,0,0.5,0,0,0,0,1,1.5
2017,1,2,0,0.5,0,0,0,0.5,2,3
2018,1.5,0.5,0,1,0,0,0,0.5,0.5,2
Interdepartmental Program - Social Sciences,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,,,,,,,,,,
2011,,,,,,,,,,
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,,,,,,,,,,
2015,,,,,,,,,,
2016,,,,,,,,,,
2017,,,,,,,,,,
2018,,,,,,,,,,
Italian,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,3.6,4.5,0,1,0,0,0,0,7.1,8.1
2011,3,2.5,0,1,0,0,0,0,4.5,5.5
2012,4,4.3,0,1,0,0,0,1,6.3,8.3
2013,4.4,4.3,0,1,0,0,0,0,7.7,8.7
2014,3.8,3.9,0,1,0,0,0,0,6.7,7.7
2015,4.4,3.5,0,1,0,0,0,0,6.9,7.9
2016,4.4,3.1,0,1,0,0,0,0,6.5,7.5
2017,3.6,3.5,0,1,0,0,0,0,6.1,7.1
2018,3.4,2.5,0,1,0,0,0,0,4.9,5.9
Joint Inst Reg Earth Syst Sci/Engr (JIFRESSE),Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,,,,,,,,,,
2011,,,,,,,,,,
2012,,,,,,,,,,
2013,0,0.4,0,0.1,0,0,0,0,0.3,0.4
2014,,,,,,,,,,
2015,,,,,,,,,,
2016,,,,,,,,,,
2017,,,,,,,,,,
2018,,,,,,,,,,
Law,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,25.9,47.8,0,5,3.6,2.4,0,1,61.8,73.7
2011,28.2,49.7,1,5.2,4.8,2,0,1,63.9,77.9
2012,28.5,52.1,1,4,4.5,3.2,0,1,66.9,80.6
2013,26.1,50.2,1,5,3.3,3,0,1,63,76.3
2014,26.5,51.6,1,8,5.3,3,0,1,59.8,78.1
2015,28.5,50.1,1,8,5,3,0,1,60.6,78.6
2016,34.6,54.5,1,8.3,5.7,4.6,0,1.1,68.5,89.1
2017,31.8,49.9,1,7.6,4.5,3.4,1,1.4,62.8,81.7
2018,38.1,56.1,1,8.9,5.5,4.3,1,1.4,72,94.2
"Lesbian, Gay & Bisexual Studies",Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,,,,,,,,,,
2011,,,,,,,,,,
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,,,,,,,,,,
2015,,,,,,,,,,
2016,0.5,0,0,0,0,0.5,0,0,0,0.5
2017,0.5,0,0,0,0,0.5,0,0,0,0.5
2018,,,,,,,,,,
Life Sciences Core Crclm Prgm,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,0.5,0,0,0,0,0,0,0.5,0.5
2011,,,,,,,,,,
2012,0,0.5,0,0.5,0,0,0,0,0,0.5
2013,,,,,,,,,,
2014,0.5,1.5,0,1.5,0,0,0,0,0.5,2
2015,0.5,1.1,0,0.8,0,0,0,0,0.8,1.6
2016,0.2,0.9,0,0.9,0,0,0,0,0.2,1.1
2017,2.3,1.5,0,1.5,0,0,0,0,2.3,3.8
2018,4.5,2.8,0,2.3,0,0,0,0,5,7.3
Linguistics,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,10.5,11.8,0,3,0,0.4,0,0,18.9,22.3
2011,10,10.8,0,3,0,0.4,0,0,17.4,20.8
2012,8,11.9,0,3,0,0,0,0,16.9,19.9
2013,8,10.5,0,3,0,0,0,0,15.5,18.5
2014,9,10.5,0,4,0,0,0,0,15.5,19.5
2015,10,11.5,0,4,0,0,0,0,17.5,21.5
2016,12,13,0,3,1,0.5,0,1,19.5,25
2017,12.5,12.2,0,3.5,2,1,0,1,17.2,24.7
2018,12.3,11.8,0,3.8,2,0.5,0,1,16.8,24.1
Luskin Cntr for Innovation,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,,,,,,,,,,
2011,,,,,,,,,,
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,,,,,,,,,,
2015,,,,,,,,,,
2016,,,,,,,,,,
2017,0,1,0,0,0,0,0,1,0,1
2018,0,1,0,0,0,0,0,1,0,1
Materials Science & Engr (MSE),Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,1.5,9.8,0,7,0,0,0,0,4.3,11.3
2011,1.5,10.7,0,7,0,0,0,0,5.2,12.2
2012,2.5,11.6,0,8,0,0,0,0,6.1,14.1
2013,1.5,10.5,0,7,0,0,0,0,5,12
2014,1.5,11.8,0,6.5,0,0,0,0,6.8,13.3
2015,2.3,12.3,0,7.1,0,1,0,0.2,6.3,14.6
2016,1.9,12,0,7,0,1,0,0.2,5.7,13.9
2017,3.5,12,0,6.5,1,0,0,1.2,6.8,15.5
2018,3.8,10.4,0,7.4,0,1,0,1,4.9,14.2
Mathematics,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,8.5,67.3,0,12.2,0,0.5,0,0,63.1,75.8
2011,7.7,65,0,11.2,0,0,0,0,61.5,72.7
2012,9.7,67.2,0,12,0,2,0,0,62.8,76.9
2013,11.2,71.3,0,12.8,0,3.3,0,0,66.4,82.5
2014,13,73.3,0,15.2,0,4,0,0,67.2,86.3
2015,15,70.5,0,18,0,4,0,0,63.5,85.5
2016,10,76.8,0,20.3,0,3,0,2,61.5,86.8
2017,8.5,79.9,0,25.7,1,1,0,3,57.7,88.4
2018,10.5,83,0,26,1,1.5,0,4,61,93.5
Mechanical & Aerospace Engr (MANE),Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,2.6,33,0,14.1,0,0.4,0,0,21.1,35.6
2011,2.2,33.8,0,14.1,0,0.8,0,0,21.1,36
2012,2.2,31,0,14.1,0,0.8,0,0,18.3,33.2
2013,2.8,31.8,0,13.1,0,0.8,0,0,20.7,34.6
2014,2,32.8,0,15.9,0,0.8,0,0,18.1,34.8
2015,3,31.9,0,15.8,0,0.4,0,0,18.8,34.9
2016,3,35.6,0,17.5,0,0.4,0,1.1,19.5,38.6
2017,4,32.8,0,17,0,0.4,0,0,19.5,36.8
2018,4.4,34.4,0,17.5,0,0,0,1.8,19.5,38.8
"Microbiology, Immunology & Molecular Genetics (MIMG)",Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,7.5,27.2,0,7,0,0,0,1,26.7,34.7
2011,8.3,25.3,0,7,0,0,0,1,25.6,33.6
2012,7.8,23.8,0,7.8,0,0,0,0,23.8,31.6
2013,9.5,25,0,9,0,0,0,0,25.5,34.5
2014,9,24.2,0,8.2,0,0,0,0,25,33.2
2015,7.8,22,0,7,0,0,0,0,22.8,29.8
2016,8,21,0,7,0,0,0,0,22,29
2017,8,21.5,0,7,0,1,0,1.5,20,29.5
2018,8,20.5,0,8,0,1,0,0,19.5,28.5
Military Science,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,2.5,0,0,1.3,0,0,0,1.3,2.5
2011,1,3.5,0,0,3.3,0,0,0,1.3,4.5
2012,1,0,0,0,1,0,0,0,0,1
2013,1,1,0,0,1,0,0,1,0,2
2014,,,,,,,,,,
2015,0,1,0,0,0,1,0,0,0,1
2016,0,1,0,0,0,1,0,0,0,1
2017,0,1,0,0,0,1,0,0,0,1
2018,,,,,,,,,,
Minor in Biomedical Research,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,1,0,0,0,1,0,0,0,1
2011,0,1,0,0,0,1,0,0,0,1
2012,0,1,0,0,0,1,0,0,0,1
2013,0,2,0,0,0,1,0,0,1,2
2014,0,2,0,0,0,1,0,0,1,2
2015,0,2,0,0,0,1,0,0,1,2
2016,1,2,0,1,0,1,0,0,1,3
2017,0,2,0,0,0,1,0,0,1,2
2018,1,2,0,0,0,1,0,0,2,3
"Molecular, Cell & Develop Biology (MCDB)",Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,9.7,14.5,0,6.5,0,2,0,0.7,15,24.2
2011,9,16,0,7,0,2,0,1,15,25
2012,9,16.5,0,7.5,0,2,0,0,16,25.5
2013,10.5,15,0,7,0,2,0,0,16.5,25.5
2014,12,14,0,5,1,2,0,0,18,26
2015,11,13,0,5,1,2,0,0,16,24
2016,11,14,0,5,1,3,0,0,16,25
2017,11.2,16,0,6,1,3,0,0,17.2,27.2
2018,12,16,0,6,1,3,0,0,18,28
Music,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,6.4,30.7,0,3.1,0.6,1.3,0,0,32,37.1
2011,6.5,28,0,2.8,0,1,0,0,30.7,34.5
2012,6.7,27.3,0,3.4,0,1,0,1,28.6,34
2013,7.2,25.6,0,2.9,0.2,1,0,1,27.7,32.9
2014,6.1,28.5,0,3.5,0.3,1,0,1.3,28.5,34.6
2015,7.3,27.7,0,3.2,0.4,1.4,0,0.8,29.2,35
2016,7.4,27.6,0.2,3.4,0.4,1.5,0,0.5,29,35
2017,9,27.4,0,3.4,0.5,1.5,0,3.9,27.1,36.4
2018,12,27.9,0,3.9,0.6,0.6,0,5.2,29.3,39.9
Musicology,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,5.8,4,0,1,0,0,0,0,8.8,9.8
2011,5,4.5,0,1,0,0,0,1,7.5,9.5
2012,5,5,0,1,0,0,0,0,9,10
2013,5.5,5.5,0,1,0,0.5,0,0,9.5,11
2014,6.8,6.5,0,1,0,0.5,0,0.5,11.3,13.3
2015,7.5,4,0,1,0,0,0,0,10.5,11.5
2016,6,5,0,1.5,0,0,0,0,9.5,11
2017,6.2,6.3,0,1,1,0,0,0,10.5,12.5
2018,6.4,8.5,0.4,1,1,0,0,0.9,11.5,14.8
Naval Science,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,3,0,0,1,0,0,0,2,3
2011,0,5,0,0,1,2,0,0,2,5
2012,0,5,0,0,0,2,0,0,3,5
2013,0,5,0,0,0,2,0,0,3,5
2014,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0
Nazarian Center for Israel Studies (NCIS),Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0
2018,0,0.8,0,0,0,0,0,0,0.8,0.8
Neuroscience Interdepartmental Prog,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0
2018,0,0.8,0,0,0,0,0,0,0.8,0.8
Nr Eastern Langs & Cultures,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,9.3,14.2,0,0,0,0,0,1.5,22,23.5
2011,9.6,14.7,0,0,0,0,0,0.8,23.6,24.3
2012,10.6,13.3,0,0,0,0,0,0.8,23.2,23.9
2013,13.4,13.8,0,1,0,0,0,1.5,24.7,27.2
