Subject,CatalogNo,Name,GE,MedianA,MedianGPA,TotClasses,ClassSize
MUS HST,0094,MUSIC AND INTERNET,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.68,3.35,2,118
MUS HST,0135A,HISTORY OF OPERA,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.35,2.53,1,84
MUS HST,0135B,HISTORY OF OPERA,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.51,2.94,1,64
MUS HST,0135C,HISTORY OF OPERA,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.62,3.07,2,44
MUSIC,0015,ART OF LISTENING,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.72,3.53,3,214
NURSING,0003,HUMAN PHYSIOLOGY,Scientific Inquiry-Life Sciences,0.52,3.34,5,42
NURSING,0013,INTRO-HUMAN ANATOMY,Scientific Inquiry-Life Sciences,0.52,3.34,5,38
PHILOS,0003,HIST INTRO TO PHIL,Arts and Humanities-Philosophical and Linguistic Analysis,0.32,2.59,4,70
PHILOS,0004,ANLY-CNTMP MORL ISS,Arts and Humanities-Philosophical and Linguistic Analysis,0.27,2.84,1,187
PHILOS,0005,PHILOS IN LITERATRE,Arts and Humanities-Philosophical and Linguistic Analysis,0.44,3.27,4,199
PHILOS,0006,INTRO-POLITICL PHIL,Arts and Humanities-Philosophical and Linguistic Analysis,0.41,3,6,222
PHILOS,0007,INT PHILOSOPHY-MIND,Arts and Humanities-Philosophical and Linguistic Analysis,0.36,3.04,12,137
PHILOS,0008,INTRO-PHILOS OF SCI,Arts and Humanities-Philosophical and Linguistic Analysis,0.29,2.76,7,150
PHILOS,0021,SKEPTICSM&RATNALTY,Arts and Humanities-Philosophical and Linguistic Analysis,0.2,2.66,4,144
PHILOS,0022,INTRO-ETHICAL THRY,Arts and Humanities-Philosophical and Linguistic Analysis,0.41,2.96,9,44
PHILOS,0022W,INTRO-ETHICAL THRY,Arts and Humanities-Philosophical and Linguistic Analysis,0.33,3.12,3,98
PHYSCI,0003,INTRO-HUMAN PHYSIOL,Scientific Inquiry-Life Sciences,0.26,2.98,3,133
PHYSCI,0005,HMN PHYS-DIET&EXRCS,Scientific Inquiry-Life Sciences,0.49,3.08,13,385
PHYSCI,0007,SCIENCE AND FOOD,Scientific Inquiry-Life Sciences,0.47,3.27,3,51
PHYSCI,0013,INTRO-HUMAN ANATOMY,Scientific Inquiry-Life Sciences,0.66,3.5,3,147
PHYSICS,0001A,MECHANICS,Scientific Inquiry-Physical Sciences,0.3,2.9,25,174
PHYSICS,0001AH,MECHANICS-HONORS,Scientific Inquiry-Physical Sciences,0.92,3.84,1,25
PHYSICS,0001B,OSCILTNS&WAVES&FLDS,Scientific Inquiry-Physical Sciences,0.3,2.85,25,172
PHYSICS,0001C,ELECTRODYNMC&OPTICS,Scientific Inquiry-Physical Sciences,0.3,2.9,23,157
PHYSICS,0006A,PHYSIC-LIFE SCI MAJ,Scientific Inquiry-Physical Sciences,0.32,2.9,34,175
PHYSICS,0006B,PHYSIC-LIFE SCI MAJ,Scientific Inquiry-Physical Sciences,0.34,3.04,32,168
PHYSICS,0006C,PHYSIC-LIFE SCI MAJ,Scientific Inquiry-Physical Sciences,0.36,3.05,32,170
PHYSICS,0010,PHYSICS,Scientific Inquiry-Physical Sciences,0.48,3.17,10,136
PHYSICS,0011,REVOLUTIONS-PHYSICS,Scientific Inquiry-Physical Sciences,0.43,2.99,2,40
POL SCI,0010,INTR-POLITCL THEORY,Society and Culture-Social Analysis,0.47,3.18,11,269
POL SCI,0020,WORLD POLITICS,Society and Culture-Social Analysis,0.41,3.05,15,181
POL SCI,0040,INTRO-AMERICN PLTCS,Society and Culture-Social Analysis,0.59,3.32,17,224
POL SCI,0050,INTRO-COMPRTV PLTCS,Society and Culture-Social Analysis,0.3,2.99,14,115
POL SCI,0060,DIVERSITY&DISAGRMNT,Society and Culture-Social Analysis,0.51,3.29,1,60
PORTGSE,0040B,BRAZILIAN LIT-TRNSL,Arts and Humanities-Literary and Cultural Analysis,0.55,3.49,1,11
PORTGSE,0046,BRAZIL&PRTGSE WORLD,Society and Culture-Historical Analysis,0.72,3.56,4,64
PSYCH,0015,INTRO PSYCHOBIOLOGY,Scientific Inquiry-Life Sciences,0.27,2.41,13,167
PUB PLC,0010A,INTRO-PUBLIC POLICY,Society and Culture-Social Analysis,0.43,3.42,6,70
RELIGN,0011,RELIGION IN LA,Society and Culture-Social Analysis,0.77,3.54,7,35
RUSSIAN,0025,GREAT RUSSIAN NOVEL,Arts and Humanities-Literary and Cultural Analysis,0.54,2.85,3,28
RUSSIAN,0025W,GREAT RUSSIAN NOVEL,Arts and Humanities-Literary and Cultural Analysis,0.4,3.21,2,51
RUSSIAN,0090A,INTR-RUSSIAN CVLZTN,Society and Culture-Historical Analysis,0.6,2.98,2,56
RUSSIAN,0090B,RUSSIAN CVLZTN-20 C,Arts and Humanities-Literary and Cultural Analysis,0.39,3.03,3,23
RUSSIAN,0090BW,RUSSIAN CVLZTN-20 C,Arts and Humanities-Literary and Cultural Analysis,0.63,3.51,1,38
RUSSN,0090A,INTR-RUSSIAN CVLZTN,Society and Culture-Historical Analysis,0.62,3.16,1,103
RUSSN,0090BW,RUSSIAN CVLZTN-20 C,Arts and Humanities-Literary and Cultural Analysis,0.64,3.6,2,40
SCAND,0040W,HERO JRNY-MYTH&LEGD,Arts and Humanities-Literary and Cultural Analysis,0.77,3.69,2,73
SCAND,0050,INTRO-SCAN LIT&CLTR,Arts and Humanities-Literary and Cultural Analysis,0.79,3.58,10,312
SCAND,0050W,INTRO-SCAN LIT&CLTR,Arts and Humanities-Literary and Cultural Analysis,0.89,3.74,29,21
SCAND,0138,VIKINGS,Society and Culture-Historical Analysis,0.62,3.2,6,47
SLAVC,0005,INTRO TO EURASIA,Society and Culture-Historical Analysis,0.83,3.5,1,17
SLAVC,0087,LANGUAGES OF L A,Arts and Humanities-Philosophical and Linguistic Analysis,0.66,3.06,1,36
SLAVC,0090,INTRO-SLAVIC CVLZTN,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.28,2.62,1,32
SLAVIC,0087,LANGUAGES OF L A,Arts and Humanities-Philosophical and Linguistic Analysis,0.62,3.38,2,36
SLAVIC,0090,INTRO-SLAVIC CVLZTN,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.33,2.65,3,37
SOC GEN,0005,HUMAN BIOL&SOCIETY,Scientific Inquiry-Life Sciences,0.53,3.33,8,134
SOC GEN,0101,GNTC CNCPT-HUMN SCI,Scientific Inquiry-Life Sciences,0.42,3.33,3,45
SOCIOL,0001,INTRODUCTORY SOCIOL,Society and Culture-Social Analysis,0.28,2.94,27,232
SOCIOL,0040,AMERICAN RACISM,Society and Culture-Historical Analysis,0.84,3.74,1,152
SOCIOL,0051,SOCIOLOGY-MIGRATION,Society and Culture-Social Analysis,0.45,3.29,4,56
SPAN,0042,IBERIAN CULTURE,Arts and Humanities-Literary and Cultural Analysis,0.48,3.25,7,111
SPAN,0044,LATIN AMERICAN CLTR,Society and Culture-Historical Analysis,0.46,3.16,7,116
STATS,0010,INTRO-STAT REASON,Scientific Inquiry-Life Sciences,0.41,2.98,47,169
STATS,0012,STAT MTHDS-GEOG&ENV,Society and Culture-Social Analysis,0.46,3.1,3,78
STATS,0013,STATS-LIFE&HLTH SCI,Scientific Inquiry-Life Sciences,0.49,3.24,15,144
THEATER,0010,INTRO-THEATER,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.66,3.35,9,97
THEATER,0106,HST-AMER THTR&DRAMA,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.76,3.63,4,76
WL ARTS,0022,INTR-AMER FLKLR STD,Arts and Humanities-Literary and Cultural Analysis,0.76,3.54,4,35
WL ARTS,0033,INDIGENOUS WORLDVWS,Arts and Humanities-Philosophical and Linguistic Analysis,0.5,2.9,4,56
WL ARTS,0051W,ALIEN&PSYCHIC&GHOST,Arts and Humanities-Literary and Cultural Analysis,0.64,3.42,4,74
YIDDSH,0010,YIDDISH-BECOMG MDRN,Arts and Humanities-Literary and Cultural Analysis,0.72,3.46,2,16
