Subject,CatalogNo,Name,GE,MedianA,TotClasses,ClassSize
POL SCI,60,DIVERSITY&DISAGRMNT,Society and Culture-Social Analysis,0.51,1,60
PORTGSE,40B,BRAZILIAN LIT-TRNSL,Arts and Humanities-Literary and Cultural Analysis,0.55,1,11
PORTGSE,46,BRAZIL&PRTGSE WORLD,Society and Culture-Historical Analysis,0.72,4,64
PSYCH,15,INTRO PSYCHOBIOLOGY,Scientific Inquiry-Life Sciences,0.27,13,167
PUB PLC,10A,INTRO-PUBLIC POLICY,Society and Culture-Social Analysis,0.43,6,70
RELIGN,11,RELIGION IN LA,Society and Culture-Social Analysis,0.77,7,35
RUSSIAN,25,GREAT RUSSIAN NOVEL,Arts and Humanities-Literary and Cultural Analysis,0.54,3,28
RUSSIAN,25W,GREAT RUSSIAN NOVEL,Arts and Humanities-Literary and Cultural Analysis,0.4,2,51
RUSSIAN,90A,INTR-RUSSIAN CVLZTN,Society and Culture-Historical Analysis,0.6,2,56
RUSSIAN,90B,RUSSIAN CVLZTN-20 C,Arts and Humanities-Literary and Cultural Analysis,0.39,3,23
RUSSIAN,90BW,RUSSIAN CVLZTN-20 C,Arts and Humanities-Literary and Cultural Analysis,0.63,1,38
RUSSN,90A,INTR-RUSSIAN CVLZTN,Society and Culture-Historical Analysis,0.62,1,103
RUSSN,90BW,RUSSIAN CVLZTN-20 C,Arts and Humanities-Literary and Cultural Analysis,0.64,2,40
SCAND,40W,HERO JRNY-MYTH&LEGD,Arts and Humanities-Literary and Cultural Analysis,0.77,2,73
SCAND,50,INTRO-SCAN LIT&CLTR,Arts and Humanities-Literary and Cultural Analysis,0.79,10,312
SCAND,50W,INTRO-SCAN LIT&CLTR,Arts and Humanities-Literary and Cultural Analysis,0.89,29,21
SCAND,138,VIKINGS,Society and Culture-Historical Analysis,0.62,6,47
SLAVC,5,INTRO TO EURASIA,Society and Culture-Historical Analysis,0.83,1,17
SLAVC,87,LANGUAGES OF L A,Arts and Humanities-Philosophical and Linguistic Analysis,0.66,1,36
SLAVC,90,INTRO-SLAVIC CVLZTN,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.28,1,32
SLAVIC,87,LANGUAGES OF L A,Arts and Humanities-Philosophical and Linguistic Analysis,0.62,2,36
SLAVIC,90,INTRO-SLAVIC CVLZTN,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.33,3,37
SOC GEN,5,HUMAN BIOL&SOCIETY,Scientific Inquiry-Life Sciences,0.53,8,134
SOC GEN,101,GNTC CNCPT-HUMN SCI,Scientific Inquiry-Life Sciences,0.42,3,45
SOCIOL,1,INTRODUCTORY SOCIOL,Society and Culture-Social Analysis,0.28,27,232
SOCIOL,40,AMERICAN RACISM,Society and Culture-Historical Analysis,0.84,1,152
SOCIOL,51,SOCIOLOGY-MIGRATION,Society and Culture-Social Analysis,0.45,4,56
SPAN,42,IBERIAN CULTURE,Arts and Humanities-Literary and Cultural Analysis,0.48,7,111
SPAN,44,LATIN AMERICAN CLTR,Society and Culture-Historical Analysis,0.46,7,116
STATS,10,INTRO-STAT REASON,Scientific Inquiry-Life Sciences,0.41,47,169
STATS,12,STAT MTHDS-GEOG&ENV,Society and Culture-Social Analysis,0.46,3,78
STATS,13,STATS-LIFE&HLTH SCI,Scientific Inquiry-Life Sciences,0.49,15,144
THEATER,10,INTRO-THEATER,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.66,9,97
THEATER,106,HST-AMER THTR&DRAMA,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.76,4,76
WL ARTS,22,INTR-AMER FLKLR STD,Arts and Humanities-Literary and Cultural Analysis,0.76,4,35
WL ARTS,33,INDIGENOUS WORLDVWS,Arts and Humanities-Philosophical and Linguistic Analysis,0.5,4,56
WL ARTS,51W,ALIEN&PSYCHIC&GHOST,Arts and Humanities-Literary and Cultural Analysis,0.64,4,74
YIDDSH,10,YIDDISH-BECOMG MDRN,Arts and Humanities-Literary and Cultural Analysis,0.72,2,16
