entry_term_cd,entry_year_trailing_summer_7,admit_level,start_major,end_major,end_status,section,headcount
20F,2020-21,Transfer,BIOCHEMISTRY                                                                                                            ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,BIOCHEMISTRY                                                                                                            ,PSYCHOBIOLOGY                                               ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,CHICANA AND CHICANO STUDIES                                                                                             ,ENGLISH                                                                                                                 ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,CIVIL ENGINEERING                                                                                                       ,CIVIL ENGINEERING                                                                                                       ,Enrolled,Fall 1 to Fall 2,17
20F,2020-21,Transfer,COMPUTER SCIENCE                                                                                                        ,COMPUTER SCIENCE                                                                                                        ,Enrolled,Fall 1 to Fall 2,44
20F,2020-21,Transfer,DATA THEORY                                                 ,APPLIED MATHEMATICS                                                                                                     ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,ECONOMICS                                                   ,INTERNATIONAL DEVELOPMENT STUDIES                                                                                       ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,ECONOMICS                                                   ,MATHEMATICS/ECONOMICS                                                                                                   ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,FINANCIAL ACTUARIAL MATHEMATICS                             ,FINANCIAL ACTUARIAL MATHEMATICS                                                                                         ,Enrolled,Fall 1 to Fall 2,29
20F,2020-21,Transfer,GENDER STUDIES                                                                                                          ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,GENDER STUDIES                                                                                                          ,SOCIOLOGY                                                                                                               ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,HISTORY                                                     ,HISTORY                                                     ,Enrolled,Fall 1 to Fall 2,180
20F,2020-21,Transfer,HUMAN BIOLOGY AND SOCIETY - BS                                                                                          ,HUMAN BIOLOGY AND SOCIETY - BS                                                                                          ,Enrolled,Fall 1 to Fall 2,10
20F,2020-21,Transfer,LINGUISTICS AND ITALIAN                                                                                                 ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,LINGUISTICS AND SPANISH                                                                                                 ,APPLIED LINGUISTICS                                                                                                     ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,MATHEMATICS                                                 ,MATHEMATICS/ECONOMICS                                                                                                   ,Graduated,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,MATHEMATICS/ECONOMICS                                       ,ECONOMICS                                                                                                               ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",PSYCHOBIOLOGY                                                                                                           ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,POLITICAL SCIENCE                                           ,ENGLISH                                                                                                                 ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,COMPUTATIONAL AND SYSTEMS BIOLOGY                           ,COGNITIVE SCIENCE                                                                                                       ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,"ECOLOGY, BEHAVIOR, AND EVOLUTION                                                                                        ",BIOLOGY                                                                                                                 ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,LINGUISTICS AND ANTHROPOLOGY                                                                                            ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,LINGUISTICS AND ENGLISH                                                                                                 ,LINGUISTICS                                                                                                             ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,LINGUISTICS AND PHILOSOPHY                                                                                              ,PHILOSOPHY                                                                                                              ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,LINGUISTICS AND PSYCHOLOGY                                                                                              ,FINANCIAL ACTUARIAL MATHEMATICS                                                                                         ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,MATHEMATICS                                                 ,APPLIED MATHEMATICS                                                                                                     ,Graduated,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,MATHEMATICS                                                 ,MATHEMATICS OF COMPUTATION                                                                                              ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,MATHEMATICS/ECONOMICS                                       ,PHYSICS                                                                                                                 ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,MATHEMATICS/ECONOMICS                                       ,STATISTICS AND DATA SCIENCE                                                                                             ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS                                                                        ",Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,NEUROSCIENCE                                                                                                            ,NEUROSCIENCE                                                                                                            ,Enrolled,Fall 1 to Fall 2,24
20F,2020-21,Transfer,PHYSICS                                                                                                                 ,APPLIED MATHEMATICS                                                                                                     ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,PSYCHOLOGY                                                  ,PSYCHOLOGY                                                                                                              ,Graduated,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,PUBLIC AFFAIRS                                                                                                          ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,SOCIOLOGY                                                   ,ANTHROPOLOGY                                                                                                            ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,WORLD ARTS AND CULTURES                                                                                                 ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,AFRICAN AMERICAN STUDIES                                                                                                ,SOCIOLOGY                                                                                                               ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,BIOCHEMISTRY                                                                                                            ,COMPUTATIONAL AND SYSTEMS BIOLOGY                           ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,BIOENGINEERING                                                                                                          ,COMPUTER SCIENCE AND ENGINEERING                                                                                        ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,BIOLOGY                                                                                                                 ,HUMAN BIOLOGY AND SOCIETY - BS                              ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,BUSINESS ECONOMICS                                          ,LINGUISTICS AND COMPUTER SCIENCE                                                                                        ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,BUSINESS ECONOMICS                                          ,UNDECLARED                                                                                                              ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,CHEMICAL ENGINEERING                                                                                                    ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,CIVIL ENGINEERING                                                                                                       ,PSYCHOLOGY                                                  ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,COMPUTATIONAL AND SYSTEMS BIOLOGY                           ,BIOCHEMISTRY                                                                                                            ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,COMPUTATIONAL AND SYSTEMS BIOLOGY                           ,BIOENGINEERING                                                                                                          ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,DANCE                                                                                                                   ,ECONOMICS                                                   ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,DESIGN / MEDIA ARTS                                                                                                     ,DESIGN / MEDIA ARTS                                                                                                     ,Enrolled,Fall 1 to Fall 2,37
21F,2021-22,Freshman,ELECTRICAL ENGINEERING                                                                                                  ,COMPUTER SCIENCE                                                                                                        ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,FINANCIAL ACTUARIAL MATHEMATICS                             ,APPLIED MATHEMATICS                                                                                                     ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,CHINESE                                                                                                                 ,CHINESE                                                                                                                 ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,COMMUNICATION                                                                                                           ,SOCIOLOGY                                                                                                               ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,COMPARATIVE LITERATURE                                                                                                  ,LINGUISTICS AND PSYCHOLOGY                                                                                              ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,COMPARATIVE LITERATURE                                                                                                  ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,COMPUTER ENGINEERING                                                                                                    ,COMPUTER ENGINEERING                                                                                                    ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,ELECTRICAL ENGINEERING                                                                                                  ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,ENVIRONMENTAL SCIENCE                                                                                                   ,ENVIRONMENTAL SCIENCE                                                                                                   ,Enrolled,Fall 1 to Fall 2,14
20F,2020-21,Transfer,EUROPEAN LANGUAGES AND TRANSCULTURAL STUDIES WITH GERMAN                                                                ,EUROPEAN LANGUAGES AND TRANSCULTURAL STUDIES WITH GERMAN                                                                ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,GEOGRAPHY                                                                                                               ,GEOGRAPHY                                                                                                               ,Enrolled,Fall 1 to Fall 2,29
20F,2020-21,Transfer,GEOGRAPHY/ENVIRONMENTAL STUDIES                                                                                         ,ENVIRONMENTAL SCIENCE                                                                                                   ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,GEOPHYSICS                                                                                                              ,GEOLOGY                                                                                                                 ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,GLOBAL JAZZ STUDIES                                                                                                     ,GLOBAL JAZZ STUDIES                                                                                                     ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,HISTORY                                                     ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,KOREAN                                                                                                                  ,FINANCIAL ACTUARIAL MATHEMATICS                                                                                         ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,LINGUISTICS AND ASIAN LANGUAGES AND CULTURES                                                                            ,LINGUISTICS AND ASIAN LANGUAGES AND CULTURES                                                                            ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,MATHEMATICS/ECONOMICS                                       ,MATHEMATICS/ECONOMICS                                                                                                   ,Enrolled,Fall 1 to Fall 2,30
20F,2020-21,Transfer,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS                                                                        ","MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",BIOLOGY                                                                                                                 ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,PHILOSOPHY                                                                                                              ,GEOGRAPHY                                                                                                               ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,PHILOSOPHY                                                                                                              ,PHILOSOPHY                                                                                                              ,Enrolled,Fall 1 to Fall 2,97
20F,2020-21,Transfer,SOCIOLOGY                                                   ,CHICANA AND CHICANO STUDIES                                                                                             ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,SOCIOLOGY                                                   ,COGNITIVE SCIENCE                                                                                                       ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,AEROSPACE ENGINEERING                                                                                                   ,ASTROPHYSICS                                                                                                            ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,APPLIED LINGUISTICS                                                                                                     ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,ASTROPHYSICS                                                                                                            ,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS                                                                        ",Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,ATMOSPHERIC AND OCEANIC SCIENCES/MATHEMATICS                                                                            ,ATMOSPHERIC AND OCEANIC SCIENCES/MATHEMATICS                                                                            ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,BIOCHEMISTRY                                                                                                            ,BIOLOGY                                                                                                                 ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,BIOCHEMISTRY                                                                                                            ,BUSINESS ECONOMICS                                          ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,GLOBAL STUDIES                                              ,INTERNATIONAL DEVELOPMENT STUDIES                                                                                       ,Enrolled,Fall 1 to Fall 2,12
20F,2020-21,Transfer,HISTORY                                                     ,POLITICAL SCIENCE                                                                                                       ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,JAPANESE                                                                                                                ,LINGUISTICS                                                                                                             ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,LINGUISTICS                                                                                                             ,EUROPEAN LANGUAGES AND TRANSCULTURAL STUDIES WITH FRENCH AND FRANCOPHONE                                                ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,LINGUISTICS                                                                                                             ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,LINGUISTICS AND ANTHROPOLOGY                                                                                            ,ANTHROPOLOGY                                                                                                            ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,LINGUISTICS AND ANTHROPOLOGY                                                                                            ,LINGUISTICS AND ANTHROPOLOGY                                                                                            ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,MATHEMATICS                                                 ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,PHILOSOPHY                                                                                                              ,PHILOSOPHY                                                                                                              ,Graduated,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,PSYCHOBIOLOGY                                               ,PSYCHOBIOLOGY                                                                                                           ,Enrolled,Fall 1 to Fall 2,38
20F,2020-21,Transfer,PUBLIC AFFAIRS                                                                                                          ,PUBLIC AFFAIRS                                                                                                          ,Enrolled,Fall 1 to Fall 2,23
20F,2020-21,Transfer,STATISTICS AND DATA SCIENCE                                 ,ECONOMICS                                                                                                               ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,ANTHROPOLOGY-BS                                                                                                         ,PSYCHOLOGY                                                  ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,ART                                                                                                                     ,PSYCHOLOGY                                                  ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,ASIAN AMERICAN STUDIES                                                                                                  ,ASIAN AMERICAN STUDIES                                                                                                  ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,BIOCHEMISTRY                                                                                                            ,COMPUTER SCIENCE                                                                                                        ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,BIOLOGY                                                                                                                 ,COMPUTATIONAL AND SYSTEMS BIOLOGY                           ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,BIOPHYSICS                                                                                                              ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,CHEMICAL ENGINEERING                                                                                                    ,CIVIL ENGINEERING                                                                                                       ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,CHEMISTRY                                                                                                               ,CHEMISTRY                                                                                                               ,Enrolled,Fall 1 to Fall 2,46
21F,2021-22,Freshman,CHEMISTRY                                                                                                               ,COMPUTATIONAL AND SYSTEMS BIOLOGY                           ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,CIVIL ENGINEERING                                                                                                       ,CHEMICAL ENGINEERING                                                                                                    ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,CLIMATE SCIENCE                                                                                                         ,ENVIRONMENTAL SCIENCE                                                                                                   ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,EDUCATION AND SOCIAL TRANSFORMATION                         ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,GEOLOGY                                                                                                                 ,"ECOLOGY, BEHAVIOR, AND EVOLUTION                                                                                        ",Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,HISTORY                                                     ,COMMUNICATION                                                                                                           ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,HUMAN BIOLOGY AND SOCIETY - BA                              ,COGNITIVE SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,MATHEMATICS                                                 ,FINANCIAL ACTUARIAL MATHEMATICS                             ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,MATHEMATICS                                                 ,PUBLIC AFFAIRS                                              ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,MATHEMATICS OF COMPUTATION                                  ,MATHEMATICS/ECONOMICS                                       ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,MATHEMATICS/APPLIED SCIENCE                                 ,BUSINESS ECONOMICS                                          ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,PSYCHOBIOLOGY                                               ,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,THEATER                                                                                                                 ,THEATER                                                                                                                 ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,WORLD ARTS AND CULTURES                                                                                                 ,WORLD ARTS AND CULTURES                                                                                                 ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,AEROSPACE ENGINEERING                                                                                                   ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,APPLIED MATHEMATICS                                         ,MATHEMATICS                                                                                                             ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,ATMOSPHERIC AND OCEANIC SCIENCES                                                                                        ,MARINE BIOLOGY                                                                                                          ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,BIOCHEMISTRY                                                                                                            ,BIOENGINEERING                                                                                                          ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,BIOENGINEERING                                                                                                          ,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,BIOENGINEERING                                                                                                          ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,BIOENGINEERING                                                                                                          ,PSYCHOBIOLOGY                                               ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,BIOLOGY                                                                                                                 ,CHEMICAL ENGINEERING                                                                                                    ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,BUSINESS ECONOMICS                                          ,ECONOMICS                                                   ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,BUSINESS ECONOMICS                                          ,MECHANICAL ENGINEERING                                                                                                  ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,CHEMICAL ENGINEERING                                                                                                    ,COMPUTER SCIENCE                                                                                                        ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,CHEMISTRY                                                                                                               ,CHEMICAL ENGINEERING                                                                                                    ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,COMPUTATIONAL AND SYSTEMS BIOLOGY                           ,COMPUTATIONAL AND SYSTEMS BIOLOGY                           ,Enrolled,Fall 1 to Fall 2,57
21F,2021-22,Freshman,COMPUTER ENGINEERING                                                                                                    ,COMPUTER ENGINEERING                                                                                                    ,Enrolled,Fall 1 to Fall 2,15
21F,2021-22,Freshman,DATA THEORY                                                 ,COGNITIVE SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,EARTH AND ENVIRONMENTAL SCIENCE                                                                                         ,EARTH AND ENVIRONMENTAL SCIENCE                                                                                         ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,ECONOMICS                                                   ,BUSINESS ECONOMICS                                          ,Enrolled,Fall 1 to Fall 2,10
21F,2021-22,Freshman,ENVIRONMENTAL SCIENCE                                                                                                   ,PUBLIC AFFAIRS                                              ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,GLOBAL STUDIES                                              ,POLITICAL SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,GREEK AND LATIN                                                                                                         ,GREEK AND LATIN                                                                                                         ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,LATIN AMERICAN STUDIES                                      ,CHICANA AND CHICANO STUDIES                                                                                             ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,LINGUISTICS                                                                                                             ,LINGUISTICS                                                                                                             ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,MATHEMATICS                                                 ,APPLIED MATHEMATICS                                                                                                     ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,MATHEMATICS                                                 ,MATHEMATICS OF COMPUTATION                                                                                              ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,MATHEMATICS FOR TEACHING                                    ,PUBLIC AFFAIRS                                              ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,MATHEMATICS/APPLIED SCIENCE                                 ,BIOPHYSICS                                                                                                              ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,MATHEMATICS/ECONOMICS                                       ,DATA THEORY                                                 ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,MATHEMATICS/ECONOMICS                                       ,FINANCIAL ACTUARIAL MATHEMATICS                             ,Enrolled,Fall 1 to Fall 2,<10
21F,2021-22,Freshman,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS                                                                        ",ECONOMICS                                                   ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Freshman,GEOGRAPHY/ENVIRONMENTAL STUDIES                                                                                         ,SOCIOLOGY                                                                                                               ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Freshman,GLOBAL STUDIES                                              ,MATHEMATICS OF COMPUTATION                                  ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Freshman,HISTORY                                                     ,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS                                                                        ",Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Freshman,HUMAN BIOLOGY AND SOCIETY - BS                              ,COGNITIVE SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Freshman,HUMAN BIOLOGY AND SOCIETY - BS                              ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Freshman,HUMAN BIOLOGY AND SOCIETY - BS                              ,PUBLIC AFFAIRS                                              ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Freshman,LINGUISTICS AND COMPUTER SCIENCE                                                                                        ,LINGUISTICS AND COMPUTER SCIENCE                                                                                        ,Enrolled,Fall 1 to Fall 2,23
20F,2020-21,Freshman,MATHEMATICS                                                 ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Freshman,MATHEMATICS/ECONOMICS                                       ,APPLIED MATHEMATICS                                                                                                     ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Freshman,NEUROSCIENCE                                                                                                            ,BIOENGINEERING                                                                                                          ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Freshman,NEUROSCIENCE                                                                                                            ,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS                                                                        ",Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Freshman,NEUROSCIENCE                                                                                                            ,PSYCHOBIOLOGY                                               ,Enrolled,Fall 1 to Fall 2,10
20F,2020-21,Freshman,PHILOSOPHY                                                                                                              ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Freshman,POLITICAL SCIENCE                                           ,COMMUNICATION                                                                                                           ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Freshman,POLITICAL SCIENCE                                           ,ENVIRONMENTAL SCIENCE                                                                                                   ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Freshman,PUBLIC AFFAIRS                                              ,DATA THEORY                                                 ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Freshman,PUBLIC AFFAIRS                                              ,ECONOMICS                                                   ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Freshman,PUBLIC AFFAIRS                                              ,HUMAN BIOLOGY AND SOCIETY - BS                                                                                          ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Freshman,RUSSIAN LANGUAGE AND LITERATURE                                                                                         ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Freshman,STATISTICS AND DATA SCIENCE                                 ,STATISTICS AND DATA SCIENCE                                 ,Enrolled,Fall 1 to Fall 2,46
20F,2020-21,Freshman,UNDECLARED-LIFE SCIENCE                                                                                                 ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,GEOGRAPHY/ENVIRONMENTAL STUDIES                                                                                         ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Freshman,UNDECLARED-SOCIAL SCIENCE                                                                                               ,COMPUTER SCIENCE                                                                                                        ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Freshman,UNDECLARED-SOCIAL SCIENCE                                                                                               ,ENVIRONMENTAL SCIENCE                                                                                                   ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,AEROSPACE ENGINEERING                                                                                                   ,AEROSPACE ENGINEERING                                                                                                   ,Enrolled,Fall 1 to Fall 2,13
20F,2020-21,Transfer,AFRICAN AMERICAN STUDIES                                                                                                ,COGNITIVE SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,ASIAN AMERICAN STUDIES                                                                                                  ,ASIAN AMERICAN STUDIES                                                                                                  ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,ASIAN AMERICAN STUDIES                                                                                                  ,SOCIOLOGY                                                                                                               ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,BUSINESS ECONOMICS                                          ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,10
20F,2020-21,Transfer,CHEMISTRY                                                                                                               ,CHEMISTRY                                                                                                               ,Enrolled,Fall 1 to Fall 2,33
20F,2020-21,Transfer,CHICANA AND CHICANO STUDIES                                                                                             ,GEOGRAPHY                                                                                                               ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,CLASSICAL CIVILIZATION                                                                                                  ,CLASSICAL CIVILIZATION                                                                                                  ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,EUROPEAN LANGUAGES AND TRANSCULTURAL STUDIES WITH FRENCH AND FRANCOPHONE                                                ,EUROPEAN LANGUAGES AND TRANSCULTURAL STUDIES WITH FRENCH AND FRANCOPHONE                                                ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,FINANCIAL ACTUARIAL MATHEMATICS                             ,MATHEMATICS                                                                                                             ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,GLOBAL STUDIES                                              ,SOCIOLOGY                                                                                                               ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,KOREAN                                                                                                                  ,SOCIOLOGY                                                                                                               ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,LINGUISTICS AND ENGLISH                                                                                                 ,APPLIED LINGUISTICS                                                                                                     ,Enrolled,Fall 1 to Fall 2,<10
20F,2020-21,Transfer,LINGUISTICS AND ENGLISH                                                                                                 ,ENGLISH                                                                                                                 ,Enrolled,Fall 1 to Fall 2,<10
