Instructor,Subject,title,TotClasses,TotStudents,AvgPercentile
"CHUN, W.C.",EE BIOL,EE BIOL 116 CONSERVATN BIOLOGY,1,36,40
"LIPMAN, A.J.",EE BIOL,EE BIOL 116 CONSERVATN BIOLOGY,1,224,25
"GORLITSKY, L.E.",EE BIOL,EE BIOL 116 CONSERVATN BIOLOGY,1,46,23
"THOMPSON, P.",EE BIOL,EE BIOL 116 CONSERVATN BIOLOGY,1,35,21
"RUNDEL, P.W.",EE BIOL,EE BIOL 116 CONSERVATN BIOLOGY,3,620,16
"WAYNE, R.",EE BIOL,EE BIOL 116 CONSERVATN BIOLOGY,2,396,11
"TAYLOR, C.E.",EE BIOL,EE BIOL 120 EVOLUTION,3,422,54
"BLUMSTEIN, D.T.",EE BIOL,EE BIOL 120 EVOLUTION,1,38,33
"CURD, E.E.",EE BIOL,EE BIOL 120 EVOLUTION,1,38,33
"DRURY, J.P.",EE BIOL,EE BIOL 120 EVOLUTION,1,39,26
"PETELLE, M.B.",EE BIOL,EE BIOL 120 EVOLUTION,1,39,26
"CHUN, W.C.",EE BIOL,EE BIOL 120 EVOLUTION,1,36,7
"BRUNK, C.F.",EE BIOL,EE BIOL 121 MOLECULAR EVOLUTION,5,618,12
MALDONADO CHAPARRO,EE BIOL,EE BIOL 129 ANIMAL BEHAVIOR,1,71,59
"WANG, T.",EE BIOL,EE BIOL 129 ANIMAL BEHAVIOR,2,97,56
"ALVARADO, A.",EE BIOL,EE BIOL 129 ANIMAL BEHAVIOR,1,78,40
"YOUNG, G.M.",EE BIOL,EE BIOL 129 ANIMAL BEHAVIOR,1,20,40
"CHAPIN, K.J.",EE BIOL,EE BIOL 129 ANIMAL BEHAVIOR,1,35,21
"NONACS, P.N.",EE BIOL,EE BIOL 129 ANIMAL BEHAVIOR,1,35,21
"JOHNS, P.M.",EE BIOL,EE BIOL 129 ANIMAL BEHAVIOR,1,62,16
"SACK, L.",EE BIOL,EE BIOL 152 WORLD VEGETATION,2,693,76
"ZIMMER, C.A.",EE BIOL,EE BIOL 153 ECOL RSPNS-ENVRNMNT,3,157,25
"ZIMMER, R.K.",EE BIOL,EE BIOL 153 ECOL RSPNS-ENVRNMNT,3,157,25
"SACK, L.",EE BIOL,EE BIOL 162 PLANT PHYSIOLOGY,6,1402,71
"NISHIMURA, A.",EE BIOL,EE BIOL 162 PLANT PHYSIOLOGY,1,50,40
"LIPMAN, A.",EE BIOL,EE BIOL 18 SCI-ENVRNMNT ISSUES,1,63,82
"LIPMAN, A.J.",EE BIOL,EE BIOL 18 SCI-ENVRNMNT ISSUES,3,216,72
"RAZAVI, B.",EL ENGR,EL ENGR 10 CIRCUIT THEORY I,2,249,24
"PAMARTI, S.",EL ENGR,EL ENGR 10 CIRCUIT THEORY I,2,162,18
"GUPTA, P.",EL ENGR,EL ENGR 10 CIRCUIT THEORY I,3,283,5
"HEYRAT, M.",EL ENGR,EL ENGR 10 CIRCUIT THEORY I,1,19,4
"HE, Y.",EL ENGR,EL ENGR 100 ELCTRCL&ELCTRNC CIR,2,81,55
"BRIGGS, D.M.",EL ENGR,EL ENGR 100 ELCTRCL&ELCTRNC CIR,1,46,26
"MESGHALI, F.",EL ENGR,EL ENGR 100 ELCTRCL&ELCTRNC CIR,7,841,21
"FRAGOULI, C.P.",EL ENGR,EL ENGR 102 SYSTEMS AND SIGNALS,2,174,36
"PANDYA, A.N.",EL ENGR,EL ENGR 102 SYSTEMS AND SIGNALS,1,31,28
"LORENZELLI, F.",EL ENGR,EL ENGR 102 SYSTEMS AND SIGNALS,5,361,18
"CABRIC, D.",EL ENGR,EL ENGR 102 SYSTEMS AND SIGNALS,2,284,16
"LEVAN, N.",EL ENGR,EL ENGR 102 SYSTEMS AND SIGNALS,1,111,8
"MEHRNIA, A.",EL ENGR,EL ENGR 110 CIRCUIT ANALYSIS II,3,315,10
"WILLSON, A.N.",EL ENGR,EL ENGR 110 CIRCUIT ANALYSIS II,1,140,5
"SAYED, A.H.",EL ENGR,EL ENGR 113 DIGITAL SIGNL PROCS,7,356,47
"VAN DER SCHAAR, M.",EL ENGR,EL ENGR 113 DIGITAL SIGNL PROCS,1,130,32
"ALWAN, A.A.",EL ENGR,EL ENGR 113 DIGITAL SIGNL PROCS,1,95,26
"DANESHRAD, B.",EL ENGR,EL ENGR 113 DIGITAL SIGNL PROCS,2,133,5
"BABAIE, H.",EL ENGR,EL ENGR 115A ANALG ELCTRN CRCT 1,1,65,50
"RAZAVI, B.",EL ENGR,EL ENGR 115A ANALG ELCTRN CRCT 1,1,60,36
"PAMARTI, S.",EL ENGR,EL ENGR 115A ANALG ELCTRN CRCT 1,2,191,14
"DARABI, H.",EL ENGR,EL ENGR 115A ANALG ELCTRN CRCT 1,1,149,9
"DANESHRAD, B.",EL ENGR,EL ENGR 115A ANALG ELCTRN CRCT 1,2,171,8
"ABIDI, A.A.",EL ENGR,EL ENGR 115A ANALG ELCTRN CRCT 1,1,49,7
"TABUADA, P.",EL ENGR,EL ENGR 141 PRINC-FEEDBK CONTRL,3,316,63
"ROH, T.J.",EL ENGR,EL ENGR 141 PRINC-FEEDBK CONTRL,2,129,34
"LEVAN, N.",EL ENGR,EL ENGR 141 PRINC-FEEDBK CONTRL,1,43,20
"CABRIC, D.",EL ENGR,EL ENGR 16  M LOGC DSGN-DGTL SSTM,3,291,14
"SRIVASTAVA, M.B.",EL ENGR,EL ENGR 16  M LOGC DSGN-DGTL SSTM,3,208,12
"DANESHRAD, B.",EL ENGR,EL ENGR 16  M LOGC DSGN-DGTL SSTM,1,78,6
"SOKOLICH, M.",EL ENGR,EL ENGR 2 PHYSICS-ELCTRC ENGR,1,65,57
"WONG, C.W.",EL ENGR,EL ENGR 2 PHYSICS-ELCTRC ENGR,1,101,45
"JARRAHI, M.",EL ENGR,EL ENGR 2 PHYSICS-ELCTRC ENGR,1,107,42
"WILLIAMS, B.S.",EL ENGR,EL ENGR 2 PHYSICS-ELCTRC ENGR,1,89,20
"JALALI, B.",EL ENGR,EL ENGR 2 PHYSICS-ELCTRC ENGR,3,262,17
"BRIGGS, D.M.",EL ENGR,EL ENGR 3 INTRO-ELEC ENGR,6,388,70
"POTTIE, G.J.",EL ENGR,EL ENGR 3 INTRO-ELEC ENGR,3,228,23
"RHODES, E.J.",EPS SCI,EPS SCI 1 INTRO TO EARTH SCI,2,179,29
"DAVIS, P.M.",EPS SCI,EPS SCI 1 INTRO TO EARTH SCI,1,68,21
"BOYCE, J.W.",EPS SCI,EPS SCI 1 INTRO TO EARTH SCI,2,136,11
"MANNING, C.E.",EPS SCI,EPS SCI 1 INTRO TO EARTH SCI,2,129,6
"MCKEEGAN, K.D.",EPS SCI,EPS SCI 101 EARTH'S ENERGY,1,79,25
"PAIGE, D.A.",EPS SCI,EPS SCI 101 EARTH'S ENERGY,3,214,22
"RUNNEGAR, B.N.",EPS SCI,EPS SCI 116 PALEONTOLOGY,3,238,55
"MCKEEGAN, K.D.",EPS SCI,EPS SCI 13 NATURAL DISASTERS,1,80,8
"NEWMAN, W.I.",EPS SCI,EPS SCI 13 NATURAL DISASTERS,2,151,3
"JEWITT, D.C.",EPS SCI,EPS SCI 15 INTROD-OCEANOGRAPHY,2,778,70
"TRIPATI, A.K.",EPS SCI,EPS SCI 15 INTROD-OCEANOGRAPHY,3,649,55
"ASH, J.L.",EPS SCI,EPS SCI 15 INTROD-OCEANOGRAPHY,2,35,41
"KOHL, I.E.",EPS SCI,EPS SCI 15 INTROD-OCEANOGRAPHY,3,48,35
"SCHAUBLE, E.A.",EPS SCI,EPS SCI 15 INTROD-OCEANOGRAPHY,3,829,8
"SCHOPF, J.W.",EPS SCI,EPS SCI 16 MJR EVNTS-HIST LIFE,3,295,4
"MERING, J.A.",EPS SCI,EPS SCI 17 DINOSAURS&RELATIVES,1,18,58
"PETRIZZO, D.A.",EPS SCI,EPS SCI 17 DINOSAURS&RELATIVES,1,28,22
"EAGLE, R.A.",EPS SCI,EPS SCI 17 DINOSAURS&RELATIVES,2,496,14
"FRISCIA, A.R.",EPS SCI,EPS SCI 17 DINOSAURS&RELATIVES,2,806,6
"MARGOT, J.",EPS SCI,EPS SCI 3 ASTROBIOLOGY,4,701,30
"RUNNEGAR, B.N.",EPS SCI,EPS SCI 3 ASTROBIOLOGY,3,436,30
"TREUDE, T.I.",EPS SCI,EPS SCI 3 ASTROBIOLOGY,1,265,28
"STAMPS, D.S.",EPS SCI,EPS SCI 8 EARTHQUAKES,1,15,77
"AKCIZ, S.O.",EPS SCI,EPS SCI 8 EARTHQUAKES,1,10,45
"GABITOV, R.",EPS SCI,EPS SCI 8 EARTHQUAKES,1,118,44
"JACKSON, D.D.",EPS SCI,EPS SCI 8 EARTHQUAKES,1,118,44
"RHODES, E.J.",EPS SCI,EPS SCI 8 EARTHQUAKES,1,118,44
"BOYCE, C.D.",EPS SCI,EPS SCI 8 EARTHQUAKES,3,329,22
"BOYCE, J.W.",EPS SCI,EPS SCI 8 EARTHQUAKES,1,81,12
"PELTZER, G.F.",EPS SCI,EPS SCI 8 EARTHQUAKES,2,465,6
"HARRISON, T.M.",EPS SCI,EPS SCI 8 EARTHQUAKES,2,364,5
"JEWITT, D.C.",EPS SCI,EPS SCI 9 SOLAR SYSTM&PLANETS,2,354,50
"YOUNG, E.D.",EPS SCI,EPS SCI 9 SOLAR SYSTM&PLANETS,1,54,38
"MARGOT, J.",EPS SCI,EPS SCI 9 SOLAR SYSTM&PLANETS,2,320,30
"ANGELOPOULOS, V.",EPS SCI,EPS SCI 9 SOLAR SYSTM&PLANETS,2,138,13
"RUBIN, A.E.",EPS SCI,EPS SCI 9 SOLAR SYSTM&PLANETS,4,176,10
"YIN, A.",EPS SCI,EPS SCI 9 SOLAR SYSTM&PLANETS,1,48,4
"BROWNER, T.C.",ETHNOMU,ETHNOMU 106A TRADL NA INDIAN MUS,4,150,59
"LOZA, S.J.",ETHNOMU,ETHNOMU 108A M MUSIC-LATIN AMERICA,2,337,38
"VALLEJO, J.M.",ETHNOMU,ETHNOMU 108A M MUSIC-LATIN AMERICA,1,74,37
"VALLEJO, J.M.",ETHNOMU,ETHNOMU 108B MUSIC-LATIN AMERICA,1,52,55
"IYANAGA, M.Z.",ETHNOMU,ETHNOMU 108B MUSIC-LATIN AMERICA,1,38,50
"HERNANDEZ, A.D.",ETHNOMU,ETHNOMU 108B MUSIC-LATIN AMERICA,1,53,26
"SILVERS, M.B.",ETHNOMU,ETHNOMU 108B MUSIC-LATIN AMERICA,1,54,25
"BURRELL, K.E.",ETHNOMU,ETHNOMU 111  M ELLINGTONIA,3,195,97
"HERNANDEZ, A.D.",ETHNOMU,ETHNOMU 116  M CHICANO MUSIC IN US,1,99,30
"CRESPO-DIAZ, F.J.",ETHNOMU,ETHNOMU 116  M CHICANO MUSIC IN US,2,234,14
"MACY, E.M.",ETHNOMU,ETHNOMU 25 GLOBAL POP,2,304,57
"RUSKIN, J.D.",ETHNOMU,ETHNOMU 25 GLOBAL POP,5,904,47
"TAYLOR, T.D.",ETHNOMU,ETHNOMU 30 MUSIC AND MEDIA,2,218,15
"BEKEN, M.N.",ETHNOMU,ETHNOMU 5 MUSIC AROUND WORLD,1,107,75
"RUSKIN, J.D.",ETHNOMU,ETHNOMU 5 MUSIC AROUND WORLD,2,175,40
"HARRISON, C.A.",ETHNOMU,ETHNOMU 50A JAZZ-AMERCN CULTURE,7,1736,55
"HARRISON, C.A.",ETHNOMU,ETHNOMU 50B JAZZ-AMERCN CULTURE,6,1370,41
"KUNTZ, J.A.",FILM TV,FILM TV 106A HIST AM MOTION PIC,13,2564,54
"CLARKE, M.J.",FILM TV,FILM TV 110A AMERICAN TV HISTORY,3,79,67
"CALDWELL, J.T.",FILM TV,FILM TV 110A AMERICAN TV HISTORY,3,421,41
"KRATZER, S.C.",FILM TV,FILM TV 114 FILM GENRES,4,370,45
"FIELD, A.N.",FILM TV,FILM TV 114 FILM GENRES,1,93,42
"FELANDO, C.L.",FILM TV,FILM TV 114 FILM GENRES,1,115,15
"NUSE, D.",FILM TV,FILM TV 122B ART&TECH-FILMMAKING,12,2181,70
"KELLY, R.M.",FILM TV,FILM TV 122B ART&TECH-FILMMAKING,6,500,39
"WAGMISTER, C.",FILM TV,FILM TV 122B ART&TECH-FILMMAKING,1,21,16
"WAGNER, P.J.",FILM TV,FILM TV 122B ART&TECH-FILMMAKING,1,21,16
"BRADBURN HOLLAND,",FILM TV,FILM TV 122D FILM EDITING,1,134,94
"CHITAYAT, N.",FILM TV,FILM TV 122D FILM EDITING,2,56,77
"KELLY, R.M.",FILM TV,FILM TV 122D FILM EDITING,2,56,77
"SMALLEY, K.L.",FILM TV,FILM TV 122D FILM EDITING,8,428,70
THE STAFF,FILM TV,FILM TV 122D FILM EDITING,1,18,65
"KLUCSARITS, P.A.",FILM TV,FILM TV 122E DIGITAL CINEMA,4,136,95
"KELLY, R.M.",FILM TV,FILM TV 122E DIGITAL CINEMA,2,56,94
"NUSE, D.",FILM TV,FILM TV 122E DIGITAL CINEMA,7,393,92
"DENOVE, T.F.",FILM TV,FILM TV 122E DIGITAL CINEMA,12,594,68
"TYSON, J.",FILM TV,FILM TV 122E DIGITAL CINEMA,3,50,61
"TURKEN, D.N.",FILM TV,FILM TV 122M FILM & TV DIRECTING,1,47,71
"TRACHINGER, C.M.",FILM TV,FILM TV 122M FILM & TV DIRECTING,1,39,56
"SCHREIBMAN, M.A.",FILM TV,FILM TV 122M FILM & TV DIRECTING,8,456,54
"VOORHEES, L.",FILM TV,FILM TV 132  C SCREENWRTNG FNDMTLS,3,392,88
"SWEET, J.W.",FILM TV,FILM TV 132  C SCREENWRTNG FNDMTLS,1,161,85
"ACKERMAN, H.L.",FILM TV,FILM TV 132  C SCREENWRTNG FNDMTLS,5,524,76
"WALTER, R.",FILM TV,FILM TV 132  C SCREENWRTNG FNDMTLS,15,994,59
"ALBAUGH, T.T.",FILM TV,FILM TV 133 SCREENWRTNG FNDMTLS,1,120,89
"SWEET, J.W.",FILM TV,FILM TV 133 SCREENWRTNG FNDMTLS,4,512,88
"ARNESON, M.A.",FILM TV,FILM TV 133 SCREENWRTNG FNDMTLS,1,11,87
"VOORHEES, L.",FILM TV,FILM TV 133 SCREENWRTNG FNDMTLS,1,144,86
"ACKERMAN, H.L.",FILM TV,FILM TV 133 SCREENWRTNG FNDMTLS,4,285,75
"WALTER, R.",FILM TV,FILM TV 133 SCREENWRTNG FNDMTLS,8,794,70
"CLARKE, M.J.",FILM TV,FILM TV 184A CNTMP FILM INDUSTRY,3,71,54
"HILL, E.T.",FILM TV,FILM TV 184A CNTMP FILM INDUSTRY,2,79,49
"MANN, D.R.",FILM TV,FILM TV 184A CNTMP FILM INDUSTRY,16,417,27
"BROWN, S.D.",GE CLST,GE CLST 20A INTERRCL DYNAMCS-US,1,217,73
"GOEMAN, M.R.",GE CLST,GE CLST 20A INTERRCL DYNAMCS-US,1,217,73
"SAWYER, M.Q.",GE CLST,GE CLST 20A INTERRCL DYNAMCS-US,2,438,61
"MATSUMOTO, V.J.",GE CLST,GE CLST 20A INTERRCL DYNAMCS-US,3,635,60
"ORTIZ, V.",GE CLST,GE CLST 20A INTERRCL DYNAMCS-US,4,816,59
"STEVENSON, B.",GE CLST,GE CLST 20A INTERRCL DYNAMCS-US,2,378,58
"ZHOU, M.",GE CLST,GE CLST 20A INTERRCL DYNAMCS-US,1,181,57
"DECKER, J.L.",GE CLST,GE CLST 20A INTERRCL DYNAMCS-US,3,599,55
"BROWN, S.D.",GE CLST,GE CLST 20B INTERRCL DYNAMCS-US,1,159,61
"STEVENSON, B.",GE CLST,GE CLST 20B INTERRCL DYNAMCS-US,1,147,59
"ZHOU, M.",GE CLST,GE CLST 20B INTERRCL DYNAMCS-US,1,147,59
"DECKER, J.L.",GE CLST,GE CLST 20B INTERRCL DYNAMCS-US,3,477,57
"ORTIZ, V.",GE CLST,GE CLST 20B INTERRCL DYNAMCS-US,3,477,57
"MATSUMOTO, V.J.",GE CLST,GE CLST 20B INTERRCL DYNAMCS-US,2,330,55
"SAWYER, M.Q.",GE CLST,GE CLST 20B INTERRCL DYNAMCS-US,1,171,50
"KELTY, C.M.",GE CLST,GE CLST 21A HIST-MODERN THOUGHT,3,538,59
"STACEY, P.J.",GE CLST,GE CLST 21A HIST-MODERN THOUGHT,3,538,59
"JACOB, M.C.",GE CLST,GE CLST 21A HIST-MODERN THOUGHT,1,173,58
"WISE, M.N.",GE CLST,GE CLST 21A HIST-MODERN THOUGHT,3,542,58
"KAREEM, S.T.",GE CLST,GE CLST 21A HIST-MODERN THOUGHT,3,549,57
"DIENSTAG, J.F.",GE CLST,GE CLST 21A HIST-MODERN THOUGHT,2,364,52
"PORTER, T.M.",GE CLST,GE CLST 21A HIST-MODERN THOUGHT,1,184,51
"JACOB, M.C.",GE CLST,GE CLST 21B HIST-MODERN THOUGHT,1,135,77
"WISE, M.N.",GE CLST,GE CLST 21B HIST-MODERN THOUGHT,2,281,75
"KELTY, C.M.",GE CLST,GE CLST 21B HIST-MODERN THOUGHT,3,433,72
"STACEY, P.J.",GE CLST,GE CLST 21B HIST-MODERN THOUGHT,3,433,72
"KAREEM, S.T.",GE CLST,GE CLST 21B HIST-MODERN THOUGHT,2,298,70
"DIENSTAG, J.F.",GE CLST,GE CLST 21B HIST-MODERN THOUGHT,1,152,67
"KENDRICK, M.G.",GE CLST,GE CLST 30A PERSPECTIVE ON MYTH,3,574,42
"NAGY, J.F.",GE CLST,GE CLST 30A PERSPECTIVE ON MYTH,3,574,42
"WATKINS, S.J.",GE CLST,GE CLST 30A PERSPECTIVE ON MYTH,3,574,42
"FINK, R.W.",GE CLST,GE CLST 60A AMERICA 1954-1974,3,621,56
"ABERBACH, J.D.",GE CLST,GE CLST 60A AMERICA 1954-1974,4,855,55
"DECKER, J.L.",GE CLST,GE CLST 60A AMERICA 1954-1974,4,855,55
"LEWIS, L.V.",GE CLST,GE CLST 60A AMERICA 1954-1974,4,855,55
"SCHWARTZ, J.A.",GE CLST,GE CLST 60A AMERICA 1954-1974,1,234,52
"ABERBACH, J.D.",GE CLST,GE CLST 60B AMERICA 1954-1974,3,539,57
"DECKER, J.L.",GE CLST,GE CLST 60B AMERICA 1954-1974,3,539,57
"FINK, R.W.",GE CLST,GE CLST 60B AMERICA 1954-1974,3,539,57
"LEWIS, L.V.",GE CLST,GE CLST 60B AMERICA 1954-1974,3,539,57
"ELLINGSON, R.A.",GE CLST,GE CLST 70A COSMOS AND LIFE,2,380,39
"FRISCIA, A.R.",GE CLST,GE CLST 70A COSMOS AND LIFE,4,759,35
"LARKIN, J.E.",GE CLST,GE CLST 70A COSMOS AND LIFE,4,759,35
"MCKEEGAN, K.D.",GE CLST,GE CLST 70A COSMOS AND LIFE,4,759,35
"CUMMING, S.J.",GE CLST,GE CLST 73A HIST&SCI&PHIL-BRAIN,3,402,30
"KNOWLTON, B.",GE CLST,GE CLST 73A HIST&SCI&PHIL-BRAIN,3,402,30
"CHANDLER, S.H.",GE CLST,GE CLST 73A HIST&SCI&PHIL-BRAIN,4,556,29
"LEVINE, M.S.",GE CLST,GE CLST 73A HIST&SCI&PHIL-BRAIN,4,556,29
"MELDRUM, M.",GE CLST,GE CLST 73A HIST&SCI&PHIL-BRAIN,4,556,29
"KRISTAL, E.",GE CLST,GE CLST 73A HIST&SCI&PHIL-BRAIN,1,154,27
"LAU, C.H.",GE CLST,GE CLST 73A HIST&SCI&PHIL-BRAIN,1,154,27
SUTHERLAND KRISTAL,GE CLST,GE CLST 73A HIST&SCI&PHIL-BRAIN,1,154,27
"CHANDLER, S.H.",GE CLST,GE CLST 73B HIST&SCI&PHIL-BRAIN,3,341,36
"CUMMING, S.J.",GE CLST,GE CLST 73B HIST&SCI&PHIL-BRAIN,3,341,36
"KNOWLTON, B.",GE CLST,GE CLST 73B HIST&SCI&PHIL-BRAIN,3,341,36
"LEVINE, M.S.",GE CLST,GE CLST 73B HIST&SCI&PHIL-BRAIN,3,341,36
"MELDRUM, M.",GE CLST,GE CLST 73B HIST&SCI&PHIL-BRAIN,3,341,36
"GILLESPIE, T.W.",GEOG,GEOG 113 HUMID TROPICS,2,470,80
"MOORE, A.D.",GEOG,GEOG 140 POLITICAL GEOGRAPHY,4,416,34
"AGNEW, J.A.",GEOG,GEOG 140 POLITICAL GEOGRAPHY,2,188,10
"AGNEW, J.A.",GEOG,GEOG 152 CITIES OF EUROPE,4,367,29
"BURKHART, N.J.",GEOG,GEOG 167 CARTOGRAPHY,2,104,54
"SHIN, M.E.",GEOG,GEOG 167 CARTOGRAPHY,7,344,54
"LYONS, E.A.",GEOG,GEOG 168 INTMD GEOG INFO SYS,1,20,83
"SHIN, M.E.",GEOG,GEOG 168 INTMD GEOG INFO SYS,1,39,72
THE STAFF,GEOG,GEOG 168 INTMD GEOG INFO SYS,1,62,70
"WILLIS, K.S.",GEOG,GEOG 168 INTMD GEOG INFO SYS,1,62,70
"BURKHART, N.J.",GEOG,GEOG 168 INTMD GEOG INFO SYS,1,43,68
"SHENG, Y.",GEOG,GEOG 168 INTMD GEOG INFO SYS,1,47,51
"ILLES, L.I.",GEOG,GEOG 168 INTMD GEOG INFO SYS,3,130,39
"KREMENETSKI, K.V.",GEOG,GEOG 2 BIODIVR-CHNGNG WRLD,1,142,56
"MACDONALD, G.M.",GEOG,GEOG 2 BIODIVR-CHNGNG WRLD,2,282,29
THE STAFF,GEOG,GEOG 2 BIODIVR-CHNGNG WRLD,1,28,21
"GLOVER, K.C.",GEOG,GEOG 2 BIODIVR-CHNGNG WRLD,1,35,19
"CUSACK, D.F.",GEOG,GEOG 2 BIODIVR-CHNGNG WRLD,2,293,9
"TAYLOR, C.R.",GEOG,GEOG 3 CULTURAL GEOGRAPHY,1,33,82
THE STAFF,GEOG,GEOG 3 CULTURAL GEOGRAPHY,1,33,82
"FAIER, L.B.",GEOG,GEOG 3 CULTURAL GEOGRAPHY,5,912,36
"ALVAREZ, L.F.",GEOG,GEOG 3 CULTURAL GEOGRAPHY,1,30,19
"WILFORD, J.G.",GEOG,GEOG 3 CULTURAL GEOGRAPHY,4,459,18
"FORD, O.T.",GEOG,GEOG 3 CULTURAL GEOGRAPHY,1,23,4
"ALVAREZ, L.F.",GEOG,GEOG 4 REGNL DEV&WRLD ECON,1,31,75
THE STAFF,GEOG,GEOG 4 REGNL DEV&WRLD ECON,1,18,57
"RIGBY, D.L.",GEOG,GEOG 4 REGNL DEV&WRLD ECON,4,588,13
"SHEPPARD, E.S.",GEOG,GEOG 4 REGNL DEV&WRLD ECON,3,503,13
"AGNEW, J.A.",GEOG,GEOG 4 REGNL DEV&WRLD ECON,3,397,8
"ZACKEY, J.W.",GEOG,GEOG 4 REGNL DEV&WRLD ECON,1,36,4
"GILLESPIE, T.W.",GEOG,GEOG 5 PEOPLE&EARTH ECOSYS,4,1448,63
"CAVANAUGH, K.C.",GEOG,GEOG 5 PEOPLE&EARTH ECOSYS,1,236,53
"FRICKER, G.A.",GEOG,GEOG 5 PEOPLE&EARTH ECOSYS,1,42,44
"HAMMOND, T.W.",GEOG,GEOG 5 PEOPLE&EARTH ECOSYS,1,50,28
THE STAFF,GEOG,GEOG 5 PEOPLE&EARTH ECOSYS,1,30,25
"ILLES, L.I.",GEOG,GEOG 5 PEOPLE&EARTH ECOSYS,3,717,12
"SMITH, L.",GEOG,GEOG 5 PEOPLE&EARTH ECOSYS,2,542,8
"FORD, O.T.",GEOG,GEOG 5 PEOPLE&EARTH ECOSYS,2,82,7
"GOLDSTEIN, J.E.",GEOG,GEOG 5 PEOPLE&EARTH ECOSYS,1,23,2
"ASHRAF, C.H.",GEOG,GEOG 7 GEOG INFO SYSTEMS,2,63,42
"ALVAREZ, L.F.",GEOG,GEOG 7 GEOG INFO SYSTEMS,2,72,21
THE STAFF,GEOG,GEOG 7 GEOG INFO SYSTEMS,1,28,11
"WILLIS, K.S.",GEOG,GEOG 7 GEOG INFO SYSTEMS,1,28,11
"SHIN, M.E.",GEOG,GEOG 7 GEOG INFO SYSTEMS,9,1232,6
"ILLES, L.I.",GEOG,GEOG 7 GEOG INFO SYSTEMS,1,216,5
"SHENG, Y.",GEOG,GEOG 7 GEOG INFO SYSTEMS,1,134,3
"BURKHART, N.J.",GEOG,GEOG 7 GEOG INFO SYSTEMS,1,71,2
"MERANZE, M.",HIST,HIST 13A US&COLONIAL ORIGINS,2,376,26
"YIRUSH, C.B.",HIST,HIST 13A US&COLONIAL ORIGINS,1,99,22
"PESTANA, C.G.",HIST,HIST 13A US&COLONIAL ORIGINS,1,79,9
"LYTLE HERNANDEZ, K",HIST,HIST 13C US&COLONL ORGNS-20C,1,235,43
"HIRSHBERG, L.B.",HIST,HIST 13C US&COLONL ORGNS-20C,1,102,33
"KELLEY, R.D.",HIST,HIST 13C US&COLONL ORGNS-20C,4,538,24
"COREY, M.F.",HIST,HIST 140C U S SINCE 1960,4,572,43
"VAZQUEZ SEMADENI,",HIST,HIST 161 LATIN AMERICAN HIST,8,425,67
"GARCIA, L.",HIST,HIST 161 LATIN AMERICAN HIST,1,43,38
"DERBY, L.",HIST,HIST 161 LATIN AMERICAN HIST,2,93,33
"PHILLIPS, D.D.",HIST,HIST 1A WESTERN CIVILIZATN,4,841,33
"LANGDON, J.S.",HIST,HIST 1A WESTERN CIVILIZATN,3,475,24
"RUIZ, T.F.",HIST,HIST 1B WESTERN CIVILIZATN,4,679,37
"MCCLENDON, M.C.",HIST,HIST 1B WESTERN CIVILIZATN,3,553,33
"FORD, C.C.",HIST,HIST 1C WESTERN CIVILIZATN,3,730,36
"HUNT, L.A.",HIST,HIST 1C WESTERN CIVILIZATN,3,357,30
"JACOBY, R.",HIST,HIST 1C WESTERN CIVILIZATN,3,295,26
"FRANK, S.",HIST,HIST 1C WESTERN CIVILIZATN,1,135,18
"ALEXANDER, A.",HIST,HIST 20 WRLD HIST TO AD 600,1,64,63
"RUIZ, T.F.",HIST,HIST 20 WRLD HIST TO AD 600,2,791,58
"TABACK, N.",HIST,HIST 20 WRLD HIST TO AD 600,1,149,50
"MELLOR, R.J.",HIST,HIST 20 WRLD HIST TO AD 600,3,156,5
"GETTY, J.A.",HIST,HIST 22 WRLD HIST 1760-PRES,1,350,50
"LAL, V.",HIST,HIST 22 WRLD HIST 1760-PRES,1,81,40
"ALEXANDER, A.",HIST,HIST 22 WRLD HIST 1760-PRES,1,103,31
"GARCIA, L.",HIST,HIST 8A COLONIAL LATIN AMER,1,260,45
"TERRACIANO, K.B.",HIST,HIST 8A COLONIAL LATIN AMER,3,744,38
"KANE, T.L.",LIFESCI,LIFESCI 1 EVOLUTN&ECOL&BIODIV,7,1561,44
"KENNISON, R.L.",LIFESCI,LIFESCI 1 EVOLUTN&ECOL&BIODIV,2,680,31
"YEH, P.J.",LIFESCI,LIFESCI 1 EVOLUTN&ECOL&BIODIV,4,1396,29
"ALFARO, M.E.",LIFESCI,LIFESCI 1 EVOLUTN&ECOL&BIODIV,8,2685,28
"LLOYD-SMITH, J.O.",LIFESCI,LIFESCI 1 EVOLUTN&ECOL&BIODIV,8,2685,28
"NOVEMBRE, J.P.",LIFESCI,LIFESCI 1 EVOLUTN&ECOL&BIODIV,2,609,25
"PIRES, D.B.",LIFESCI,LIFESCI 1 EVOLUTN&ECOL&BIODIV,5,1349,20
"JOHNS, P.M.",LIFESCI,LIFESCI 1 EVOLUTN&ECOL&BIODIV,2,680,18
"ALVARADO, A.",LIFESCI,LIFESCI 1 EVOLUTN&ECOL&BIODIV,2,221,12
"HALPIN, P.M.",LIFESCI,LIFESCI 1 EVOLUTN&ECOL&BIODIV,2,391,11
"BANERJEE, U.",LIFESCI,LIFESCI 10H RESEARCH-GENETICS,5,106,94
