"CLASS","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F"
"CHEM 14A - LAVELLE, L. LEC 2",0.179,0.185,0.175,0.132,0.066,0.079,0.033,0.073,0.066,0,0.007,0,0.003
"CHEM 14A - LAVELLE, L. LEC 3",0.162,0.162,0.186,0.121,0.09,0.097,0.069,0.059,0.045,0,0.01,0,0
"CHEM 14AE - CASEY, J.R.",0.004,0.548,0.126,0.048,0.161,0.03,0.022,0.052,0,0,0.009,0,0
"CHEM 14B - SCERRI, E.R.",0.06,0.183,0.186,0.198,0.144,0.114,0.057,0.027,0.012,0,0.012,0,0.009
"CHEM 14BL - RUSSELL, A.A.",0,0.646,0.046,0.046,0.171,0.011,0.019,0.038,0.011,0,0,0,0.011
"CHEM 14BL - RUSSELL, A.A. LEC 2",0,0.793,0.032,0.02,0.088,0.004,0,0.048,0,0,0.008,0,0.008
"CHEM 14C - CASTILLO RODRIGUEZ",0.125,0.535,0.139,0.076,0.045,0.031,0.02,0.02,0.006,0,0.003,0,0
"CHEM 14C - CASTILLO RODRIGUEZ LEC 2",0.102,0.519,0.149,0.06,0.077,0.026,0.026,0.03,0.013,0,0,0,0
"CHEM 14CL - HE0RY, M.M.",0,0.876,0.03,0.018,0.055,0.009,0.006,0.006,0,0,0,0,0
"CHEM 14D - PHAM, H.V.",0.098,0.465,0.181,0.079,0.065,0.042,0.014,0.042,0.009,0.005,0,0,0
"CHEM 14D - PHAM, H.V. LEC 2",0.102,0.517,0.153,0.096,0.057,0.021,0.024,0.024,0.006,0,0,0,0
"CHEM 153A - GOBER, J.W.",0.061,0.485,0.165,0.102,0.072,0.041,0.028,0.028,0.006,0.003,0.003,0,0.008
"CHEM 153A - GOBER, J.W. LEC 2",0.048,0.545,0.132,0.124,0.048,0.059,0.011,0.017,0.006,0,0.003,0.003,0.006
"CHEM 153B - TIENSON-TSENG, H.L",0.778,0.162,0.061,0,0,0,0,0,0,0,0,0,0
"CHEM 153C - TIENSON-TSENG, H.L",0.492,0.238,0.143,0.032,0.032,0.016,0.016,0,0.016,0,0,0,0.016
"CHEM 153L - HONG-HERMESDORF, A",0,0.461,0.186,0.127,0.069,0.059,0.02,0.039,0.01,0,0.01,0,0.02
"CHEM 154 - 0KAMOTO, S.S.",0,0.103,0.241,0.103,0.138,0.034,0.069,0.207,0.069,0,0.034,0,0
"CHEM 156 - CANNON, K.A.",0,0.757,0.159,0.056,0,0.028,0,0,0,0,0,0,0
"CHEM 17 - SCERRI, E.R.",0.119,0.331,0.186,0.102,0.068,0.025,0.059,0.042,0.008,0,0.034,0,0.025
"CHEM 171 - KANER, R.B.",0.019,0.415,0.069,0.082,0.346,0.013,0.038,0.006,0.006,0.006,0,0,0
"CHEM 185 - CARAM, J.R.",0,0.1,0.8,0.1,0,0,0,0,0,0,0,0,0
"CHEM 189 - KANER, R.B.",0,0.897,0.103,0,0,0,0,0,0,0,0,0,0
"CHEM 192F - SHAKED, S.",0,0.973,0.009,0,0.009,0.009,0,0,0,0,0,0,0
"CHEM 20A - FELKER, P.M.",0.02,0.122,0.203,0.232,0.138,0.15,0.053,0.041,0.028,0,0.004,0,0.008
"CHEM 20A - FELKER, P.M. LEC 2",0.031,0.133,0.164,0.2,0.164,0.108,0.062,0.082,0.041,0,0.005,0,0.01
"CHEM 20A - FELKER, P.M. LEC 3",0.012,0.096,0.162,0.198,0.168,0.144,0.072,0.054,0.048,0,0.018,0,0.03
"CHEM 20AH - GELBART, W.M.",0.167,0.119,0.31,0.107,0.238,0.06,0,0,0,0,0,0,0
"CHEM 228 - CARAM, J.R.",0,0.947,0,0,0.053,0,0,0,0,0,0,0,0
"CHEM 236 - RUBIN, Y.F.",0.211,0.421,0.263,0.105,0,0,0,0,0,0,0,0,0
"CHEM 244A - KWON, O.",0.083,0.417,0.167,0.083,0.167,0.083,0,0,0,0,0,0,0
"CHEM 247 - GARG, N.K.",0,1,0,0,0,0,0,0,0,0,0,0,0
"CHEM 248 - RUBIN, Y.F.",0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,0
"CHEM 258 - CLARKE, C.F.",0.067,0.867,0,0.067,0,0,0,0,0,0,0,0,0
"CHEM 268 - GOBER, J.W.",0,1,0,0,0,0,0,0,0,0,0,0,0
"CHEM 269A - BOWIE, J.U.",0,0.522,0.13,0.217,0.13,0,0,0,0,0,0,0,0
"CHEM 269B - CLARKE, S.G.",0.05,0.6,0.2,0.1,0.05,0,0,0,0,0,0,0,0
"CHEM 269C - WOLLMAN, R.",1,0,0,0,0,0,0,0,0,0,0,0,0
"CHEM 269D - KOEHLER, C.M.",0,0.947,0,0.053,0,0,0,0,0,0,0,0,0
"CHEM 269E - BACKUS, K.M.",0,0.391,0.304,0.174,0.087,0,0.043,0,0,0,0,0,0
"CHEM 278 - DIACONESCU, P.L.",0,1,0,0,0,0,0,0,0,0,0,0,0
"CHEM 3 - RAMACHANDRAN, R.",0.024,0.829,0.098,0.024,0.024,0,0,0,0,0,0,0,0
"CHEM 30A - REILLY, A.J.",0.01,0.133,0.114,0.152,0.133,0.162,0.048,0.076,0.114,0.029,0.019,0,0.01
"CHEM 30AL - PANG, J.W.",0,0.931,0.009,0.014,0.028,0,0,0.018,0,0,0,0,0
"CHEM 30B - MERLIC, C.A.",0.011,0.148,0.101,0.153,0.185,0.101,0.058,0.153,0.074,0,0.011,0,0.005
"CHEM 30BL - 0SRALLAH, D.J.",0.195,0.341,0.329,0.073,0.037,0,0,0.012,0,0,0,0,0.012
"CHEM 30CL - REILLY, A.J.",0,0.25,0.042,0.333,0.25,0.083,0,0.042,0,0,0,0,0
"CHEM 599 - DUAN, X.",1,0,0,0,0,0,0,0,0,0,0,0,0
"CHEM 599 - GARG, N.K.",1,0,0,0,0,0,0,0,0,0,0,0,0
"CHEM 599 - HARRAN, P.G.",0,1,0,0,0,0,0,0,0,0,0,0,0
"CHEM 599 - SLETTEN, E.M.",0,1,0,0,0,0,0,0,0,0,0,0,0
"CHEM 599 - TOLBERT, S.H.",0,1,0,0,0,0,0,0,0,0,0,0,0
"CHEM C150 - TORRES, J.",0.048,0.667,0.286,0,0,0,0,0,0,0,0,0,0
"CHEM C173 - LIU, C.",0.143,0.786,0,0.071,0,0,0,0,0,0,0,0,0
"CHEM C215A - SCHWARTZ, B.J.",0,0.4,0.2,0.133,0.067,0.133,0,0,0,0,0,0,0.067
"CHEM C223A - MASON, T.G.",0.455,0.182,0.091,0.091,0.091,0,0,0,0,0,0,0,0.091
"CHEM C250 - TORRES, J.",0,0.958,0.042,0,0,0,0,0,0,0,0,0,0
"CHEM C273 - LIU, C.",0.059,0.765,0.118,0.059,0,0,0,0,0,0,0,0,0
"CHICANO 100SL - GONZALEZ, O.O.",0.048,0.905,0.016,0,0.032,0,0,0,0,0,0,0,0
"CHICANO 104 - FRIAS, C.M.",0.132,0.737,0.053,0,0.026,0.026,0,0,0,0,0.026,0,0
"CHICANO 105F - HARRIS, A.A.",0,0.738,0.071,0.024,0.024,0.048,0,0.048,0.048,0,0,0,0
"CHICANO 10A - ALMA, K.",0.645,0.273,0.034,0.013,0.008,0.004,0.002,0.002,0,0,0.002,0.002,0.017
"CHICANO 113 - RAMIREZ-OROPEZA, M",0.582,0.38,0.038,0,0,0,0,0,0,0,0,0,0
"CHICANO 123 - ANDALON, R.",0.718,0.256,0.026,0,0,0,0,0,0,0,0,0,0
"CHICANO 169 - ELLIS, H.",0.2,0.3,0.1,0.175,0.025,0.025,0.075,0,0.075,0,0,0,0.025
"CHICANO 171 - SANTA A0, O.",0.585,0.189,0.057,0,0.019,0.019,0,0.075,0,0,0.057,0,0
"CHICANO 174AX - RIDLEY THOMAS, A.F",0.278,0.278,0.222,0.111,0.111,0,0,0,0,0,0,0,0
"CHICANO 178 - ROMERO, R.C.",0.454,0.346,0.108,0.031,0.031,0.008,0,0.008,0,0.008,0,0,0.008
"CHICANO 188 - GASPAR DE ALBA, A.",0.097,0.839,0.032,0.032,0,0,0,0,0,0,0,0,0
"CHICANO 188 - MARTINEZ, C.M.",0.095,0.5,0.19,0.095,0.024,0,0.024,0.024,0,0,0,0,0.048
"CHICANO 188 - MARTINEZ, K.M.",0.818,0.136,0,0,0.023,0,0,0,0,0,0,0,0.023
"CHICANO 188 - MARTINEZ, K.M. LEC 4",0.435,0.435,0.043,0,0.043,0,0,0.043,0,0,0,0,0
"CHICANO 191 - BOJ LOPEZ, F.E.",0.302,0.302,0.186,0.093,0.023,0.023,0,0.047,0,0,0,0,0.023
"CHICANO 239 - LOPEZ GASPAR DE AL",0.091,0.909,0,0,0,0,0,0,0,0,0,0,0
"CHICANO 89 - ALMA, K.",0,0.95,0,0,0,0,0,0,0,0,0,0,0.05
"CHICANO CM135 - GASPAR DE ALBA, A.",0,0.455,0.273,0.182,0,0,0,0,0,0,0,0,0.091
"CHICANO M103D - ARAIZA, J.E.",0.325,0.425,0.075,0.075,0.025,0.025,0.025,0.025,0,0,0,0,0
"CHICANO M105A - LOPEZ, M.K.",0.333,0.571,0.095,0,0,0,0,0,0,0,0,0,0
"CHICANO M144 - BLACKWELL, M.S.",0.079,0.658,0.105,0.026,0.105,0,0,0,0,0,0,0,0.026
"CHIN 1 - CHIEF, L.",0.587,0.349,0.016,0.032,0,0,0,0,0,0,0,0,0.016
"CHIN 1 - YAO, Y.",0.111,0.597,0.139,0.028,0.056,0.056,0,0,0,0,0,0,0.014
"CHIN 100A - SMITH, M.M.",0,0.655,0.241,0.069,0,0,0.034,0,0,0,0,0,0
"CHIN 101A - CHIEF, L.",0.417,0.417,0.167,0,0,0,0,0,0,0,0,0,0
"CHIN 102A - SMITH, M.M.",0,0.688,0.188,0.125,0,0,0,0,0,0,0,0,0
"CHIN 105A - SHEN, Y.",0,0.75,0.25,0,0,0,0,0,0,0,0,0,0
"CHIN 110A - DUTHIE, N.N.",0.129,0.71,0.129,0,0.032,0,0,0,0,0,0,0,0
"CHIN 124 - TSAI, L.",0.147,0.559,0.147,0.088,0.059,0,0,0,0,0,0,0,0
"CHIN 191A - SCHABERG, D.C.",0,0.385,0.231,0.385,0,0,0,0,0,0,0,0,0
"CHIN 1A - SUN, X.",0,0.816,0.053,0.026,0.026,0.026,0.026,0,0,0,0,0,0.026
"CHIN 4 - SHEN, Y.",0,0.795,0.154,0.026,0,0,0,0,0,0,0,0,0.026
"CHIN 4A - YAO, Y.",0,0.375,0.625,0,0,0,0,0,0,0,0,0,0
"CHIN 50 - LI, M.",0.103,0.467,0.164,0.127,0.061,0.012,0.018,0.03,0.012,0,0,0,0.006
"CLASSIC 144 - BECKMANN, S.E.",0,0.677,0.161,0.032,0.032,0.032,0,0.032,0,0,0,0,0.032
"CLASSIC 162 - SPIELBERG, L.M.",0.167,0.562,0.125,0.104,0,0,0,0,0,0,0,0,0.042
"CLASSIC 20 - VAZQUEZ, A.M.",0.049,0.673,0.211,0.027,0.022,0.004,0,0.004,0.004,0.004,0,0,0
"CLASSIC 250 - BECKMANN, S.E.",0,1,0,0,0,0,0,0,0,0,0,0,0
"CLASSIC 47 - BECKELHYMER, S.D.",0.319,0.652,0,0.029,0,0,0,0,0,0,0,0,0
"CLASSIC 48 - BLANK, D.L.",0.359,0.385,0.137,0.034,0.034,0.017,0,0.017,0.009,0,0,0.009,0
"CLASSIC 88GE - KIRKLAND, B.",0.182,0.545,0.182,0,0.091,0,0,0,0,0,0,0,0
"CLASSIC M145A - ELLIS, R.M.",0,0.529,0.353,0.029,0.029,0,0,0.029,0,0,0,0,0.029
"CLUSTER 20A - BROWN, S.D.",0.169,0.549,0.186,0.042,0.03,0.017,0,0.004,0.004,0,0,0,0
"CLUSTER 27A - CHISM, C.N.",0.451,0.28,0.085,0.098,0.049,0.012,0,0,0,0,0.012,0,0.012
"CLUSTER 48A - MCBRIDE, J.",0.431,0.426,0.117,0.015,0.005,0.005,0,0,0,0,0,0,0
"CLUSTER 60A - DECKER, J.L.",0.013,0.424,0.246,0.195,0.081,0.03,0.004,0.004,0.004,0,0,0,0
"CLUSTER 70A - BROWN, C.A.",0.039,0.511,0.188,0.1,0.105,0.017,0.004,0.017,0,0.017,0,0,0
"CLUSTER 73A - CHANDLER, S.H.",0.013,0.647,0.033,0.033,0.196,0.007,0.007,0.039,0,0,0.026,0,0
"CLUSTER 80A - MERKIN, S.S.",0.029,0.569,0.161,0.088,0.044,0.015,0.036,0.044,0.015,0,0,0,0
"CLUSTER M1A - JAY, J.A.",0.5,0.375,0.075,0.006,0.025,0.013,0.006,0,0,0,0,0,0
"CLUSTER M71A - LEE, R.C.",0.707,0.188,0.05,0.013,0.021,0.004,0.008,0.004,0,0,0,0,0.004
"COM HLT 100 - TAVROW, P.A.",0.202,0.479,0.16,0.064,0.053,0.011,0.011,0.011,0.011,0,0,0,0
"COM HLT 132 - TAUB, B.",0,0.579,0.316,0.105,0,0,0,0,0,0,0,0,0
"COM HLT 179 - SCORZA, D.J.",0.73,0.159,0,0.032,0.048,0,0.016,0,0,0,0,0,0.016
"COM HLT 200 - VON EHRENSTEIN, O.",0.091,0.455,0.273,0.182,0,0,0,0,0,0,0,0,0
"COM HLT 210 - MACINKO, J.A.",0,0.968,0.032,0,0,0,0,0,0,0,0,0,0
"COM HLT 210 - UPCHURCH, D.M.",0.095,0.81,0.095,0,0,0,0,0,0,0,0,0,0
"COM HLT 212 - KUHN, R.S.",0.182,0.727,0.091,0,0,0,0,0,0,0,0,0,0
"COM HLT 213 - BEYMER, M.R.",0.167,0.611,0.056,0.056,0.056,0.056,0,0,0,0,0,0,0
"COM HLT 220 - FORD, C.L.",0,0.583,0.333,0,0.083,0,0,0,0,0,0,0,0
"COM HLT 224 - WANG, M.",0.158,0.526,0.211,0.053,0.053,0,0,0,0,0,0,0,0
"COM HLT 235 - GEE, G.C.",0,0.692,0.154,0.154,0,0,0,0,0,0,0,0,0
"COM HLT 238 - D'AMICO, E.",0.048,0.571,0.238,0.095,0,0.048,0,0,0,0,0,0,0
"COM HLT 281B - PRELIP, M.L.",0,1,0,0,0,0,0,0,0,0,0,0,0
"COM HLT 281B - SHAFIR, S.C.",0,1,0,0,0,0,0,0,0,0,0,0,0
"COM HLT 288 - GLIK, D.C.",0.381,0.333,0.286,0,0,0,0,0,0,0,0,0,0
"COM HLT 400 - BLENNER, S.",0.7,0.3,0,0,0,0,0,0,0,0,0,0,0
"COM HLT 440 - STRATTON, S.J.",0,1,0,0,0,0,0,0,0,0,0,0,0
"COM HLT M287 - BONTA, D.M.",0.25,0.6,0.1,0.05,0,0,0,0,0,0,0,0,0
"COM HLT M420 - KUO, A.A.",0.071,0.929,0,0,0,0,0,0,0,0,0,0,0
"COM LIT 104 - SUTHERLAND KRISTAL",0,0.733,0.133,0.133,0,0,0,0,0,0,0,0,0
"COM LIT 191 - ARNOLD, W.L.",0,0.267,0.6,0.133,0,0,0,0,0,0,0,0,0
"COM LIT 2CW - KOMAR, K.L.",0.067,0.247,0.225,0.18,0.112,0.101,0.011,0.011,0,0,0.011,0,0.034
"COM LIT 2DW - BOSCH, S.F.",0.032,0.368,0.284,0.189,0.084,0.011,0,0.021,0,0,0,0,0.011
"COM LIT 4AW - KRISTAL, E.",0,0.5,0.25,0.062,0.062,0,0,0,0,0,0,0,0.125
"COM LIT 4DW - KRISTAL, E.",0.111,0.889,0,0,0,0,0,0,0,0,0,0,0
"COM LIT C152 - SHIDELER, R.P.",0.091,0.182,0.364,0.364,0,0,0,0,0,0,0,0,0
"COM SCI 1 - GAFNI, E.M.",0,0.984,0,0,0.008,0,0,0.008,0,0,0,0,0
"COM SCI 111 - REIHER, P.L.",0,0.161,0.118,0.183,0.172,0.118,0.011,0.043,0.032,0.022,0.011,0.043,0.086
"COM SCI 118 - VARGHESE, G.",0.201,0.375,0.146,0.076,0.076,0.069,0.007,0.021,0.007,0,0.014,0,0.007
"COM SCI 130 - KIM, M.",0.072,0.2,0.224,0.288,0.08,0.072,0.048,0,0,0,0.016,0,0
"COM SCI 131 - EGGERT, P.R.",0,0.23,0.044,0.104,0.2,0.17,0.067,0.067,0.037,0.007,0.03,0,0.044
"COM SCI 132 - PALSBERG, J.",0.33,0.49,0.04,0.02,0.04,0,0.01,0.04,0.01,0,0.01,0,0.01
"COM SCI 145 - SUN, Y.",0.098,0.459,0.066,0.254,0.049,0.008,0.025,0.008,0.008,0,0.008,0,0.016
"COM SCI 152B - SARRAFZADEH, M.",1,0,0,0,0,0,0,0,0,0,0,0,0
"COM SCI 161 - VAN DEN BROECK, G.",0.053,0.272,0.225,0.185,0.099,0.066,0.046,0.033,0.007,0.013,0,0,0
"COM SCI 174A - LAW, A.",0.2,0.368,0.189,0.095,0.084,0.042,0,0.011,0,0,0,0,0.011
"COM SCI 180 - SARRAFZADEH, M.",0.009,0.284,0.071,0.047,0.355,0.038,0.028,0.109,0.043,0,0.009,0,0.005
"COM SCI 181 - MEKA, R.",0.11,0.326,0,0.192,0.285,0.023,0,0.052,0,0,0,0,0.012
"COM SCI 188 - ROTHFELS, J.N.",0.185,0.62,0.185,0.011,0,0,0,0,0,0,0,0,0
"COM SCI 192 - SHAKED, S.",0,0.958,0.042,0,0,0,0,0,0,0,0,0,0
"COM SCI 211 - LU, S.",0,0.353,0.353,0.176,0.059,0.059,0,0,0,0,0,0,0
"COM SCI 217A - ZHANG, L.",0.098,0.366,0.39,0.122,0.024,0,0,0,0,0,0,0,0
"COM SCI 239 - NETRAVALI, R.A.",0,0.722,0.167,0.111,0,0,0,0,0,0,0,0,0
"COM SCI 239 - REINMAN, G.D.",0,1,0,0,0,0,0,0,0,0,0,0,0
"COM SCI 239 - XU, H.",0.077,0.846,0.038,0,0.038,0,0,0,0,0,0,0,0
"COM SCI 245 - WANG, W.",0,0.692,0.231,0.077,0,0,0,0,0,0,0,0,0
"COM SCI 246 - CHO, J.",0.077,0.538,0.212,0,0.077,0.096,0,0,0,0,0,0,0
"COM SCI 249 - SHIRANI-MEHR, H.",0.095,0.619,0.19,0.048,0,0,0,0,0.048,0,0,0,0
"COM SCI 251A - TAMIR, Y.",0.083,0.5,0.083,0,0.167,0.083,0,0.083,0,0,0,0,0
"COM SCI 259 - CONG, J.J.",0.154,0.462,0.231,0,0.154,0,0,0,0,0,0,0,0
"COM SCI 264A - DARWICHE, A.Y.",0.07,0.349,0.163,0.279,0.093,0.047,0,0,0,0,0,0,0
"COM SCI 264A - DARWICHE, A.Y. LEC 80",0,0.333,0.444,0.222,0,0,0,0,0,0,0,0,0
"COM SCI 269 - HSIEH, C.",0.278,0.611,0.111,0,0,0,0,0,0,0,0,0,0
"COM SCI 269 - MIRZASOLEIMAN, B.",0.4,0.5,0,0.1,0,0,0,0,0,0,0,0,0
"COM SCI 269 - PENG, N.",0.36,0.28,0.28,0.08,0,0,0,0,0,0,0,0,0
"COM SCI 269 - TERZOPOULOS, D.",0.235,0.529,0.235,0,0,0,0,0,0,0,0,0,0
"COM SCI 281A - SHERSTOV, A.",0.167,0.833,0,0,0,0,0,0,0,0,0,0,0
"COM SCI 30 - MILLSTEIN, T.D.",0.233,0.5,0.067,0.1,0.033,0.033,0.017,0,0,0,0,0,0.017
"COM SCI 31 - SMALLBERG, D.A.",0,0.702,0.094,0.061,0.052,0.013,0.019,0.016,0.01,0.013,0.006,0.003,0.01
"COM SCI 31 - SMALLBERG, D.A. LEC 2",0,0.727,0.105,0.042,0.056,0.028,0,0.014,0.007,0.014,0.007,0,0
"COM SCI 33 - NOWATZKI, A.J.",0.164,0.328,0.143,0.106,0.048,0.09,0.016,0.021,0.011,0.026,0.011,0.011,0.026
"COM SCI 35L - EGGERT, P.R.",0,0.316,0.211,0.158,0.158,0.053,0.053,0,0,0.053,0,0,0
"COM SCI 35L - EGGERT, P.R. LEC 2",0,0.304,0.043,0.087,0.13,0.043,0.13,0.087,0,0.087,0,0,0.087
"COM SCI 35L - EGGERT, P.R. LEC 5",0,0.321,0.107,0.143,0.143,0.036,0.036,0.071,0.107,0,0.036,0,0
"COM SCI 35L - EGGERT, P.R. LEC 6",0,0.478,0.13,0.13,0.043,0.043,0.043,0.043,0,0,0,0,0.087
"COM SCI 97 - EGGERT, P.R.",0,0.438,0.157,0.157,0.034,0.056,0.056,0.067,0.022,0,0,0,0.011
"COM SCI CM121 - SUL, J.H.",0.17,0.568,0.136,0.068,0.011,0.034,0,0,0.011,0,0,0,0
"COM SCI CM221 - SUL, J.H.",0.375,0.562,0.062,0,0,0,0,0,0,0,0,0,0
"COM SCI M146 - CHANG, K.",0.267,0.313,0.111,0.111,0.041,0.051,0.018,0.028,0.009,0.009,0.014,0.018,0.009
"COM SCI M152A - SARRAFZADEH, M.",0.136,0.364,0.364,0.045,0.091,0,0,0,0,0,0,0,0
"COM SCI M152A - SARRAFZADEH, M. LEC 2",0.176,0.059,0.412,0.059,0.118,0,0.059,0,0,0,0,0,0.118
"COM SCI M152A - SARRAFZADEH, M. LEC 3",0.263,0.421,0.158,0,0.053,0.053,0.053,0,0,0,0,0,0
"COM SCI M152A - SARRAFZADEH, M. LEC 4",0.231,0.154,0.077,0.154,0.077,0.077,0,0,0,0,0,0,0.231
"COM SCI M152A - SARRAFZADEH, M. LEC 5",0.174,0.304,0.174,0,0.043,0.174,0,0,0,0,0,0,0.13
"COM SCI M152A - SARRAFZADEH, M. LEC 6",0.154,0.423,0.154,0.077,0.077,0.038,0,0,0,0,0,0,0.077
"COM SCI M182 - DISTEFANO, J.",0,0.577,0.038,0.115,0.135,0.038,0.019,0.058,0,0,0.019,0,0
"COM SCI M226 - SANKARARAMAN, S.",0,0.758,0.061,0.091,0.061,0.03,0,0,0,0,0,0,0
"COM SCI M51A - KORF, R.E.",0.049,0.423,0.319,0.049,0.043,0.061,0,0.037,0,0,0,0,0.018
"COM SCI M51A - RAMEZANI, R.",0.483,0.45,0.017,0,0.025,0.017,0,0.008,0,0,0,0,0
"COMM 1 - BRIDGEWATER, D.A.",0,1,0,0,0,0,0,0,0,0,0,0,0
"COMM 1 - BRIDGEWATER, D.A. LEC 2",0,1,0,0,0,0,0,0,0,0,0,0,0
"COMM 1 - FERAMISCO, C.",0.143,0.536,0.179,0.071,0.071,0,0,0,0,0,0,0,0
"COMM 1 - FERAMISCO, C. LEC 10",0.115,0.462,0.192,0.077,0.038,0.038,0.038,0.038,0,0,0,0,0
"COMM 1 - KOCHIAN, J.",0,0.909,0.045,0,0,0,0,0,0,0,0,0,0.045
"COMM 1 - KOCHIAN, J. LEC 4",0,0.828,0.138,0,0.034,0,0,0,0,0,0,0,0
"COMM 1 - KOCHIAN, J. LEC 9",0,1,0,0,0,0,0,0,0,0,0,0,0
"COMM 1 - MACK, K.S.",0,0.92,0.08,0,0,0,0,0,0,0,0,0,0
"COMM 1 - MACK, K.S. LEC 7",0,0.929,0.036,0,0.036,0,0,0,0,0,0,0,0
"COMM 10 - SUMAN, M.W.",0,0.061,0.122,0.204,0.156,0.102,0.102,0.088,0.068,0.054,0.014,0,0.027
"COMM 101 - KASSABIAN, R.",0,0.231,0.256,0.256,0.026,0.103,0.051,0.026,0,0,0,0,0.051
"COMM 103A - MILLER, T.E.",0.375,0.375,0.25,0,0,0,0,0,0,0,0,0,0
"COMM 104 - MILLER, T.E.",0.231,0.538,0.154,0,0,0,0,0,0,0,0,0,0.077
"COMM 106 - ARBABZADAH, N.",0.156,0.442,0.208,0.13,0.039,0,0.013,0.013,0,0,0,0,0
"COMM 108 - KICENSKI, K.K.",0.01,0.308,0.279,0.154,0.096,0.048,0.048,0.019,0.01,0,0.01,0,0.019
"COMM 119 - WARLAUMONT, A.S.",0.538,0.338,0.077,0.046,0,0,0,0,0,0,0,0,0
"COMM 121 - WARLAUMONT, A.S.",0.724,0.194,0.061,0,0,0,0.01,0.01,0,0,0,0,0
"COMM 122 - GAO, T.",0.169,0.729,0.034,0.034,0.034,0,0,0,0,0,0,0,0
"COMM 150 - PETERSON, S.M.",0.042,0.268,0.31,0.239,0.085,0.014,0.014,0.014,0,0,0,0,0.014
"COMM 151 - GROELING, T.J.",0.29,0.591,0.065,0.011,0,0.011,0.011,0.011,0.011,0,0,0,0
"COMM 152 - SUMAN, M.W.",0.019,0.074,0.185,0.333,0.185,0.13,0.019,0.037,0,0,0,0,0.019
"COMM 160 - GROELING, T.J.",0.22,0.68,0.04,0.06,0,0,0,0,0,0,0,0,0
"COMM 171 - HUPPIN, M.A.",0.062,0.454,0.124,0.206,0.124,0,0.021,0,0,0,0,0,0.01
"COMM 187 - NEWTON, J.S.",0.189,0.667,0.09,0.027,0.009,0.018,0,0,0,0,0,0,0
"COMM 188A - BIAGIOLI, M.",0.267,0.133,0.2,0.2,0.133,0,0,0,0.067,0,0,0,0
"COMM 188A - JUSKO, J.A.",0.014,0.29,0.217,0.319,0.116,0.014,0,0.014,0,0,0.014,0,0
"COMM 188D - BIAGIOLI, M.",0.103,0.483,0.276,0.103,0.034,0,0,0,0,0,0,0,0
"COMM M147 - ROSSMAN, G.",0.2,0.52,0.04,0.08,0.04,0.12,0,0,0,0,0,0,0
"COMM M165 - VON BLUM, P.",0,0.95,0.041,0.008,0,0,0,0,0,0,0,0,0
"COMPTNG 10A - CAI, H.",0,0.526,0.272,0.096,0.044,0.026,0.026,0,0,0,0.009,0,0
"COMPTNG 10A - LINDSTROM, M.R.",0,0.356,0.301,0.164,0.041,0.014,0,0.027,0.014,0.014,0,0,0.068
"COMPTNG 10A - PERLMUTTER, M.A.",0,0.771,0.072,0.06,0.024,0.012,0.024,0.036,0,0,0,0,0
"COMPTNG 10A - PHAM, M.H.",0.043,0.5,0.129,0.114,0.043,0.071,0.043,0.029,0,0,0,0,0.029
"COMPTNG 10B - CHU, W.",0,0.727,0.073,0.109,0.018,0,0,0.055,0,0,0,0,0.018
"COMPTNG 10B - CHU, W. LEC 2",0.02,0.706,0.098,0.059,0.078,0.039,0,0,0,0,0,0,0
"COMPTNG 10C - LINDSTROM, M.R.",0,0.25,0.667,0,0.083,0,0,0,0,0,0,0,0
"COMPTNG 16A - ANDREWS, M.J.",0.091,0.545,0.273,0.055,0.018,0.018,0,0,0,0,0,0,0
"COMPTNG 16A - CHODROW, P.S.",0,0.898,0.085,0.017,0,0,0,0,0,0,0,0,0
"COMPTNG 16A - JI, H.",0.049,0.852,0.016,0.016,0.033,0,0,0.016,0,0,0,0.016,0
"COMPTNG 20A - HYDE, D.",0.087,0.522,0.13,0.087,0.087,0,0,0.043,0,0.043,0,0,0
"COMPTNG 40A - ANDREWS, M.J.",0.059,0.588,0.088,0.118,0.029,0,0.059,0.029,0.029,0,0,0,0
"DANCE 1 - AUGUSTE, C.",0.25,0.625,0,0.062,0,0,0,0,0,0,0,0,0.062
"DANCE 11 - BLU WAKPA, T.",0.091,0.909,0,0,0,0,0,0,0,0,0,0,0
"DANCE 116 - WARBY, R.K.",0.235,0.706,0,0,0,0,0,0.059,0,0,0,0,0
"DANCE 117A - CARLSON, A.M.",0.056,0.444,0.389,0.056,0,0.056,0,0,0,0,0,0,0
"DANCE 117B - WARBY, R.K.",0.118,0.706,0.059,0,0.118,0,0,0,0,0,0,0,0
"DANCE 13 - FROOT, D.",0.278,0.667,0.056,0,0,0,0,0,0,0,0,0,0
"DANCE 15 - POPKIN, L.A.",0,1,0,0,0,0,0,0,0,0,0,0,0
"DANCE 16 - ROUSSEVE, D.J.",0,1,0,0,0,0,0,0,0,0,0,0,0
"DANCE 5 - EEN, R.W.",0.071,0.857,0.071,0,0,0,0,0,0,0,0,0,0
"DANCE 6 - WODOBODE, A.",0,0.923,0.077,0,0,0,0,0,0,0,0,0,0
"DANCE 67A - CARLSON, A.M.",0.154,0.462,0.154,0.154,0.077,0,0,0,0,0,0,0,0
"DANCE 9 - FOAAD, L.R.",0.95,0,0,0.05,0,0,0,0,0,0,0,0,0
