"CLASS","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F"
"CH ENGR 101A - EISLER, C.N.",0.046,0.218,0.115,0.103,0.299,0.046,0.08,0.069,0.011,0.011,0,0,0
"CH ENGR 104B - SIMONETTI, D.A.",0.053,0.316,0.421,0.105,0.105,0,0,0,0,0,0,0,0
"CH ENGR 106 - LU, Y.",0.118,0.157,0.216,0.216,0.137,0.078,0.02,0,0,0,0.059,0,0
"CH ENGR 109 - CHRISTOFIDES, P.D.",0,0.281,0.18,0.124,0.27,0.079,0.056,0.011,0,0,0,0,0
"CH ENGR 194 - MANOUSIOUTHAKIS, V",1,0,0,0,0,0,0,0,0,0,0,0,0
"CH ENGR 200 - PARK, J.",0.125,0.406,0.281,0.125,0.062,0,0,0,0,0,0,0,0
"CH ENGR 259 - MANOUSIOUTHAKIS, V",0.833,0.167,0,0,0,0,0,0,0,0,0,0,0
"CH ENGR C115 - AN0BI, N.",0,0.308,0.115,0.192,0.115,0.231,0,0.038,0,0,0,0,0
"CH ENGR CM145 - PARK, J.",0.087,0.348,0.174,0.261,0.13,0,0,0,0,0,0,0,0
"CHEM 110A - GELBART, W.M.",0.086,0.057,0.124,0.162,0.257,0.105,0.029,0.057,0.038,0,0.038,0,0.048
"CHEM 114 - BAUGH, D.A.",0.273,0.091,0.091,0,0.091,0.273,0,0,0.182,0,0,0,0
"CHEM 125 - KOPELEVICH, M.",0.129,0.323,0.29,0.097,0.032,0.097,0,0,0,0,0,0,0.032
"CHEM 144 - NELSON, H.M.",0.182,0.333,0,0,0.364,0,0,0.091,0,0,0,0,0.03
"CHEM 14A - CARAM, J.R.",0.184,0.368,0.105,0.138,0.039,0.026,0.053,0.02,0.02,0,0.007,0.007,0.033
"CHEM 14A - LAVELLE, L.",0.056,0.251,0.14,0.175,0.096,0.079,0.067,0.047,0.076,0,0.003,0,0.009
"CHEM 14A - LAVELLE, L. LEC 3",0.022,0.149,0.174,0.152,0.093,0.071,0.071,0.068,0.165,0,0.006,0.016,0.012
"CHEM 14A - LAVELLE, L. LEC 4",0.024,0.159,0.188,0.183,0.159,0.067,0.062,0.053,0.087,0,0.005,0.005,0.01
"CHEM 14B - QUINLAN, M.E.",0.062,0.372,0.047,0.073,0.194,0.026,0.032,0.094,0.012,0.006,0.047,0,0.035
"CHEM 14BL - CASEY, J.R.",0.008,0.279,0.06,0.068,0.279,0.038,0.042,0.158,0.053,0,0.004,0,0.011
"CHEM 14BL - RUSSELL, A.A.",0,0.341,0.008,0.012,0.435,0.012,0.041,0.098,0.024,0,0.004,0,0.024
"CHEM 14C - FULTON, B.",0.077,0.468,0.165,0.081,0.101,0.028,0.081,0,0,0,0,0,0
"CHEM 14C - FULTON, B. LEC 2",0.054,0.472,0.164,0.119,0.088,0.025,0.073,0.006,0,0,0,0,0
"CHEM 14CL - PANG, J.W.",0,0.542,0.104,0.075,0.188,0.008,0,0.075,0.004,0,0.004,0,0
"CHEM 14D - 0G, A.",0.341,0.045,0.136,0.08,0.057,0.136,0.068,0.091,0.045,0,0,0,0
"CHEM 14D - 0G, A. LEC 2",0.393,0.093,0.12,0.066,0.066,0.093,0.06,0.066,0.038,0,0,0,0.005
"CHEM 14D - PHAM, H.V.",0.154,0.136,0.113,0.077,0.063,0.068,0.081,0.095,0.081,0.036,0.059,0.023,0.014
"CHEM 153A - AWAD, A.M.",0.02,0.327,0.205,0.047,0.177,0.075,0.039,0.067,0.012,0,0.031,0,0
"CHEM 153A - AWAD, A.M. LEC 2",0.009,0.325,0.179,0.094,0.188,0.068,0.047,0.051,0.013,0,0.026,0,0
"CHEM 153A - WEISS, R.L.",0.019,0.229,0.038,0.067,0.229,0.038,0.067,0.152,0.019,0,0.105,0,0.038
"CHEM 153B - SILKWORTH, W.T.",0.014,0.188,0.13,0.203,0.145,0.087,0.058,0.072,0.043,0,0.029,0,0.029
"CHEM 153C - SILKWORTH, W.T.",0.054,0.189,0.135,0.108,0.108,0.081,0.081,0.108,0.081,0,0.054,0,0
"CHEM 153L - HONG-HERMESDORF,",0,0.209,0.163,0.101,0.147,0.132,0.023,0.054,0.039,0,0.07,0,0.062
"CHEM 154 - 0KAMOTO, S.S.",0,0.115,0.212,0.25,0.115,0.038,0.038,0.038,0.096,0,0.019,0,0.077
"CHEM 156 - RODRIGUEZ, J.A.",0.042,0.292,0.167,0.25,0.125,0.062,0,0,0.021,0,0,0.021,0.021
"CHEM 17 - PAPAZYAN, A.",0.217,0.043,0.096,0.043,0.061,0.113,0.035,0.026,0.2,0,0.078,0,0.087
"CHEM 171 - KANER, R.B.",0.018,0.329,0.096,0.102,0.317,0.03,0.024,0.048,0.024,0,0.012,0,0
"CHEM 185 - DUAN, X.",0.2,0.3,0.1,0.2,0,0,0.1,0.1,0,0,0,0,0
"CHEM 189 - KANER, R.B.",0,0.74,0.22,0.04,0,0,0,0,0,0,0,0,0
"CHEM 192E - SHAKED, S.",0.049,0.951,0,0,0,0,0,0,0,0,0,0,0
"CHEM 192F - SHAKED, S.",0.038,0.962,0,0,0,0,0,0,0,0,0,0,0
"CHEM 20A - BAUGH, D.A.",0.08,0.347,0.156,0.142,0.089,0.071,0.022,0.044,0.013,0,0,0,0.036
"CHEM 20A - BEREN, C.E.",0.051,0.133,0.119,0.263,0.241,0.099,0.031,0.037,0.023,0,0,0,0.003
"CHEM 20A - BEREN, C.E. LEC 2",0.05,0.092,0.067,0.235,0.244,0.13,0.059,0.071,0.042,0,0,0,0.008
"CHEM 20AH - SCHWARTZ, B.J.",0.032,0.226,0.097,0.29,0.032,0.097,0.129,0.032,0.032,0,0.032,0,0
"CHEM 228 - CARAM, J.R.",0,1,0,0,0,0,0,0,0,0,0,0,0
"CHEM 236 - RUBIN, Y.F.",0.143,0.286,0.179,0.107,0.214,0.071,0,0,0,0,0,0,0
"CHEM 244A - KWON, O.",0.15,0.2,0.1,0.3,0.15,0.1,0,0,0,0,0,0,0
"CHEM 247 - GARG, N.K.",0,1,0,0,0,0,0,0,0,0,0,0,0
"CHEM 248 - RUBIN, Y.F.",0.2,0.5,0.3,0,0,0,0,0,0,0,0,0,0
"CHEM 258 - LOO, J.A.",0,1,0,0,0,0,0,0,0,0,0,0,0
"CHEM 268 - QUINLAN, M.E.",0,1,0,0,0,0,0,0,0,0,0,0,0
"CHEM 269A - GOBER, J.W.",0,0.318,0.318,0,0.273,0.091,0,0,0,0,0,0,0
"CHEM 269B - CLARKE, S.G.",0.091,0.545,0.091,0.182,0,0.091,0,0,0,0,0,0,0
"CHEM 269C - FEIGON, J.F.",0.095,0.19,0.333,0.286,0.095,0,0,0,0,0,0,0,0
"CHEM 269D - KOEHLER, C.M.",0,1,0,0,0,0,0,0,0,0,0,0,0
"CHEM 269E - LOO, J.A.",0,0.346,0.385,0.192,0.077,0,0,0,0,0,0,0,0
"CHEM 278 - DIACONESCU, P.L.",0,0.933,0,0,0.067,0,0,0,0,0,0,0,0
"CHEM 3 - SPOKOYNY, A.M.",0.024,0.357,0.357,0.119,0.095,0.024,0.024,0,0,0,0,0,0
"CHEM 30A - PHAM, H.V.",0.07,0.106,0.155,0.056,0.056,0.127,0.099,0.077,0.07,0.106,0.049,0.021,0.007
"CHEM 30AL - HE0RY, M.M.",0,0.54,0.025,0.155,0.22,0.02,0.01,0.025,0.005,0,0,0,0
"CHEM 30B - MERLIC, C.A.",0.038,0.162,0.103,0.09,0.141,0.068,0.073,0.201,0.073,0,0.03,0,0.021
"CHEM 30BL - REILLY, A.J.",0.019,0.093,0.093,0.167,0.352,0.111,0.074,0.037,0.019,0,0.019,0.019,0
"CHEM 30CL - REILLY, A.J.",0,0.143,0.286,0.214,0.179,0.107,0.036,0.036,0,0,0,0,0
"CHEM 596 - WEISS, P.S.",0.333,0.667,0,0,0,0,0,0,0,0,0,0,0
"CHEM C150 - TORRES, J.",0,0.5,0.455,0.045,0,0,0,0,0,0,0,0,0
"CHEM C223A - LEVINE, A.J.",0.077,0.154,0.231,0.077,0.231,0.154,0,0.077,0,0,0,0,0
"CHEM C250 - TORRES, J.",0.154,0.692,0.154,0,0,0,0,0,0,0,0,0,0
"CHEM C273 - LIU, C.",0.067,0.333,0.267,0.2,0.067,0.067,0,0,0,0,0,0,0
"CHEM CM160A - LEE, C.J.",0,0.4,0.6,0,0,0,0,0,0,0,0,0,0
"CHICANO 100SL - LACAYO, C.O.",0.02,0.1,0.26,0.32,0.18,0.08,0.02,0,0,0,0,0,0.02
"CHICANO 104 - FRIAS, C.M.",0.375,0.5,0.05,0.05,0.025,0,0,0,0,0,0,0,0
"CHICANO 105F - HARRIS, A.A.",0,0.907,0.047,0.023,0,0.023,0,0,0,0,0,0,0
"CHICANO 10B - HINOJOSA-OJEDA, R.",0.325,0.422,0.16,0.034,0.024,0.01,0.01,0.005,0,0,0.005,0,0.005
"CHICANO 10B - JOHNSON, G.",0.473,0.354,0.085,0.036,0.016,0.01,0.008,0.008,0,0,0.008,0,0.003
"CHICANO 113 - RAMIREZ-OROPEZA, M",0.659,0.317,0.008,0,0,0.008,0.008,0,0,0,0,0,0
"CHICANO 138A - CARPIO, G.G.",0.296,0.259,0.241,0.111,0.074,0,0,0,0,0,0,0,0.019
"CHICANO 153A - ABREGO, L.J.",0.048,0.323,0.177,0.21,0.113,0.081,0.016,0.016,0,0,0,0,0.016
"CHICANO 153B - ALMA, K.",0.106,0.617,0.128,0.085,0.043,0.021,0,0,0,0,0,0,0
"CHICANO 165 - SANTA A0, O.",0.308,0.365,0,0.038,0.25,0,0,0.019,0,0,0.019,0,0
"CHICANO 169 - ELLIS, H.",0.273,0.227,0.25,0.091,0.091,0.023,0.045,0,0,0,0,0,0
"CHICANO 171 - SANTA A0, O.",0.194,0.361,0.028,0,0.222,0,0,0.111,0,0,0.083,0,0
"CHICANO 188 - ESPINO, V.R.",0.186,0.349,0.256,0.14,0.047,0,0,0.023,0,0,0,0,0
"CHICANO 188 - GONZALEZ, O.O.",0.125,0.458,0.333,0,0,0.042,0,0,0,0,0,0,0.042
"CHICANO 188 - LACAYO, C.O.",0,0.08,0.318,0.261,0.239,0.08,0,0.011,0.011,0,0,0,0
"CHICANO 200 - ROMERO, R.C.",0,0.9,0.1,0,0,0,0,0,0,0,0,0,0
"CHICANO 291 - ABREGO, L.J.",0.2,0.7,0.1,0,0,0,0,0,0,0,0,0,0
"CHICANO 291 - ALMA, K.",0,0.778,0,0.222,0,0,0,0,0,0,0,0,0
"CHICANO 89 - JOHNSON, G.",0.083,0.875,0,0,0,0,0,0,0,0,0,0,0.042
"CHICANO C179 - MACIAS, R.F.",0,0.348,0,0.13,0.391,0.043,0,0,0,0.087,0,0,0
"CHICANO M145B - GONZALEZ, O.O.",0.059,0.412,0.412,0.029,0.029,0.029,0,0,0,0,0,0,0.029
"CHICANO M155B - BARRETO, M.A.",0.05,0.15,0.15,0.25,0.117,0.133,0.067,0.033,0.017,0,0,0,0.033
"CHICANO M156A - RODRIGUEZ, M.I.",0,0.727,0.182,0.091,0,0,0,0,0,0,0,0,0
"CHIN 1 - CHIEF, L.",0.351,0.299,0.117,0.091,0.052,0.013,0.013,0.039,0,0,0,0,0.026
"CHIN 1 - YAO, Y.",0,0.463,0.28,0.134,0.024,0.049,0.012,0,0.024,0,0,0,0.012
"CHIN 100A - SMITH, M.M.",0.038,0.5,0.269,0.115,0,0.077,0,0,0,0,0,0,0
"CHIN 102A - SMITH, M.M.",0.053,0.579,0.053,0.211,0,0.105,0,0,0,0,0,0,0
"CHIN 105A - SHEN, Y.",0,0.647,0.294,0,0,0.059,0,0,0,0,0,0,0
"CHIN 110A - WU, Y.",0.227,0.341,0.136,0.159,0.045,0.068,0,0,0,0.023,0,0,0
"CHIN 130B - QIN, L.",0.286,0.143,0.381,0.19,0,0,0,0,0,0,0,0,0
"CHIN 151 - QIN, L.",0.079,0.237,0.5,0.132,0.053,0,0,0,0,0,0,0,0
"CHIN 159 - TSAI, L.",0.267,0.433,0.167,0.033,0,0.033,0.033,0.033,0,0,0,0,0
"CHIN 191A - WU, Y.",0.083,0.25,0.417,0.25,0,0,0,0,0,0,0,0,0
"CHIN 191B - TSAI, L.",0.25,0.3,0.1,0.1,0,0.15,0,0.05,0,0.05,0,0,0
"CHIN 1A - SUN, X.",0.053,0.421,0.263,0.132,0.105,0,0,0,0,0.026,0,0,0
"CHIN 4 - SHEN, Y.",0,0.677,0.194,0.097,0.032,0,0,0,0,0,0,0,0
"CHIN 4A - YAO, Y.",0,0.273,0.364,0.091,0.182,0,0,0.091,0,0,0,0,0
"CHIN 50 - DUTHIE, N.N.",0.093,0.413,0.16,0.087,0.1,0.04,0.02,0.033,0.013,0.013,0.013,0.007,0.007
"CLASSIC 10 - KIRKLAND, N.B.",0.077,0.419,0.173,0.077,0.085,0.065,0.028,0.032,0.004,0.004,0.02,0,0.016
"CLASSIC 148 - BLANK, D.L.",0.036,0.543,0.336,0.064,0.007,0,0,0.007,0,0,0.007,0,0
"CLASSIC 152B - BECKMANN, S.E.",0.038,0.538,0.115,0.077,0.231,0,0,0,0,0,0,0,0
"CLASSIC 164 - JOHANSON, C.",0.194,0.484,0.161,0.129,0,0.032,0,0,0,0,0,0,0
"CLASSIC 166A - MORGAN, K.A.",0.1,0.1,0.25,0.1,0.2,0.2,0,0,0,0,0,0,0.05
"CLASSIC 288 - SISSA, G.",0,1,0,0,0,0,0,0,0,0,0,0,0
"CLASSIC 42 - BOULMETIS, T.A.",0,0.887,0.057,0.028,0.021,0,0,0,0,0,0,0,0.007
"CLASSIC 88GE - BECKMANN, S.E.",0,0.684,0.158,0.105,0.053,0,0,0,0,0,0,0,0
"CLASSIC 88GE - ZENIOS, S.",0.083,0.583,0.25,0.083,0,0,0,0,0,0,0,0,0
"CLUSTER 20A - BROWN, S.D.",0.061,0.388,0.279,0.17,0.085,0.006,0.012,0,0,0,0,0,0
"CLUSTER 21A - ALEXANDER, A.",0.05,0.47,0.29,0.06,0.07,0.03,0.02,0,0,0,0,0,0.01
"CLUSTER 30A - BURDORFF, S.F.",0.038,0.301,0.28,0.183,0.097,0.032,0.027,0.011,0.022,0,0,0,0.011
"CLUSTER 48A - LUFT, A.R.",0.084,0.465,0.232,0.084,0.077,0.026,0.019,0.013,0,0,0,0,0
"CLUSTER 60A - DECKER, J.L.",0.004,0.332,0.389,0.179,0.083,0,0.009,0.004,0,0,0,0,0
"CLUSTER 70A - FRISCIA, A.R.",0.033,0.257,0.164,0.136,0.187,0.037,0.056,0.061,0.019,0.005,0.014,0.019,0.014
"CLUSTER 73A - BAR0RD, H.",0.033,0.533,0.05,0.075,0.233,0,0,0.058,0.017,0,0,0,0
"CLUSTER 80A - HSU, P.T.",0,0.317,0.302,0.183,0.048,0.087,0.032,0.016,0.016,0,0,0,0
"CLUSTER M1A - BUCK, H.J.",0.712,0.144,0.041,0.055,0.021,0.021,0.007,0,0,0,0,0,0
"CLUSTER M71A - PANOFSKY, A.L.",0.325,0.338,0.181,0.084,0.025,0.025,0.013,0.004,0,0.004,0,0,0
"CLUSTER M72A - HASELTON, M.G.",0.112,0.32,0.288,0.104,0.112,0.032,0.016,0,0.008,0,0,0.008,0
"COM HLT 132 - TAUB, B.",0,0.545,0.333,0.091,0.03,0,0,0,0,0,0,0,0
"COM HLT 179 - SCORZA, D.J.",0.268,0.429,0.125,0.089,0.036,0.018,0,0,0,0.018,0.018,0,0
"COM HLT 200 - VON EHRENSTEIN, O.",0,0.4,0.4,0.2,0,0,0,0,0,0,0,0,0
"COM HLT 210 - GEE, G.C.",0.018,0.482,0.125,0.179,0.107,0.054,0.018,0.018,0,0,0,0,0
"COM HLT 210 - UPCHURCH, D.M.",0.368,0.368,0.211,0,0,0,0.053,0,0,0,0,0,0
"COM HLT 212 - KUHN, R.S.",0,0.75,0.25,0,0,0,0,0,0,0,0,0,0
"COM HLT 213 - BEYMER, M.R.",0.5,0.4,0.1,0,0,0,0,0,0,0,0,0,0
"COM HLT 220 - FORD, C.L.",0,0.35,0.45,0.15,0.05,0,0,0,0,0,0,0,0
"COM HLT 226 - UPCHURCH, D.M.",0,0.944,0.056,0,0,0,0,0,0,0,0,0,0
"COM HLT 238 - D'AMICO, E.",0.067,0.6,0.267,0.067,0,0,0,0,0,0,0,0,0
"COM HLT 247 - GIPSON, J.D.",0.136,0.318,0.273,0.227,0.045,0,0,0,0,0,0,0,0
"COM HLT 281B - SHAFIR, S.C.",0.034,0.448,0.241,0.207,0.034,0,0,0.034,0,0,0,0,0
"COM HLT 282 - KIRBY, S.D.",0,0.7,0.3,0,0,0,0,0,0,0,0,0,0
"COM HLT 288 - GLIK, D.C.",0.267,0.467,0.267,0,0,0,0,0,0,0,0,0,0
"COM HLT 400 - BLENNER, S.",0,0.783,0.13,0.043,0,0,0,0,0,0,0,0,0.043
"COM HLT 440 - STRATTON, S.J.",0,1,0,0,0,0,0,0,0,0,0,0,0
"COM HLT 48 - PANG, M.",0.2,0.4,0.2,0.067,0.133,0,0,0,0,0,0,0,0
"COM HLT M234 - MCCARTHY, W.J.",0,0.3,0.7,0,0,0,0,0,0,0,0,0,0
"COM HLT M263 - PEBLEY, A.R.",0.15,0.5,0.15,0.2,0,0,0,0,0,0,0,0,0
"COM LIT 100 - REINHARD, K.",0,0.444,0.278,0.111,0.056,0,0,0,0.111,0,0,0,0
"COM LIT 191 - LEVITZ, T.J.",0.368,0.421,0.105,0.105,0,0,0,0,0,0,0,0,0
"COM LIT 2CW - KOMAR, K.L.",0.009,0.324,0.324,0.157,0.093,0.009,0.046,0.009,0,0,0,0,0.028
"COM LIT 4CW - KING, K.C.",0.05,0.4,0.45,0.05,0.05,0,0,0,0,0,0,0,0
"COM LIT 4DW - KING, K.C.",0.053,0.947,0,0,0,0,0,0,0,0,0,0,0
"COM LIT C153 - KOMAR, K.L.",0.1,0.7,0,0.1,0,0,0.1,0,0,0,0,0,0
"COM LIT M191P - MACFADYEN, D.W.",0.118,0.588,0.235,0,0,0,0,0.059,0,0,0,0,0
"COM SCI 1 - SAHAI, A.",0.102,0.699,0.102,0.042,0.034,0,0.013,0,0,0.004,0,0,0.004
"COM SCI 111 - EGGERT, P.R.",0,0.19,0.157,0.19,0.066,0.099,0.05,0.083,0.058,0.017,0.033,0.017,0.041
"COM SCI 118 - VARGHESE, G.",0.059,0.148,0.308,0.154,0.124,0.089,0.047,0.047,0.006,0,0.018,0,0
"COM SCI 130 - KIM, M.",0.05,0.157,0.157,0.322,0.14,0.066,0.083,0.008,0,0,0.017,0,0
"COM SCI 131 - EGGERT, P.R.",0,0.192,0.144,0.08,0.2,0.088,0.104,0.072,0.032,0,0.04,0,0.048
"COM SCI 132 - PALSBERG, J.",0.235,0.42,0.037,0.074,0.099,0.012,0.012,0.025,0,0,0.074,0,0.012
"COM SCI 136 - REIHER, P.L.",0.014,0.127,0.127,0.183,0.282,0.099,0.056,0.028,0.014,0,0,0.056,0.014
"COM SCI 143 - CHO, J.",0.071,0.143,0.286,0.214,0.214,0.071,0,0,0,0,0,0,0
"COM SCI 145 - WANG, W.",0,0.239,0.352,0.183,0.113,0.056,0.056,0,0,0,0,0,0
"COM SCI 152B - SARRAFZADEH, M.",0.111,0.444,0.278,0,0.056,0,0,0.056,0,0,0.056,0,0
"COM SCI 161 - VAN DEN BROECK, G.",0.02,0.154,0.248,0.128,0.128,0.128,0.101,0.054,0.034,0,0,0,0.007
"COM SCI 174A - LAW, A.",0,0.264,0.264,0.207,0.115,0.069,0.046,0.023,0,0,0,0,0.011
"COM SCI 180 - SARRAFZADEH, M.",0,0.291,0.117,0.045,0.206,0,0.045,0.235,0.008,0,0.032,0,0.02
"COM SCI 181 - SHERSTOV, A.",0.102,0.141,0.164,0.094,0.133,0.133,0.039,0.062,0.055,0.023,0.023,0.023,0.008
"COM SCI 188 - MUTZ, A.",0.079,0.634,0.228,0,0.059,0,0,0,0,0,0,0,0
"COM SCI 188 - SCALZO, F.",0.217,0.289,0.169,0.133,0.102,0.06,0.018,0.012,0,0,0,0,0
"COM SCI 192 - SHAKED, S.",0,1,0,0,0,0,0,0,0,0,0,0,0
"COM SCI 192A - SHAKED, S.",0,1,0,0,0,0,0,0,0,0,0,0,0
"COM SCI 217A - ZHANG, L.",0.184,0.632,0.105,0.079,0,0,0,0,0,0,0,0,0
"COM SCI 219 - NETRAVALI, R.A.",0.156,0.406,0.156,0.25,0,0.031,0,0,0,0,0,0,0
"COM SCI 239 - REINMAN, G.D.",0,1,0,0,0,0,0,0,0,0,0,0,0
"COM SCI 239 - XU, H.",0,0.948,0.017,0.034,0,0,0,0,0,0,0,0,0
"COM SCI 240A - ZANIOLO, C.",0.042,0.271,0.208,0.292,0.104,0.062,0.021,0,0,0,0,0,0
"COM SCI 246 - CHO, J.",0.143,0.554,0.214,0.054,0.036,0,0,0,0,0,0,0,0
"COM SCI 251A - TAMIR, Y.",0.04,0.36,0.28,0.16,0.08,0.08,0,0,0,0,0,0,0
"COM SCI 259 - CONG, J.J.",0.077,0.308,0.308,0.231,0.077,0,0,0,0,0,0,0,0
"COM SCI 269 - TERZOPOULOS, D.",0.282,0.385,0.333,0,0,0,0,0,0,0,0,0,0
"COM SCI 30 - MILLSTEIN, T.D.",0.154,0.492,0.138,0.046,0.062,0,0,0.015,0.031,0.015,0,0,0.046
"COM SCI 31 - SMALLBERG, D.A.",0,0.332,0.077,0.117,0.153,0.099,0.018,0.139,0.011,0.007,0.007,0.011,0.029
"COM SCI 31 - SMALLBERG, D.A. LEC 2",0,0.424,0.03,0.091,0.182,0.068,0.023,0.114,0.023,0,0,0,0.045
"COM SCI 33 - NOWATZKI, A.J.",0.138,0.222,0.155,0.134,0.1,0.067,0.063,0.025,0.038,0.008,0.017,0.013,0.021
"COM SCI 35L - EGGERT, P.R.",0,0.061,0.061,0.152,0.394,0.061,0.061,0.03,0,0.03,0.061,0,0.091
"COM SCI 35L - EGGERT, P.R. LEC 2",0,0.2,0.067,0.167,0.2,0.033,0.033,0.1,0.033,0,0,0,0.167
"COM SCI 35L - EGGERT, P.R. LEC 3",0,0.171,0.057,0.286,0.086,0.029,0,0,0.2,0.029,0.057,0.029,0.057
"COM SCI 35L - EGGERT, P.R. LEC 4",0,0.333,0.061,0.212,0.212,0.03,0,0,0.03,0.03,0.03,0.03,0.03
"COM SCI 35L - EGGERT, P.R. LEC 5",0,0.194,0.032,0.226,0.097,0.194,0.032,0,0.097,0.032,0.032,0,0.065
"COM SCI 35L - EGGERT, P.R. LEC 6",0,0.097,0.032,0.323,0.161,0.194,0.065,0,0.097,0,0,0,0.032
"COM SCI 35L - EGGERT, P.R. LEC 7",0,0.25,0.094,0.156,0.188,0.094,0.031,0,0.062,0.031,0,0,0.094
"COM SCI 35L - EGGERT, P.R. LEC 8",0,0.1,0.133,0.2,0.233,0.1,0.167,0,0.067,0,0,0,0
"COM SCI CM121 - LEE, C.J.",0.063,0.27,0.381,0.079,0.111,0.016,0.032,0.016,0.016,0,0.016,0,0
"COM SCI CM221 - LEE, C.J.",0.059,0.176,0.471,0.235,0.059,0,0,0,0,0,0,0,0
"COM SCI M146 - CHANG, K.",0.059,0.176,0.176,0.186,0.117,0.122,0.069,0.074,0.021,0,0,0,0
"COM SCI M152A - POTKONJAK, M.",0,0.286,0.214,0.179,0.179,0.143,0,0,0,0,0,0,0
"COM SCI M152A - POTKONJAK, M. LEC 2",0.037,0.259,0.259,0.074,0.111,0.148,0.111,0,0,0,0,0,0
"COM SCI M152A - POTKONJAK, M. LEC 5",0,0.222,0.333,0,0.333,0.111,0,0,0,0,0,0,0
"COM SCI M152A - POTKONJAK, M. LEC 6",0.125,0.083,0.208,0.333,0.125,0,0,0,0.125,0,0,0,0
"COM SCI M182 - DISTEFANO, J.",0.227,0.159,0.205,0.136,0.159,0.023,0.045,0.023,0.023,0,0,0,0
"COM SCI M226 - SANKARARAMAN, S.",0,0.308,0.385,0.231,0.077,0,0,0,0,0,0,0,0
"COM SCI M282A - OSTROVSKY, R.",0.231,0.231,0.077,0.269,0.115,0.077,0,0,0,0,0,0,0
"COM SCI M51A - ERCEGOVAC, M.D.",0.037,0.236,0.211,0.193,0.217,0.05,0.012,0.019,0.012,0,0.012,0,0
"COM SCI M51A - KORF, R.E.",0.02,0.109,0.116,0.163,0.15,0.17,0.061,0.068,0.054,0.007,0.014,0.014,0.054
"COMM 1 - BRIDGEWATER, D.A.",0,0.862,0.103,0.034,0,0,0,0,0,0,0,0,0
"COMM 1 - BRIDGEWATER, D.A. LEC 2",0,0.885,0.115,0,0,0,0,0,0,0,0,0,0
"COMM 1 - FERAMISCO, C.",0.103,0.31,0.276,0.138,0.138,0,0,0.034,0,0,0,0,0
"COMM 1 - FERAMISCO, C. LEC 10",0.174,0.435,0.174,0.174,0.043,0,0,0,0,0,0,0,0
"COMM 1 - KOCHIAN, J.",0,0.767,0.233,0,0,0,0,0,0,0,0,0,0
"COMM 1 - KOCHIAN, J. LEC 4",0,0.897,0.103,0,0,0,0,0,0,0,0,0,0
"COMM 1 - KOCHIAN, J. LEC 9",0,1,0,0,0,0,0,0,0,0,0,0,0
"COMM 1 - MACK, K.S.",0,0.828,0.103,0.069,0,0,0,0,0,0,0,0,0
"COMM 1 - MACK, K.S. LEC 7",0,0.893,0.036,0.036,0,0.036,0,0,0,0,0,0,0
"COMM 1 - MILLER, T.E.",0,0.417,0.167,0.083,0.125,0.208,0,0,0,0,0,0,0
"COMM 10 - SUMAN, M.W.",0,0.061,0.129,0.16,0.196,0.117,0.117,0.074,0.061,0.074,0,0.006,0.006
"COMM 101 - KASSABIAN, R.",0,0.484,0.097,0.065,0.161,0.097,0.032,0.032,0.032,0,0,0,0
"COMM 103A - MILLER, T.E.",0.25,0.55,0.15,0.05,0,0,0,0,0,0,0,0,0
"COMM 104 - MILLER, T.E.",0.182,0.545,0.273,0,0,0,0,0,0,0,0,0,0
"COMM 106 - ARBABZADAH, N.",0.079,0.404,0.254,0.088,0.079,0.044,0.026,0.009,0,0.009,0.009,0,0
"COMM 108 - KICENSKI, K.K.",0,0.062,0.361,0.155,0.144,0.134,0.082,0.021,0.01,0.01,0.021,0,0
"COMM 121 - WARLAUMONT, A.S.",0.073,0.604,0.188,0.042,0.062,0.021,0,0.01,0,0,0,0,0
"COMM 132 - PETERSON, S.M.",0,0.172,0.234,0.281,0.172,0.062,0.062,0,0.016,0,0,0,0
"COMM 141 - VON BLUM, P.",0,0.664,0.212,0.071,0.053,0,0,0,0,0,0,0,0
"COMM 148 - FERAMISCO, C.",0.031,0.388,0.398,0.092,0.041,0.02,0.02,0,0,0,0,0,0.01
"COMM 150 - LAMBERSON, P.J.",0.025,0.228,0.304,0.114,0.177,0.051,0.051,0.025,0,0.025,0,0,0
"COMM 151 - GROELING, T.J.",0,0.333,0.333,0.119,0.095,0.024,0,0.048,0.048,0,0,0,0
"COMM 152 - SUMAN, M.W.",0,0.103,0.138,0.207,0.207,0.138,0.034,0.034,0.103,0,0,0,0.034
"COMM 156 - LAMBERSON, P.J.",0.019,0.448,0.257,0.067,0.076,0.086,0.029,0.019,0,0,0,0,0
"COMM 160 - GROELING, T.J.",0.056,0.644,0.089,0.044,0.067,0.056,0.033,0,0.011,0,0,0,0
"COMM 163 - SANDERS, B.",0.043,0.391,0.087,0.217,0.217,0.043,0,0,0,0,0,0,0
"COMM 171 - HUPPIN, M.A.",0.054,0.268,0.098,0.259,0.107,0.08,0.116,0.018,0,0,0,0,0
"COMM 187 - NEWTON, J.S.",0.175,0.722,0.056,0.04,0.008,0,0,0,0,0,0,0,0
"COMM 188A - JUSKO, J.A.",0.162,0.176,0.284,0.122,0.122,0.014,0.027,0.054,0,0.014,0.014,0,0.014
"COMM 191E - NEWTON, J.S.",0.25,0.583,0.083,0.083,0,0,0,0,0,0,0,0,0
